PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
2,Ec-00_000130.1,7.912889336229962,8.37804081516315,8.535928928855112,8.5184973322604165,7.916863570411708,8.399753539138501,8.289306334577228,8.543580902954385,7.912889336229962
2,Ec-00_000200.1,8.570940194536576,9.09442011944883,8.983119916174022,8.930061187824728,9.082850989243372,8.384047429507461,8.914799333975118,8.586011236764836,7.912889336229962
2,Ec-00_000230.1,8.17929737704605,8.192350476729436,8.121499824707662,8.4621769045999,7.95477109239448,7.996175532614282,8.516311915672212,8.32108883799855,9.109001289303073
1,Ec-00_000320.1,8.712410101295204,8.360222998420346,8.424730123286276,9.191428719282037,8.037561641648534,8.241806701232399,9.11462400033945,9.996199038447246,8.070435533109842
2,Ec-00_000360.1,8.2983608848336,7.993311287626716,8.0050204274996,8.070087366197763,8.977276955094567,7.990155377925682,8.105481098571568,8.099018696363455,8.360617327397174
11,Ec-00_000540.2,8.866793062881877,8.265690317808458,8.068440336124981,8.293530790075684,7.974926331669258,8.156104722873962,7.99684507008039,8.130208935124102,7.913184932716601
7,Ec-00_000590.1,8.199697964713671,8.038899702031197,8.062672317697864,8.18332180001974,8.863220838363945,8.1075253163763,8.13089246538266,8.615308835669726,9.685659732903023
1,Ec-00_000670.1,8.350716189498618,8.54162811860221,8.6882338850496,8.575228703087117,8.080744700975682,8.714356250565759,8.364012543985167,8.819927732863926,7.912889336229962
7,Ec-00_000690.1,7.912889336229962,7.9826230966453835,7.9566843891156775,8.011915547519534,9.522073034350514,7.987976581431485,7.967120951225992,8.026537977287862,7.912889336229962
11,Ec-00_000740.2,8.971519053792095,8.390438678406865,8.798367897395636,8.340717745575441,7.925386107225582,8.013136932804402,8.105300086652544,7.999159627754771,8.738246335953223
7,Ec-00_000750.1,7.912889336229962,7.912889336229962,7.916793136772918,7.912889336229962,7.912889336229962,7.915201448617639,10.511395685867244,7.963518600606363,7.912889336229962
1,Ec-00_000950.1,8.382946177367518,8.223034894240453,8.231972415559722,8.335903465348105,8.98273080634665,8.462057537019541,8.245044712119272,8.520686160572158,8.199243545520893
1,Ec-00_000980.1,8.861158710088118,8.201859205864281,8.233097130019361,8.27146457331474,7.917662940442499,8.292269395711505,8.116940915905932,8.25250545471654,7.913094618325977
9,Ec-00_001030.1,10.057980775287822,7.939859810310027,7.977989846735405,7.923313768607725,8.48545932367106,7.932815101227813,8.32352629251309,7.970912049874759,7.912889336229962
1,Ec-00_001170.2,7.912889336229962,8.193407397186773,8.265226875315394,8.154077269608676,7.915848606987289,8.36551904130504,8.148072637118176,8.381474509146633,7.912889336229962
1,Ec-00_001240.1,8.788906348701882,11.474004799856168,11.49633612442301,10.96891183040724,7.9894462060167495,11.83455301521203,11.923685996275866,11.265600892533623,10.52937479700506
7,Ec-00_001290.1,8.665470913011907,7.989668615664308,8.019470554361321,8.11451483739619,9.439424759583467,8.014744702796117,8.129811312417027,8.06392030464348,9.547181202710972
11,Ec-00_001330.1,7.914015312303143,7.913156712882419,7.913174608451055,7.913868354453409,7.943144579150997,7.913719117127694,7.912889336229962,7.913282378173508,7.9152601685034
7,Ec-00_001340.1,7.925443701918133,8.271593289448548,8.194795466924335,8.591822242628126,7.923175743362813,8.22662516606301,8.279376169911545,8.331885877914758,8.19751219904589
4,Ec-00_001390.1,7.912889336229962,8.867125880080337,9.096413429714545,8.951372107579562,7.912889336229962,8.120615790609257,8.95885805018503,8.368227651758325,7.912889336229962
1,Ec-00_001420.2,8.735825147318451,7.939632566600172,7.943060215875803,7.973131810838641,7.918349975782015,7.987861206841086,7.933558310377544,7.977122512303785,9.13558395342168
1,Ec-00_001440.1,10.837235338993688,8.285452684561884,8.409365281397196,8.714938349841365,9.009199288774369,8.551170286940394,8.698059181115099,8.514703601217889,11.398306330623912
1,Ec-00_001460.1,8.989197689476269,8.001717193614715,8.015949149333949,8.093880071755587,9.634244052166679,8.10489173111464,8.085977320738,8.23431618172469,8.335017515015823
1,Ec-00_001620.1,8.207670004209774,7.915282469480619,7.915362777634153,7.92063197575877,7.914988725159014,7.9146433679001085,7.9137941968797385,7.917217191061778,7.912889336229962
10,Ec-00_001650.1,7.912889336229962,7.940445029854557,7.961432555600242,7.945269461659063,10.390541545892368,7.920705621940328,7.913581071346133,7.93836325937519,10.293717093035724
1,Ec-00_001750.1,7.912889336229962,8.689254428607375,8.539436735824344,8.317995498562397,7.934630655386446,8.722347357582175,8.298968387450728,8.696568911891472,7.914361504653752
8,Ec-00_001790.2,7.912889336229962,7.948894776007914,7.942609837354421,8.43143179246243,7.953734102738317,7.946066861225803,8.035074662898246,8.121533356752783,7.912889336229962
