PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
2,Ec-00_000010.1,3053,171,147.5,175,629,209,296,147,3327.5
1,Ec-00_000110.1,3053,7501,6420,6982,7667,9883,7977,5724,3327.5
7,Ec-00_000120.1,3053,8856,8037,7840,10409,6826,8268,6449,3327.5
2,Ec-00_000130.1,3053,10642,10921,10750,5078,10391,10338,10699,3327.5
7,Ec-00_000140.1,6263,2415,2241,2389,8107,3850,2553,3419,3327.5
1,Ec-00_000160.1,3053,9474,9790,7356,4525,10137,8772,8713,3327.5
7,Ec-00_000190.1,3053,543,456,1062,2125,1038,1078,1400,3327.5
2,Ec-00_000200.1,10703,11232,11187,11143,11115,10343,11153,10763,3327.5
1,Ec-00_000210.1,3053,8160,6643,9511,10402,6201,8933,6196,9290
2,Ec-00_000230.1,9843,10000,9461,10658,8178,6187,10815,10129,11155
11,Ec-00_000240.1,3053,171,147.5,175,1358,209,296,147,3327.5
11,Ec-00_000290.3,7531,2452,1320,3374,4309,2202,2641,1700,3327.5
1,Ec-00_000320.1,10893,10588,10722,11257,9355,9802,11240,11393,9865
7,Ec-00_000340.1,3053,171,380,175,629,209,296,9518,3327.5
7,Ec-00_000350.1,3053,5546,6585,6486,8998,6414,6915,6313,9528
2,Ec-00_000360.1,10224,7367,7556,8337,11067,5945,9294,8486,10563
7,Ec-00_000390.1,3053,4952,2244,9127,7595,5542,3437,4716,3327.5
1,Ec-00_000410.1,3053,10198,9880,8915,7228,9345,9898,9605,3327.5
11,Ec-00_000430.2,8236,3719,3604,2995,10097,2260,2294,3522,9524
1,Ec-00_000440.1,3053,6681,5939,4863,3886,7901,5680,5535,3327.5
11,Ec-00_000450.1,7254,3954,3644,6052,4703,4668,4440,4978,3327.5
11,Ec-00_000500.2,10519,4151,3391,5828,5886,2676,6788,2057,3327.5
1,Ec-00_000510.1,3053,1924,1458,4024,5356,2718,2578,1392,3327.5
6,Ec-00_000520.1,3053,2835,3005,1475,9005,2332,4179,1337,3327.5
1,Ec-00_000530.1,3053,6559,6240,6122,3269,7019,6770,6661,3327.5
11,Ec-00_000540.2,11013,10301,8872,10224,8615,9213,7321,8894,7249
