PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
2,Ec-00_000130.1,240,331.691412,370.168104,365.71039,240.664805,336.7363235,311.845455,372.141989,240
2,Ec-00_000200.1,379.285783,545.629731,505.044314,486.771342,541.263776,333.0794495,481.638547,383.279242,240
2,Ec-00_000230.1,288.877064,291.511691,277.493496,351.670454,247.098825,254.3222635,365.155312,318.813901,551.1824745
1,Ec-00_000320.1,418.46601,327.607819,342.634273,583.649722,261.752675,301.7129745,553.338731,1020.305694,267.808609
2,Ec-00_000360.1,313.81509,253.815864,255.892405,267.743745,502.998963,253.259061,274.418393,273.187444,327.697649
11,Ec-00_000540.2,465.842813,306.766057,267.437113,312.762862,250.589226,284.25428,254.440783,279.179761,240.049384
7,Ec-00_000590.1,293.005221,261.996484,266.366021,289.68681,464.688304,274.80892200000005,279.312538,391.162788,822.5199175
1,Ec-00_000670.1,325.449538,371.637258,411.495304,380.41789,269.736333,419.032238,328.472112,450.921296,240
7,Ec-00_000690.1,240,251.935039,247.428071,257.123118,734.240809,252.875362,249.231734,259.752627,240
11,Ec-00_000740.2,500.991475,334.56273,444.217934,323.194936,242.096634,257.3417375,274.383839,254.850923,426.045605
7,Ec-00_000750.1,240,240,240.653007,240,240,240.3865445,1458.638795,248.607695,240
1,Ec-00_000950.1,332.82453399999997,297.799701,299.656516,322.114899,504.907847,351.6412755,302.393152,366.267178,292.91263000000004
1,Ec-00_000980.1,464.023144,293.445988,299.89099699999997,308.000331,240.798744,312.488649,276.614847,303.966181,240.0342945
9,Ec-00_001030.1,1064.991911,244.547753,251.124035,241.747692,357.408073,243.351661,319.354688,249.890155,240
1,Ec-00_001170.2,240,291.726064,306.667208,283.853687,240.494849,328.81633450000004,282.670563,332.484179,240
1,Ec-00_001240.1,441.307639,2843.589582,2887.963226,2003.340402,253.134108,3651.2074905,3883.965297,2460.975846,1476.9428795000001
7,Ec-00_001290.1,405.037992,253.173289,258.478385,276.148394,693.304523,257.6297995,279.102551,266.597403,747.1486835000001
11,Ec-00_001330.1,240.188166,240.044669,240.047659,240.163599,245.10746,240.1386535,240,240.065666,240.3963695
7,Ec-00_001340.1,242.106339,308.027901,292.007842,384.830195,241.724469,298.544216,309.699513,321.216347,292.56012350000003
4,Ec-00_001390.1,240,465.950522,546.3855080000001,494.029986,240,277.322897,496.605303,329.436135,240
1,Ec-00_001420.2,425.329521,244.509079,245.093069,250.276477,240.91392,252.85506,243.477572,250.972506,561.4511355
1,Ec-00_001440.1,1828.502078,311.010914,338.99395400000003,419.201747,514.275179,374.110097,414.31414,364.74735,2698.1816035
1,Ec-00_001460.1,507.18067,255.30489,257.845809,272.212574,793.687616,274.3059025,270.72007,300.145352,321.916537
1,Ec-00_001620.1,294.634331,240.400101,240.413539,241.296873,240.350955,240.2931865,240.151203,240.724047,240
10,Ec-00_001650.1,240,244.647378,248.247039,245.470208,1341.346629,241.30924199999998,240.115581,244.293171,1254.21353
1,Ec-00_001750.1,240,411.787201,371.07167,318.12891,243.659358,421.3652575,313.947683,413.885352,240.246049
8,Ec-00_001790.2,240,246.090336,245.016256,344.234251,246.920559,245.6064735,261.300121,277.499969,240
1,Ec-00_001885.1,240,240.057696,240.076947,240,240.311341,240.04611599999998,240.014507,240.128948,1403.079534
2,Ec-00_001890.1,240.512948,241.36801,243.871096,249.362983,788.275768,256.79684599999996,241.182363,245.196821,447.9339565
11,Ec-00_001970.1,240,840.980366,737.571546,416.347542,242.088634,377.688407,908.749601,430.523136,240
1,Ec-00_002010.1,356.743918,288.119862,295.057016,305.301686,269.713945,339.86652749999996,308.290338,344.76997900000003,271.876177
1,Ec-00_002040.1,312.214226,355.506683,369.866561,382.191637,243.182481,385.2461995,339.939256,415.172947,240.1785725
1,Ec-00_002090.1,240,273.255099,274.44758,294.038913,240.590655,290.438311,325.922646,265.558708,240
9,Ec-00_002280.1,240,278.633715,278.705405,261.128435,241.366348,247.98976349999998,240,439.371382,240
7,Ec-00_002330.1,240,317.693049,360.571559,246.577066,240,247.1087085,327.674856,252.640872,240
8,Ec-00_002400.1,240,1971.295697,2121.871776,240,240,240,1310.913253,240,240
1,Ec-00_002540.1,245.278199,267.87029,262.961076,264.470482,263.770342,260.46152900000004,282.215791,257.35429,280.39993849999996
10,Ec-00_002580.1,240,344.096521,290.937639,240,240,240,275.840172,240,240
1,Ec-00_002760.1,248.233469,486.061024,554.92046,578.735612,243.331848,620.412053,455.533939,569.9277460000001,240
2,Ec-00_002770.1,240,311.094518,289.132714,292.258905,246.556267,256.109234,344.961914,264.908339,240
7,Ec-00_002800.1,240,380.147826,336.612815,283.038639,240,256.978167,387.683756,258.566604,240
11,Ec-00_002810.1,240,319.176438,299.006873,278.208545,240,244.5697605,457.707028,259.890901,240
1,Ec-00_002940.1,240,927.502227,881.666021,435.460808,242.170047,335.54367,970.932324,388.739401,240
11,Ec-00_002960.2,242.825993,248.968961,252.220367,272.4994,966.038177,258.6330155,255.868264,258.971413,309.5724415
8,Ec-00_002970.1,1110.404166,243.980318,249.954674,248.765406,240,289.266845,273.31439,251.689409,277.7638405
7,Ec-00_003120.1,240,283.963185,336.567327,252.233846,240,258.955036,358.337402,260.287094,240
8,Ec-00_003140.1,2650.333051,246.700043,255.60133,285.585036,289.123399,331.6584975,272.75623,258.80995,592.654323
1,Ec-00_003265.1,381.501124,246.669646,247.251638,249.821237,242.338215,250.0082175,243.853821,245.676049,240
1,Ec-00_003370.1,240.244827,370.276234,382.006773,375.855472,266.233649,440.90211,368.817466,424.484636,259.1388035
1,Ec-00_003410.1,571.9040190000001,399.11512,417.935257,383.754723,267.683554,469.9801295,341.687162,466.656849,240.04832249999998
7,Ec-00_003420.1,910.021196,293.720437,309.03110200000003,325.135593,272.672007,306.828039,282.383891,305.694889,253.3756795
11,Ec-00_003510.1,711.4165459999999,240,240,240,240,240.05503099999999,240,298.307524,241.293748
7,Ec-00_003570.1,240,329.756719,357.12492399999996,274.58995,240,265.5906295,366.110739,285.608527,240
2,Ec-00_004000.1,240,240.056309,240.23094,243.08088,240,240.8663225,242.349071,398.297564,240
7,Ec-00_004280.1,240.409651,288.164693,295.679241,279.526774,240.451211,397.7664675,282.346507,313.121943,318.187338
1,Ec-00_004630.1,240,339.163567,378.864385,403.294999,242.157917,471.49202649999995,364.44414,429.386844,265.8877635
11,Ec-00_004680.1,240,240,243.092963,242.011257,240,284.14860050000004,277.992993,329.301517,300.758997
8,Ec-00_004760.1,295.739681,250.158896,249.428432,249.885595,240.080253,241.81920350000001,244.527149,277.518118,240.268493
11,Ec-00_005140.1,240,344.123333,326.910595,285.902587,325.798207,257.97825750000004,306.044691,252.362694,391.65491099999997
1,Ec-00_005460.1,240,249.534464,253.758918,266.962915,759.696672,257.060829,286.866446,302.55743,549.845146
1,Ec-00_005560.1,562.4233380000001,289.9682,299.42046700000003,419.855151,350.04276,307.798062,389.417463,345.982956,346.736438
10,Ec-00_005650.1,240,268.080864,297.224624,431.826216,245.402802,278.279008,1508.564496,585.318205,614.7351034999999
1,Ec-00_005780.1,473.530726,327.897987,324.06861000000004,315.883486,262.676405,424.1386415,293.107107,359.680691,323.629033
2,Ec-00_005790.1,453.663928,259.912307,260.855817,291.277725,585.3986970000001,271.683406,270.131054,290.144777,275.81662900000003
11,Ec-00_005830.2,244.138842,260.88782,270.587877,411.667574,240.360418,240.331342,254.654235,551.812533,240.09671550000002
1,Ec-00_005930.1,250.732894,322.119996,287.066545,308.952443,242.533972,349.4967075,287.001984,345.570974,240.07206200000002
1,Ec-00_005940.1,240,662.630668,462.815597,276.58973100000003,240,248.1994335,373.675427,247.082917,240
1,Ec-00_006280.1,359.702853,1900.170115,2054.875598,401.679233,428.83268,807.4878815,618.565063,1065.968163,724.540034
11,Ec-00_006310.1,475.570297,4509.219215,3402.349388,738.492977,647.892936,4190.9652575,1160.221479,2159.28475,1879.9279860000001
2,Ec-00_006340.1,240,461.456004,712.4465749999999,373.344394,250.415118,279.63649999999996,311.278489,243.115001,240.17656399999998
1,Ec-00_006350.1,365.377134,2267.957456,2699.019268,606.013507,296.498659,1034.2147795,846.382007,2365.267741,318.1497225
1,Ec-00_006370.1,240.049914,268.254961,260.795406,259.268232,281.993806,514.759074,305.288347,292.489728,240.02490699999998
1,Ec-00_006380.1,240,247.514307,243.443399,245.67784,252.480932,303.36982950000004,247.822218,260.470166,240
7,Ec-00_006400.1,1447.060732,240.753993,241.042528,240.291038,240,243.0402065,240,241.639232,240.20417600000002
11,Ec-00_006490.1,483.496371,251.033929,272.38746,242.530255,447.820755,240,240,242.352317,240
1,Ec-00_006540.1,508.998573,307.022127,325.099297,367.610224,301.124145,321.87532799999997,334.60154,354.80944,240
7,Ec-00_006570.1,259.312977,2128.816121,1541.810536,1078.099201,284.383121,544.6208879999999,345.77758,2043.206988,302.204523
7,Ec-00_006590.1,240,496.06358,401.81875,295.553293,240.926658,241.26324,261.256051,1056.278195,240
7,Ec-00_006750.1,240,297.767848,300.269473,240,240,240,382.84109,240,240
11,Ec-00_006930.1,1922.231671,240,240.206004,240.797606,241.855904,240.423607,240,286.88133,240
1,Ec-00_006960.1,240,284.068979,321.054142,243.730724,240.318939,876.7349335,348.541988,262.563727,242.455799
1,Ec-00_007060.1,240,296.49334,312.39932799999997,306.609325,241.081719,303.910163,322.84765500000003,330.685288,240
2,Ec-00_007110.1,240,1372.70302,741.82675,277.058471,252.728954,241.39385800000002,240.264592,240.059854,240
1,Ec-00_007250.1,240,240.506841,240.530104,241.837049,240.18085,343.3056695,403.208586,280.827211,309.0798225
11,Ec-00_007280.2,511.61519500000003,245.826694,247.342407,257.419934,240.162557,247.51412449999998,251.378166,250.538455,240.048071
1,Ec-00_007330.1,1033.657401,264.942649,270.520548,283.144907,253.686943,265.935257,275.732453,289.314772,309.2644725
2,Ec-00_007340.1,422.452941,637.567511,603.021215,765.90094,243.553338,492.87116649999996,487.707625,595.353617,609.747338
2,Ec-00_007410.1,348.628383,250.487293,259.14799,247.544209,1504.572118,240.2293685,240.081717,260.78468,845.3709210000001
1,Ec-00_007630.1,240,579.463161,355.873312,241.63994,241.795548,290.0072445,240.132502,243.400937,240
8,Ec-00_007640.3,246.107931,243.297023,243.336241,245.811203,241.39427,245.50815649999998,244.895476,245.008865,240
1,Ec-00_007720.1,246.828574,499.806699,383.166324,384.392357,270.3804,325.439314,394.00994,446.956172,335.4886715
1,Ec-00_007780.1,243.139244,316.039481,340.359009,1106.857031,1002.462457,1454.7447325,1174.806963,2640.597164,735.5384684999999
1,Ec-00_008060.1,288.59711,396.808135,455.559172,711.6640219999999,243.587867,327.45486800000003,737.482285,1001.443391,240
1,Ec-00_008110.2,262.100773,276.184538,279.077738,274.64153,242.734852,277.088087,275.211252,286.030641,251.0769045
11,Ec-00_008170.1,240,298.291875,506.187223,538.718638,240,240,240,240,240
1,Ec-00_008215.1,240,240.353251,242.287391,243.22064,2220.112772,244.1844625,249.261043,246.591452,258.117704
1,Ec-00_008240.1,240,240.590492,242.368734,243.508841,3449.103694,247.332361,251.008812,246.204994,341.892079
9,Ec-00_008250.1,248.558897,333.470708,365.347982,248.926006,241.792858,290.4357755,330.091693,256.120611,240
7,Ec-00_008660.1,309.888257,264.351329,268.062243,254.290454,1228.7755,250.0448805,244.881163,248.334841,2156.8642345
7,Ec-00_008670.1,263.461749,355.831518,359.411701,251.559408,2440.137672,543.59064,240.664663,241.950923,3735.578656
7,Ec-00_008800.1,240,401.246634,295.549152,240.984736,240.830937,275.187371,240.021721,240.337792,240.103329
1,Ec-00_008820.1,240,240.090627,240.584897,270.582844,240.974921,241.53332899999998,245.076706,276.204295,240
1,Ec-00_008830.1,267.834151,440.197785,438.601966,394.257776,241.528808,499.9156955,573.190785,430.647282,242.12279
1,Ec-00_008840.1,249.052205,258.564325,268.057961,355.240221,376.179458,397.222417,292.52376400000003,319.379117,407.9467535
1,Ec-00_008870.1,240.727163,351.99542099999996,340.046244,394.517611,247.873945,306.7823875,289.070168,480.972792,240
9,Ec-00_009020.1,240,393.124154,385.361258,270.314464,248.192218,247.235272,241.571547,304.341194,240.0438855
7,Ec-00_009120.1,240,253.267671,263.082903,273.45727899999997,1196.172206,269.9873055,275.758161,285.28928,240.1821615
9,Ec-00_009130.1,240,254.929651,264.129107,256.269016,888.140173,243.5427885,272.822184,249.922553,240
11,Ec-00_009140.1,240,379.249283,379.078437,387.866728,243.081001,301.00882049999996,412.07096,283.421896,240
1,Ec-00_009200.1,247.998441,278.066247,273.822945,303.047734,314.542673,258.0421645,253.00576,261.362767,240
1,Ec-00_009290.1,244.040559,294.164247,307.11703,283.12424,241.477513,559.9404415,286.652876,355.771393,240
11,Ec-00_009510.1,240,455.041063,749.9215839999999,474.646726,240,270.19427299999995,570.949349,376.488154,240
8,Ec-00_009560.1,628.076629,240,240,240,240,240,240,240,240
