PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
2,Ec-00_000010.1,0,4.722864623202203,0,3.385120789889002,0.34414561121559817,2.9107176977012115,0.6008235050805077,0,0
1,Ec-00_000110.1,0,3.459164301828427,3.8542277966412266,3.5176293306480013,2.6701834066707115,4.2884558706858975,4.7623094253854905,4.830439249975154,0
7,Ec-00_000120.1,0,4.654432676533787,5.744869215042074,5.023908232563697,5.638783711812285,4.0153212894951915,4.1792158726971795,4.231485018546143,0
2,Ec-00_000130.1,0,7.113977998766346,8.41335413791208,7.225281630780637,2.318684157518653,4.705880115704744,7.843933572383389,6.75036905960193,0
7,Ec-00_000140.1,0,2.194514815872229,3.171521181529811,3.2469826184858563,2.352391308467799,3.7049298259882315,1.7650836214765542,3.1224656581792365,0
1,Ec-00_000160.1,0,5.820665668596374,5.122130239703475,4.779118070817497,1.725783902390413,4.554678480159833,6.418132319967644,5.090473911101735,0
7,Ec-00_000190.1,0,2.0697629936046,2.6677336584411764,3.146939302115139,2.5991994688072264,2.6643121644521597,1.5967071547111877,2.2730700325224773,0
2,Ec-00_000200.1,6.406671270339283,8.065618967514109,8.274041265300024,7.345018974127129,7.365781784397598,6.461771116413485,7.670465489210692,6.80837567980134,6.97033646174501
1,Ec-00_000210.1,0,4.82867727443067,4.945446083819957,5.084185944518769,6.080558645194557,5.569247209463282,5.1322886038767095,4.767532449967938,0
2,Ec-00_000230.1,0,5.8518877832857905,5.041227691195755,5.243694631003825,3.956125253161546,5.521423426867501,3.826980188907605,6.332918576797388,7.660866639348637
11,Ec-00_000240.1,0.07928730509482441,3.6970803231949922,3.6963913900116223,4.055066427273477,3.7224088620124194,3.1157615667839074,3.252853717881842,3.8409747585893825,0.23853008592557357
11,Ec-00_000290.3,0,2.0554740300356014,2.5680238329716145,3.2864506401232636,0.775834378991774,2.125693416569195,2.275572687671391,2.5648310281141486,0
1,Ec-00_000320.1,7.728844347754391,7.345292567945834,9.532259605375753,8.305247342039493,7.616788050352228,5.93113707426047,6.634162617205454,7.355620835356217,8.789374659367855
7,Ec-00_000340.1,0,0.4187998266507292,0.37417703298983873,0,0,0,0,5.660136381616678,0
7,Ec-00_000350.1,0,3.723661435830564,4.578084010245668,4.493131078530293,5.75717172334536,4.378611082550708,2.7787443350642524,4.1573998113147255,0.70825081475315
2,Ec-00_000360.1,0,4.112333574931465,4.92925660933619,4.797084176712191,7.927349906956501,5.411504581669208,3.615920963907218,4.984186013787618,8.564267260169622
7,Ec-00_000390.1,0,4.073076933959682,4.76828321879419,4.978741800565024,1.0159399584889846,4.551070343671832,3.970681772014102,3.2402847117981715,0
1,Ec-00_000410.1,0,6.159332394572225,5.210306058294142,4.483768062762146,2.884396496152681,4.374106140390563,5.578036807200553,6.375058846762794,0
11,Ec-00_000430.2,2.737226409852571,3.4183989818770537,3.585744109444457,3.503659886097496,5.85822503868787,3.7099839113032376,2.400542574617102,3.385484464240674,0.3002877577252544
1,Ec-00_000440.1,0,4.20888202325846,3.2473977193046224,3.1846917767933633,0.7522707533317637,3.416593868436646,4.728746746047382,3.813389135266242,0
11,Ec-00_000450.1,0,3.164466430275162,3.9949829708098905,4.49305054908485,0.5928746258283566,2.427811836021004,3.6464054289389045,4.02323467884686,0
11,Ec-00_000500.2,6.624308098962451,3.63770911949388,3.032055162979835,3.8593027935495283,1.309202968493817,4.126362934372909,2.155301396740754,3.4580416339278126,0
1,Ec-00_000510.1,0,2.9322352596514176,3.1779984533321537,2.9248732973751506,0.952795751204674,2.815314941512905,2.907493900691878,2.9069242581000783,0
6,Ec-00_000520.1,0,1.6274966475043071,2.339744272618279,2.0397932498709257,3.360717812912562,1.971351151127928,1.443468209757745,1.6039607444493966,0
1,Ec-00_000530.1,0,4.0640800774398445,4.261554809815404,3.9464668096868762,1.1005868228490592,3.505608458965109,3.9484627383395523,4.1259276137500205,0
11,Ec-00_000540.2,5.583607835508629,5.688106067393056,4.24258391005689,5.570787956191149,1.7279269875070833,6.874125346671166,4.436509475736066,4.797502892002411,0.17753642394453586
1,Ec-00_000550.1,0,2.8356682459818474,2.902463199107943,3.753005535200999,0.14170743927147667,3.229947782588963,2.294122832108947,2.921463371563415,0
9,Ec-00_000570.1,0,1.78331751191969,3.414362475695248,3.6622638444344044,0,3.544484520717723,2.057969375700064,3.553105121253149,0
7,Ec-00_000590.1,0,4.879707971487017,6.708004942138222,6.760770277103818,8.572438524585284,5.625253916992471,4.554166172205498,6.063144510592269,9.513900357713675
7,Ec-00_000600.1,0,5.105209519783823,6.1186078443418,5.257381242112006,1.32455371748216,5.189784083799327,4.74019610010513,4.769683207519233,0
11,Ec-00_000625.1,6.725521177811416,5.156712555839161,4.8277831599919985,3.07097092589538,1.6859388032751486,2.9226861503777415,2.0795822331188685,2.4430719065751387,0
