PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
2,Ec-00_000010.1,3333,8205,185,4297,2041,3868,1290,162.5,3707.5
1,Ec-00_000110.1,3333,5356,5451,4630,7629,7423,8649,7943,3707.5
7,Ec-00_000120.1,3333,8046,9316,8343,10048,6720,7606,6411,3707.5
2,Ec-00_000130.1,3333,10777,11199,10850,7167,8365,11098,10502,3707.5
7,Ec-00_000140.1,3333,2518,3641,3939,7217,5871,2347,3146,3707.5
1,Ec-00_000160.1,3333,9789,8327,7849,6243,8033,10423,8478,3707.5
7,Ec-00_000190.1,3333,2321,2497,3707,7529,3306,2123,1360,3707.5
2,Ec-00_000200.1,10556,11139,11166,10914,10845,10616,11055,10542,10856
1,Ec-00_000210.1,3333,8417,7984,8466,10306,9766,9173,7810,3707.5
2,Ec-00_000230.1,3333,9813,8173,8753,8879,9711,6882,10166,11037
11,Ec-00_000240.1,7050.5,5953,5008,6062,8698,4339,5595,5266,8383.5
11,Ec-00_000290.3,3333,2299,2305,4035,3853,2288,3255,1877,3707.5
1,Ec-00_000320.1,11100,10891,11397,11233,10937,10186,10569,10873,11292
7,Ec-00_000340.1,3333,749,502,198.5,451,306.5,344.5,9413,3707.5
7,Ec-00_000350.1,3333,6037,7227,7185,10112,7626,4428,6203,9123
2,Ec-00_000360.1,3333,6972,7961,7884,11031,9561,6439,8256,11252
7,Ec-00_000390.1,3333,6874,7630,8260,4626,8023,7173,3484,3707.5
1,Ec-00_000410.1,3333,10096,8480,7158,7865,7616,9708,10202,3707.5
11,Ec-00_000430.2,9176,5257,4712,4592,10190,5886,3537,3904,8570
1,Ec-00_000440.1,3333,7182,3823,3786,3776,5103,8598,5188,3707.5
11,Ec-00_000450.1,3333,4592,5843,7184,3171,2807,6496,5825,3707.5
11,Ec-00_000500.2,10666,5801,3293,5547,5413,7014,3001,4100,3707.5
1,Ec-00_000510.1,3333,4037,3658,3221,4453,3630,4745,2661,3707.5
6,Ec-00_000520.1,3333,1765,1886,1734,8358,2046,1944,721,3707.5
1,Ec-00_000530.1,3333,6857,6496,5784,4863,5351,7133,6119,3707.5
11,Ec-00_000540.2,10167,9656,6438,9271,6253,10848,8092,7874,8113
1,Ec-00_000550.1,3333,3814,2968,5246,1177,4637,3296,2695,3707.5
9,Ec-00_000570.1,3333,1947,4257,5007,451,5446,2844,4394,3707.5
7,Ec-00_000590.1,3333,8507,10332,10568,11198,9833,8290,9890,11395
7,Ec-00_000600.1,3333,8861,9796,8772,5458,9245,8615,7814,3707.5
11,Ec-00_000625.1,10716,8936,7753,3558,6164,3897,2879,1644,3707.5
1,Ec-00_000630.1,3333,487,722,658,3149,688,1397,1361,3707.5
1,Ec-00_000640.1,3333,8449,5601,4659,5811.5,5748,8381,6015,3707.5
11,Ec-00_000650.2,3333,214.5,185,7004,451,4756,344.5,162.5,3707.5
1,Ec-00_000670.1,9651,11162,11313,10438,9208,10497,10903,10833,3707.5
6,Ec-00_000680.1,3333,3543,3321,6745,11019,4274,3479,3615,3707.5
7,Ec-00_000690.1,3333,6811,6277,8358,11246,6003,5835,5753,3707.5
1,Ec-00_000720.1,3333,6005,6402,5931,3220,4537,7714,5759,3707.5
11,Ec-00_000740.2,11272,11100,10245,4048,8212,1854,5141,3698,9399
7,Ec-00_000750.1,3333,214.5,185,198.5,451,1001,344.5,162.5,3707.5
11,Ec-00_000760.2,3333,214.5,460,198.5,9459,306.5,344.5,360,3707.5
9,Ec-00_000770.1,3333,1852,2089,3415,1072,4161,3425,1206,3707.5
7,Ec-00_000810.1,3333,6280,6065,4531,451,4571,5613,3130,3707.5
1,Ec-00_000820.1,3333,10225,9648,9130,9364,9448,10099,9721,3707.5
3,Ec-00_000840.1,3333,214.5,185,198.5,451,2074,344.5,162.5,3707.5
7,Ec-00_000860.1,3333,6115,6618,4654,8948,7654,6886,3924,3707.5
