PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
2,Ec-00_000130.1,240,377.522642,579.935292,388.632695,243.98877,265.098231,468.751994,346.662279,240
2,Ec-00_000200.1,323.839915,506.912664,548.552707,401.581464,403.938203,327.14281800000003,442.723061,351.079272,364.395039
2,Ec-00_000230.1,240,296.755554,271.927651,276.888671,254.520738,284.931864,253.191746,319.611769,441.372106
1,Ec-00_000320.1,451.135807,401.612299,979.450563,555.321398,435.282542,300.016904,338.33034499999997,402.780619,681.451239
2,Ec-00_000360.1,240,256.295605,269.468712,266.801372,482.427763,281.562311,251.260288,270.65115000000003,617.530899
11,Ec-00_000540.2,286.95495,290.557345,257.929756,286.530707,242.312515,356.305378,260.653217,266.809442,240.130951
7,Ec-00_000590.1,240,268.440045,343.546789,347.441283,619.6809390000001,288.359433,262.493116,305.863386,970.087542
1,Ec-00_000670.1,259.842519,525.030917,735.9010450000001,336.035099,259.606384,317.314355,392.117264,395.59473,240
7,Ec-00_000690.1,240,255.493523,257.111426,271.679005,668.682496,252.450261,249.208544,254.993241,240
11,Ec-00_000740.2,564.1981860000001,479.764003,335.296275,248.79626,248.336871,242.490195,247.441989,248.991191,241.64681
7,Ec-00_000750.1,240,240,240,240,240,240.448042,240,240,240
1,Ec-00_000950.1,260.894825,315.781053,334.317113,317.41964,511.283606,305.239018,314.814533,322.145415,382.005454
1,Ec-00_000980.1,721.103852,312.838532,336.824306,341.636331,242.952296,303.53504,280.30879500000003,301.41197999999997,240.246004
9,Ec-00_001030.1,240,240,252.774949,243.822552,321.999137,243.596451,240,243.669267,240
1,Ec-00_001170.2,240,322.934723,288.658548,326.54396099999997,243.998027,281.346231,400.387425,303.436596,240
1,Ec-00_001240.1,526.127158,1513.604197,1123.770448,2814.58079,290.575137,4142.751754999999,1501.80269,2465.983747,418.217836
7,Ec-00_001290.1,438.687684,257.44657,276.300091,269.272935,717.472043,266.279197,248.376689,280.580219,797.5584
11,Ec-00_001330.1,240,240.16937,242.089636,240.341719,398.389324,240.663864,240,243.958375,384.818335
7,Ec-00_001340.1,248.612971,263.273329,344.863165,303.646504,241.284516,449.293912,291.502833,381.103012,240
4,Ec-00_001390.1,240,405.092863,552.312734,421.441318,253.909343,321.579526,368.179695,311.274557,240
1,Ec-00_001420.2,345.07588599999997,248.273778,247.599124,249.67559,241.462611,247.46273,246.521347,251.444241,551.319798
1,Ec-00_001440.1,1200.338921,342.3993,304.362271,340.279541,643.332084,434.204491,388.712016,427.637181,2895.629189
1,Ec-00_001460.1,281.195757,254.656662,279.031781,304.02103,617.232204,284.387897,259.334211,320.79248,359.606484
1,Ec-00_001620.1,364.634599,240.449761,241.307696,242.062462,240.13756,242.814704,240.903573,250.478654,240
10,Ec-00_001650.1,240,240.091896,240.099151,240,241.636102,240.043009,240,248.393371,240
1,Ec-00_001750.1,264.11873,461.663137,312.66558499999996,302.282178,248.854382,303.11086,357.345138,367.350254,240
8,Ec-00_001790.2,240.144127,258.244988,329.74058,386.028852,251.645149,343.544938,244.09381,286.125609,240
1,Ec-00_001885.1,240.50704,240,240,240,240.381479,240.135954,240,240.244714,1658.257664
2,Ec-00_001890.1,240.167841,240.804825,247.403583,242.982835,737.9272619999999,250.48259,242.659239,246.599529,456.702358
11,Ec-00_001970.1,240,378.022919,366.602351,459.011637,250.777067,480.454949,314.35969,477.694475,240
