PS,GeneID,gamete,E1,E2,E3,E4,E5,E6,matSP
8,dis_TRINITY_DN0_c1_g2,2.6330215,15.993232,25.744957,17.594856999999998,16.857108,13.807929,13.657252,16.602777500000002
8,dis_TRINITY_DN1_c0_g4,5.6956775,26.366129,15.762295,11.878128,10.557468,8.709395,7.941228,8.296336
1,dis_TRINITY_DN10_c0_g1,0,0,0.221603,0.7327645,2.464661,0.476071,1.808539,1.8403805
7,dis_TRINITY_DN10_c0_g3,0,0,0,8.193906,3.550409,0.464714,6.766757,0.448708
7,dis_TRINITY_DN100_c0_g1,136.4785045,89.493112,88.601926,120.855701,101.208127,45.0506325,84.285412,187.609563
8,dis_TRINITY_DN100_c0_g3,2.2089615,7.927415,14.007139,14.896460000000001,13.245395,6.598343,12.583876,16.066739499999997
7,dis_TRINITY_DN1000_c0_g1,11.708883,14.430929,18.526073,15.989248,13.807626,14.8381285,15.34443,10.4503245
8,dis_TRINITY_DN10001_c0_g1,23.1680195,43.118729,43.968531,34.1727295,43.789761,47.687014,43.522796,34.535807
8,dis_TRINITY_DN1001_c0_g1,62.558323,0.403972,0.138764,0.130279,1.091316,2.3915495,0.115712,0.09827899999999999
1,dis_TRINITY_DN1001_c0_g3,7.511375999999999,15.776685,31.99041,41.0185995,52.271551,48.773278,64.604139,18.7347995
1,dis_TRINITY_DN10011_c0_g3,2.9357395,18.167677,24.365735,13.6731415,10.99543,12.682674500000001,8.067848,9.424142
1,dis_TRINITY_DN10015_c0_g1,3.3889460000000002,20.099478,34.877938,27.058002000000002,24.026737,13.4323445,16.57866,13.952974000000001
1,dis_TRINITY_DN10021_c0_g2,27.741637500000003,15.71125,13.135336,22.9965665,21.120277,19.17303,17.141735,19.658754000000002
1,dis_TRINITY_DN10021_c0_g3,136.4421345,160.852063,175.948803,205.8140645,93.490815,104.05987250000001,92.665191,84.45943700000001
7,dis_TRINITY_DN10021_c0_g5,25.329784,51.5898,35.642446,88.16059050000001,156.720269,181.36992800000002,139.031943,54.4565335
8,dis_TRINITY_DN10025_c0_g1,12.097190999999999,25.68377,41.438699,15.525159,15.329305,14.446971,16.616633,10.598377
6,dis_TRINITY_DN1003_c0_g1,49.132701,33.069138,30.356592,23.391465,29.311758,32.0413555,22.077366,35.8487
8,dis_TRINITY_DN10031_c0_g2,30.213193500000003,23.145468,31.620339,24.534065,26.286465,27.706409999999998,12.472278,17.6213455
1,dis_TRINITY_DN10032_c0_g1,726.8058715,1312.520271,1271.278195,3662.6318085000003,2649.58881,2893.231793,4159.670008,3090.9450905000003
8,dis_TRINITY_DN100378_c0_g1,17.6813755,6.298345,5.970761,11.396151,8.915027,3.8426285,7.965621,9.959375999999999
