PS,GeneID,gamete,S1,S2,S3,S4,S4.5,S5,matSP
8,dis_TRINITY_DN0_c1_g2,1433,3782,4656,3777,3847,4003,3551,4496
8,dis_TRINITY_DN1_c0_g4,2570,4900,3534,2736,2719,2905,2423,2797
1,dis_TRINITY_DN10_c0_g1,97.5,122.5,525,628,876,565,1500,896
7,dis_TRINITY_DN10_c0_g3,97.5,122.5,215,2033,1133,553,2697,547
7,dis_TRINITY_DN100_c0_g1,7342,6968,6828,7262,7118,6339,7143,7651
8,dis_TRINITY_DN100_c0_g3,1224,2284,3275,3312,3250,2340,3441,4415
7,dis_TRINITY_DN1000_c0_g1,3952,3534,3890,3517,3357,4087,3903,3340
8,dis_TRINITY_DN10001_c0_g1,5229,5933,5780,5482,6000,6477,6149,6083
8,dis_TRINITY_DN1001_c0_g1,6673,517,493,447,634,810,410,410
1,dis_TRINITY_DN1001_c0_g3,3055,3742,5111,5850,6310,6532,6838,4787
1,dis_TRINITY_DN10011_c0_g3,1551,4060,4534,3077,2803,3864,2230,3090
1,dis_TRINITY_DN10015_c0_g1,1720,4279,5304,4914,4760,3850,4136,4061
1,dis_TRINITY_DN10021_c0_g2,5534,3731,3150,4488,4430,4737,4274,4899
1,dis_TRINITY_DN10021_c0_g3,7341,7416,7435,7554,7045,7310,7153,7199
7,dis_TRINITY_DN10021_c0_g5,5384,6234,5340,6978,7449,7566,7497,6749
8,dis_TRINITY_DN10025_c0_g1,4019,4843,5670,3439,3608,4247,3993,3375
6,dis_TRINITY_DN1003_c0_g1,6363,5401,4998,4540,5209,5583,5352,6136
8,dis_TRINITY_DN10031_c0_g2,5671,4608,5088,4675,4973,5540,3147,4646
1,dis_TRINITY_DN10032_c0_g1,7863,7904,7908,7948,7934,7929,7945,7939
8,dis_TRINITY_DN100378_c0_g1,4748,1909,1843,2654,2377,1434,2323,3210
8,dis_TRINITY_DN10039_c0_g1,2608,3924,4040,1672,2336,1401,1123,2673
2,dis_TRINITY_DN1004_c0_g1,4596,6076,6163,5925,5989,5669,5758,5965
2,dis_TRINITY_DN1004_c0_g2,4078,6370,6738,6646,6805,6817,6752,6788
8,dis_TRINITY_DN10041_c0_g1,5211,6497,6623,6014,5803,6104,5989,4697
1,dis_TRINITY_DN10045_c0_g1,7757,6970,7569,7239,6866,5568,6314,1377
1,dis_TRINITY_DN10051_c0_g1,7616,7743,7657,7662,7731,7767,7737,7698
8,dis_TRINITY_DN10055_c0_g1,1079,1652,1942,953,653,778,660,657
3,dis_TRINITY_DN10059_c0_g1,6605,6257,6264,7113,6161,5927,6643,5856
7,dis_TRINITY_DN10059_c0_g2,6456,7011,6925,7155,6035,5432,4582,3132
1,dis_TRINITY_DN10061_c0_g1,301,122.5,215,134.5,490,469,3648,450
8,dis_TRINITY_DN10066_c0_g1,1454,1781,1648,872,728,646,523,805
1,dis_TRINITY_DN10067_c0_g2,2060,2340,3580,7657,6616,6445,7538,7491
1,dis_TRINITY_DN10080_c0_g1,97.5,122.5,215,134.5,184.5,174.5,2125,548
7,dis_TRINITY_DN10084_c0_g1,5437,5192,4015,6361,5063,4975,4727,4605
1,dis_TRINITY_DN10087_c0_g1,7725,499,617,134.5,184.5,174.5,160.5,168
1,dis_TRINITY_DN100876_c0_g1,4014,4546,3709,4123,3852,4962,3465,4155
