PS,GeneID,gamete
8,dis_TRINITY_DN0_c1_g2,4.277891
8,dis_TRINITY_DN1_c0_g4,13.330988
1,dis_TRINITY_DN10_c0_g1,0
7,dis_TRINITY_DN10_c0_g3,0
7,dis_TRINITY_DN100_c0_g1,292.505652
8,dis_TRINITY_DN100_c0_g3,3.995332
7,dis_TRINITY_DN1000_c0_g1,17.084483
8,dis_TRINITY_DN10001_c0_g1,36.462342
8,dis_TRINITY_DN1001_c0_g1,0.061227
1,dis_TRINITY_DN1001_c0_g3,10.434887
1,dis_TRINITY_DN10011_c0_g3,5.321791
1,dis_TRINITY_DN10015_c0_g1,6.866181
1,dis_TRINITY_DN10021_c0_g2,41.713107
1,dis_TRINITY_DN10021_c0_g3,200.588201
7,dis_TRINITY_DN10021_c0_g5,55.566261
8,dis_TRINITY_DN10025_c0_g1,16.702526
6,dis_TRINITY_DN1003_c0_g1,80.851432
8,dis_TRINITY_DN10031_c0_g2,46.299953
1,dis_TRINITY_DN10032_c0_g1,1308.846626
8,dis_TRINITY_DN100378_c0_g1,10.828078
8,dis_TRINITY_DN10039_c0_g1,11.310819
2,dis_TRINITY_DN1004_c0_g1,31.921739
2,dis_TRINITY_DN1004_c0_g2,27.972747
8,dis_TRINITY_DN10041_c0_g1,33.141213
1,dis_TRINITY_DN10045_c0_g1,81.522672
1,dis_TRINITY_DN10051_c0_g1,343.831347
8,dis_TRINITY_DN10055_c0_g1,1.179886
3,dis_TRINITY_DN10059_c0_g1,108.518427
7,dis_TRINITY_DN10059_c0_g2,134.448985
8,dis_TRINITY_DN10066_c0_g1,3.024586
1,dis_TRINITY_DN10067_c0_g2,3.354746
7,dis_TRINITY_DN10084_c0_g1,37.350322
1,dis_TRINITY_DN10087_c0_g1,0
1,dis_TRINITY_DN100876_c0_g1,18.785384
8,dis_TRINITY_DN10089_c0_g1,38.387865
2,dis_TRINITY_DN101_c0_g1,18.03231
8,dis_TRINITY_DN10119_c0_g1,38.232694
1,dis_TRINITY_DN1013_c0_g1,12.267104
8,dis_TRINITY_DN101321_c0_g1,0.310965
2,dis_TRINITY_DN10140_c0_g1,57.471344
2,dis_TRINITY_DN10147_c0_g1,15.899368
8,dis_TRINITY_DN10150_c0_g1,0.937677
8,dis_TRINITY_DN10150_c0_g4,0.974073
8,dis_TRINITY_DN101555_c0_g1,1.188124
7,dis_TRINITY_DN10156_c0_g1,6.549384
1,dis_TRINITY_DN10160_c0_g1,43.288879
7,dis_TRINITY_DN10168_c0_g2,0.454472
2,dis_TRINITY_DN10168_c0_g3,25.527902
1,dis_TRINITY_DN10172_c0_g1,117.334729
8,dis_TRINITY_DN10173_c0_g1,6.441486
1,dis_TRINITY_DN10189_c0_g1,0.022118
1,dis_TRINITY_DN1019_c0_g2,34.136967
1,dis_TRINITY_DN10198_c0_g3,53.702672
1,dis_TRINITY_DN102_c0_g1,492.269327
1,dis_TRINITY_DN1020_c0_g1,1181.429241
8,dis_TRINITY_DN10208_c0_g1,112.194658
1,dis_TRINITY_DN10211_c0_g1,18.654695
1,dis_TRINITY_DN10212_c0_g2,1.942706
8,dis_TRINITY_DN10214_c1_g1,12.787337
3,dis_TRINITY_DN10219_c0_g1,11.790565
8,dis_TRINITY_DN10229_c0_g1,4.068323
8,dis_TRINITY_DN1023_c0_g1,0
1,dis_TRINITY_DN10236_c0_g1,0.212346
7,dis_TRINITY_DN10242_c0_g1,60.574794
7,dis_TRINITY_DN10243_c0_g1,9.932377
1,dis_TRINITY_DN10249_c1_g1,129.23057
8,dis_TRINITY_DN10250_c0_g1,2.843754
8,dis_TRINITY_DN10251_c0_g2,1.094468
1,dis_TRINITY_DN10255_c0_g1,10.683984
8,dis_TRINITY_DN10262_c0_g1,15.559391
8,dis_TRINITY_DN10269_c0_g1,2.243621
8,dis_TRINITY_DN1027_c2_g2,27.471087
1,dis_TRINITY_DN1027_c2_g4,72.946872
1,dis_TRINITY_DN10276_c0_g1,4.453555
4,dis_TRINITY_DN1028_c0_g2,13.912234
8,dis_TRINITY_DN10280_c0_g4,49.416847
1,dis_TRINITY_DN10280_c0_g5,10.623709
8,dis_TRINITY_DN1029_c0_g1,12.066583
1,dis_TRINITY_DN10291_c0_g1,1.581162
1,dis_TRINITY_DN10292_c0_g2,57.00326
1,dis_TRINITY_DN1030_c0_g2,11.234729
8,dis_TRINITY_DN10301_c0_g1,29.763904
8,dis_TRINITY_DN10304_c0_g1,106.926089
7,dis_TRINITY_DN10305_c0_g2,4.970118
7,dis_TRINITY_DN10305_c0_g5,39.581231
1,dis_TRINITY_DN10309_c0_g1,2.855094
8,dis_TRINITY_DN1031_c0_g1,2.170233
7,dis_TRINITY_DN10310_c3_g2,8.933774
8,dis_TRINITY_DN10335_c0_g4,12.128919
8,dis_TRINITY_DN10336_c0_g1,81.786279
8,dis_TRINITY_DN10343_c0_g1,11.179725
8,dis_TRINITY_DN10347_c0_g1,12.355853
1,dis_TRINITY_DN1035_c0_g1,158.588
7,dis_TRINITY_DN10350_c0_g1,49.064866
8,dis_TRINITY_DN10351_c0_g1,0.096027
8,dis_TRINITY_DN10353_c0_g1,0.183859
8,dis_TRINITY_DN10357_c0_g1,23.318142
1,dis_TRINITY_DN10359_c1_g4,117.151723
5,dis_TRINITY_DN1036_c0_g2,2.642857
1,dis_TRINITY_DN1036_c0_g4,310.635703
8,dis_TRINITY_DN10362_c0_g2,5.958494
1,dis_TRINITY_DN10366_c0_g1,200.889505
8,dis_TRINITY_DN10368_c0_g1,44.648039
8,dis_TRINITY_DN10379_c0_g1,4.137286
8,dis_TRINITY_DN1038_c0_g1,0.307973
8,dis_TRINITY_DN1038_c0_g2,0.374939
8,dis_TRINITY_DN1039_c0_g1,7.190342
1,dis_TRINITY_DN104_c0_g1,5.011979
8,dis_TRINITY_DN104_c0_g2,3.979792
1,dis_TRINITY_DN10402_c0_g1,27.547937
8,dis_TRINITY_DN10403_c0_g2,434.52603
8,dis_TRINITY_DN10403_c0_g3,4.859445
7,dis_TRINITY_DN10406_c0_g1,43.146695
7,dis_TRINITY_DN10415_c0_g1,1.907035
8,dis_TRINITY_DN104197_c0_g1,2.75616
2,dis_TRINITY_DN10422_c0_g1,9.209219
7,dis_TRINITY_DN10423_c0_g1,2.178664
8,dis_TRINITY_DN10435_c0_g1,14.63808
1,dis_TRINITY_DN10438_c0_g1,1.307992
2,dis_TRINITY_DN10439_c0_g1,11.9379
