PS,GeneID,gamete
7,dis_TRINITY_DN100_c0_g1,422.505652
1,dis_TRINITY_DN10021_c0_g3,330.588201
7,dis_TRINITY_DN10021_c0_g5,185.566261
1,dis_TRINITY_DN10032_c0_g1,1438.846626
2,dis_TRINITY_DN1004_c0_g2,157.972747
1,dis_TRINITY_DN10045_c0_g1,211.522672
1,dis_TRINITY_DN10051_c0_g1,473.831347
3,dis_TRINITY_DN10059_c0_g1,238.518427
7,dis_TRINITY_DN10059_c0_g2,264.448985
1,dis_TRINITY_DN10067_c0_g2,133.354746
1,dis_TRINITY_DN10087_c0_g1,130
2,dis_TRINITY_DN101_c0_g1,148.03231
1,dis_TRINITY_DN10172_c0_g1,247.334729
1,dis_TRINITY_DN102_c0_g1,622.269327
1,dis_TRINITY_DN1020_c0_g1,1311.429241
3,dis_TRINITY_DN10219_c0_g1,141.79056500000002
1,dis_TRINITY_DN10236_c0_g1,130.212346
7,dis_TRINITY_DN10242_c0_g1,190.574794
1,dis_TRINITY_DN10249_c1_g1,259.23057
8,dis_TRINITY_DN10280_c0_g4,179.416847
8,dis_TRINITY_DN10304_c0_g1,236.926089
7,dis_TRINITY_DN10305_c0_g5,169.581231
8,dis_TRINITY_DN10336_c0_g1,211.786279
1,dis_TRINITY_DN1035_c0_g1,288.58799999999997
8,dis_TRINITY_DN10357_c0_g1,153.318142
1,dis_TRINITY_DN10359_c1_g4,247.151723
1,dis_TRINITY_DN1036_c0_g4,440.635703
1,dis_TRINITY_DN10366_c0_g1,330.889505
8,dis_TRINITY_DN10368_c0_g1,174.64803899999998
8,dis_TRINITY_DN10403_c0_g2,564.52603
7,dis_TRINITY_DN10406_c0_g1,173.146695
1,dis_TRINITY_DN10438_c0_g1,131.307992
7,dis_TRINITY_DN1044_c0_g1,238.816245
8,dis_TRINITY_DN10442_c0_g1,294.314527
8,dis_TRINITY_DN10445_c0_g1,459.599309
1,dis_TRINITY_DN10446_c0_g1,525.471115
1,dis_TRINITY_DN10454_c0_g2,176.720266
1,dis_TRINITY_DN10464_c0_g1,136.75289
1,dis_TRINITY_DN10468_c0_g1,130
1,dis_TRINITY_DN10471_c0_g1,184.935844
8,dis_TRINITY_DN10472_c0_g1,208.608853
1,dis_TRINITY_DN10481_c0_g1,199.139883
8,dis_TRINITY_DN10483_c0_g3,137.802501
1,dis_TRINITY_DN10492_c0_g1,169.449998
7,dis_TRINITY_DN10495_c0_g2,130
1,dis_TRINITY_DN105_c0_g1,160.658631
8,dis_TRINITY_DN10505_c0_g1,141.436031
4,dis_TRINITY_DN10558_c0_g2,280.780668
8,dis_TRINITY_DN1056_c0_g1,328.617659
7,dis_TRINITY_DN10601_c0_g4,217.324149
