PS,GeneID,gamete
8,dis_TRINITY_DN0_c1_g2,0.860782
8,dis_TRINITY_DN1_c0_g4,1.616832
1,dis_TRINITY_DN10_c0_g1,0
7,dis_TRINITY_DN10_c0_g3,0
7,dis_TRINITY_DN100_c0_g1,21.591006
8,dis_TRINITY_DN100_c0_g3,1.274071
7,dis_TRINITY_DN1000_c0_g1,6.334081
8,dis_TRINITY_DN10001_c0_g1,8.97563
8,dis_TRINITY_DN1001_c0_g1,163.3779
1,dis_TRINITY_DN1001_c0_g3,3.033718
1,dis_TRINITY_DN10011_c0_g3,1.219721
1,dis_TRINITY_DN10015_c0_g1,1.069244
1,dis_TRINITY_DN10021_c0_g2,20.382475
1,dis_TRINITY_DN10021_c0_g3,68.920286
7,dis_TRINITY_DN10021_c0_g5,7.532593
8,dis_TRINITY_DN10025_c0_g1,5.683348
6,dis_TRINITY_DN1003_c0_g1,13.492853
8,dis_TRINITY_DN10031_c0_g2,17.730614
1,dis_TRINITY_DN10032_c0_g1,303.43529
8,dis_TRINITY_DN100378_c0_g1,25.094502
8,dis_TRINITY_DN10039_c0_g1,2.165852
2,dis_TRINITY_DN1004_c0_g1,2.532103
2,dis_TRINITY_DN1004_c0_g2,5.650332
8,dis_TRINITY_DN10041_c0_g1,13.543687
1,dis_TRINITY_DN10045_c0_g1,815.569046
1,dis_TRINITY_DN10051_c0_g1,111.006158
8,dis_TRINITY_DN10055_c0_g1,2.750306
3,dis_TRINITY_DN10059_c0_g1,24.016126
7,dis_TRINITY_DN10059_c0_g2,8.230511
8,dis_TRINITY_DN10066_c0_g1,1.559798
1,dis_TRINITY_DN10067_c0_g2,6.051555
7,dis_TRINITY_DN10084_c0_g1,10.191601
1,dis_TRINITY_DN10087_c0_g1,876.941193
1,dis_TRINITY_DN100876_c0_g1,6.700671
8,dis_TRINITY_DN10089_c0_g1,5.166604
2,dis_TRINITY_DN101_c0_g1,12.175084
8,dis_TRINITY_DN10119_c0_g1,6.258262
1,dis_TRINITY_DN1013_c0_g1,2.372486
8,dis_TRINITY_DN101321_c0_g1,1.108308
