PS,GeneID,gamete
7,dis_TRINITY_DN100_c0_g1,147.591006
1,dis_TRINITY_DN10021_c0_g3,194.920286
7,dis_TRINITY_DN10021_c0_g5,133.532593
1,dis_TRINITY_DN10032_c0_g1,429.43529
2,dis_TRINITY_DN1004_c0_g2,131.650332
1,dis_TRINITY_DN10045_c0_g1,941.569046
1,dis_TRINITY_DN10051_c0_g1,237.006158
3,dis_TRINITY_DN10059_c0_g1,150.016126
7,dis_TRINITY_DN10059_c0_g2,134.230511
1,dis_TRINITY_DN10061_c0_g1,126.537316
1,dis_TRINITY_DN10067_c0_g2,132.051555
1,dis_TRINITY_DN10080_c0_g1,126
1,dis_TRINITY_DN10087_c0_g1,1002.941193
2,dis_TRINITY_DN101_c0_g1,138.175084
1,dis_TRINITY_DN10172_c0_g1,242.506224
1,dis_TRINITY_DN102_c0_g1,392.859386
1,dis_TRINITY_DN1020_c0_g1,250.899427
8,dis_TRINITY_DN10208_c0_g1,136.470038
3,dis_TRINITY_DN10219_c0_g1,288.60321
1,dis_TRINITY_DN10236_c0_g1,126
7,dis_TRINITY_DN10242_c0_g1,151.445227
1,dis_TRINITY_DN10249_c1_g1,151.517428
8,dis_TRINITY_DN10280_c0_g4,144.695285
8,dis_TRINITY_DN10304_c0_g1,155.579092
7,dis_TRINITY_DN10305_c0_g5,146.457588
8,dis_TRINITY_DN10336_c0_g1,266.59481800000003
1,dis_TRINITY_DN1035_c0_g1,148.847621
8,dis_TRINITY_DN10357_c0_g1,209.915501
1,dis_TRINITY_DN10359_c1_g4,148.25144
1,dis_TRINITY_DN1036_c0_g4,157.724662
1,dis_TRINITY_DN10366_c0_g1,153.01852
8,dis_TRINITY_DN10368_c0_g1,132.201899
8,dis_TRINITY_DN10403_c0_g2,221.091855
7,dis_TRINITY_DN10406_c0_g1,168.03085099999998
1,dis_TRINITY_DN10438_c0_g1,126.295719
7,dis_TRINITY_DN1044_c0_g1,189.020065
8,dis_TRINITY_DN10442_c0_g1,142.982244
8,dis_TRINITY_DN10445_c0_g1,175.392794
1,dis_TRINITY_DN10446_c0_g1,270.31124
1,dis_TRINITY_DN10454_c0_g2,133.13168
1,dis_TRINITY_DN10464_c0_g1,128.215384
1,dis_TRINITY_DN10468_c0_g1,315.432754
1,dis_TRINITY_DN10471_c0_g1,137.161367
8,dis_TRINITY_DN10472_c0_g1,524.990049
1,dis_TRINITY_DN10481_c0_g1,142.87403799999998
8,dis_TRINITY_DN10483_c0_g3,476.394788
