PS,GeneID,gamete,S1,S2,S3,S4,S4.5,S5,matSP
7,dis_TRINITY_DN100_c0_g1,262.4785045,215.493112,214.601926,246.855701,227.208127,169.829173,214.185391,313.609563
1,dis_TRINITY_DN10021_c0_g3,262.4421345,286.852063,301.948803,331.8140645,219.490815,234.180486,215.3637155,210.459437
7,dis_TRINITY_DN10021_c0_g5,151.329784,177.5898,161.642446,214.1605905,282.72026900000003,301.607069,272.76557149999996,180.4565335
1,dis_TRINITY_DN10032_c0_g1,852.8058715,1438.520271,1397.278195,3788.6318085000003,2775.58881,3161.901412,4239.8724775,3216.9450905000003
2,dis_TRINITY_DN1004_c0_g2,138.42449299999998,182.748552,208.780434,192.759293,201.220492,189.885642,187.564438,182.905226
1,dis_TRINITY_DN10045_c0_g1,508.0597565,215.566596,349.902561,242.986894,204.73502,154.063223,171.463306,129.4894165
1,dis_TRINITY_DN10051_c0_g1,370.71610350000003,456.077213,402.053789,402.13967049999997,455.731498,473.539349,420.9574485,344.319442
3,dis_TRINITY_DN10059_c0_g1,185.96799349999998,178.062763,184.860422,226.2604055,173.350237,160.464208,182.693516,156.59776
7,dis_TRINITY_DN10059_c0_g2,179.2796285,219.21691,223.941302,229.6829525,170.537416,152.219215,146.1159305,135.59517549999998
1,dis_TRINITY_DN10061_c0_g1,126.2142355,126,126,126,126.287859,126.232915,140.00394,126.1789305
1,dis_TRINITY_DN10067_c0_g2,130.30091249999998,134.171159,142.077172,398.3691695,190.717811,173.306388,287.7273765,258.6296555
1,dis_TRINITY_DN10080_c0_g1,126,126,126,126,126,126,133.381684,126.46018849999999
1,dis_TRINITY_DN10087_c0_g1,462.0442165,126.366807,126.446692,126,126,126,126,126
2,dis_TRINITY_DN101_c0_g1,140.70782350000002,180.921192,218.892097,162.668357,153.417205,148.848666,162.809744,142.0161075
1,dis_TRINITY_DN10172_c0_g1,242.9204765,168.977435,181.798199,212.4267585,205.536168,193.631389,165.0993155,205.75512400000002
1,dis_TRINITY_DN102_c0_g1,512.2151005000001,643.606528,679.610683,970.073444,1489.197615,2284.171238,1656.006392,1314.1328305
1,dis_TRINITY_DN1020_c0_g1,833.8616015,851.342245,581.87374,463.49575749999997,455.008672,307.703486,411.64233449999995,258.7376035
8,dis_TRINITY_DN10208_c0_g1,183.5253325,159.789696,131.679599,141.08721500000001,140.357942,134.866917,149.15243850000002,139.249561
3,dis_TRINITY_DN10219_c0_g1,212.57901550000003,152.67509,140.636172,148.660839,155.824722,148.132974,147.21929849999998,153.966475
1,dis_TRINITY_DN10236_c0_g1,126.103028,126,126,126,126,126,126.73417599999999,173.82671
7,dis_TRINITY_DN10242_c0_g1,160.69744050000003,236.66270599999999,280.44435999999996,251.4819005,266.893799,193.573406,210.44170400000002,210.147278
1,dis_TRINITY_DN10249_c1_g1,204.427327,142.999053,175.133059,649.2121815,541.356853,557.062612,694.1618935,185.0110825
8,dis_TRINITY_DN10280_c0_g4,157.4238895,166.387188,268.761084,185.696218,264.910327,255.78206,253.8387785,261.69179
8,dis_TRINITY_DN10304_c0_g1,192.44141050000002,309.169985,257.367095,246.535773,199.130647,177.417346,173.226202,175.55685699999998
7,dis_TRINITY_DN10305_c0_g5,152.2262805,164.303622,177.26891,199.13591250000002,227.408361,208.120063,186.77822450000002,254.53452800000002
8,dis_TRINITY_DN10336_c0_g1,236.6220365,230.865166,201.326061,160.202676,171.098543,168.583721,164.8465725,164.15963299999999
1,dis_TRINITY_DN1035_c0_g1,223.514,190.309132,187.640627,203.48489999999998,187.34398,189.903388,182.3399475,185.16873
8,dis_TRINITY_DN10357_c0_g1,179.5168365,144.866236,144.929325,224.274416,229.265146,164.635945,225.985918,179.68381399999998
1,dis_TRINITY_DN10359_c1_g4,202.912708,357.438517,573.038791,319.583941,288.115095,271.72799299999997,250.41296799999998,278.40099399999997
1,dis_TRINITY_DN1036_c0_g4,307.649796,621.023518,387.127764,536.712539,332.32764499999996,226.505827,224.759499,129.9461735
1,dis_TRINITY_DN10366_c0_g1,234.15844399999997,162.575023,179.38735400000002,250.197043,202.244509,187.48001,186.04484,189.06709899999998
8,dis_TRINITY_DN10368_c0_g1,151.101695,178.74728,228.135936,191.4036265,193.582716,168.051381,159.69547649999998,154.878395
8,dis_TRINITY_DN10403_c0_g2,394.829647,302.040895,150.291923,147.7591955,147.233611,150.240468,144.9664945,126.1333235
7,dis_TRINITY_DN10406_c0_g1,168.588773,207.890926,269.69185100000004,206.654518,166.92825299999998,159.275964,177.976629,168.12721299999998
1,dis_TRINITY_DN10438_c0_g1,127.09963400000001,612.792966,1074.394598,273.1950915,229.464638,178.768826,186.832271,180.9043155
7,dis_TRINITY_DN1044_c0_g1,220.852265,378.08384,514.522305,334.5243335,367.245979,391.739018,295.27737249999996,293.3627525
8,dis_TRINITY_DN10442_c0_g1,209.07423749999998,141.696229,134.077443,141.841112,136.165199,133.161539,143.092448,137.03813250000002
8,dis_TRINITY_DN10445_c0_g1,335.1612525,239.113952,211.422452,144.4510735,135.572682,134.550468,131.489121,131.90278949999998
1,dis_TRINITY_DN10446_c0_g1,397.31995099999995,453.059999,458.659349,521.0424495,512.263224,452.193097,568.27878,410.51299600000004
1,dis_TRINITY_DN10454_c0_g2,150.7504855,188.116162,252.958605,197.408952,195.600279,181.761799,173.1099425,168.713458
1,dis_TRINITY_DN10464_c0_g1,128.930838,146.272343,184.894768,198.432659,212.280291,193.25953,163.7961515,143.9667255
1,dis_TRINITY_DN10468_c0_g1,210.9567905,126,126,126,126,126,126,126
1,dis_TRINITY_DN10471_c0_g1,155.9427275,257.31922,308.042512,359.754903,371.309933,287.216675,292.9245905,228.43226099999998
8,dis_TRINITY_DN10472_c0_g1,347.7741295,167.89509900000002,153.413378,157.8119315,165.387635,154.703019,148.81309299999998,157.8684505
1,dis_TRINITY_DN10481_c0_g1,167.27784250000002,218.714544,258.18386,218.5880935,206.263296,213.410338,175.595983,183.35566649999998
8,dis_TRINITY_DN10483_c0_g3,290.2413865,138.302628,139.494837,153.34383250000002,162.304825,150.648032,156.418297,156.2950235
1,dis_TRINITY_DN10492_c0_g1,153.0777385,177.487141,188.032209,208.2450365,211.059487,207.41327,199.973565,202.2538775
7,dis_TRINITY_DN10495_c0_g2,126,126.132673,126,126.7314455,126,126,126.1154535,163.4704395
1,dis_TRINITY_DN105_c0_g1,146.31323450000002,239.077947,203.591492,216.875732,212.577714,195.442767,186.7916525,155.798961
8,dis_TRINITY_DN10505_c0_g1,130.53950700000001,211.888451,253.31693,153.35546349999998,142.731884,137.687292,136.1478815,130.2374315
1,dis_TRINITY_DN10542_c0_g1,126,126,126,126,126,126.238204,140.31382100000002,126
4,dis_TRINITY_DN10558_c0_g2,949.3965599999999,173.380935,168.49922800000002,205.89938999999998,175.060612,192.840006,188.75178599999998,157.5152815
8,dis_TRINITY_DN1056_c0_g1,248.065733,197.775873,187.797631,165.502945,169.62185399999998,165.929312,170.1385555,176.26791
7,dis_TRINITY_DN10601_c0_g4,175.30068,202.544336,185.214715,530.4426515,227.908059,233.212829,230.697825,249.3901125
1,dis_TRINITY_DN10610_c0_g1,147.9186575,151.907364,159.27426400000002,219.45831149999998,291.550877,328.583033,203.894881,152.7694945
1,dis_TRINITY_DN1062_c0_g2,139.820674,149.782144,139.144407,158.88611550000002,204.034708,210.515163,201.359068,369.2788845
1,dis_TRINITY_DN1066_c0_g4,391.348101,181.704464,162.23763,195.57046200000002,208.140323,186.494489,218.49940900000001,179.2359175
1,dis_TRINITY_DN1073_c0_g4,142.7992235,257.81306,217.628034,276.7106375,398.276271,203.136243,393.55435750000004,145.412781
8,dis_TRINITY_DN1075_c0_g1,333.621976,174.652122,226.513219,173.0635755,175.259185,162.88121999999998,149.2783225,158.9374755
1,dis_TRINITY_DN1080_c1_g1,136.505134,145.972128,177.018525,234.620289,176.628512,160.08271100000002,162.70697,132.9671495
1,dis_TRINITY_DN10808_c0_g1,225.0064385,412.185204,469.226595,399.24667550000004,428.623396,315.284179,310.756888,286.484108
1,dis_TRINITY_DN10814_c0_g1,543.2051325,655.715218,496.42568,523.1531935,451.110608,365.412893,344.01045750000003,299.348098
8,dis_TRINITY_DN10818_c0_g1,242.76448550000003,226.946843,222.480515,247.3351375,205.441098,174.654221,240.641986,192.2020315
7,dis_TRINITY_DN1082_c1_g3,126,126,126.075728,126.01352349999999,126,126,126,126.03589500000001
2,dis_TRINITY_DN10821_c0_g1,277.2942435,266.35685,223.656947,213.878218,207.014989,190.816519,203.48531500000001,215.92924399999998
1,dis_TRINITY_DN10828_c0_g1,266.83246199999996,312.547076,212.211021,282.3500015,284.081841,250.570915,254.96146950000002,232.093025
1,dis_TRINITY_DN10828_c0_g2,279.89590799999996,332.185258,348.262386,366.426503,404.063657,436.234573,355.31300699999997,483.6136235
1,dis_TRINITY_DN1083_c0_g1,128.357135,126.783,126,126.145145,132.981363,135.948852,402.092047,136.317219
1,dis_TRINITY_DN10834_c0_g1,158.328747,194.268928,179.366378,138.5229185,134.525503,130.747448,132.78758249999998,143.70117
2,dis_TRINITY_DN10835_c0_g2,233.4643475,126,126,126,126,126,126,126
1,dis_TRINITY_DN10837_c0_g1,1239.8180849999999,1493.454806,1484.428492,2371.6661590000003,3188.731496,5209.473177,3715.4692864999997,2738.1412915
5,dis_TRINITY_DN10839_c0_g1,175.611502,230.304004,288.41992700000003,175.99662849999999,143.894494,143.455851,138.698459,133.7443315
1,dis_TRINITY_DN10843_c0_g1,175.62951900000002,236.610609,264.063817,256.64203299999997,244.81972,214.841215,204.327891,195.891372
1,dis_TRINITY_DN10872_c0_g1,182.5559985,207.845783,222.319135,225.2599765,230.823998,251.694406,246.7692505,257.02745200000004
8,dis_TRINITY_DN10874_c0_g1,153.2737115,170.123612,210.686133,254.75694649999997,191.784764,173.613035,170.35144200000002,157.490645
1,dis_TRINITY_DN10880_c0_g1,194.47812499999998,215.417101,285.173171,269.40761499999996,247.49672,229.130743,213.777835,206.365299
1,dis_TRINITY_DN10891_c0_g1,336.223876,416.279493,446.228807,388.49711449999995,420.430589,361.022061,364.420237,238.685235
8,dis_TRINITY_DN10891_c0_g2,127.950558,128.762445,136.537559,186.46042749999998,229.010832,233.882261,180.837932,151.153087
7,dis_TRINITY_DN10922_c0_g1,153.1305335,250.663832,286.239507,259.016629,232.318115,193.886487,244.145649,201.5679845
1,dis_TRINITY_DN109406_c0_g1,209.961251,174.821706,170.25671,168.2837075,186.555688,204.291794,179.8656065,192.3977745
1,dis_TRINITY_DN1095_c0_g1,554.5376365,769.01815,900.016058,932.2008324999999,900.559061,845.752057,975.4646095,318.8543455
8,dis_TRINITY_DN1096_c0_g1,173.487546,228.155803,205.213753,222.2337185,202.178512,172.138127,192.128038,174.12167
7,dis_TRINITY_DN109679_c0_g1,126,126,126,220.9143335,186.667566,147.394374,230.22243,137.628616
1,dis_TRINITY_DN1098_c0_g1,141.5814565,180.573095,204.58868,215.3417645,201.69737,166.77635,186.9654385,168.0154555
8,dis_TRINITY_DN10998_c0_g1,283.3682385,157.80616,143.228113,165.406727,174.280647,168.118742,174.01305150000002,199.922655
8,dis_TRINITY_DN11_c3_g4,232.723347,325.34813199999996,360.938503,504.469911,908.64765,1096.75572,411.51699099999996,270.025576
1,dis_TRINITY_DN1101_c0_g9,126.3121615,127.045679,127.891426,131.421062,129.268825,128.356381,130.063,163.161124
5,dis_TRINITY_DN1102_c0_g1,141.5825845,207.39036,279.49825999999996,193.965167,242.554924,215.208729,161.92593699999998,147.8407775
8,dis_TRINITY_DN11034_c0_g1,224.185105,162.130947,153.115338,172.17886850000002,190.427559,209.199703,163.034367,177.24930899999998
8,dis_TRINITY_DN11064_c0_g1,154.6980585,189.586396,184.820458,200.89263549999998,195.863471,197.101001,182.07144449999998,172.28252750000001
7,dis_TRINITY_DN11112_c0_g1,606.9602935,127.191937,126,129.84911,127.308737,126.49581,126,126
1,dis_TRINITY_DN11138_c0_g2,214.4672075,126.277728,126.090531,127.136671,126.575426,126.530592,127.1318385,129.020636
8,dis_TRINITY_DN11152_c0_g1,303.32563400000004,127.188726,126.288704,126.19118549999999,126.206175,126.175451,126.30690799999999,126.0125685
1,dis_TRINITY_DN11162_c0_g1,127.380567,126.69724,126.680623,126.37715750000001,131.330593,130.094261,333.707103,132.846623
1,dis_TRINITY_DN11191_c0_g1,384.960969,321.877613,356.913812,343.0998905,376.955629,337.206446,282.957567,325.37716550000005
1,dis_TRINITY_DN11221_c0_g1,136.916174,131.823507,136.96697700000001,134.9665775,146.31105300000002,153.231533,142.282902,174.547616
8,dis_TRINITY_DN11237_c0_g1,152.8002725,180.098429,173.288819,233.5158555,183.188889,168.785645,175.33144950000002,182.8634245
8,dis_TRINITY_DN11250_c0_g1,415.3920445,270.670715,295.35871399999996,308.061171,277.854326,229.978676,258.6374115,280.2013995
1,dis_TRINITY_DN11265_c0_g1,178.540456,203.351192,267.095729,227.0351895,260.771393,248.115833,198.77310649999998,184.809749
2,dis_TRINITY_DN11268_c0_g1,229.75998400000003,350.332303,286.88746100000003,486.2195965,693.991701,480.692795,398.25988600000005,165.50559850000002
1,dis_TRINITY_DN11269_c0_g1,211.99291399999998,271.505573,324.044121,368.3184185,200.154596,176.932917,199.7580395,201.3843135
2,dis_TRINITY_DN11271_c0_g2,136.8769525,158.693922,184.36967,164.294228,187.102239,205.893434,174.2293865,202.1471275
8,dis_TRINITY_DN11288_c0_g2,165.085582,1989.359416,2125.5821020000003,166.693665,183.422989,150.033671,143.3100035,169.8127595
8,dis_TRINITY_DN1130_c0_g1,134.002932,139.294313,128.587786,126.10821250000001,126.103045,126.065211,126.5095725,207.5273545
7,dis_TRINITY_DN11307_c0_g1,193.5990405,207.448437,223.037158,243.8381745,201.995495,177.686453,194.4320945,159.4694765
8,dis_TRINITY_DN11324_c0_g1,360.58665199999996,292.34585400000003,197.791943,221.470412,207.209557,188.773514,194.9636525,233.316506
8,dis_TRINITY_DN11328_c0_g1,218.7580655,225.129423,313.904468,232.8048305,249.952519,232.629369,211.4794715,240.9327735
1,dis_TRINITY_DN11328_c0_g3,247.7872835,223.738851,282.653259,249.778415,261.635398,250.448359,239.37752949999998,206.42947099999998
8,dis_TRINITY_DN11349_c0_g1,143.58851199999998,155.660591,156.677817,179.091743,235.281602,168.372452,167.527447,151.63970899999998
