PS,GeneID,holdfast,reptip,stipe,vegtip
8,dis_TRINITY_DN0_c1_g2,17.678212,16.368004,17.448626,10.873013
8,dis_TRINITY_DN1_c0_g4,7.679617,13.950547,5.304821,8.913055
1,dis_TRINITY_DN10_c0_g1,0,3.85427,0.027923,9.816259
7,dis_TRINITY_DN10_c0_g3,0,0.68841,0.102398,13.879227
7,dis_TRINITY_DN100_c0_g1,185.349173,189.869953,206.583993,103.717141
8,dis_TRINITY_DN100_c0_g3,18.840606,22.536603,16.064742,10.806916
7,dis_TRINITY_DN1000_c0_g1,10.988929,12.040279,6.209696,9.91172
8,dis_TRINITY_DN10001_c0_g1,31.373546,34.784903,42.831548,32.520745
8,dis_TRINITY_DN1001_c0_g1,0.036366,9.334977,0.041204,0.196563
1,dis_TRINITY_DN1001_c0_g3,17.809248,19.766114,11.558906,20.304814
1,dis_TRINITY_DN10011_c0_g3,16.794253,11.977063,7.131659,4.784657
1,dis_TRINITY_DN10015_c0_g1,15.06885,11.36534,19.071491,9.871716
1,dis_TRINITY_DN10021_c0_g2,20.683311,30.686486,15.97307,13.949757
1,dis_TRINITY_DN10021_c0_g3,81.852742,141.300986,54.127783,106.55099
7,dis_TRINITY_DN10021_c0_g5,61.004326,52.048505,44.222765,40.792073
8,dis_TRINITY_DN10025_c0_g1,10.972044,17.137477,10.22471,8.409882
6,dis_TRINITY_DN1003_c0_g1,38.817693,45.932451,19.285731,27.661378
8,dis_TRINITY_DN10031_c0_g2,8.76639,19.942744,17.091454,20.705677
1,dis_TRINITY_DN10032_c0_g1,2754.018688,3296.667927,3839.167053,2962.947694
8,dis_TRINITY_DN100378_c0_g1,10.386337,10.655578,9.953794,4.78451
8,dis_TRINITY_DN10039_c0_g1,10.761699,8.209549,6.008742,5.225211
2,dis_TRINITY_DN1004_c0_g1,48.570729,31.008022,35.508268,19.559757
2,dis_TRINITY_DN1004_c0_g2,63.682534,45.653014,68.15884,48.49475
8,dis_TRINITY_DN10041_c0_g1,4.602212,33.067312,7.279432,24.040272
1,dis_TRINITY_DN10045_c0_g1,3.934406,52.154014,2.506548,0.881555
1,dis_TRINITY_DN10051_c0_g1,147.642235,244.333543,188.33538,399.366745
8,dis_TRINITY_DN10055_c0_g1,1.235808,1.146064,0.786224,0.451016
3,dis_TRINITY_DN10059_c0_g1,52.482265,41.870032,30.751039,18.408873
7,dis_TRINITY_DN10059_c0_g2,2.885678,20.59645,4.969483,25.174975
1,dis_TRINITY_DN10061_c0_g1,0.122068,0.979764,1.229129,0.155696
8,dis_TRINITY_DN10066_c0_g1,2.59197,3.503564,1.025901,1.236167
1,dis_TRINITY_DN10067_c0_g2,74.816399,128.381554,136.877757,330.086046
1,dis_TRINITY_DN10080_c0_g1,0.545376,0.446947,0.556906,0
7,dis_TRINITY_DN10084_c0_g1,23.55766,17.872761,16.298243,6.804114
1,dis_TRINITY_DN10087_c0_g1,0,26.23256,0,0
1,dis_TRINITY_DN100876_c0_g1,18.455413,19.574201,10.758506,8.733889
8,dis_TRINITY_DN10089_c0_g1,23.938012,25.961155,19.792641,12.94487
2,dis_TRINITY_DN101_c0_g1,23.337897,14.167176,17.865039,6.294167
8,dis_TRINITY_DN10119_c0_g1,24.275972,36.28673,28.373971,22.249588
1,dis_TRINITY_DN1013_c0_g1,7.239961,15.593565,20.396837,12.347879
8,dis_TRINITY_DN101321_c0_g1,4.369779,2.977239,1.223964,2.577156
2,dis_TRINITY_DN10140_c0_g1,7.373675,17.635562,5.544745,3.029725
2,dis_TRINITY_DN10147_c0_g1,5.672934,17.458731,4.244811,3.713308
8,dis_TRINITY_DN10150_c0_g1,0.26986,1.552221,0.632264,1.527736
8,dis_TRINITY_DN10150_c0_g4,0.234134,1.0812330000000001,0.348325,1.111886
8,dis_TRINITY_DN101555_c0_g1,6.575059,5.976776,5.295507,3.366144
7,dis_TRINITY_DN10156_c0_g1,13.266975,12.25162,9.667446,15.264535
1,dis_TRINITY_DN10160_c0_g1,56.360809,62.213698,72.858037,53.268433
7,dis_TRINITY_DN10168_c0_g2,0,4.663907,2.882008,0.51834
2,dis_TRINITY_DN10168_c0_g3,38.254856,26.941228,15.621174,16.09805
1,dis_TRINITY_DN10172_c0_g1,68.97854,167.033993,90.447232,74.262371
