PS,GeneID,holdfast,reptip,stipe,vegtip
8,dis_TRINITY_DN0_c1_g2,4546,3652,4819,3806
8,dis_TRINITY_DN1_c0_g4,2700,3216,2124,3349
1,dis_TRINITY_DN10_c0_g1,242.5,728,448,3564
7,dis_TRINITY_DN10_c0_g3,242.5,112,504,4359
7,dis_TRINITY_DN100_c0_g1,7598,7578,7691,7359
8,dis_TRINITY_DN100_c0_g3,4681,4530,4607,3787
7,dis_TRINITY_DN1000_c0_g1,3454,2868,2417,3594
8,dis_TRINITY_DN10001_c0_g1,5749,5594,6483,6130
8,dis_TRINITY_DN1001_c0_g1,500,2222,464,504
1,dis_TRINITY_DN1001_c0_g3,4567,4170,3794,5218
1,dis_TRINITY_DN10011_c0_g3,4418,2847,2720,2114
1,dis_TRINITY_DN10015_c0_g1,4181,2699,5032,3584
1,dis_TRINITY_DN10021_c0_g2,4910,5326,4592,4374
1,dis_TRINITY_DN10021_c0_g3,7058,7418,6811,7376
7,dis_TRINITY_DN10021_c0_g5,6743,6320,6532,6442
8,dis_TRINITY_DN10025_c0_g1,3450,3771,3482,3219
6,dis_TRINITY_DN1003_c0_g1,6148,6099,5058,5847
8,dis_TRINITY_DN10031_c0_g2,2959,4192,4757,5264
1,dis_TRINITY_DN10032_c0_g1,7935,7948,7940,7932
8,dis_TRINITY_DN100378_c0_g1,3323,2523,3433,2113
8,dis_TRINITY_DN10039_c0_g1,3396,1929,2344,2257
2,dis_TRINITY_DN1004_c0_g1,6482,5352,6200,5131
2,dis_TRINITY_DN1004_c0_g2,6791,6082,7035,6660
8,dis_TRINITY_DN10041_c0_g1,1857,5483,2759,5571
1,dis_TRINITY_DN10045_c0_g1,1646,6324,1203,728
1,dis_TRINITY_DN10051_c0_g1,7490,7658,7673,7785
8,dis_TRINITY_DN10055_c0_g1,884,155,731,612
3,dis_TRINITY_DN10059_c0_g1,6588,5934,5975,4984
7,dis_TRINITY_DN10059_c0_g2,1333,4284,2031,5672
1,dis_TRINITY_DN10061_c0_g1,549,136,848,485
8,dis_TRINITY_DN10066_c0_g1,1250,629,801,846
1,dis_TRINITY_DN10067_c0_g2,6973,7348,7545,7742
1,dis_TRINITY_DN10080_c0_g1,699,74,662,195
7,dis_TRINITY_DN10084_c0_g1,5197,3898,4643,2753
1,dis_TRINITY_DN10087_c0_g1,242.5,4937,221.5,195
1,dis_TRINITY_DN100876_c0_g1,4643,4148,3623,3307
8,dis_TRINITY_DN10089_c0_g1,5228,4908,5104,4210
2,dis_TRINITY_DN101_c0_g1,5179,3254,4880,2599
8,dis_TRINITY_DN10119_c0_g1,5247,5668,5845,5408
1,dis_TRINITY_DN1013_c0_g1,2604,3510,5168,4100
8,dis_TRINITY_DN101321_c0_g1,1789,471,847,1341
2,dis_TRINITY_DN10140_c0_g1,2637,3860,2204,1512
2,dis_TRINITY_DN10147_c0_g1,2169,3832,1765,1748
8,dis_TRINITY_DN10150_c0_g1,619,204,687,955
8,dis_TRINITY_DN10150_c0_g4,601,145,592,809
8,dis_TRINITY_DN101555_c0_g1,2415,1300.5,2118,1631
7,dis_TRINITY_DN10156_c0_g1,3911,2902,3363,4553
1,dis_TRINITY_DN10160_c0_g1,6669,6610,7103,6764
7,dis_TRINITY_DN10168_c0_g2,242.5,931,1319,630
2,dis_TRINITY_DN10168_c0_g3,6113,5003,4540,4671
1,dis_TRINITY_DN10172_c0_g1,6895,7514,7277,7115
8,dis_TRINITY_DN10173_c0_g1,1135,491,862,1772
1,dis_TRINITY_DN10189_c0_g1,983,285,769,1148
