PS,GeneID,holdfast,reptip,stipe,vegtip
7,dis_TRINITY_DN100_c0_g1,315.349173,319.869953,336.58399299999996,233.717141
1,dis_TRINITY_DN10021_c0_g3,211.852742,271.30098599999997,184.127783,236.55099
7,dis_TRINITY_DN10021_c0_g5,191.004326,182.048505,174.222765,170.79207300000002
1,dis_TRINITY_DN10032_c0_g1,2884.018688,3426.667927,3969.167053,3092.947694
2,dis_TRINITY_DN1004_c0_g2,193.682534,175.65301399999998,198.15884,178.49475
1,dis_TRINITY_DN10045_c0_g1,133.934406,182.154014,132.506548,130.881555
1,dis_TRINITY_DN10051_c0_g1,277.642235,374.333543,318.33538,529.366745
3,dis_TRINITY_DN10059_c0_g1,182.482265,171.870032,160.751039,148.408873
7,dis_TRINITY_DN10059_c0_g2,132.885678,150.59645,134.969483,155.174975
1,dis_TRINITY_DN10067_c0_g2,204.816399,258.381554,266.877757,460.086046
1,dis_TRINITY_DN10087_c0_g1,130,156.23256,130,130
2,dis_TRINITY_DN101_c0_g1,153.337897,144.167176,147.865039,136.294167
1,dis_TRINITY_DN10172_c0_g1,198.97854,297.033993,220.447232,204.262371
1,dis_TRINITY_DN102_c0_g1,1175.894828,1145.463971,1652.810573,1441.224306
1,dis_TRINITY_DN1020_c0_g1,277.516879,458.679441,191.460339,247.958328
3,dis_TRINITY_DN10219_c0_g1,158.050661,157.882289,170.578684,150.859429
1,dis_TRINITY_DN10236_c0_g1,140.940579,196.76599,227.209496,170.03506
7,dis_TRINITY_DN10242_c0_g1,256.207919,238.26852,208.297062,193.372029
1,dis_TRINITY_DN10249_c1_g1,353.325829,198.187716,179.834449,139.873231
8,dis_TRINITY_DN10280_c0_g4,281.74732,333.012778,227.2842,256.064879
8,dis_TRINITY_DN10304_c0_g1,200.342399,176.585846,183.442073,166.362043
7,dis_TRINITY_DN10305_c0_g5,276.80691,213.442647,260.00092,359.924308
8,dis_TRINITY_DN10336_c0_g1,176.68423,182.533525,158.728523,153.112412
1,dis_TRINITY_DN1035_c0_g1,192.986625,206.034272,169.97194100000002,173.828993
8,dis_TRINITY_DN10357_c0_g1,172.994107,184.443988,195.492945,169.170716
1,dis_TRINITY_DN10359_c1_g4,329.373251,285.148846,197.269819,201.019467
1,dis_TRINITY_DN1036_c0_g4,130.61616,182.503343,130,139.692539
1,dis_TRINITY_DN10366_c0_g1,167.712334,238.365531,243.290003,191.368678
8,dis_TRINITY_DN10368_c0_g1,159.519074,163.956808,161.6682,148.343916
8,dis_TRINITY_DN10403_c0_g2,130.210467,199.963389,130,130.086104
7,dis_TRINITY_DN10406_c0_g1,156.826192,193.787635,171.772815,219.020156
1,dis_TRINITY_DN10438_c0_g1,186.896815,149.7112,183.824082,193.098852
7,dis_TRINITY_DN1044_c0_g1,413.997634,312.238288,224.810882,252.577557
8,dis_TRINITY_DN10442_c0_g1,141.44646,156.797795,140.629805,139.188921
8,dis_TRINITY_DN10445_c0_g1,136.299982,229.125645,134.032273,135.502088
1,dis_TRINITY_DN10446_c0_g1,240.937149,524.05349,347.066052,1078.605671
1,dis_TRINITY_DN10454_c0_g2,219.697442,173.785257,172.046802,164.380524
1,dis_TRINITY_DN10464_c0_g1,149.290513,146.533549,145.946372,155.68697600000002
1,dis_TRINITY_DN10468_c0_g1,130,389.788008,130,130
1,dis_TRINITY_DN10471_c0_g1,241.300502,233.515136,211.633933,232.974033
8,dis_TRINITY_DN10472_c0_g1,155.955322,183.158547,168.508277,147.805898
1,dis_TRINITY_DN10481_c0_g1,248.288954,192.838228,172.878885,179.80112400000002
8,dis_TRINITY_DN10483_c0_g3,159.99759699999998,160.810229,166.231762,145.431288
1,dis_TRINITY_DN10492_c0_g1,159.80786,212.256031,160.757385,272.297884
7,dis_TRINITY_DN10495_c0_g2,259.179165,131.212031,176.06686,153.49013
1,dis_TRINITY_DN105_c0_g1,176.109636,159.281973,165.289611,147.98529
8,dis_TRINITY_DN10505_c0_g1,134.678361,141.242363,133.46866,132.201646
4,dis_TRINITY_DN10558_c0_g2,159.467066,222.35957,153.180397,171.91950500000002
8,dis_TRINITY_DN1056_c0_g1,179.914805,226.643786,175.917499,175.038237
7,dis_TRINITY_DN10601_c0_g4,416.789059,251.346405,255.43382,209.105161
1,dis_TRINITY_DN10610_c0_g1,157.998536,160.167291,144.672624,155.540453
1,dis_TRINITY_DN1062_c0_g2,789.311782,346.244695,360.901393,279.03153199999997
1,dis_TRINITY_DN1066_c0_g4,190.708711,208.971965,163.684193,175.337631
1,dis_TRINITY_DN1073_c0_g4,170.272295,151.659823,147.765105,141.585384
8,dis_TRINITY_DN1075_c0_g1,153.729166,201.910071,142.520305,171.574929
1,dis_TRINITY_DN1080_c1_g1,136.943667,145.434684,136.219469,134.837254
1,dis_TRINITY_DN10808_c0_g1,284.758774,330.721099,234.149626,304.43879400000003
1,dis_TRINITY_DN10814_c0_g1,189.180815,424.555937,237.736524,671.967567
8,dis_TRINITY_DN10818_c0_g1,188.228159,234.575241,207.066403,181.78887
7,dis_TRINITY_DN1082_c1_g3,130,267.183443,130,130.070882
2,dis_TRINITY_DN10821_c0_g1,250.986883,224.252871,218.476065,207.139555
1,dis_TRINITY_DN10828_c0_g1,247.341149,237.01496,239.422912,218.602771
1,dis_TRINITY_DN10828_c0_g2,508.474751,435.41653,495.977799,479.249448
1,dis_TRINITY_DN1083_c0_g1,157.751009,134.962962,293.323755,134.949021
1,dis_TRINITY_DN10834_c0_g1,150.575876,176.288423,145.872256,137.243336
2,dis_TRINITY_DN10835_c0_g2,130,136.430218,130,130
1,dis_TRINITY_DN10837_c0_g1,2238.93933,2183.986062,2748.551965,3125.89597
