GeneID,Fd_f_gametes_1,Fd_f_gametes_2,Fd_f_gametes_3,Fd_m_gametes_1,Fd_m_gametes_2,Fd_m_gametes_3,Fd_zygotes_48h_1,Fd_zygotes_48h_2,Fd_zygotes_48h_3,Fd_zygotes_96h_1,Fd_zygotes_96h_2,Fd_zygotes_96h_3,Fd_zygotes_3w_2,Fd_zygotes_3w_3,Fd_zygotes_2.5m_1,Fd_zygotes_2.5m_2,Fd_zygotes_2.5m_3,Fd_zygotes_5m_1,Fd_zygotes_5m_3,Fd_zygotes_6m_1,Fd_zygotes_6m_2,Fd_zygotes_6m_3,Fd_wild_matSP_holdfast_1,Fd_wild_matSP_holdfast_2,Fd_wild_matSP_holdfast_3,Fd_wild_matSP_reptip_1,Fd_wild_matSP_reptip_2,Fd_wild_matSP_reptip_3,Fd_wild_matSP_stipe_1,Fd_wild_matSP_stipe_2,Fd_wild_matSP_stipe_3,Fd_wild_matSP_vegtip_1,Fd_wild_matSP_vegtip_2,Fd_wild_matSP_vegtip_3
dis_TRINITY_DN0_c1_g2,4.060129,4.277891,5.334558,1.205914,0.826288,0.860782,15.993232,14.855744,24.588253,24.108159,25.744957,31.582303,17.436915,17.752799,16.857108,17.931858,15.373888000000001,14.642524,12.973334,13.657252,12.357169,14.428449,19.659815,17.678212,14.713205,16.368004,15.426846,16.837551,21.640343,17.448626,17.422436,9.297918,12.639564,10.873013
dis_TRINITY_DN1_c0_g4,9.533939,14.398779,13.330988,1.616832,1.857416,0.922468,24.735161,26.366129,29.16145,15.762295,16.266974,12.678069,12.273041,11.483215,10.557468,11.123627,10.426044,8.424541,8.994249,7.939252,7.941228,9.101834,10.159701,7.679617,6.473499,13.950547,16.247874,12.424956,6.038738,4.030452,5.304821,6.923498,9.672195,8.913055
dis_TRINITY_DN10_c0_g1,0,0,0,0,0,0,0,0,0,0.221603,0.199442,0.440169,0.891493,0.574036,2.464661,2.108277,3.82788,0.534365,0.417777,0.752895,1.808539,8.58851,0,0,0.028792,3.651126,14.551272,3.85427,0.029635,0.027923,0,9.816259,8.482444,18.593379
dis_TRINITY_DN10_c0_g3,0,0,0,0,0,0,0,0,0,0,0,0,7.549629,8.838183,3.431995,4.463365,3.550409,0.487682,0.441746,4.480233,6.766757,12.563834,0,0,0,0.68841,0.209006,0.784769,0,0.931773,0.102398,12.878935,13.879227,37.251854
dis_TRINITY_DN100_c0_g1,233.742441,309.005925,292.505652,39.214568,21.591006,16.264711,72.789478,89.493112,137.140383,54.570229,88.601926,111.021055,128.703938,113.007464,101.208127,105.433094,45.678514,46.272092,43.829173,33.01941,92.08537,84.285412,196.45065,185.349173,178.001777,189.869953,218.353812,164.891406,241.350384,206.583993,200.435215,76.224378,119.358992,103.717141
dis_TRINITY_DN100_c0_g3,2.96516,3.995332,4.279957,1.072974,1.274071,1.452763,6.539175,7.927415,13.111242,7.318552,14.007139,19.136091,14.22173,15.57119,14.833268,13.245395,6.499537,6.32208,6.874606,4.72104,12.583876,13.245691,15.625684,21.126385,18.840606,13.332211,24.558259,22.536603,15.368232,16.064742,16.068737,6.302604,10.806916,16.451693
dis_TRINITY_DN1000_c0_g1,22.944231,11.526915,17.084483,6.334081,11.890851,3.759288,16.374878,14.430929,10.056203,18.526073,20.388917,10.731453,15.478954,16.499542,13.807626,12.706519,13.861414,14.160331,15.515926,7.127759,15.34443,15.637251,11.450902,10.988929,8.817934,12.040279,11.602427,15.481128,7.420744,6.209696,5.280295,9.91172,13.306906,9.337326
dis_TRINITY_DN10001_c0_g1,33.179611,36.462342,37.445244,13.156428,7.648764,8.97563,43.118729,43.661168,35.375242,56.296485,43.241223,43.968531,35.194385,33.151074,44.908862,43.789761,40.60831,46.980385,48.393643,50.772811,38.421176,43.522796,31.373546,30.967157,34.286711,42.200591,34.784903,29.373379,42.831548,38.338983,56.678296,34.787768,32.520745,32.088186
dis_TRINITY_DN1001_c0_g1,0.117076,0.061227,0.032751,124.99957,166.280384,163.3779,0.357427,0.531109,0.403972,0.076804,0.138764,0.27103,0.068539,0.192019,1.254845,0.714102,1.091316,1.430196,3.352903,0.115712,0.396208,0.058892,0,0.036366,0.040064,9.334977,6.83055,11.317782,0.041204,0.155354,0,0.196563,0,0.934692
dis_TRINITY_DN1001_c0_g3,9.510428,13.689276,10.434887,5.512324,2.393523,3.033718,14.788404,15.776685,16.2913,30.071491,34.453554,31.99041,37.756419,44.28078,55.193523,49.691373,52.271551,49.789334,47.757222,49.920812,64.604139,65.867191,19.955885,13.934932,17.809248,19.778536,19.766114,19.003107,10.412778,11.558906,12.395353,18.466492,23.809364,20.304814
dis_TRINITY_DN10011_c0_g3,3.923144,6.443428,5.321791,1.948335,1.219721,1.020571,17.222445,18.167677,19.164075,23.013197,25.511765,24.365735,18.304886,9.041397,10.99543,9.129382,12.041169,12.080837,13.284512,12.919747,7.555172,8.067848,22.933005,16.794253,11.337304,10.116964,12.113045,11.977063,6.446514,7.131659,8.73132,4.784657,7.481433,4.006351
dis_TRINITY_DN10015_c0_g1,5.407066,8.096787,6.866181,1.069244,1.370826,0.702037,18.461897,20.099478,34.109002,17.463689,34.877938,41.259921,27.101386,27.014618,25.025143,24.026737,13.59627,14.016536,12.848153,8.866946,17.325853,16.57866,21.365228,15.06885,14.126602,11.36534,14.450842,10.996492,19.071491,19.253481,13.779346,5.76121,10.146065,9.871716
dis_TRINITY_DN10021_c0_g2,34.654679,41.713107,43.005696,20.828596,20.382475,17.554407,15.528329,15.71125,18.477767,13.416977,13.135336,12.747772,24.000108,21.993025,20.862071,23.09557,21.120277,18.738833,19.607227,17.141735,15.336615,20.340099,27.948008,20.132919,20.683311,32.676931,30.686486,23.9427,19.184589,15.97307,15.929891,12.622084,17.313326,13.949757
dis_TRINITY_DN10021_c0_g3,200.588201,204.433226,183.302265,89.582004,68.372395,68.920286,197.391705,160.852063,130.458854,192.979927,175.948803,164.325368,184.759429,226.8687,92.606317,97.416646,93.490815,99.939259,108.180486,119.527028,86.06224,92.665191,81.852742,87.066132,79.361409,132.054672,141.300986,159.033404,54.127783,42.225933,71.893241,106.55099,114.159249,80.674495
dis_TRINITY_DN10021_c0_g5,41.866844,59.020872,55.566261,8.792724,7.532593,5.043191,51.5898,48.054302,64.248899,35.642446,40.927488,33.490273,88.719902,87.601279,156.720269,159.268743,125.840094,187.132787,175.607069,110.576006,139.031943,154.4992,56.864562,61.004326,63.169275,52.048505,61.291339,46.952956,44.222765,37.48614,57.683181,40.792073,40.115155,59.77451
dis_TRINITY_DN10025_c0_g1,16.702526,16.624712,20.357459,7.56967,3.566178,5.683348,22.154076,25.68377,40.59261,41.438699,35.452191,49.909075,16.910266,14.140052,15.329305,15.937569,14.882836,13.666022,15.22792,16.654098,15.492651,16.616633,14.594356,10.972044,8.217479,17.137477,17.455075,15.570778,10.22471,11.735904,7.672417,8.409882,10.170916,8.014876
dis_TRINITY_DN1003_c0_g1,89.211895,80.851432,79.564801,18.700601,13.492853,12.898957,30.292729,38.99276,33.069138,30.356592,33.504429,28.157433,23.608107,23.174823,29.228476,29.311758,34.767363,35.836516,28.246195,22.077366,32.966883,21.191819,38.817693,42.810642,35.29954,55.269846,45.932451,36.39786,27.230673,19.285731,15.804816,27.661378,46.7433,26.019003
dis_TRINITY_DN10031_c0_g2,46.299953,42.188952,47.066137,18.237435,17.730614,13.868349,23.145468,23.940712,19.215613,36.592285,31.620339,26.942554,22.432724,26.635406,26.286465,22.316494,27.941277,27.553406,27.859414,18.036398,10.615131,12.472278,11.865103,8.586171,8.76639,24.118474,17.906161,19.942744,20.540189,15.766226,17.091454,17.33653,20.705677,21.15178
dis_TRINITY_DN10032_c0_g1,1077.270848,1621.169351,1308.846626,376.340895,303.43529,254.255871,1348.476079,1312.520271,1279.866552,1407.355849,1271.278195,1203.050369,4179.904564,3145.359053,2649.58881,2478.992753,3107.348763,2750.562174,3035.901412,5293.670752,4159.670008,4068.074947,3000.075005,2754.018688,2261.231578,3555.148196,3296.667927,3181.815176,3839.167053,2749.670591,4511.515467,3913.228598,2962.947694,2912.298454
dis_TRINITY_DN100378_c0_g1,8.34066,12.888583,10.828078,25.352778,25.094502,22.474168,5.222233,6.298345,7.985886,2.255431,5.970761,6.323884,11.457878,11.334424,10.076672,8.915027,2.788933,3.333871,4.351386,3.214702,7.965621,8.336976,10.70493,10.386337,9.964958,9.100212,12.592993,10.655578,9.728206,11.289594,9.953794,4.263361,4.78451,7.129401
dis_TRINITY_DN10039_c0_g1,11.310819,12.307177,8.999145,2.626307,2.165852,0,17.116297,23.162274,16.52017,19.600484,25.642036,15.046215,7.812441,5.369762,6.689255,8.870171,8.758306,7.226743,2.557009,3.24423,3.946152,3.454635,11.351046,10.761699,9.883114,9.082172,7.916733,8.209549,7.725594,6.008742,4.852986,5.225211,4.61447,5.444688
dis_TRINITY_DN1004_c0_g1,26.200348,31.921739,33.610294,6.429799,2.532103,1.790186,47.115183,44.24337,64.017605,44.262178,55.178791,60.037452,42.446151,42.984854,43.558887,44.576765,34.42411,32.191962,29.594175,22.669685,30.633835,34.286068,51.253902,38.792084,48.570729,31.008022,33.709941,28.385053,35.508268,27.409239,36.066483,18.780192,19.559757,25.648377
dis_TRINITY_DN1004_c0_g2,18.802649,27.972747,30.118941,6.046337,5.650332,4.951713,52.051761,56.748552,84.499366,82.780434,77.860219,92.413766,67.863037,65.655549,73.377688,75.220492,78.033863,60.215673,71.005916,63.885642,59.981431,63.147445,72.533436,63.682534,58.001802,45.653014,54.598523,44.313332,77.139497,68.15884,61.514465,37.162487,48.49475,55.80865
dis_TRINITY_DN10041_c0_g1,33.141213,35.179766,29.521389,16.362946,12.569752,13.543687,62.856965,60.348757,82.702527,72.3121,75.411023,89.326934,50.363543,39.005784,41.004778,39.77973,39.679248,38.11832,38.998481,30.406318,35.445345,38.657338,5.285481,3.436854,4.602212,33.067312,32.134514,34.783098,12.790216,7.279432,4.833659,24.040272,23.19994,28.15519
dis_TRINITY_DN10045_c0_g1,53.692555,89.41543,81.522672,674.704083,817.665569,815.569046,89.566596,88.105127,147.93081,101.411837,223.902561,254.94597,126.979455,106.994333,78.73502,80.751965,34.553307,35.086155,28.063223,12.826043,44.52498,46.401632,6.943158,3.044427,3.934406,52.154014,55.552797,29.376379,4.153136,2.506548,1.968719,0.881555,1.296814,0.869469
dis_TRINITY_DN10051_c0_g1,343.831347,353.220388,339.34963,150.082577,111.006158,91.441824,334.285671,330.077213,300.958145,276.053789,287.37232,270.742044,223.75419,328.525151,322.78864600000003,329.731498,381.992044,313.80129,347.539349,361.989489,324.261454,265.653443,159.453993,147.642235,120.152534,237.041772,244.333543,280.060554,199.597112,149.468043,188.33538,447.374721,296.483281,399.366745
dis_TRINITY_DN10055_c0_g1,1.045942,1.484509,1.179886,2.275073,2.750306,3.350222,5.150549,4.494195,8.223096,4.16416,6.537593,6.97827,2.777397,3.2125880000000002,1.414552,1.214156,0.944119,1.08132,1.422567,1.320684,1.866791,1.620736,1.235808,1.307644,0.62783,1.074822,1.146064,1.171683,0.969136,0.578377,0.786224,0.359327,0.502718,0.451016
dis_TRINITY_DN10059_c0_g1,85.412097,108.683113,108.518427,34.52389,24.016126,19.893711,50.631009,52.062763,57.602317,58.860422,57.984341,80.703832,116.511981,84.00883,47.350237,49.00872,45.973513,38.073323,26.89922,34.464208,52.407425,60.979607,65.09632,52.482265,30.444481,46.337433,41.870032,29.68711,27.845544,30.751039,37.109603,18.408873,16.463034,22.677791
dis_TRINITY_DN10059_c0_g2,144.429992,87.837485,134.448985,18.721772,5.837424,8.230511,93.21691,101.782904,88.998375,92.77436,104.366569,97.941302,91.040631,116.325274,56.264537,44.537416,42.063413,26.219215,34.53448,14.072182,22.746028,17.485833,2.958716,2.885678,2.101988,36.531168,19.165424,20.59645,6.218399,4.969483,4.169014,12.971952,31.225516,25.174975
dis_TRINITY_DN10061_c0_g1,0,0,0,1.316258,0.428471,0.537316,0,0,0,0,0,0,0,0,0.287859,0.037543,0.309037,0.083429,0.232915,12.762016,9.252439,18.755441,0.122068,0.11592,1.078682,1.229222,0.186964,0.979764,1.237835,1.229129,0.06094,0.155696,0,0.170897
dis_TRINITY_DN10066_c0_g1,3.521449,3.021042,3.024586,2.395676,1.559798,1.523336,4.74432,5.753171,5.919385,5.391424,4.796404,5.004199,2.585701,2.391049,1.653337,2.225175,1.175026,1.159588,0.744307,0.871787,0.502464,1.114156,2.59197,2.891813,1.769453,3.9683,3.167481,3.503564,1.025901,1.117136,0.737936,0.503478,1.236167,1.238672
dis_TRINITY_DN10067_c0_g2,2.45133,3.631079,3.354746,4.970746,8.942051,6.051555,8.171159,7.716102,12.243789,16.077172,15.5073,40.696353,276.201171,268.537168,64.717811,61.082582,71.696617,47.306388,38.823879,202.79144,187.539514,135.915239,68.904236,74.816399,81.283806,140.37551,128.381554,127.78841,136.877757,195.744006,78.250082,330.086046,302.096195,386.215315
dis_TRINITY_DN10080_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3052,0,0,0,0,7.689019,5.109636,9.653732,0,0.545376,0.567603,0.987017,0,0.446947,0.556906,2.104488,0,0,0,0.47343
dis_TRINITY_DN10084_c0_g1,47.524131,35.603491,37.350322,16.511308,5.661602,10.191601,33.05968,30.067009,24.849052,18.922617,19.443529,26.46297,57.695928,51.52301,27.14269,29.211097,25.365579,25.181935,20.97674,17.447512,19.108264,23.271577,31.280598,16.780123,23.55766,20.832375,16.044313,17.872761,16.298243,17.851245,12.830354,6.134482,24.292549,6.804114
dis_TRINITY_DN10087_c0_g1,0.242659,0,0,671.845774,876.941193,900.867178,0.195429,0.703431,0.366807,1.538224,0,0.446692,0,0,0,0,0,0,0,0,0,0,0,0,0,39.12888,20.865053,26.23256,0,0,0,0,0,0
dis_TRINITY_DN100876_c0_g1,17.24626,18.785384,22.283142,6.700671,5.119249,6.886515,21.823886,23.695736,22.606949,19.67047,17.007865,17.106652,21.825193,18.599221,16.883644,16.68433,17.648989,20.830601,24.223208,14.930036,12.950804,13.135385,24.919737,16.507802,18.455413,19.574201,21.032378,19.286077,10.758506,7.787685,12.467724,8.248614,9.576967,8.733889
