GeneID,Fd_f_gametes_1,Fd_f_gametes_2,Fd_f_gametes_3,Fd_m_gametes_1,Fd_m_gametes_2,Fd_m_gametes_3,Fd_zygotes_48h_1,Fd_zygotes_48h_2,Fd_zygotes_48h_3,Fd_zygotes_96h_1,Fd_zygotes_96h_2,Fd_zygotes_96h_3,Fd_zygotes_3w_2,Fd_zygotes_3w_3,Fd_zygotes_2.5m_1,Fd_zygotes_2.5m_2,Fd_zygotes_2.5m_3,Fd_zygotes_5m_1,Fd_zygotes_5m_3,Fd_zygotes_6m_1,Fd_zygotes_6m_2,Fd_zygotes_6m_3,Fd_wild_matSP_holdfast_1,Fd_wild_matSP_holdfast_2,Fd_wild_matSP_holdfast_3,Fd_wild_matSP_reptip_1,Fd_wild_matSP_reptip_2,Fd_wild_matSP_reptip_3,Fd_wild_matSP_stipe_1,Fd_wild_matSP_stipe_2,Fd_wild_matSP_stipe_3,Fd_wild_matSP_vegtip_1,Fd_wild_matSP_vegtip_2,Fd_wild_matSP_vegtip_3
dis_TRINITY_DN100_c0_g1,359.742441,435.005925,418.505652,165.214568,147.591006,142.264711,198.789478,215.493112,263.14038300000004,180.570229,214.601926,237.021055,254.703938,239.007464,227.208127,231.433094,171.678514,172.272092,169.829173,159.01941,218.08537,210.285412,322.45065,311.349173,304.001777,315.869953,344.353812,290.89140599999996,367.350384,332.58399299999996,326.43521499999997,202.224378,245.358992,229.717141
dis_TRINITY_DN10021_c0_g3,326.588201,330.433226,309.30226500000003,215.582004,194.372395,194.920286,323.391705,286.852063,256.458854,318.979927,301.948803,290.325368,310.759429,352.8687,218.606317,223.416646,219.490815,225.939259,234.180486,245.527028,212.06224,218.665191,207.852742,213.066132,205.361409,258.054672,267.30098599999997,285.033404,180.127783,168.225933,197.893241,232.55099,240.159249,206.674495
dis_TRINITY_DN10021_c0_g5,167.866844,185.020872,181.566261,134.792724,133.532593,131.043191,177.5898,174.054302,190.248899,161.642446,166.92748799999998,159.490273,214.719902,213.601279,282.72026900000003,285.268743,251.840094,313.132787,301.607069,236.576006,265.031943,280.4992,182.864562,187.004326,189.169275,178.048505,187.291339,172.952956,170.222765,163.48614,183.683181,166.79207300000002,166.11515500000002,185.77451
dis_TRINITY_DN10032_c0_g1,1203.270848,1747.169351,1434.846626,502.340895,429.43529,380.255871,1474.476079,1438.520271,1405.866552,1533.355849,1397.278195,1329.050369,4305.904564,3271.359053,2775.58881,2604.992753,3233.348763,2876.562174,3161.901412,5419.670752,4285.670008,4194.074947,3126.075005,2880.018688,2387.231578,3681.148196,3422.667927,3307.815176,3965.167053,2875.670591,4637.515467,4039.228598,3088.947694,3038.298454
dis_TRINITY_DN1004_c0_g2,144.802649,153.972747,156.118941,132.046337,131.650332,130.951713,178.051761,182.748552,210.499366,208.780434,203.860219,218.413766,193.863037,191.655549,199.377688,201.220492,204.033863,186.215673,197.005916,189.885642,185.981431,189.147445,198.533436,189.682534,184.001802,171.65301399999998,180.598523,170.313332,203.139497,194.15884,187.514465,163.162487,174.49475,181.80865
dis_TRINITY_DN10045_c0_g1,179.692555,215.41543,207.522672,800.704083,943.665569,941.569046,215.566596,214.105127,273.93081,227.411837,349.902561,380.94597,252.979455,232.994333,204.73502,206.751965,160.553307,161.086155,154.063223,138.826043,170.52498,172.401632,132.943158,129.044427,129.934406,178.154014,181.552797,155.37637899999999,130.153136,128.506548,127.968719,126.881555,127.296814,126.869469
dis_TRINITY_DN10051_c0_g1,469.831347,479.220388,465.34963,276.082577,237.006158,217.441824,460.285671,456.077213,426.958145,402.053789,413.37232,396.742044,349.75419,454.525151,448.78864600000003,455.731498,507.992044,439.80129,473.539349,487.989489,450.261454,391.653443,285.45399299999997,273.642235,246.152534,363.041772,370.333543,406.060554,325.59711200000004,275.46804299999997,314.33538,573.374721,422.483281,525.366745
dis_TRINITY_DN10059_c0_g1,211.412097,234.683113,234.518427,160.52389,150.016126,145.893711,176.631009,178.062763,183.602317,184.860422,183.984341,206.703832,242.511981,210.00883,173.350237,175.00871999999998,171.973513,164.07332300000002,152.89922,160.464208,178.407425,186.979607,191.09632,178.48226499999998,156.444481,172.337433,167.870032,155.68711,153.845544,156.751039,163.109603,144.408873,142.463034,148.677791
dis_TRINITY_DN10059_c0_g2,270.42999199999997,213.837485,260.448985,144.721772,131.837424,134.230511,219.21691,227.782904,214.998375,218.77436,230.366569,223.941302,217.040631,242.325274,182.264537,170.537416,168.063413,152.219215,160.53448,140.072182,148.746028,143.485833,128.958716,128.885678,128.101988,162.531168,145.165424,146.59645,132.218399,130.969483,130.169014,138.971952,157.225516,151.174975
dis_TRINITY_DN10061_c0_g1,126,126,126,127.316258,126.428471,126.537316,126,126,126,126,126,126,126,126,126.287859,126.037543,126.309037,126.083429,126.232915,138.762016,135.252439,144.755441,126.122068,126.11592,127.078682,127.229222,126.186964,126.979764,127.237835,127.229129,126.06094,126.155696,126,126.170897
dis_TRINITY_DN10067_c0_g2,128.45133,129.631079,129.354746,130.970746,134.942051,132.051555,134.171159,133.716102,138.243789,142.077172,141.5073,166.696353,402.201171,394.537168,190.717811,187.082582,197.696617,173.306388,164.823879,328.79143999999997,313.539514,261.91523900000004,194.904236,200.816399,207.283806,266.37550999999996,254.381554,253.78841,262.877757,321.744006,204.250082,456.086046,428.096195,512.2153149999999
dis_TRINITY_DN10080_c0_g1,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126.3052,126,126,126,126,133.689019,131.109636,135.653732,126,126.545376,126.567603,126.987017,126,126.446947,126.556906,128.104488,126,126,126,126.47343
dis_TRINITY_DN10087_c0_g1,126.242659,126,126,797.845774,1002.941193,1026.867178,126.195429,126.703431,126.366807,127.538224,126,126.446692,126,126,126,126,126,126,126,126,126,126,126,126,126,165.12888,146.865053,152.23256,126,126,126,126,126,126
dis_TRINITY_DN101_c0_g1,143.097287,144.03231,150.266825,138.175084,137.475292,138.31836,178.929189,182.023715,180.921192,191.354015,218.892097,242.320552,162.020685,163.316029,154.979736,147.762869,153.417205,147.978756,165.004161,148.848666,162.219227,163.400261,149.337897,149.029681,154.305059,137.951808,140.167176,145.204322,144.670345,139.954711,143.865039,132.294167,131.838988,138.021412
dis_TRINITY_DN10172_c0_g1,235.255989,260.310344,243.334729,242.506224,238.316475,245.139354,170.859478,168.977435,167.11941000000002,171.82065699999998,181.798199,183.660102,206.142365,218.711152,205.536168,205.785866,201.648967,193.631389,205.07954,156.667643,161.208333,168.990298,181.21038,194.97854,199.760079,293.033993,300.095234,290.51808,216.447232,205.516286,278.49300400000004,200.262371,198.468238,205.993962
