OG,Fs_F_gametes_1,Fs_F_gametes_2,Fs_F_gametes_3,Fs_M_gametes_1,Fs_M_gametes_2,Fs_M_gametes_3,Fs_zygotes_24h_1,Fs_zygotes_24h_2,Fs_zygotes_24h_3,Fs_zygotes_48h_1,Fs_zygotes_48h_2,Fs_zygotes_48h_3,Fs_zygotes_48h_4,Fs_zygotes_48h_5,Fs_zygotes_48h_6,Fs_zygotes_1w_1,Fs_zygotes_1w_2,Fs_zygotes_1w_3,Fs_zygotes_3w_1,Fs_zygotes_3w_2,Fs_zygotes_3w_3,Fs_zygotes_4w_1,Fs_zygotes_4w_2,Fs_zygotes_4w_3,Fs_Fwild_matSP_holdfast_1,Fs_Fwild_matSP_holdfast_2,Fs_Fwild_matSP_holdfast_3,Fs_Fwild_matSP_reptip_1,Fs_Fwild_matSP_reptip_2,Fs_Fwild_matSP_reptip_3,Fs_Fwild_matSP_stipe_1,Fs_Fwild_matSP_stipe_2,Fs_Fwild_matSP_stipe_3,Fs_Fwild_matSP_vegtip_1,Fs_Fwild_matSP_vegtip_2,Fs_Fwild_matSP_vegtip_3,Fs_Mwild_matSP_holdfast_1,Fs_Mwild_matSP_holdfast_2,Fs_Mwild_matSP_holdfast_3,Fs_Mwild_matSP_reptip_1,Fs_Mwild_matSP_reptip_2,Fs_Mwild_matSP_reptip_3,Fs_Mwild_matSP_stipe_1,Fs_Mwild_matSP_stipe_2,Fs_Mwild_matSP_stipe_3,Fs_Mwild_matSP_vegtip_1,Fs_Mwild_matSP_vegtip_2,Fs_Mwild_matSP_vegtip_3
OG0000002,3.371431,4.289446,5.322768,1.980679,2.170527,1.187184,12.614369,8.50691,13.719775,14.087564,12.757892,18.582319,11.296302,10.865772,15.669961,26.863758,25.923868,34.539419,26.868528,29.372227,37.474069,44.925072,45.947954,62.225936,25.734082,32.131515,18.155422,16.80024,43.855478,41.286724,37.435273,32.904691,10.442549,25.398333,34.389603,35.203395,31.214883,27.973638,61.283733,32.448578,31.588329,26.235733,46.22984,41.860796,31.868351,42.808577,22.375459,61.370595
OG0000003,612.173677,779.7272829999998,857.5162649999997,13.015828999999998,21.467624999999995,7.057203,501.15302100000014,442.380111,469.73543100000006,702.855504,678.6303129999997,662.6982650000001,740.1145940000001,699.0293140000001,654.3183980000001,396.01118099999997,465.636161,453.475622,392.4183510000001,393.783121,381.44846500000006,465.40022000000005,385.270574,430.52871600000003,250.310823,215.136346,296.69876399999987,243.393683,485.05295600000005,495.1988319999999,420.280752,234.62079400000002,114.65614399999998,252.287076,348.83767800000004,604.897468,274.366872,213.30999500000001,257.80304399999994,524.45277,456.6925579999999,403.283897,379.2727649999999,340.9813930000001,294.7269210000002,243.16749599999997,201.7047,235.58399699999995
OG0000006,15.528049,1.675214,5.181568,0,0,0,8.401706,20.933965,11.804007,27.009276,39.303474,23.733997,27.757573,35.702166,18.583929,1.757123,5.590588,1.310303,1.410411,1.29377,0.830294,1.902927,2.626313,3.89359,0,0,0.495508,63.360595000000004,31.998138,17.909189,0,0,13.490073,3.118919,34.817733,2.264881,0,0,0,4.654977,17.519078,4.290923,0,0,0,6.592289,18.627066,14.274506
OG0000011,42.471074,37.463153,42.57142,0.290505,1.02331,0.086882,21.564045,25.264152,20.680729,29.690953999999998,35.959997,27.389452,29.832061000000003,34.359824,29.602079,15.179314,18.719042,18.532093,12.558981,17.138982000000002,13.588867,13.271832999999999,13.256627,21.971986,6.305154,6.96802,9.920942,13.565982,20.116056,24.187641,11.511592,7.585,2.76182,11.195771,11.422012,24.097414,9.25637,8.629819,7.053629000000001,46.440307000000004,37.383029,22.220052,13.980166,15.935135,10.110058,9.320604,9.254638,7.2532
OG0000012,138.150156,145.31525899999997,440.06712,3.4343760000000003,3.84945,4.655557,483.39902800000004,521.048111,370.31753599999996,338.444223,385.400129,389.222318,259.995676,265.31512499999997,300.295121,220.377041,201.79213399999998,195.12637199999998,88.919708,243.222322,118.87016,166.18942799999996,203.06537,176.79140999999998,51.695521,188.32110799999998,131.99971,43.909150999999994,88.639513,65.381684,137.862011,118.102862,42.824251,47.406068,67.934851,135.166414,62.582891000000004,169.578435,83.00165199999999,41.462129000000004,40.667777,20.448938,106.741862,118.293289,54.123395,60.67509299999999,71.444795,30.299774
OG0000016,16.825874,22.218268,25.55191,0.078903,7.866433,1.621488,12.837152,11.954187,12.516229,32.135564,32.285744,34.007211,28.061722,30.471513,31.322515,27.336522,22.238935,31.272944,25.405633,27.67233,26.714216,35.317827,35.564511,31.897319,1.565383,1.456319,3.017415,2.35969,6.578556,3.456629,4.659508,3.088221,1.919347,12.189761,4.733743,8.482453,3.588304,3.259434,2.143658,5.445453,2.70976,5.054539,6.05787,5.184157,6.146469,7.193025,10.466857,7.851839
OG0000020,21.179407,10.847309,10.262906,2.099844,0.821378,1.775264,1.8529060000000002,1.4019759999999999,1.876045,0.746399,0.42447199999999996,0.5470440000000001,0.603517,0.204147,0.473885,0.812174,0.975717,1.015254,2.26078,1.326943,3.051201,3.753247,3.615183,5.501682,3.88064,1.105243,1.382778,10.218112,11.754047,34.719585,5.465607,1.90173,1.614264,17.448168,10.13847,18.65702,2.7140839999999997,1.8972520000000002,3.9618979999999997,12.480418000000002,17.753548000000002,7.841634,4.945734,4.286018,2.833964,14.540071999999999,14.207379999999999,43.859792
OG0000024,241.45452,147.69097,198.92113700000002,96.044335,86.330131,91.84109,182.86007,177.142182,141.73915699999998,168.48217499999998,143.277569,130.117819,167.653642,136.301506,132.977331,95.088529,104.12495200000001,98.49841599999999,179.881177,102.218981,161.262935,184.196205,123.99417199999999,138.612883,222.23630200000002,186.12706099999997,228.39829400000002,195.518767,395.128102,374.181237,214.506287,186.432656,98.39405,318.25470999999993,364.134559,464.64088100000004,173.91919099999998,183.92229600000002,269.522062,287.82072500000004,267.196297,403.26478000000003,154.52801,192.81141399999998,183.67573799999997,420.199059,427.693652,464.72152800000003
OG0000026,111.952846,118.39526,121.84362899999999,135.764848,131.637851,50.278655,68.061593,94.546592,86.15895899999998,42.599140000000006,64.009583,72.25863399999999,65.216514,48.319159,91.14272299999999,144.61338000000003,63.810811,70.553218,588.9424660000001,362.05072399999995,499.20764399999996,379.70509,295.36427299999997,267.37326099999996,224.386892,266.470428,246.463011,402.294556,353.581098,142.461172,315.38183,303.57003700000007,773.358248,434.83734400000003,355.181548,206.139886,401.405849,449.80183300000004,241.102014,344.408633,263.84879900000004,365.24059900000003,450.961765,468.12385699999993,381.186109,364.83402300000006,301.98042200000003,425.85278400000004
OG0000027,99.094022,90.857522,74.881746,0,0,0,41.88974,39.348685,36.179454,27.407794,27.991776,25.195698,20.889484,33.953106,27.740453,13.452343,16.714336,13.497932,18.456653,48.659412,32.805158,53.640222,45.57559,49.550657,2.407801,4.58321,3.266707,2.216627,16.241737,19.390788,5.174511,4.62113,0,2.762965,1.298466,28.708893,0.643006,6.937091,1.225838,1.4386,2.671464,0.756596,4.195974,3.186255,3.086667,1.127903,3.841703,1.738309
