PS,GeneID,gamete,24H,48H,1w,3w,4w,matSP
8,ser_TRINITY_DN1_c2_g2,433.19304999999997,358.740908,368.0290015,527.167788,720.049375,640.309362,770.968372
1,ser_TRINITY_DN1_c4_g6,0,0.298961,2.5207185,3.409947,0.25369,0.504463,4.0787925
2,ser_TRINITY_DN100_c0_g1,17.6847205,1.500091,11.123806,11.450797,4.004559,5.278348,1.1736045000000002
1,ser_TRINITY_DN10004_c0_g1,22.0305205,22.253297,19.462528499999998,10.932144,14.08567,14.456508,23.156473
8,ser_TRINITY_DN10005_c0_g1,3.585455,8.22367,11.709003,8.356058,9.573772,12.131634,7.825003499999999
1,ser_TRINITY_DN10006_c0_g1,8.011595499999999,23.426757,19.231870999999998,19.381691,20.158833,27.91507,8.237468
1,ser_TRINITY_DN10008_c0_g1,2.5093095,10.526047,8.9878535,8.580716,7.860329,10.441694,4.9003895
1,ser_TRINITY_DN10009_c0_g2,581.3641190000001,1236.099112,1674.1375285,2001.121195,3282.098359,3983.633751,2553.1668225
1,ser_TRINITY_DN10014_c0_g1,5.542572,0.192817,0,0,0,0,0
1,ser_TRINITY_DN10017_c0_g1,17.5894365,17.862144,109.76687849999999,13.358115,39.561136,64.092912,4.9926905
8,ser_TRINITY_DN10024_c0_g2,1.72318,4.461711,6.054721499999999,5.812692,7.575615,10.073449,4.5998295
5,ser_TRINITY_DN100298_c0_g1,360.2621505,318.492926,319.622295,192.276665,284.438523,225.288426,548.941422
1,ser_TRINITY_DN10030_c0_g1,9.433698,92.613917,163.4417025,41.004184,25.60012,34.208959,14.230982000000001
1,ser_TRINITY_DN10032_c0_g2,6.1561935,56.478776,44.108678499999996,21.629494,23.205702,23.271554,6.57993
1,ser_TRINITY_DN100337_c0_g6,21.1742205,102.105337,180.5433385,51.359402,69.099748,81.029496,64.04457550000001
1,ser_TRINITY_DN10034_c0_g1,81.3248725,76.372066,86.1478125,59.374958,94.802741,105.234571,81.3709725
8,ser_TRINITY_DN10037_c0_g1,10.332778,13.055859,11.856971,8.235247,7.806367,13.100438,8.027984499999999
1,ser_TRINITY_DN10037_c0_g2,91.55126200000001,132.411886,186.25598050000002,136.58256,133.73156,178.267779,95.1917485
7,ser_TRINITY_DN10037_c0_g3,4.2995874999999995,36.843947,81.5147345,18.748534,6.87554,8.473234,2.571213
1,ser_TRINITY_DN10037_c0_g4,28.134774500000002,57.063852,57.469911499999995,35.52833,41.131618,42.935317,21.457414
8,ser_TRINITY_DN10038_c0_g1,2.723544,17.064827,22.1422685,15.634456,12.565517,11.898191,4.743552
7,ser_TRINITY_DN1004_c0_g1,6.320256,57.719455,37.798012,38.794072,51.585063,51.693445,14.810668
7,ser_TRINITY_DN10045_c0_g1,5.2856905,73.588166,46.3632065,20.758671,10.176041,11.935508,6.51828
