PS,GeneID,gamete,24H,48H,1w,3w,4w,matSP
8,ser_TRINITY_DN1_c2_g2,8172,8139,8102,8162,8212,8206,8227
1,ser_TRINITY_DN1_c4_g6,102.5,574,1179,1362,600,668,2226
2,ser_TRINITY_DN100_c0_g1,6064,1017,2975,3357,1578,1728,945
1,ser_TRINITY_DN10004_c0_g1,6405,5189,4216,3224,4085,3712,6359
8,ser_TRINITY_DN10005_c0_g1,3086,2872,3083,2602,3121,3294,3685
1,ser_TRINITY_DN10006_c0_g1,4662,5287,4182,4817,4990,5443,3823
1,ser_TRINITY_DN10008_c0_g1,2421,3379,2509,2653,2690,2910,2616
1,ser_TRINITY_DN10009_c0_g2,8216,8265,8275,8265,8274,8288,8260
1,ser_TRINITY_DN10014_c0_g1,3919,502,165.5,220.5,202,209.5,197.5
1,ser_TRINITY_DN10017_c0_g1,6049,4640,7465,3794,6520,7081,2645
8,ser_TRINITY_DN10024_c0_g2,1822,1893,1925,2002,2604,2824,2463
5,ser_TRINITY_DN100298_c0_g1,8141,8120,8065,7953,8081,8004,8211
1,ser_TRINITY_DN10030_c0_g1,5001,7529,7777,6600,5599,5934,5265
1,ser_TRINITY_DN10032_c0_g2,4132,6955,6128,5124,5356,4971,3279
1,ser_TRINITY_DN100337_c0_g6,6345,7626,7832,6958,7318,7374,7658
1,ser_TRINITY_DN10034_c0_g1,7673,7341,7202,7171,7605,7610,7802
8,ser_TRINITY_DN10037_c0_g1,5169,3854,3112,2574,2673,3471,3751
1,ser_TRINITY_DN10037_c0_g2,7729,7793,7851,7820,7814,7923,7868
7,ser_TRINITY_DN10037_c0_g3,3438,6241,7132,4722,2399,2421,1556
1,ser_TRINITY_DN10037_c0_g4,6742,6972,6628,6325,6597,6411,6196
8,ser_TRINITY_DN10038_c0_g1,2568,4545,4533,4207,3799,3238,2541
7,ser_TRINITY_DN1004_c0_g1,4193,6992,5796,6489,6968,6715,5371
7,ser_TRINITY_DN10045_c0_g1,3832,7302,6216,4998,3267,3247,3256
8,ser_TRINITY_DN10049_c0_g1,1916,359,369,220.5,202,209.5,197.5
4,ser_TRINITY_DN10049_c0_g2,3091,417,343,220.5,202,209.5,453
1,ser_TRINITY_DN1005_c0_g1,7994,8148,8166,8204,8240,8226,8250
8,ser_TRINITY_DN10052_c0_g6,6512,4750,6636,6376,7556,7958,5994
8,ser_TRINITY_DN10055_c1_g4,468,3213,3022,5315,5818,5946,1223
2,ser_TRINITY_DN1006_c0_g1,3736,4319,3604,3707,3360,3450,3780
8,ser_TRINITY_DN10060_c0_g1,5139,586,934,691,522,528,197.5
7,ser_TRINITY_DN10064_c0_g1,7736,7898,7933,8056,8229,8221,8189
8,ser_TRINITY_DN10068_c0_g1,5296,3127,6941,7336,5934,5737,6234
1,ser_TRINITY_DN100695_c0_g1,721,1598,2610,6753,2521,3397,6434
8,ser_TRINITY_DN10078_c0_g1,2991,7907,8031,8023,8179,8231,8047
1,ser_TRINITY_DN10079_c0_g1,8285,8289,8289,8271,8253,8249,8245
1,ser_TRINITY_DN10082_c0_g2,4890,5159,5505,6776,7055,7214,6216
1,ser_TRINITY_DN10088_c0_g1,5099,3889,4178,3808,3273,3675,3555
1,ser_TRINITY_DN100907_c0_g1,7134,7894,8024,7946,7902,7842,7806
7,ser_TRINITY_DN100907_c0_g2,841,3671,2785,1326,770,804,740
8,ser_TRINITY_DN10096_c0_g1,3877,4816,4629,4487,4287,4151,4396
1,ser_TRINITY_DN10098_c0_g1,7593,7307,6136,6572,6807,7176,7426
1,ser_TRINITY_DN10101_c0_g1,4892,4768,6007,5484,4389,3006,2693
1,ser_TRINITY_DN10103_c0_g1,4000,7605,7695,5782,3932,4698,1638
7,ser_TRINITY_DN10104_c0_g1,5376,565,740,786,512,642,726
4,ser_TRINITY_DN101045_c0_g1,4709,4056,2915,2831,4020,3332,4964
8,ser_TRINITY_DN10106_c0_g1,8289,8290,8285,4472,609,723,759
1,ser_TRINITY_DN10107_c0_g1,3781,4589,4202,3158,3048,2969,2889
8,ser_TRINITY_DN101078_c0_g1,492,728,978,859,747,775,711
1,ser_TRINITY_DN10111_c0_g1,6569,7664,8004,7783,7784,7830,7733
6,ser_TRINITY_DN10113_c0_g1,5511,6322,6118,5531,5609,5505,3575
6,ser_TRINITY_DN10116_c0_g1,7668,8017,7675,7170,7177,7388,7084
1,ser_TRINITY_DN101175_c0_g2,5272,5050,5761,7038,6749,6051,7571
7,ser_TRINITY_DN101179_c0_g2,634,6299,6226,4746,3581,2770,1800
