PS,GeneID,gamete,matSP
8,ser_TRINITY_DN1_c2_g2,305.572212,511.10930900000005
1,ser_TRINITY_DN1_c4_g6,0,3.991208
2,ser_TRINITY_DN100_c0_g1,0.034403,1.054326
1,ser_TRINITY_DN10004_c0_g1,38.347317,24.968975
8,ser_TRINITY_DN10005_c0_g1,6.357968,7.6585805
1,ser_TRINITY_DN10006_c0_g1,21.108481,11.3063515
1,ser_TRINITY_DN10008_c0_g1,6.12973,4.713663
1,ser_TRINITY_DN10009_c0_g2,1071.230616,2793.5957264999997
1,ser_TRINITY_DN10014_c0_g1,0.436468,0
1,ser_TRINITY_DN10017_c0_g1,6.824704,4.9926905
8,ser_TRINITY_DN10024_c0_g2,2.717853,3.6378065
5,ser_TRINITY_DN100298_c0_g1,706.13638,726.5937974999999
1,ser_TRINITY_DN10030_c0_g1,22.213405,10.171547499999999
1,ser_TRINITY_DN10032_c0_g2,17.277509,7.0721935
1,ser_TRINITY_DN100337_c0_g6,49.221056,60.6187585
1,ser_TRINITY_DN10034_c0_g1,83.287962,89.2990615
8,ser_TRINITY_DN10037_c0_g1,22.643422,7.300338
1,ser_TRINITY_DN10037_c0_g2,103.733457,93.3435365
7,ser_TRINITY_DN10037_c0_g3,1.935919,1.863937
1,ser_TRINITY_DN10037_c0_g4,73.736473,20.888437500000002
8,ser_TRINITY_DN10038_c0_g1,6.825262,4.379975
7,ser_TRINITY_DN1004_c0_g1,22.153387,32.008519
7,ser_TRINITY_DN10045_c0_g1,9.74019,6.51828
8,ser_TRINITY_DN10049_c0_g1,0,0
4,ser_TRINITY_DN10049_c0_g2,0,0
1,ser_TRINITY_DN1005_c0_g1,385.402295,1389.866436
8,ser_TRINITY_DN10052_c0_g6,14.618306,24.951623499999997
8,ser_TRINITY_DN10055_c1_g4,0.560878,1.5668090000000001
2,ser_TRINITY_DN1006_c0_g1,11.220278,9.332357
8,ser_TRINITY_DN10060_c0_g1,0.711856,0
7,ser_TRINITY_DN10064_c0_g1,158.75976,399.533415
8,ser_TRINITY_DN10068_c0_g1,22.495431,37.4830605
1,ser_TRINITY_DN100695_c0_g1,2.424963,48.406220000000005
8,ser_TRINITY_DN10078_c0_g1,13.779893,160.174367
1,ser_TRINITY_DN10079_c0_g1,2665.267712,1264.270382
1,ser_TRINITY_DN10082_c0_g2,21.321645,23.358814000000002
1,ser_TRINITY_DN10088_c0_g1,8.682314,7.3435945
1,ser_TRINITY_DN100907_c0_g1,92.665538,84.203666
7,ser_TRINITY_DN100907_c0_g2,2.284752,0.5062775
8,ser_TRINITY_DN10096_c0_g1,9.019711,8.365048999999999
1,ser_TRINITY_DN10098_c0_g1,79.118494,60.706618
1,ser_TRINITY_DN10101_c0_g1,17.027468,3.5084705000000005
1,ser_TRINITY_DN10103_c0_g1,13.207868,4.0349125
7,ser_TRINITY_DN10104_c0_g1,2.723531,0.452325
4,ser_TRINITY_DN101045_c0_g1,19.807833,9.344363000000001
8,ser_TRINITY_DN10106_c0_g1,26963.594012,1.618857
1,ser_TRINITY_DN10107_c0_g1,10.113731,5.9950395
8,ser_TRINITY_DN101078_c0_g1,0.027245,0.3941655
1,ser_TRINITY_DN10111_c0_g1,51.712353,72.73551
6,ser_TRINITY_DN10113_c0_g1,17.130665,7.419892
6,ser_TRINITY_DN10116_c0_g1,180.007232,39.464504000000005
1,ser_TRINITY_DN101175_c0_g2,20.411405,53.184945
7,ser_TRINITY_DN101179_c0_g2,2.540315,4.1724775
8,ser_TRINITY_DN10118_c0_g1,6.276165,6.848190499999999
8,ser_TRINITY_DN10121_c0_g2,26.323247,9.392883000000001
1,ser_TRINITY_DN10123_c0_g1,6.023466,3.0174905
8,ser_TRINITY_DN10125_c0_g1,9.789703,2.114944
7,ser_TRINITY_DN10129_c0_g1,68.868264,11.7423155
8,ser_TRINITY_DN10134_c0_g1,9.434038,5.087181
7,ser_TRINITY_DN101352_c0_g1,25.845618,0.228317
8,ser_TRINITY_DN10138_c0_g1,54.636289,21.1896065
8,ser_TRINITY_DN10138_c1_g1,4.006187,27.089671000000003
1,ser_TRINITY_DN10138_c1_g2,15.733426,33.179976499999995
8,ser_TRINITY_DN10138_c1_g3,2.657071,2.181725
1,ser_TRINITY_DN1014_c0_g1,2.690108,6.215624
8,ser_TRINITY_DN101406_c0_g1,5.804664,7.3695175
1,ser_TRINITY_DN101406_c0_g2,1.949336,2.803084
8,ser_TRINITY_DN10143_c0_g1,5.867985,1.436325
8,ser_TRINITY_DN10144_c0_g1,1.974922,0.869612
8,ser_TRINITY_DN101469_c0_g1,6.69861,4.81262
1,ser_TRINITY_DN101532_c0_g1,24.415378,22.9504475
7,ser_TRINITY_DN10160_c0_g1,27.510974,14.56007
8,ser_TRINITY_DN10168_c0_g1,566.107389,8.8648785
8,ser_TRINITY_DN10169_c0_g1,3.040399,11.6825005
8,ser_TRINITY_DN10169_c0_g3,1.55795,9.3874155
7,ser_TRINITY_DN10169_c0_g6,31.650576,39.380415
1,ser_TRINITY_DN10169_c2_g1,28.772197,29.3839995
7,ser_TRINITY_DN101719_c0_g1,37.791873,25.706260999999998
1,ser_TRINITY_DN10174_c0_g1,18.687613,31.319081
7,ser_TRINITY_DN101743_c0_g1,2.764145,2.8151254999999997
1,ser_TRINITY_DN101750_c0_g2,2.833591,3.6758490000000004
8,ser_TRINITY_DN1019_c0_g2,0.902657,1.2804030000000002
8,ser_TRINITY_DN10190_c0_g1,12.476719,11.0264185
8,ser_TRINITY_DN10191_c0_g1,24.716414,36.0272245
7,ser_TRINITY_DN10196_c0_g1,0,0
7,ser_TRINITY_DN1020_c0_g1,13.635951,5.7191054999999995
8,ser_TRINITY_DN10201_c0_g1,0,0.014028
1,ser_TRINITY_DN1021_c0_g1,5.017468,5.3815975
7,ser_TRINITY_DN10212_c0_g1,80.533369,47.056867
1,ser_TRINITY_DN1022_c1_g1,5.056597,11.2727395
8,ser_TRINITY_DN1022_c1_g2,1.164604,0.4308675
1,ser_TRINITY_DN10222_c1_g1,3.166628,29.159126999999998
8,ser_TRINITY_DN102228_c0_g3,66.434346,36.313387
1,ser_TRINITY_DN10233_c0_g1,88.110539,279.748854
1,ser_TRINITY_DN1024_c0_g2,2.407377,4.2521375
8,ser_TRINITY_DN10244_c0_g2,21.458674,24.8639115
8,ser_TRINITY_DN10244_c0_g3,3.398241,5.556247
8,ser_TRINITY_DN10244_c7_g2,0.461529,4.205947
8,ser_TRINITY_DN10247_c0_g3,3.923394,39.245395
