PS,GeneID,gamete,matSP
8,ser_TRINITY_DN1_c2_g2,8079,8204
1,ser_TRINITY_DN1_c4_g6,259,2343
2,ser_TRINITY_DN100_c0_g1,578,961
1,ser_TRINITY_DN10004_c0_g1,6626,6496
8,ser_TRINITY_DN10005_c0_g1,3548,3790
1,ser_TRINITY_DN10006_c0_g1,5702,4793
1,ser_TRINITY_DN10008_c0_g1,3487,2662
1,ser_TRINITY_DN10009_c0_g2,8246,8259
1,ser_TRINITY_DN10014_c0_g1,1050,232.5
1,ser_TRINITY_DN10017_c0_g1,3674,2771
8,ser_TRINITY_DN10024_c0_g2,2279,2179
5,ser_TRINITY_DN100298_c0_g1,8215,8226
1,ser_TRINITY_DN10030_c0_g1,5794,4504
1,ser_TRINITY_DN10032_c0_g2,5342,3585
1,ser_TRINITY_DN100337_c0_g6,6944,7571
1,ser_TRINITY_DN10034_c0_g1,7444,7805
8,ser_TRINITY_DN10037_c0_g1,5830,3668
1,ser_TRINITY_DN10037_c0_g2,7610,7825
7,ser_TRINITY_DN10037_c0_g3,1917,1308
1,ser_TRINITY_DN10037_c0_g4,7346,6163
8,ser_TRINITY_DN10038_c0_g1,3675,2522
7,ser_TRINITY_DN1004_c0_g1,5790,6893
7,ser_TRINITY_DN10045_c0_g1,4337,3379
8,ser_TRINITY_DN10049_c0_g1,259,232.5
4,ser_TRINITY_DN10049_c0_g2,259,232.5
1,ser_TRINITY_DN1005_c0_g1,8125,8245
8,ser_TRINITY_DN10052_c0_g6,5056,6495
8,ser_TRINITY_DN10055_c1_g4,1160,1168
2,ser_TRINITY_DN1006_c0_g1,4582,4288
8,ser_TRINITY_DN10060_c0_g1,1255,232.5
7,ser_TRINITY_DN10064_c0_g1,7853,8182
8,ser_TRINITY_DN10068_c0_g1,5816,7115
1,ser_TRINITY_DN100695_c0_g1,2141,7383
8,ser_TRINITY_DN10078_c0_g1,4953,8035
1,ser_TRINITY_DN10079_c0_g1,8284,8240
1,ser_TRINITY_DN10082_c0_g2,5720,6375
1,ser_TRINITY_DN10088_c0_g1,4124,3684
1,ser_TRINITY_DN100907_c0_g1,7517,7774
7,ser_TRINITY_DN100907_c0_g2,2072,768
8,ser_TRINITY_DN10096_c0_g1,4204,4009
1,ser_TRINITY_DN10098_c0_g1,7397,7573
1,ser_TRINITY_DN10101_c0_g1,5319,2114
1,ser_TRINITY_DN10103_c0_g1,4872,2363
7,ser_TRINITY_DN10104_c0_g1,2282,740
4,ser_TRINITY_DN101045_c0_g1,5578,4292
8,ser_TRINITY_DN10106_c0_g1,8291,1191
1,ser_TRINITY_DN10107_c0_g1,4403,3188
8,ser_TRINITY_DN101078_c0_g1,561,726
1,ser_TRINITY_DN10111_c0_g1,7002,7696
6,ser_TRINITY_DN10113_c0_g1,5328,3715
6,ser_TRINITY_DN10116_c0_g1,7906,7180
1,ser_TRINITY_DN101175_c0_g2,5638,7455
7,ser_TRINITY_DN101179_c0_g2,2195,2427
8,ser_TRINITY_DN10118_c0_g1,3530,3500
8,ser_TRINITY_DN10121_c0_g2,6073,4315
1,ser_TRINITY_DN10123_c0_g1,3453,1875
8,ser_TRINITY_DN10125_c0_g1,4348,1427
7,ser_TRINITY_DN10129_c0_g1,7294,4893
8,ser_TRINITY_DN10134_c0_g1,4278,2812
7,ser_TRINITY_DN101352_c0_g1,6048,667
8,ser_TRINITY_DN10138_c0_g1,7070,6196
8,ser_TRINITY_DN10138_c1_g1,2767,6624
1,ser_TRINITY_DN10138_c1_g2,5195,6954
8,ser_TRINITY_DN10138_c1_g3,2256,1460
1,ser_TRINITY_DN1014_c0_g1,2270,3264
8,ser_TRINITY_DN101406_c0_g1,3382,3694
1,ser_TRINITY_DN101406_c0_g2,1921,1758
8,ser_TRINITY_DN10143_c0_g1,3404,1106
8,ser_TRINITY_DN10144_c0_g1,1939,890
8,ser_TRINITY_DN101469_c0_g1,3632,2699
1,ser_TRINITY_DN101532_c0_g1,5945,6339
7,ser_TRINITY_DN10160_c0_g1,6148,5416
8,ser_TRINITY_DN10168_c0_g1,8190,4162
8,ser_TRINITY_DN10169_c0_g1,2410,4880
8,ser_TRINITY_DN10169_c0_g3,1727,4313
7,ser_TRINITY_DN10169_c0_g6,6369,7178
1,ser_TRINITY_DN10169_c2_g1,6216,6760
7,ser_TRINITY_DN101719_c0_g1,6604,6532
1,ser_TRINITY_DN10174_c0_g1,5475,6865
7,ser_TRINITY_DN101743_c0_g1,2300,1763
1,ser_TRINITY_DN101750_c0_g2,2321,2202
8,ser_TRINITY_DN1019_c0_g2,1362,1031
8,ser_TRINITY_DN10190_c0_g1,4783,4730
8,ser_TRINITY_DN10191_c0_g1,5971,7047
7,ser_TRINITY_DN10196_c0_g1,259,232.5
7,ser_TRINITY_DN1020_c0_g1,4928,3066
8,ser_TRINITY_DN10201_c0_g1,259,484
1,ser_TRINITY_DN1021_c0_g1,3126,2934
7,ser_TRINITY_DN10212_c0_g1,7407,7364
1,ser_TRINITY_DN1022_c1_g1,3140,4784
8,ser_TRINITY_DN1022_c1_g2,1506,736
1,ser_TRINITY_DN10222_c1_g1,2464,6750
8,ser_TRINITY_DN102228_c0_g3,7255,7059
1,ser_TRINITY_DN10233_c0_g1,7478,8147
1,ser_TRINITY_DN1024_c0_g2,2129,2461
8,ser_TRINITY_DN10244_c0_g2,5732,6491
8,ser_TRINITY_DN10244_c0_g3,2547,3003
8,ser_TRINITY_DN10244_c7_g2,1075,2438
8,ser_TRINITY_DN10247_c0_g3,2743,7173
8,ser_TRINITY_DN10250_c0_g1,7010,7229
8,ser_TRINITY_DN102566_c0_g1,3680,4875
8,ser_TRINITY_DN1026_c0_g1,6505,4325
7,ser_TRINITY_DN10266_c0_g2,2334,6376
8,ser_TRINITY_DN1027_c0_g1,3691,4471
1,ser_TRINITY_DN10270_c0_g2,4823,4667
7,ser_TRINITY_DN102704_c0_g1,7553,6809
8,ser_TRINITY_DN10272_c0_g1,3973,1414
7,ser_TRINITY_DN102746_c0_g1,1868,2987
8,ser_TRINITY_DN10277_c0_g1,5939,5744
7,ser_TRINITY_DN10283_c0_g1,8065,2867
8,ser_TRINITY_DN10288_c0_g2,5699,232.5
1,ser_TRINITY_DN10289_c0_g1,3763,4750
7,ser_TRINITY_DN10292_c0_g1,1069,867
7,ser_TRINITY_DN10292_c0_g3,5009,6789
8,ser_TRINITY_DN10295_c0_g1,7162,4164
1,ser_TRINITY_DN102983_c0_g1,2098,232.5
8,ser_TRINITY_DN103_c0_g2,7975,8005
1,ser_TRINITY_DN10309_c0_g3,8258,7649
1,ser_TRINITY_DN1031_c0_g1,6625,4482
8,ser_TRINITY_DN10311_c0_g1,2879,2424
8,ser_TRINITY_DN103124_c1_g1,4517,2248
7,ser_TRINITY_DN10314_c0_g1,5496,5316
1,ser_TRINITY_DN10319_c0_g1,5838,5710
1,ser_TRINITY_DN1032_c0_g1,5205,709
8,ser_TRINITY_DN10322_c0_g1,4095,4801
1,ser_TRINITY_DN103275_c0_g1,3543,3521
8,ser_TRINITY_DN1033_c0_g1,1673,2668
2,ser_TRINITY_DN1033_c0_g3,6270,6085
4,ser_TRINITY_DN10333_c1_g1,7266,7420
7,ser_TRINITY_DN10334_c0_g1,3596,5302
8,ser_TRINITY_DN103350_c0_g1,3734,6115
8,ser_TRINITY_DN10338_c0_g1,3716,1501
8,ser_TRINITY_DN103436_c0_g2,6987,646
7,ser_TRINITY_DN10344_c0_g3,2291,3725
1,ser_TRINITY_DN103441_c0_g2,7210,7720
8,ser_TRINITY_DN103449_c0_g1,4833,4378
8,ser_TRINITY_DN10346_c0_g1,259,232.5
1,ser_TRINITY_DN10348_c0_g1,6834,4855
1,ser_TRINITY_DN10349_c0_g1,2738,5451
1,ser_TRINITY_DN103491_c0_g2,4707,2693
7,ser_TRINITY_DN10350_c0_g1,3587,6899
7,ser_TRINITY_DN10354_c0_g2,259,232.5
1,ser_TRINITY_DN103561_c0_g1,6681,4029
8,ser_TRINITY_DN10359_c1_g3,2494,3825
8,ser_TRINITY_DN10364_c0_g2,4025,3712
8,ser_TRINITY_DN10368_c0_g1,3872,1931
8,ser_TRINITY_DN1037_c0_g2,6288,2117
6,ser_TRINITY_DN10372_c0_g1,8018,7466
7,ser_TRINITY_DN1038_c0_g1,4335,2078
1,ser_TRINITY_DN10380_c0_g1,4585,5552
8,ser_TRINITY_DN10381_c0_g1,259,3028
8,ser_TRINITY_DN10386_c0_g1,5090,6057
1,ser_TRINITY_DN10388_c0_g1,5718,4949
1,ser_TRINITY_DN1039_c0_g1,2009,7212
7,ser_TRINITY_DN103925_c0_g1,4751,2473
6,ser_TRINITY_DN1040_c0_g1,6498,7097
8,ser_TRINITY_DN104004_c0_g1,3972,2036
1,ser_TRINITY_DN10401_c0_g3,8124,7753
8,ser_TRINITY_DN10403_c0_g1,6602,6447
7,ser_TRINITY_DN10409_c0_g1,2386,943
5,ser_TRINITY_DN10421_c0_g1,7863,5626
3,ser_TRINITY_DN104217_c0_g1,4015,3764
1,ser_TRINITY_DN10423_c0_g1,7203,6642
8,ser_TRINITY_DN1043_c0_g1,1365,1493
1,ser_TRINITY_DN10431_c0_g1,666,4792
7,ser_TRINITY_DN10450_c0_g1,7520,4423
7,ser_TRINITY_DN10451_c0_g1,798,1854
1,ser_TRINITY_DN10451_c1_g1,8034,232.5
2,ser_TRINITY_DN10454_c0_g1,4570,2698
1,ser_TRINITY_DN10457_c0_g1,922,1749
8,ser_TRINITY_DN10464_c0_g1,5309,1625
8,ser_TRINITY_DN10464_c0_g2,3567,1075
8,ser_TRINITY_DN104705_c0_g1,5751,4230
8,ser_TRINITY_DN104712_c0_g1,1052,1840
6,ser_TRINITY_DN10473_c0_g1,4094,2230
7,ser_TRINITY_DN1048_c0_g1,259,232.5
2,ser_TRINITY_DN104806_c0_g3,4764,4226
8,ser_TRINITY_DN10500_c0_g2,5421,2788
8,ser_TRINITY_DN10503_c0_g1,2637,3648
8,ser_TRINITY_DN105097_c0_g1,884,1310
8,ser_TRINITY_DN105154_c0_g1,4301,3311
1,ser_TRINITY_DN105233_c0_g1,4806,2730
1,ser_TRINITY_DN105378_c0_g4,8089,8004
8,ser_TRINITY_DN1054_c0_g1,7680,8051
7,ser_TRINITY_DN105448_c0_g1,259,684
2,ser_TRINITY_DN10546_c1_g1,5540,4531
7,ser_TRINITY_DN1055_c0_g1,899,1425
5,ser_TRINITY_DN10551_c0_g1,2856,1503
2,ser_TRINITY_DN10559_c0_g1,1782,3749
8,ser_TRINITY_DN10561_c0_g1,6565,6441
8,ser_TRINITY_DN10562_c0_g1,3830,6174
1,ser_TRINITY_DN10563_c0_g2,7423,7283
1,ser_TRINITY_DN10567_c0_g2,7179,5584
8,ser_TRINITY_DN10571_c0_g1,3014,2807
7,ser_TRINITY_DN10577_c0_g2,2941,1864
8,ser_TRINITY_DN10578_c0_g2,2910,3088
6,ser_TRINITY_DN10579_c0_g1,6043,6974
2,ser_TRINITY_DN10581_c0_g1,2349,3949
1,ser_TRINITY_DN10581_c0_g2,7669,6776
7,ser_TRINITY_DN10586_c0_g1,3515,2682
1,ser_TRINITY_DN10586_c0_g2,2227,5877
5,ser_TRINITY_DN10587_c0_g1,7729,7301
8,ser_TRINITY_DN1059_c0_g1,5352,1060
2,ser_TRINITY_DN1059_c0_g2,1897,3055
8,ser_TRINITY_DN1059_c0_g3,2473,3912
7,ser_TRINITY_DN10596_c0_g1,1297.5,3643
8,ser_TRINITY_DN10599_c0_g1,1593,2359
8,ser_TRINITY_DN106_c0_g2,684,4821
8,ser_TRINITY_DN1060_c0_g1,1987,2556
1,ser_TRINITY_DN10600_c0_g1,3346,4014
8,ser_TRINITY_DN10603_c0_g1,5289,4802
8,ser_TRINITY_DN10605_c1_g3,2708,3649
1,ser_TRINITY_DN10607_c0_g1,259,232.5
5,ser_TRINITY_DN10614_c0_g1,2296,4080
7,ser_TRINITY_DN10621_c0_g1,259,232.5
8,ser_TRINITY_DN10623_c0_g1,5021,6820
8,ser_TRINITY_DN10625_c0_g1,2047,4380
1,ser_TRINITY_DN1063_c0_g2,1184,1361
8,ser_TRINITY_DN10635_c0_g2,2607,2708
7,ser_TRINITY_DN10644_c0_g2,6718,5884
8,ser_TRINITY_DN106474_c0_g3,1384,5432
1,ser_TRINITY_DN106479_c0_g1,1724,5363
1,ser_TRINITY_DN10651_c0_g2,6208,5679
8,ser_TRINITY_DN10654_c0_g1,6560,7708
1,ser_TRINITY_DN10655_c0_g1,5046,4354
1,ser_TRINITY_DN10656_c0_g1,6674,6917
1,ser_TRINITY_DN10667_c0_g1,259,232.5
8,ser_TRINITY_DN1067_c0_g1,2786,2949
8,ser_TRINITY_DN10670_c0_g2,2217,1260
8,ser_TRINITY_DN10673_c0_g2,7132,6995
8,ser_TRINITY_DN10678_c0_g3,2142,4264
8,ser_TRINITY_DN10679_c0_g1,1636,5058
1,ser_TRINITY_DN1068_c0_g1,6509,2497
1,ser_TRINITY_DN10680_c0_g2,6059,6005
8,ser_TRINITY_DN10681_c0_g1,1547,512
8,ser_TRINITY_DN10687_c0_g1,1885,648
8,ser_TRINITY_DN106923_c1_g2,2345,2134
7,ser_TRINITY_DN106953_c0_g1,4265,5439
2,ser_TRINITY_DN10698_c0_g1,259,590
8,ser_TRINITY_DN10699_c0_g1,4607,5250
1,ser_TRINITY_DN107_c0_g1,8040,8228
1,ser_TRINITY_DN10701_c0_g4,259,232.5
2,ser_TRINITY_DN10703_c0_g2,2112,1392
8,ser_TRINITY_DN10709_c0_g1,4027,3766
