PS,GeneID,gamete,matSP
8,ser_TRINITY_DN1_c2_g2,444.572212,650.109309
1,ser_TRINITY_DN10004_c0_g1,177.347317,163.968975
1,ser_TRINITY_DN10009_c0_g2,1210.230616,2932.5957264999997
1,ser_TRINITY_DN10017_c0_g1,145.824704,143.9926905
5,ser_TRINITY_DN100298_c0_g1,845.13638,865.5937974999999
1,ser_TRINITY_DN10030_c0_g1,161.213405,149.17154749999997
1,ser_TRINITY_DN100337_c0_g6,188.221056,199.6187585
1,ser_TRINITY_DN10034_c0_g1,222.287962,228.2990615
1,ser_TRINITY_DN10037_c0_g2,242.733457,232.3435365
1,ser_TRINITY_DN10037_c0_g4,212.736473,159.8884375
1,ser_TRINITY_DN1005_c0_g1,524.402295,1528.866436
8,ser_TRINITY_DN10052_c0_g6,153.618306,163.95162349999998
7,ser_TRINITY_DN10064_c0_g1,297.75976000000003,538.533415
8,ser_TRINITY_DN10068_c0_g1,161.495431,176.4830605
1,ser_TRINITY_DN100695_c0_g1,141.424963,187.40622000000002
8,ser_TRINITY_DN10078_c0_g1,152.779893,299.17436699999996
1,ser_TRINITY_DN10079_c0_g1,2804.267712,1403.270382
1,ser_TRINITY_DN100907_c0_g1,231.665538,223.203666
1,ser_TRINITY_DN10098_c0_g1,218.118494,199.706618
1,ser_TRINITY_DN10103_c0_g1,152.207868,143.0349125
8,ser_TRINITY_DN10106_c0_g1,27102.594012,140.618857
1,ser_TRINITY_DN10111_c0_g1,190.712353,211.73551
6,ser_TRINITY_DN10116_c0_g1,319.007232,178.46450399999998
1,ser_TRINITY_DN101175_c0_g2,159.411405,192.184945
7,ser_TRINITY_DN10129_c0_g1,207.868264,150.74231550000002
8,ser_TRINITY_DN10138_c0_g1,193.636289,160.1896065
1,ser_TRINITY_DN10138_c1_g2,154.733426,172.1799765
8,ser_TRINITY_DN10168_c0_g1,705.107389,147.8648785
7,ser_TRINITY_DN101719_c0_g1,176.791873,164.70626099999998
8,ser_TRINITY_DN10191_c0_g1,163.716414,175.0272245
7,ser_TRINITY_DN10212_c0_g1,219.533369,186.056867
8,ser_TRINITY_DN102228_c0_g3,205.434346,175.31338699999998
1,ser_TRINITY_DN10233_c0_g1,227.110539,418.748854
8,ser_TRINITY_DN10244_c0_g2,160.458674,163.8639115
8,ser_TRINITY_DN10247_c0_g3,142.923394,178.245395
8,ser_TRINITY_DN10250_c0_g1,190.888797,180.5727845
8,ser_TRINITY_DN1027_c0_g1,145.888771,149.05303700000002
7,ser_TRINITY_DN102704_c0_g1,236.069127,169.247235
7,ser_TRINITY_DN10283_c0_g1,420.173079,144.2028815
7,ser_TRINITY_DN10292_c0_g1,139.456343,139.808385
8,ser_TRINITY_DN10295_c0_g1,199.402049,147.872559
1,ser_TRINITY_DN102983_c0_g1,141.329209,139
8,ser_TRINITY_DN103_c0_g2,348.62327500000004,286.3176155
1,ser_TRINITY_DN10309_c0_g3,1384.032257,206.931973
1,ser_TRINITY_DN1031_c0_g1,177.328225,149.095826
2,ser_TRINITY_DN1033_c0_g3,168.715185,159.0480325
1,ser_TRINITY_DN103441_c0_g2,201.760133,214.4591475
7,ser_TRINITY_DN10350_c0_g1,145.485169,171.07874850000002
8,ser_TRINITY_DN1037_c0_g2,169.037737,142.5112215
6,ser_TRINITY_DN10372_c0_g1,374.216449,192.625397
7,ser_TRINITY_DN1038_c0_g1,148.717806,142.4429735
1,ser_TRINITY_DN1039_c0_g1,141.138666,179.7391385
1,ser_TRINITY_DN10401_c0_g3,523.902795,219.5188965
5,ser_TRINITY_DN10421_c0_g1,301.03369,155.0953365
7,ser_TRINITY_DN10450_c0_g1,231.90961,148.8236815
1,ser_TRINITY_DN10451_c1_g1,390.029124,139
8,ser_TRINITY_DN10503_c0_g1,142.637805,146.259744
1,ser_TRINITY_DN105378_c0_g4,458.790572,285.297309
8,ser_TRINITY_DN1054_c0_g1,254.126821,310.15248099999997
7,ser_TRINITY_DN105448_c0_g1,139,139.2907275
8,ser_TRINITY_DN10561_c0_g1,175.397241,163.15598649999998
1,ser_TRINITY_DN10563_c0_g2,220.587254,182.556583
6,ser_TRINITY_DN10579_c0_g1,164.781513,172.566245
1,ser_TRINITY_DN10581_c0_g2,251.442857,168.6104305
5,ser_TRINITY_DN10587_c0_g1,261.21252400000003,183.37831749999998
1,ser_TRINITY_DN1063_c0_g2,139.589683,140.9875365
7,ser_TRINITY_DN10644_c0_g2,180.10753499999998,157.139134
8,ser_TRINITY_DN10654_c0_g1,175.29100499999998,213.32676850000001
1,ser_TRINITY_DN10656_c0_g1,178.530697,171.41636549999998
8,ser_TRINITY_DN10679_c0_g1,140.409947,151.634208
2,ser_TRINITY_DN10698_c0_g1,139,139.1027305
1,ser_TRINITY_DN107_c0_g1,400.075968,888.409461
7,ser_TRINITY_DN10712_c0_g1,744.675148,139.3029325
1,ser_TRINITY_DN10716_c2_g2,191.256058,214.871964
1,ser_TRINITY_DN10725_c0_g1,177.635969,203.35602849999998
8,ser_TRINITY_DN10734_c0_g1,187.06839,180.12188450000002
8,ser_TRINITY_DN10739_c0_g1,189.353549,162.85443600000002
2,ser_TRINITY_DN107551_c0_g1,225.342615,166.73194
8,ser_TRINITY_DN10769_c0_g2,240.944934,257.1046295
8,ser_TRINITY_DN1077_c0_g1,221.224447,149.8519915
1,ser_TRINITY_DN1077_c0_g5,235.775251,151.739279
8,ser_TRINITY_DN10778_c0_g1,147.983479,162.63589149999999
1,ser_TRINITY_DN10781_c0_g4,233.613423,445.3539585
1,ser_TRINITY_DN10786_c0_g1,145.760052,255.74157350000002
1,ser_TRINITY_DN10797_c0_g1,1002.524289,4150.746434000001
8,ser_TRINITY_DN10799_c0_g1,161.802481,162.114693
7,ser_TRINITY_DN108_c0_g1,159.471505,230.53353800000002
8,ser_TRINITY_DN10801_c0_g1,189.174579,158.845924
8,ser_TRINITY_DN108029_c0_g3,289.519067,174.236256
8,ser_TRINITY_DN10806_c0_g2,303.546242,152.8768205
8,ser_TRINITY_DN10810_c0_g2,167.888832,176.403075
1,ser_TRINITY_DN10819_c0_g3,269.96205199999997,266.433965
8,ser_TRINITY_DN10836_c0_g1,280.75735199999997,170.9181345
8,ser_TRINITY_DN10884_c0_g1,971.851712,311.9387655
7,ser_TRINITY_DN108841_c0_g1,243.169938,177.1267445
1,ser_TRINITY_DN10909_c0_g1,141.595971,182.0424345
8,ser_TRINITY_DN10937_c0_g2,621.3488219999999,139.18392
8,ser_TRINITY_DN10948_c0_g3,147.53754,185.457446
6,ser_TRINITY_DN1095_c0_g1,380.947108,315.51676050000003
7,ser_TRINITY_DN10974_c0_g1,178.123564,169.100634
8,ser_TRINITY_DN1099_c0_g3,139.740795,638.3908825
8,ser_TRINITY_DN1099_c0_g5,139.473712,514.984878
8,ser_TRINITY_DN10991_c0_g1,245.284021,321.3143435
8,ser_TRINITY_DN109989_c0_g1,357.440028,148.58434849999998
8,ser_TRINITY_DN11006_c0_g3,139.125443,139.134631
2,ser_TRINITY_DN1101_c0_g1,167.404332,194.012387
8,ser_TRINITY_DN1102_c0_g1,144.352802,168.9521065
8,ser_TRINITY_DN11032_c0_g1,230.000907,176.9012705
1,ser_TRINITY_DN11033_c0_g1,194.708687,193.42519049999999
7,ser_TRINITY_DN11037_c0_g1,148.771058,220.41625249999998
7,ser_TRINITY_DN11040_c0_g1,141.245944,145.575473
8,ser_TRINITY_DN11057_c0_g1,139.837607,159.848795
8,ser_TRINITY_DN11066_c0_g1,158.299799,164.801062
7,ser_TRINITY_DN1109_c1_g3,147.138315,143.44669850000002
8,ser_TRINITY_DN1110_c0_g1,141.954034,154.8680405
7,ser_TRINITY_DN11109_c0_g1,161.89834,175.0131215
1,ser_TRINITY_DN11116_c0_g2,264.858948,277.66468899999995
1,ser_TRINITY_DN11126_c0_g1,186.803698,228.1151095
8,ser_TRINITY_DN11140_c0_g1,158.739144,157.62523299999998
1,ser_TRINITY_DN11141_c0_g1,154.851038,143.715198
7,ser_TRINITY_DN1115_c0_g1,145.085833,157.973815
7,ser_TRINITY_DN11160_c0_g1,218.570247,175.4246675
1,ser_TRINITY_DN11162_c0_g1,165.512362,156.51569849999998
2,ser_TRINITY_DN11162_c0_g2,212.952101,232.5258725
2,ser_TRINITY_DN111805_c0_g2,254.727854,178.08774449999999
8,ser_TRINITY_DN1119_c0_g2,273.483335,146.122106
1,ser_TRINITY_DN111911_c0_g1,176.58247699999998,141.9956275
4,ser_TRINITY_DN1120_c0_g2,437.989774,154.17096099999998
8,ser_TRINITY_DN11208_c0_g1,300.77104099999997,207.35022500000002
7,ser_TRINITY_DN11220_c0_g1,139.120186,166.05708950000002
6,ser_TRINITY_DN112306_c0_g1,227.655483,140.168128
1,ser_TRINITY_DN112343_c0_g1,146.935205,170.96462300000002
8,ser_TRINITY_DN11238_c0_g1,143.071297,142.47886849999998
8,ser_TRINITY_DN11241_c0_g2,139.056617,196.619561
2,ser_TRINITY_DN11242_c0_g1,139,139
8,ser_TRINITY_DN11243_c0_g1,170.741961,194.739098
7,ser_TRINITY_DN1127_c0_g1,159.440541,177.02905149999998
1,ser_TRINITY_DN112839_c0_g1,181.505757,152.49992650000002
1,ser_TRINITY_DN11306_c0_g1,251.550453,299.5680565
1,ser_TRINITY_DN11316_c0_g1,409.383638,236.181312
1,ser_TRINITY_DN11329_c0_g2,183.076412,194.71489250000002
2,ser_TRINITY_DN11331_c0_g5,161.258112,153.6890675
8,ser_TRINITY_DN11355_c0_g1,174.996336,162.3865555
8,ser_TRINITY_DN11380_c0_g1,261.44135900000003,145.226651
1,ser_TRINITY_DN114_c0_g5,1080.4177519999998,421.5793865
8,ser_TRINITY_DN11436_c0_g2,142.441616,154.844281
1,ser_TRINITY_DN11443_c0_g1,413.470427,301.44969849999995
7,ser_TRINITY_DN114489_c0_g1,305.886563,650.9546955
7,ser_TRINITY_DN11449_c0_g1,234.642665,229.2646865
