PS,GeneID,holdfast,reptip,stipe,vegtip
8,ser_TRINITY_DN1_c2_g2,451.457067,684.827583,444.626131,712.071011
1,ser_TRINITY_DN1_c4_g6,0,13.922009,0,21.340713
2,ser_TRINITY_DN100_c0_g1,0.389728,1.656825,0.463999,1.090648
1,ser_TRINITY_DN10004_c0_g1,13.910216,46.49449,25.924948,26.065561
8,ser_TRINITY_DN10005_c0_g1,5.804143,9.051756,5.598481,8.751212
1,ser_TRINITY_DN10006_c0_g1,6.659034,13.898435,12.154257,11.85355
1,ser_TRINITY_DN10008_c0_g1,5.130104,7.215042,3.888409,3.757768
1,ser_TRINITY_DN10009_c0_g2,2685.553259,3484.012828,2709.528634,3122.335839
1,ser_TRINITY_DN10014_c0_g1,0,0.121385,0,0
1,ser_TRINITY_DN10017_c0_g1,5.004411,4.98097,2.076249,5.200695
8,ser_TRINITY_DN10024_c0_g2,2.106987,6.606096,2.285236,3.789514
5,ser_TRINITY_DN100298_c0_g1,420.963802,728.117084,561.003254,747.10467
1,ser_TRINITY_DN10030_c0_g1,9.925449,12.158414,10.417646,9.530536
1,ser_TRINITY_DN10032_c0_g2,9.511131,7.16021,6.984177,6.175683
1,ser_TRINITY_DN100337_c0_g6,69.212555,53.089706,92.216816,55.098795
1,ser_TRINITY_DN10034_c0_g1,84.28217,94.315953,69.38278,110.344896
8,ser_TRINITY_DN10037_c0_g1,8.378568,9.689795,7.206453,6.916331
1,ser_TRINITY_DN10037_c0_g2,89.84159,100.392629,82.479674,131.233346
7,ser_TRINITY_DN10037_c0_g3,2.566136,1.172131,1.924403,1.803471
1,ser_TRINITY_DN10037_c0_g4,21.950286,25.140303,18.118208,19.497335
8,ser_TRINITY_DN10038_c0_g1,3.350871,5.788865,2.546323,5.421765
7,ser_TRINITY_DN1004_c0_g1,11.713094,44.750132,15.435765,42.445597
7,ser_TRINITY_DN10045_c0_g1,8.139447,5.081911,10.373493,5.474034
8,ser_TRINITY_DN10049_c0_g1,0,0.02566,0,0
4,ser_TRINITY_DN10049_c0_g2,0,0.043132,0,0
1,ser_TRINITY_DN1005_c0_g1,1157.110256,1664.505985,1381.926024,1655.167522
8,ser_TRINITY_DN10052_c0_g6,35.836019,20.8254,40.048544,16.829707
