PS,GeneID,holdfast,reptip,stipe,vegtip
8,ser_TRINITY_DN1_c2_g2,8190,8211,8194,8218
1,ser_TRINITY_DN1_c4_g6,280,4753,302,5940
2,ser_TRINITY_DN100_c0_g1,853,914,898,996
1,ser_TRINITY_DN10004_c0_g1,5564,7095,6740,6341
8,ser_TRINITY_DN10005_c0_g1,3685,3588,3474,3785
1,ser_TRINITY_DN10006_c0_g1,3977,4746,5315,4525
1,ser_TRINITY_DN10008_c0_g1,3416,3051,2708,2042
1,ser_TRINITY_DN10009_c0_g2,8256,8265,8259,8264
1,ser_TRINITY_DN10014_c0_g1,280,452,302,232
1,ser_TRINITY_DN10017_c0_g1,3365,2240,1720,2574
8,ser_TRINITY_DN10024_c0_g2,1928,2844,1848,2057
5,ser_TRINITY_DN100298_c0_g1,8181,8213,8209,8220
1,ser_TRINITY_DN10030_c0_g1,4843,4375,4954,4007
1,ser_TRINITY_DN10032_c0_g2,4758,3036,3991,2953
1,ser_TRINITY_DN100337_c0_g6,7644,7234,7847,7374
1,ser_TRINITY_DN10034_c0_g1,7757,7728,7702,7843
8,ser_TRINITY_DN10037_c0_g1,4471,3766,4087,3197
1,ser_TRINITY_DN10037_c0_g2,7791,7777,7787,7918
7,ser_TRINITY_DN10037_c0_g3,2217,769,1633,1262
1,ser_TRINITY_DN10037_c0_g4,6383,6101,6150,5764
8,ser_TRINITY_DN10038_c0_g1,2627,2547,1984,2662
7,ser_TRINITY_DN1004_c0_g1,5218,7033,5849,7072
7,ser_TRINITY_DN10045_c0_g1,4393,2272,4943,2671
8,ser_TRINITY_DN10049_c0_g1,280,334,302,232
4,ser_TRINITY_DN10049_c0_g2,280,367,302,232
1,ser_TRINITY_DN1005_c0_g1,8235,8251,8240,8252
8,ser_TRINITY_DN10052_c0_g6,7081,5720,7296,5421
8,ser_TRINITY_DN10055_c1_g4,3054,804,2171,860
2,ser_TRINITY_DN1006_c0_g1,4806,3632,5093,3507
8,ser_TRINITY_DN10060_c0_g1,280,568,302,232
7,ser_TRINITY_DN10064_c0_g1,8184,8177,8186,8136
8,ser_TRINITY_DN10068_c0_g1,4634,7018,5843,7632
1,ser_TRINITY_DN100695_c0_g1,8078,5398,7875,3353
8,ser_TRINITY_DN10078_c0_g1,8219,3865,8214,2683
1,ser_TRINITY_DN10079_c0_g1,8244,8234,8241,8239
1,ser_TRINITY_DN10082_c0_g2,6643,5687,6755,6264
1,ser_TRINITY_DN10088_c0_g1,3920,3026,4444,3501
1,ser_TRINITY_DN100907_c0_g1,7933,7684,7792,7658
7,ser_TRINITY_DN100907_c0_g2,854,795,931,766
8,ser_TRINITY_DN10096_c0_g1,4599,3007,5171,3566
1,ser_TRINITY_DN10098_c0_g1,7845,7200,7667,6785
1,ser_TRINITY_DN10101_c0_g1,1389,2316,1564,3582
1,ser_TRINITY_DN10103_c0_g1,3693,2301,2202,1432
7,ser_TRINITY_DN10104_c0_g1,280,754,302,2004
4,ser_TRINITY_DN101045_c0_g1,3397,4061,4347,5526
8,ser_TRINITY_DN10106_c0_g1,1097,8261,1333,1212
1,ser_TRINITY_DN10107_c0_g1,3130,3303,3767,3616
8,ser_TRINITY_DN101078_c0_g1,798,1017,826,762
1,ser_TRINITY_DN10111_c0_g1,7726,7568,7714,7528
6,ser_TRINITY_DN10113_c0_g1,3101,4856,3371,4032
6,ser_TRINITY_DN10116_c0_g1,7397,7158,6776,6210
1,ser_TRINITY_DN101175_c0_g2,7291,7154,7630,7446
7,ser_TRINITY_DN101179_c0_g2,1086,3822,736,2493
8,ser_TRINITY_DN10118_c0_g1,3721,3499,3328,3240
8,ser_TRINITY_DN10121_c0_g2,4065,5092,3934,4972
1,ser_TRINITY_DN10123_c0_g1,2293,2648,1733,2425
8,ser_TRINITY_DN10125_c0_g1,1366,2203,1510,1456
7,ser_TRINITY_DN10129_c0_g1,5250,5501,4350,4615
8,ser_TRINITY_DN10134_c0_g1,2435,2892,3079,2788
7,ser_TRINITY_DN101352_c0_g1,280,2152,302,974
8,ser_TRINITY_DN10138_c0_g1,6590,7852,2800,6438
8,ser_TRINITY_DN10138_c1_g1,4895,6440,6945,6573
1,ser_TRINITY_DN10138_c1_g2,7002,5785,7499,6722
8,ser_TRINITY_DN10138_c1_g3,1968,1098,1928,1089
1,ser_TRINITY_DN1014_c0_g1,7021,1385,6358,1979
8,ser_TRINITY_DN101406_c0_g1,3932,3298,3521,3955
1,ser_TRINITY_DN101406_c0_g2,1830,1225,2305,2491
8,ser_TRINITY_DN10143_c0_g1,1381,1309,1268,1126
8,ser_TRINITY_DN10144_c0_g1,748,899,821,939
8,ser_TRINITY_DN101469_c0_g1,2381,2192,2646,2647
1,ser_TRINITY_DN101532_c0_g1,5676,6058,6544,6528
7,ser_TRINITY_DN10160_c0_g1,5115,5157,5173,5334
8,ser_TRINITY_DN10168_c0_g1,695,7625,302,7401
8,ser_TRINITY_DN10169_c0_g1,5423,4484,5035,4122
8,ser_TRINITY_DN10169_c0_g3,4664,4015,3857,4469
7,ser_TRINITY_DN10169_c0_g6,6563,6880,7263,7096
1,ser_TRINITY_DN10169_c2_g1,6651,6531,7115,5662.5
7,ser_TRINITY_DN101719_c0_g1,7098,6364,5543,6012
1,ser_TRINITY_DN10174_c0_g1,6826,7510,6953,6736
7,ser_TRINITY_DN101743_c0_g1,1835,1880,2078,1715
1,ser_TRINITY_DN101750_c0_g2,2934,1119,2170,2305
8,ser_TRINITY_DN1019_c0_g2,1521,739,1168,1140
8,ser_TRINITY_DN10190_c0_g1,5050,4329,5064,4392
8,ser_TRINITY_DN10191_c0_g1,6459,7529,6923,7636
7,ser_TRINITY_DN10196_c0_g1,280,147,302,232
7,ser_TRINITY_DN1020_c0_g1,3324,4177,3459,3328
8,ser_TRINITY_DN10201_c0_g1,601,338,302,232
1,ser_TRINITY_DN1021_c0_g1,3557,2486,3340,2540
7,ser_TRINITY_DN10212_c0_g1,7237,7356,7484,7496
1,ser_TRINITY_DN1022_c1_g1,6843,2879,6131,2887
8,ser_TRINITY_DN1022_c1_g2,880.5,626,302,906
1,ser_TRINITY_DN10222_c1_g1,6793,7172,6931,6720
8,ser_TRINITY_DN102228_c0_g3,7456,6168,7244,5684
1,ser_TRINITY_DN10233_c0_g1,8094,8126,8131,8152
1,ser_TRINITY_DN1024_c0_g2,1881,2052,3562,2212
8,ser_TRINITY_DN10244_c0_g2,7223,5541,7214,6214
8,ser_TRINITY_DN10244_c0_g3,3445,2570,3162,2936
8,ser_TRINITY_DN10244_c7_g2,3894,578,2839,1980
8,ser_TRINITY_DN10247_c0_g3,5520,7159,7564,7047
8,ser_TRINITY_DN10250_c0_g1,6763,7074,7235,7654
8,ser_TRINITY_DN102566_c0_g1,5375,3828,5162,4557
8,ser_TRINITY_DN1026_c0_g1,3760,4428,3386,5568
7,ser_TRINITY_DN10266_c0_g2,5051,6003,6578,6455
8,ser_TRINITY_DN1027_c0_g1,5183,3745,4325,4149
1,ser_TRINITY_DN10270_c0_g2,5042,4042,4935,4460
7,ser_TRINITY_DN102704_c0_g1,6423,7898,5867,7239
8,ser_TRINITY_DN10272_c0_g1,1650,1582,1973,799
7,ser_TRINITY_DN102746_c0_g1,2061,2896,3173,3478
8,ser_TRINITY_DN10277_c0_g1,5298,5323,5370,6108
7,ser_TRINITY_DN10283_c0_g1,2746,6979,3155,1709
8,ser_TRINITY_DN10288_c0_g2,280,1293,302,1316
1,ser_TRINITY_DN10289_c0_g1,4668,4246,5486,4470
7,ser_TRINITY_DN10292_c0_g1,280,2339,302,2756
7,ser_TRINITY_DN10292_c0_g3,7345,6094.5,6947,6603
8,ser_TRINITY_DN10295_c0_g1,3296,6432,4010.5,4908
1,ser_TRINITY_DN102983_c0_g1,280,147,302,232
8,ser_TRINITY_DN103_c0_g2,7947,8022,7972,7980
1,ser_TRINITY_DN10309_c0_g3,7282,8016,7198,8128
1,ser_TRINITY_DN1031_c0_g1,4234,5407,4682,5622
8,ser_TRINITY_DN10311_c0_g1,2849,2137,3849,831
8,ser_TRINITY_DN103124_c1_g1,2418,4017,2383,2026
7,ser_TRINITY_DN10314_c0_g1,4045,4914,5037,5211
1,ser_TRINITY_DN10319_c0_g1,3135,5829,4247,6378
1,ser_TRINITY_DN1032_c0_g1,805,5136,302,960
8,ser_TRINITY_DN10322_c0_g1,5159,4058,5677,4609
1,ser_TRINITY_DN103275_c0_g1,3437,2989,3797,3888
8,ser_TRINITY_DN1033_c0_g1,2646,2981,2815,2512
2,ser_TRINITY_DN1033_c0_g3,6447,5724,6027,5729
4,ser_TRINITY_DN10333_c1_g1,7006,7313,7335,7414
7,ser_TRINITY_DN10334_c0_g1,3528,5288,4736,5204
8,ser_TRINITY_DN103350_c0_g1,5434,5717,5263,6125
8,ser_TRINITY_DN10338_c0_g1,1122,1927,1660,2334
8,ser_TRINITY_DN103436_c0_g2,672,4347,745,634
7,ser_TRINITY_DN10344_c0_g3,3406,3110,3191,4019
1,ser_TRINITY_DN103441_c0_g2,7589,7835,7701,7977
8,ser_TRINITY_DN103449_c0_g1,4626,4264,3462,4178
8,ser_TRINITY_DN10346_c0_g1,280,538,302,232
1,ser_TRINITY_DN10348_c0_g1,4554,4617,3433,4856
1,ser_TRINITY_DN10349_c0_g1,6077,4639,6377,3561
1,ser_TRINITY_DN103491_c0_g2,2386,3926,2413,2984
7,ser_TRINITY_DN10350_c0_g1,6401,7157,6542,7171
7,ser_TRINITY_DN10354_c0_g2,280,147,302,232
1,ser_TRINITY_DN103561_c0_g1,2242,5052,2380,5547
8,ser_TRINITY_DN10359_c1_g3,4149,3409,4596,3400
8,ser_TRINITY_DN10364_c0_g2,2274,3948,1716,5174
8,ser_TRINITY_DN10368_c0_g1,2581,1450,2557,1146
8,ser_TRINITY_DN1037_c0_g2,2915,3827,2226,1170
6,ser_TRINITY_DN10372_c0_g1,6617,7742,6527,7728
7,ser_TRINITY_DN1038_c0_g1,4218,1249,2655,1785
