PS,GeneID,holdfast,reptip,stipe,vegtip
8,ser_TRINITY_DN1_c2_g2,590.457067,823.827583,583.626131,851.071011
1,ser_TRINITY_DN10004_c0_g1,152.910216,185.49449,164.924948,165.065561
1,ser_TRINITY_DN10009_c0_g2,2824.553259,3623.012828,2848.528634,3261.335839
1,ser_TRINITY_DN10017_c0_g1,144.004411,143.98097,141.076249,144.200695
5,ser_TRINITY_DN100298_c0_g1,559.963802,867.117084,700.003254,886.10467
1,ser_TRINITY_DN10030_c0_g1,148.925449,151.158414,149.417646,148.530536
1,ser_TRINITY_DN100337_c0_g6,208.212555,192.089706,231.216816,194.098795
1,ser_TRINITY_DN10034_c0_g1,223.28217,233.315953,208.38278,249.344896
1,ser_TRINITY_DN10037_c0_g2,228.84159,239.392629,221.479674,270.233346
1,ser_TRINITY_DN10037_c0_g4,160.950286,164.140303,157.118208,158.497335
1,ser_TRINITY_DN1005_c0_g1,1296.110256,1803.505985,1520.926024,1794.167522
8,ser_TRINITY_DN10052_c0_g6,174.836019,159.8254,179.048544,155.82970699999998
7,ser_TRINITY_DN10064_c0_g1,566.720281,576.353158,556.813444,454.210639
8,ser_TRINITY_DN10068_c0_g1,147.934695,183.3363,154.410031,217.056677
1,ser_TRINITY_DN100695_c0_g1,372.321218,157.18556999999998,238.391362,146.385722
8,ser_TRINITY_DN10078_c0_g1,901.084864,149.080555,735.602948,144.500078
1,ser_TRINITY_DN10079_c0_g1,1673.054201,1113.173978,1713.327476,1241.81328
1,ser_TRINITY_DN100907_c0_g1,268.620458,226.72934,222.075821,219.838555
1,ser_TRINITY_DN10098_c0_g1,239.947561,190.398077,204.094133,173.248456
1,ser_TRINITY_DN10103_c0_g1,144.821584,144.150219,141.919606,141.234646
8,ser_TRINITY_DN10106_c0_g1,139.868901,2809.338005,140.359053,140.648488
1,ser_TRINITY_DN10111_c0_g1,218.655623,213.859676,209.611344,205.960894
6,ser_TRINITY_DN10116_c0_g1,189.208869,188.117605,165.588706,163.218368
1,ser_TRINITY_DN101175_c0_g2,183.181238,187.989046,199.566811,198.929552
7,ser_TRINITY_DN10129_c0_g1,150.895623,157.987929,147.0094,151.249416
8,ser_TRINITY_DN10138_c0_g1,163.78516,255.763361,143.059484,166.692894
1,ser_TRINITY_DN10138_c1_g2,172.483411,160.481864,189.235041,171.876542
8,ser_TRINITY_DN10168_c0_g1,139.123032,220.096911,139,195.43676
7,ser_TRINITY_DN101719_c0_g1,175.774301,168.254648,152.56391,161.157874
8,ser_TRINITY_DN10191_c0_g1,161.88179,210.38162,168.236516,217.573966
7,ser_TRINITY_DN10212_c0_g1,180.691188,198.723568,188.283699,202.747342
8,ser_TRINITY_DN102228_c0_g3,193.326149,165.153163,177.175181,157.792455
1,ser_TRINITY_DN10233_c0_g1,384.490488,450.721887,402.220737,481.545804
8,ser_TRINITY_DN10244_c0_g2,180.286933,158.259141,176.193537,163.26104
8,ser_TRINITY_DN10247_c0_g3,152.645981,188.121444,193.978773,180.666275
8,ser_TRINITY_DN10250_c0_g1,167.097087,185.085511,176.911722,219.452919
8,ser_TRINITY_DN1027_c0_g1,150.550533,148.620597,146.942245,149.067597
7,ser_TRINITY_DN102704_c0_g1,161.445908,270.159309,154.567229,187.754927
7,ser_TRINITY_DN10283_c0_g1,142.591772,182.133306,143.849895,141.891227
7,ser_TRINITY_DN10292_c0_g1,139,144.241517,139,144.646001
8,ser_TRINITY_DN10295_c0_g1,143.860384,169.244444,146.019195,152.706164
1,ser_TRINITY_DN102983_c0_g1,139,139,139,139
