PS,GeneID,gamete,matSP
8,ser_TRINITY_DN1_c2_g2,444.339254,913.6783915
1,ser_TRINITY_DN1_c4_g6,0,5.6631025
2,ser_TRINITY_DN100_c0_g1,83.903616,1.4121229999999998
1,ser_TRINITY_DN10004_c0_g1,3.174458,22.3452505
8,ser_TRINITY_DN10005_c0_g1,0.265547,7.825003499999999
1,ser_TRINITY_DN10006_c0_g1,4.12563,5.4755
1,ser_TRINITY_DN10008_c0_g1,0.090821,4.9003895
1,ser_TRINITY_DN10009_c0_g2,212.911796,1873.1824085
1,ser_TRINITY_DN10014_c0_g1,18.846907,0
1,ser_TRINITY_DN10017_c0_g1,23.435808,5.5544835
8,ser_TRINITY_DN10024_c0_g2,0.76191,8.3330165
5,ser_TRINITY_DN100298_c0_g1,15.452682,535.223045
1,ser_TRINITY_DN10030_c0_g1,1.947017,16.778316
1,ser_TRINITY_DN10032_c0_g2,0,6.056752
1,ser_TRINITY_DN100337_c0_g6,0.283547,78.9184535
1,ser_TRINITY_DN10034_c0_g1,79.361783,74.0633265
8,ser_TRINITY_DN10037_c0_g1,0.202824,9.108597
1,ser_TRINITY_DN10037_c0_g2,65.226638,96.200136
7,ser_TRINITY_DN10037_c0_g3,7.298603,3.243566
1,ser_TRINITY_DN10037_c0_g4,0.313776,24.655516499999997
8,ser_TRINITY_DN10038_c0_g1,0.387496,4.7770225
7,ser_TRINITY_DN1004_c0_g1,0,12.0556625
7,ser_TRINITY_DN10045_c0_g1,0.411147,6.7360524999999996
8,ser_TRINITY_DN10049_c0_g1,5.715626,0.0553
4,ser_TRINITY_DN10049_c0_g2,11.215753,0.1078065
1,ser_TRINITY_DN1005_c0_g1,63.694801,1982.1435864999999
8,ser_TRINITY_DN10052_c0_g6,40.951819,17.956712500000002
8,ser_TRINITY_DN10055_c1_g4,0,3.1159905
2,ser_TRINITY_DN1006_c0_g1,0,7.8815040000000005
8,ser_TRINITY_DN10060_c0_g1,27.697477,0.1217945
7,ser_TRINITY_DN10064_c0_g1,65.023436,400.501122
8,ser_TRINITY_DN10068_c0_g1,4.13633,18.0635775
1,ser_TRINITY_DN100695_c0_g1,0.260854,19.247901
8,ser_TRINITY_DN10078_c0_g1,0,183.71892
1,ser_TRINITY_DN10079_c0_g1,11879.975626,1431.979476
1,ser_TRINITY_DN10082_c0_g2,1.390621,18.544805
1,ser_TRINITY_DN10088_c0_g1,11.150454,8.4209145
1,ser_TRINITY_DN100907_c0_g1,0.641506,75.98154600000001
7,ser_TRINITY_DN100907_c0_g2,0.023202,0.502116
8,ser_TRINITY_DN10096_c0_g1,0.719974,13.2632125
1,ser_TRINITY_DN10098_c0_g1,56.685995,42.727631
1,ser_TRINITY_DN10101_c0_g1,2.474989,5.768608
1,ser_TRINITY_DN10103_c0_g1,0.059388,2.5630415
7,ser_TRINITY_DN10104_c0_g1,23.010347,0.3302275
4,ser_TRINITY_DN101045_c0_g1,0,14.358556
8,ser_TRINITY_DN10106_c0_g1,0.182356,0.0499145
1,ser_TRINITY_DN10107_c0_g1,0.210127,5.1722850000000005
8,ser_TRINITY_DN101078_c0_g1,0.55269,0.47519649999999997
1,ser_TRINITY_DN10111_c0_g1,2.335929,75.8126235
6,ser_TRINITY_DN10113_c0_g1,10.657759,8.135714
6,ser_TRINITY_DN10116_c0_g1,3.328722,35.618703499999995
1,ser_TRINITY_DN101175_c0_g2,1.055789,74.2129965
7,ser_TRINITY_DN101179_c0_g2,0.369204,2.7142685
8,ser_TRINITY_DN10118_c0_g1,0,7.1083985
8,ser_TRINITY_DN10121_c0_g2,2.139236,13.753584499999999
1,ser_TRINITY_DN10123_c0_g1,0.159086,5.1081389999999995
8,ser_TRINITY_DN10125_c0_g1,0.352466,2.3252420000000003
7,ser_TRINITY_DN10129_c0_g1,2.177944,13.033764999999999
8,ser_TRINITY_DN10134_c0_g1,15.134367,5.13387
7,ser_TRINITY_DN101352_c0_g1,3.085565,0.230789
8,ser_TRINITY_DN10138_c0_g1,0,22.5830505
8,ser_TRINITY_DN10138_c1_g1,4.574129,26.2560725
1,ser_TRINITY_DN10138_c1_g2,2.881909,29.7945025
8,ser_TRINITY_DN10138_c1_g3,0,2.2940925
1,ser_TRINITY_DN1014_c0_g1,0,10.15977
8,ser_TRINITY_DN101406_c0_g1,0.052966,10.2637205
1,ser_TRINITY_DN101406_c0_g2,3.601158,5.96366
8,ser_TRINITY_DN10143_c0_g1,0,1.8950285
8,ser_TRINITY_DN10144_c0_g1,0,0.6089605
8,ser_TRINITY_DN101469_c0_g1,0.033744,5.330401
1,ser_TRINITY_DN101532_c0_g1,8.665661,30.6220495
7,ser_TRINITY_DN10160_c0_g1,1.082942,22.600716
8,ser_TRINITY_DN10168_c0_g1,0,2.3034499999999998
8,ser_TRINITY_DN10169_c0_g1,12.148137,12.12188
8,ser_TRINITY_DN10169_c0_g3,1.874038,10.383668499999999
7,ser_TRINITY_DN10169_c0_g6,1.086822,33.623722
1,ser_TRINITY_DN10169_c2_g1,6.850866,28.550663
7,ser_TRINITY_DN101719_c0_g1,3.765064,25.2988775
1,ser_TRINITY_DN10174_c0_g1,0.362426,22.391931
7,ser_TRINITY_DN101743_c0_g1,0,3.437468
1,ser_TRINITY_DN101750_c0_g2,0,4.3627735
8,ser_TRINITY_DN1019_c0_g2,0.641308,2.296689
8,ser_TRINITY_DN10190_c0_g1,1.030063,12.456107
8,ser_TRINITY_DN10191_c0_g1,0.394989,22.2190845
7,ser_TRINITY_DN10196_c0_g1,74.510903,0.268252
7,ser_TRINITY_DN1020_c0_g1,0.12943,8.277448
8,ser_TRINITY_DN10201_c0_g1,22.964743,0.0587945
1,ser_TRINITY_DN1021_c0_g1,0.581464,8.3632435
7,ser_TRINITY_DN10212_c0_g1,87.141679,84.99023650000001
1,ser_TRINITY_DN1022_c1_g1,0.785589,24.859335
8,ser_TRINITY_DN1022_c1_g2,0.913929,0.6593979999999999
1,ser_TRINITY_DN10222_c1_g1,2.006333,24.082675000000002
8,ser_TRINITY_DN102228_c0_g3,23.277279,46.328349
1,ser_TRINITY_DN10233_c0_g1,0.390237,262.6160615
1,ser_TRINITY_DN1024_c0_g2,0,5.967055
8,ser_TRINITY_DN10244_c0_g2,0.27683,25.898167
8,ser_TRINITY_DN10244_c0_g3,15.34483,5.8435714999999995
8,ser_TRINITY_DN10244_c7_g2,0,4.661245
8,ser_TRINITY_DN10247_c0_g3,12.932865,39.846583
8,ser_TRINITY_DN10250_c0_g1,5.64719,46.877658
8,ser_TRINITY_DN102566_c0_g1,0.681368,16.154252
8,ser_TRINITY_DN1026_c0_g1,0.296559,8.2926395
7,ser_TRINITY_DN10266_c0_g2,0.186928,24.409881
8,ser_TRINITY_DN1027_c0_g1,0.351659,10.392068
1,ser_TRINITY_DN10270_c0_g2,0.024163,13.793947
7,ser_TRINITY_DN102704_c0_g1,6.538009,28.4807395
8,ser_TRINITY_DN10272_c0_g1,0,1.1764644999999998
7,ser_TRINITY_DN102746_c0_g1,0.041294,9.934524
8,ser_TRINITY_DN10277_c0_g1,32.229643,15.3751275
7,ser_TRINITY_DN10283_c0_g1,0,3.5870819999999997
8,ser_TRINITY_DN10288_c0_g2,0,0.265122
1,ser_TRINITY_DN10289_c0_g1,1.903319,10.2787805
7,ser_TRINITY_DN10292_c0_g1,0.075892,0.8826855
7,ser_TRINITY_DN10292_c0_g3,0.185855,35.3456945
8,ser_TRINITY_DN10295_c0_g1,0,7.544311
1,ser_TRINITY_DN102983_c0_g1,55.820206,0.4929795
8,ser_TRINITY_DN103_c0_g2,466.480759,113.62620799999999
1,ser_TRINITY_DN10309_c0_g3,40.012862,48.935491
1,ser_TRINITY_DN1031_c0_g1,0.488671,10.6506245
8,ser_TRINITY_DN10311_c0_g1,0,1.8445144999999998
8,ser_TRINITY_DN103124_c1_g1,2.689701,4.7348254999999995
7,ser_TRINITY_DN10314_c0_g1,0,11.243219
1,ser_TRINITY_DN10319_c0_g1,41.973423,16.688373
1,ser_TRINITY_DN1032_c0_g1,0.669355,1.0767995000000001
8,ser_TRINITY_DN10322_c0_g1,4.701948,15.625849500000001
1,ser_TRINITY_DN103275_c0_g1,5.463087,8.463417499999998
8,ser_TRINITY_DN1033_c0_g1,184.917934,8.0401875
2,ser_TRINITY_DN1033_c0_g3,4.047876,22.816916
4,ser_TRINITY_DN10333_c1_g1,853.907927,43.4576245
7,ser_TRINITY_DN10334_c0_g1,17.850439,12.1651025
8,ser_TRINITY_DN103350_c0_g1,0.893582,21.566378
8,ser_TRINITY_DN10338_c0_g1,0.048922,2.9425790000000003
8,ser_TRINITY_DN103436_c0_g2,0.292463,0.572902
7,ser_TRINITY_DN10344_c0_g3,0,6.1818314999999995
1,ser_TRINITY_DN103441_c0_g2,18.828381,91.2983185
8,ser_TRINITY_DN103449_c0_g1,0.612217,11.38503
8,ser_TRINITY_DN10346_c0_g1,78.946171,0.4843495
1,ser_TRINITY_DN10348_c0_g1,0.693002,16.4230035
1,ser_TRINITY_DN10349_c0_g1,0,19.850396
1,ser_TRINITY_DN103491_c0_g2,10.722353,5.056387
7,ser_TRINITY_DN10350_c0_g1,2.837116,29.151795
7,ser_TRINITY_DN10354_c0_g2,58.096359,0.2991865
1,ser_TRINITY_DN103561_c0_g1,1.693773,7.1633510000000005
