PS,GeneID,gamete,matSP
8,ser_TRINITY_DN1_c2_g2,9.190662397847564,10.04121887289874
1,ser_TRINITY_DN10004_c0_g1,7.161630331794098,7.342921368175588
1,ser_TRINITY_DN10009_c0_g2,8.463163842466143,10.975262181171683
1,ser_TRINITY_DN10017_c0_g1,7.3525802954393455,7.18541546910894
5,ser_TRINITY_DN100298_c0_g1,7.280331697252809,9.399220333067248
1,ser_TRINITY_DN10030_c0_g1,7.149208721087638,7.292582223956357
1,ser_TRINITY_DN100337_c0_g6,7.132202003768764,7.7742497598752935
1,ser_TRINITY_DN10034_c0_g1,7.777168392457837,7.741893843001643
1,ser_TRINITY_DN10037_c0_g2,7.681074191754244,7.883865985189173
1,ser_TRINITY_DN10037_c0_g4,7.132512849418276,7.363307037534717
1,ser_TRINITY_DN1005_c0_g1,7.670265347951687,11.051306558503494
8,ser_TRINITY_DN10052_c0_g6,7.499461800105178,7.303385436670795
7,ser_TRINITY_DN10064_c0_g1,7.679645021790596,9.07815380255825
8,ser_TRINITY_DN10068_c0_g1,7.171290206792163,7.304361156371712
1,ser_TRINITY_DN100695_c0_g1,7.131968606997932,7.315130546640302
8,ser_TRINITY_DN10078_c0_g1,7.129283016944966,8.338597877201627
1,ser_TRINITY_DN10079_c0_g1,13.553146350117302,10.61836666633856
1,ser_TRINITY_DN100907_c0_g1,7.135878613940201,7.754764239979946
1,ser_TRINITY_DN10098_c0_g1,7.619750424140656,7.513550996113363
1,ser_TRINITY_DN10103_c0_g1,7.129894878414667,7.155456211139448
8,ser_TRINITY_DN10106_c0_g1,7.131160966276109,7.129797292426961
1,ser_TRINITY_DN10111_c0_g1,7.153156068416542,7.753635444444057
6,ser_TRINITY_DN10116_c0_g1,7.163183933602602,7.456302690740077
1,ser_TRINITY_DN101175_c0_g2,7.14012206583794,7.742902202156535
7,ser_TRINITY_DN10129_c0_g1,7.151553867461929,7.257706190560269
8,ser_TRINITY_DN10138_c0_g1,7.129283016944966,7.34503305214352
1,ser_TRINITY_DN10138_c1_g2,7.158679450867457,7.407645938745877
