PS,GeneID,gamete,matSP
8,ser_TRINITY_DN1_c2_g2,8157,8235
1,ser_TRINITY_DN1_c4_g6,769.5,2738
2,ser_TRINITY_DN100_c0_g1,7817,991
1,ser_TRINITY_DN10004_c0_g1,5421,6205
8,ser_TRINITY_DN10005_c0_g1,2621,3494
1,ser_TRINITY_DN10006_c0_g1,5697,2671
1,ser_TRINITY_DN10008_c0_g1,1849,2433
1,ser_TRINITY_DN10009_c0_g2,8071,8253
1,ser_TRINITY_DN10014_c0_g1,6997,107.5
1,ser_TRINITY_DN10017_c0_g1,7150,2703
8,ser_TRINITY_DN10024_c0_g2,3781,3661
5,ser_TRINITY_DN100298_c0_g1,6839,8211
1,ser_TRINITY_DN10030_c0_g1,4894,5528
1,ser_TRINITY_DN10032_c0_g2,769.5,2875
1,ser_TRINITY_DN100337_c0_g6,2670,7793
1,ser_TRINITY_DN10034_c0_g1,7788,7763
8,ser_TRINITY_DN10037_c0_g1,2399,3896
1,ser_TRINITY_DN10037_c0_g2,7696,7883
7,ser_TRINITY_DN10037_c0_g3,6220,1735
1,ser_TRINITY_DN10037_c0_g4,2799,6421
8,ser_TRINITY_DN10038_c0_g1,3025,2379
7,ser_TRINITY_DN1004_c0_g1,769.5,4636
7,ser_TRINITY_DN10045_c0_g1,3078,3140
8,ser_TRINITY_DN10049_c0_g1,6001,321
4,ser_TRINITY_DN10049_c0_g2,6611,430
1,ser_TRINITY_DN1005_c0_g1,7683,8256
8,ser_TRINITY_DN10052_c0_g6,7477,5708
8,ser_TRINITY_DN10055_c1_g4,769.5,1682
2,ser_TRINITY_DN1006_c0_g1,769.5,3517
8,ser_TRINITY_DN10060_c0_g1,7270,445
7,ser_TRINITY_DN10064_c0_g1,7693,8190
8,ser_TRINITY_DN10068_c0_g1,5701,5729
1,ser_TRINITY_DN100695_c0_g1,2606,5867
8,ser_TRINITY_DN10078_c0_g1,769.5,8093
1,ser_TRINITY_DN10079_c0_g1,8284,8247
1,ser_TRINITY_DN10082_c0_g2,4481,5794
1,ser_TRINITY_DN10088_c0_g1,6608,3685
1,ser_TRINITY_DN100907_c0_g1,3582,7777
7,ser_TRINITY_DN100907_c0_g2,1548,680
8,ser_TRINITY_DN10096_c0_g1,3714,4901
1,ser_TRINITY_DN10098_c0_g1,7637,7295
1,ser_TRINITY_DN10101_c0_g1,5155,2766
1,ser_TRINITY_DN10103_c0_g1,1681,1444
7,ser_TRINITY_DN10104_c0_g1,7133,605
4,ser_TRINITY_DN101045_c0_g1,769.5,5120
8,ser_TRINITY_DN10106_c0_g1,2308,303
1,ser_TRINITY_DN10107_c0_g1,2425.5,2555
8,ser_TRINITY_DN101078_c0_g1,3409,666
1,ser_TRINITY_DN10111_c0_g1,5101,7774
6,ser_TRINITY_DN10113_c0_g1,6567,3597
6,ser_TRINITY_DN10116_c0_g1,5472,7079
1,ser_TRINITY_DN101175_c0_g2,4128.5,7764
7,ser_TRINITY_DN101179_c0_g2,2973,1512
8,ser_TRINITY_DN10118_c0_g1,769.5,3261
8,ser_TRINITY_DN10121_c0_g2,4994,5019
1,ser_TRINITY_DN10123_c0_g1,2204,2521
8,ser_TRINITY_DN10125_c0_g1,2924.5,1346
7,ser_TRINITY_DN10129_c0_g1,5013,4860
8,ser_TRINITY_DN10134_c0_g1,6831,2533
7,ser_TRINITY_DN101352_c0_g1,5393,549
8,ser_TRINITY_DN10138_c0_g1,769.5,6237
8,ser_TRINITY_DN10138_c1_g1,5803,6533
1,ser_TRINITY_DN10138_c1_g2,5323,6769
8,ser_TRINITY_DN10138_c1_g3,769.5,1333
1,ser_TRINITY_DN1014_c0_g1,769.5,4153
