PS,GeneID,gamete,matSP
8,ser_TRINITY_DN1_c2_g2,583.339254,1052.6783915
1,ser_TRINITY_DN10004_c0_g1,142.174458,161.34525050000002
1,ser_TRINITY_DN10009_c0_g2,351.911796,2012.1824085000003
1,ser_TRINITY_DN10017_c0_g1,162.435808,144.5544835
5,ser_TRINITY_DN100298_c0_g1,154.452682,674.223045
1,ser_TRINITY_DN10030_c0_g1,140.947017,155.77831600000002
1,ser_TRINITY_DN100337_c0_g6,139.283547,217.9184535
1,ser_TRINITY_DN10034_c0_g1,218.361783,213.06332650000002
1,ser_TRINITY_DN10037_c0_g2,204.226638,235.200136
1,ser_TRINITY_DN10037_c0_g4,139.313776,163.6555165
1,ser_TRINITY_DN1005_c0_g1,202.694801,2121.1435865000003
8,ser_TRINITY_DN10052_c0_g6,179.951819,156.9567125
7,ser_TRINITY_DN10064_c0_g1,204.023436,539.501122
8,ser_TRINITY_DN10068_c0_g1,143.13633,157.0635775
1,ser_TRINITY_DN100695_c0_g1,139.260854,158.247901
8,ser_TRINITY_DN10078_c0_g1,139,322.71891999999997
1,ser_TRINITY_DN10079_c0_g1,12018.975626,1570.979476
1,ser_TRINITY_DN100907_c0_g1,139.641506,214.981546
1,ser_TRINITY_DN10098_c0_g1,195.685995,181.72763099999997
1,ser_TRINITY_DN10103_c0_g1,139.059388,141.5630415
8,ser_TRINITY_DN10106_c0_g1,139.182356,139.0499145
1,ser_TRINITY_DN10111_c0_g1,141.335929,214.8126235
6,ser_TRINITY_DN10116_c0_g1,142.328722,174.61870349999998
1,ser_TRINITY_DN101175_c0_g2,140.055789,213.2129965
7,ser_TRINITY_DN10129_c0_g1,141.177944,152.03376500000002
8,ser_TRINITY_DN10138_c0_g1,139,161.5830505
1,ser_TRINITY_DN10138_c1_g2,141.881909,168.79450250000002
8,ser_TRINITY_DN10168_c0_g1,139,141.30345
7,ser_TRINITY_DN101719_c0_g1,142.765064,164.2988775
8,ser_TRINITY_DN10191_c0_g1,139.394989,161.2190845
7,ser_TRINITY_DN10212_c0_g1,226.141679,223.9902365
8,ser_TRINITY_DN102228_c0_g3,162.277279,185.328349
1,ser_TRINITY_DN10233_c0_g1,139.390237,401.6160615
8,ser_TRINITY_DN10244_c0_g2,139.27683,164.898167
8,ser_TRINITY_DN10247_c0_g3,151.932865,178.846583
8,ser_TRINITY_DN10250_c0_g1,144.64719,185.877658
8,ser_TRINITY_DN1027_c0_g1,139.351659,149.392068
7,ser_TRINITY_DN102704_c0_g1,145.538009,167.4807395
7,ser_TRINITY_DN10283_c0_g1,139,142.587082
7,ser_TRINITY_DN10292_c0_g1,139.075892,139.8826855
8,ser_TRINITY_DN10295_c0_g1,139,146.544311
1,ser_TRINITY_DN102983_c0_g1,194.820206,139.4929795
8,ser_TRINITY_DN103_c0_g2,605.480759,252.62620800000002
1,ser_TRINITY_DN10309_c0_g3,179.01286199999998,187.935491
1,ser_TRINITY_DN1031_c0_g1,139.488671,149.6506245
2,ser_TRINITY_DN1033_c0_g3,143.047876,161.816916
1,ser_TRINITY_DN103441_c0_g2,157.828381,230.2983185
7,ser_TRINITY_DN10350_c0_g1,141.837116,168.151795
8,ser_TRINITY_DN1037_c0_g2,139.297073,144.292196
6,ser_TRINITY_DN10372_c0_g1,156.727862,173.689044
7,ser_TRINITY_DN1038_c0_g1,139.371943,144.96959900000002
1,ser_TRINITY_DN1039_c0_g1,139.109251,164.46558199999998
1,ser_TRINITY_DN10401_c0_g3,169.40082,175.6317575
5,ser_TRINITY_DN10421_c0_g1,140.215018,155.980395
7,ser_TRINITY_DN10450_c0_g1,139.080194,150.8088065
1,ser_TRINITY_DN10451_c1_g1,1075.899884,139.133701
8,ser_TRINITY_DN10503_c0_g1,142.536147,155.751843
1,ser_TRINITY_DN105378_c0_g4,143.583797,316.16997250000003
8,ser_TRINITY_DN1054_c0_g1,139.519077,240.58405299999998
7,ser_TRINITY_DN105448_c0_g1,139,139
8,ser_TRINITY_DN10561_c0_g1,139.81313,159.806123
1,ser_TRINITY_DN10563_c0_g2,589.664895,181.74990300000002
6,ser_TRINITY_DN10579_c0_g1,139,166.25584550000002
1,ser_TRINITY_DN10581_c0_g2,153.916833,171.137648
5,ser_TRINITY_DN10587_c0_g1,157.273785,165.028262
1,ser_TRINITY_DN1063_c0_g2,139.127477,140.2878945
7,ser_TRINITY_DN10644_c0_g2,139.255836,154.1488865
8,ser_TRINITY_DN10654_c0_g1,156.607154,264.51507300000003
1,ser_TRINITY_DN10656_c0_g1,631.9639999999999,186.535465
8,ser_TRINITY_DN10679_c0_g1,139,140.615907
2,ser_TRINITY_DN10698_c0_g1,139,139.9853415
1,ser_TRINITY_DN107_c0_g1,144.914576,637.8932195
7,ser_TRINITY_DN10712_c0_g1,139,139.60725200000002
1,ser_TRINITY_DN10716_c2_g2,175.460843,196.258515
1,ser_TRINITY_DN10725_c0_g1,139.73983,191.4677575
8,ser_TRINITY_DN10734_c0_g1,139,178.48315399999998
8,ser_TRINITY_DN10739_c0_g1,139.063508,158.579396
2,ser_TRINITY_DN107551_c0_g1,142.809565,160.1914055
8,ser_TRINITY_DN10769_c0_g2,142.044425,261.98901750000005
8,ser_TRINITY_DN1077_c0_g1,139.661977,145.03777250000002
1,ser_TRINITY_DN1077_c0_g5,139.668642,147.9905305
8,ser_TRINITY_DN10778_c0_g1,139.163413,169.250072
1,ser_TRINITY_DN10781_c0_g4,249.695466,509.093053
1,ser_TRINITY_DN10786_c0_g1,141.280464,269.746498
1,ser_TRINITY_DN10797_c0_g1,212.339184,5128.953825500001
8,ser_TRINITY_DN10799_c0_g1,143.066576,162.1788295
7,ser_TRINITY_DN108_c0_g1,205.338482,214.0312875
8,ser_TRINITY_DN10801_c0_g1,145.209253,157.47936199999998
8,ser_TRINITY_DN108029_c0_g3,144.581132,186.929845
8,ser_TRINITY_DN10806_c0_g2,139,161.57800600000002
8,ser_TRINITY_DN10810_c0_g2,139.541973,254.120139
1,ser_TRINITY_DN10819_c0_g3,139,232.1873595
8,ser_TRINITY_DN10836_c0_g1,216.314367,162.692082
8,ser_TRINITY_DN10884_c0_g1,454.98504,269.95210199999997
7,ser_TRINITY_DN108841_c0_g1,139,176.2423225
1,ser_TRINITY_DN10909_c0_g1,139.950625,177.1178365
8,ser_TRINITY_DN10937_c0_g2,139,140.147218
8,ser_TRINITY_DN10948_c0_g3,151.35578,229.81057950000002
6,ser_TRINITY_DN1095_c0_g1,161.529591,240.12784950000002
7,ser_TRINITY_DN10974_c0_g1,144.099941,173.3242415
8,ser_TRINITY_DN1099_c0_g3,139.161068,1060.959904
8,ser_TRINITY_DN1099_c0_g5,139.076864,1129.8142615000002
8,ser_TRINITY_DN10991_c0_g1,175.548401,222.199186
8,ser_TRINITY_DN109989_c0_g1,139,153.9230015
8,ser_TRINITY_DN11006_c0_g3,1230.510062,139.96417050000002
2,ser_TRINITY_DN1101_c0_g1,143.610898,198.09396650000002
8,ser_TRINITY_DN1102_c0_g1,141.348413,168.91841399999998
8,ser_TRINITY_DN11032_c0_g1,142.607296,175.6352135
1,ser_TRINITY_DN11033_c0_g1,140.366811,190.6921335
7,ser_TRINITY_DN11037_c0_g1,139.44851,215.5496555
7,ser_TRINITY_DN11040_c0_g1,139,158.4755315
8,ser_TRINITY_DN11057_c0_g1,140.534673,182.9133675
8,ser_TRINITY_DN11066_c0_g1,3395.530689,172.043102
7,ser_TRINITY_DN1109_c1_g3,140.255104,146.940091
8,ser_TRINITY_DN1110_c0_g1,151.519644,158.26884
7,ser_TRINITY_DN11109_c0_g1,139.259082,176.6742515
1,ser_TRINITY_DN11116_c0_g2,254.444104,237.547382
1,ser_TRINITY_DN11126_c0_g1,139.521731,198.40618949999998
8,ser_TRINITY_DN11140_c0_g1,139,154.6972975
1,ser_TRINITY_DN11141_c0_g1,139.228305,143.7609225
7,ser_TRINITY_DN1115_c0_g1,139,149.936875
7,ser_TRINITY_DN11160_c0_g1,139.598671,176.666135
1,ser_TRINITY_DN11162_c0_g1,142.140309,166.24552
2,ser_TRINITY_DN11162_c0_g2,141.636443,230.9686175
2,ser_TRINITY_DN111805_c0_g2,160.909275,180.525824
8,ser_TRINITY_DN1119_c0_g2,139.692624,145.6531775
1,ser_TRINITY_DN111911_c0_g1,139.080204,142.5810965
4,ser_TRINITY_DN1120_c0_g2,139,144.435276
8,ser_TRINITY_DN11208_c0_g1,139,191.2846145
7,ser_TRINITY_DN11220_c0_g1,139,168.107193
6,ser_TRINITY_DN112306_c0_g1,139,140.399965
1,ser_TRINITY_DN112343_c0_g1,139.167802,189.8230545
8,ser_TRINITY_DN11238_c0_g1,139.467903,145.204802
8,ser_TRINITY_DN11241_c0_g2,141.775476,168.846723
2,ser_TRINITY_DN11242_c0_g1,685.371375,139.379145
8,ser_TRINITY_DN11243_c0_g1,141.53808,173.5626
7,ser_TRINITY_DN1127_c0_g1,139,157.090114
1,ser_TRINITY_DN112839_c0_g1,139.325897,155.11912
1,ser_TRINITY_DN11306_c0_g1,221.244575,268.62922149999997
1,ser_TRINITY_DN11316_c0_g1,139,312.650519
1,ser_TRINITY_DN11329_c0_g2,139,175.0755535
2,ser_TRINITY_DN11331_c0_g5,139,148.743804
8,ser_TRINITY_DN11355_c0_g1,149.72756,163.80692449999998
8,ser_TRINITY_DN11380_c0_g1,139.27024,145.583393
1,ser_TRINITY_DN114_c0_g5,156.564494,384.365293
8,ser_TRINITY_DN11436_c0_g2,139.370218,164.62365799999998
1,ser_TRINITY_DN11443_c0_g1,425.076767,275.1980635
7,ser_TRINITY_DN114489_c0_g1,226.0913,588.962723
7,ser_TRINITY_DN11449_c0_g1,147.922154,221.250169
5,ser_TRINITY_DN11469_c0_g1,200.066011,220.0557855
1,ser_TRINITY_DN114705_c0_g1,155.357341,466.451552
8,ser_TRINITY_DN1148_c0_g2,177.986815,221.6352035
8,ser_TRINITY_DN11489_c0_g2,155.341107,276.92310050000003
1,ser_TRINITY_DN11497_c0_g2,141.58326,163.282481
1,ser_TRINITY_DN11500_c0_g1,242.662457,139.729341
7,ser_TRINITY_DN115082_c0_g1,186.503113,207.2689025
8,ser_TRINITY_DN11520_c0_g2,140.154187,183.41762649999998
2,ser_TRINITY_DN115212_c0_g1,148.878645,171.458608
4,ser_TRINITY_DN11529_c0_g1,268.020512,139.057916
7,ser_TRINITY_DN11534_c0_g1,140.26108,150.71702499999998
8,ser_TRINITY_DN11543_c0_g3,139.1226,151.272444
2,ser_TRINITY_DN11553_c0_g1,149.355886,287.4030785
8,ser_TRINITY_DN11588_c0_g1,139,148.012057
1,ser_TRINITY_DN1159_c0_g1,141.600228,195.3197895
1,ser_TRINITY_DN11592_c0_g2,146.222426,234.9160205
2,ser_TRINITY_DN116043_c0_g1,460.179322,160.7262955
8,ser_TRINITY_DN11613_c0_g2,139,139
1,ser_TRINITY_DN11617_c0_g2,156.26637,147.2453585
7,ser_TRINITY_DN11623_c0_g1,139.963272,171.9680755
1,ser_TRINITY_DN116269_c0_g1,139.355396,182.83463849999998
1,ser_TRINITY_DN11634_c0_g1,302.002526,145.8174315
