PS,GeneID,holdfast,reptip,stipe,vegtip
8,ser_TRINITY_DN1_c2_g2,858.803277,1028.962508,882.547296,1012.968624
1,ser_TRINITY_DN1_c4_g6,0,14.303486,0,37.762877
2,ser_TRINITY_DN100_c0_g1,1.350048,7.42636,6.276975,0.928104
1,ser_TRINITY_DN10004_c0_g1,20.879663,35.806852,23.243051,17.944728
8,ser_TRINITY_DN10005_c0_g1,6.35538,9.407869,8.964759,7.660022
1,ser_TRINITY_DN10006_c0_g1,4.007909,12.706837,4.812031,5.26966
1,ser_TRINITY_DN10008_c0_g1,4.273706,5.722674,6.041108,3.518197
1,ser_TRINITY_DN10009_c0_g2,1779.817248,1444.326677,2023.138661,2420.780386
1,ser_TRINITY_DN10014_c0_g1,0,18.318,0,0
1,ser_TRINITY_DN10017_c0_g1,2.430659,9.422178,2.787831,6.389412
8,ser_TRINITY_DN10024_c0_g2,4.035844,11.281802,9.107461,9.053265
5,ser_TRINITY_DN100298_c0_g1,532.248569,558.514086,492.520574,538.197521
1,ser_TRINITY_DN10030_c0_g1,17.534266,31.613874,15.487167,15.37099
1,ser_TRINITY_DN10032_c0_g2,7.139191,9.327313,5.922686,4.445454
1,ser_TRINITY_DN100337_c0_g6,61.63395,130.657824,103.988032,47.495396
1,ser_TRINITY_DN10034_c0_g1,76.017819,71.490525,74.547065,73.579588
8,ser_TRINITY_DN10037_c0_g1,15.581755,8.38524,15.367321,7.424285
1,ser_TRINITY_DN10037_c0_g2,93.538014,106.15459,76.269739,161.948899
7,ser_TRINITY_DN10037_c0_g3,2.708797,37.198712,2.161812,3.279077
1,ser_TRINITY_DN10037_c0_g4,34.088444,17.136942,32.595338,19.813175
8,ser_TRINITY_DN10038_c0_g1,3.37829,6.919082,4.852565,4.611234
7,ser_TRINITY_DN1004_c0_g1,9.509615,10.725561,13.385764,15.74989
7,ser_TRINITY_DN10045_c0_g1,9.406745,3.866713,8.224514,4.572726
8,ser_TRINITY_DN10049_c0_g1,0,31.924682,0,0.1106
4,ser_TRINITY_DN10049_c0_g2,0,50.477714,0,0.210385
1,ser_TRINITY_DN1005_c0_g1,2041.231979,1577.359568,2041.993936,1923.055194
8,ser_TRINITY_DN10052_c0_g6,34.216709,11.012439,57.395057,12.515314
8,ser_TRINITY_DN10055_c1_g4,5.029994,0.163405,4.569402,0.275109
2,ser_TRINITY_DN1006_c0_g1,8.031909,15.267934,5.618543,6.208894
8,ser_TRINITY_DN10060_c0_g1,0,38.235008,0,0.243589
7,ser_TRINITY_DN10064_c0_g1,497.290037,211.735215,421.575259,266.082132
8,ser_TRINITY_DN10068_c0_g1,11.634965,17.573851,21.84606,137.174833
1,ser_TRINITY_DN100695_c0_g1,205.690591,6.937838,28.176366,5.722903
8,ser_TRINITY_DN10078_c0_g1,396.506113,5.48189,475.435008,17.868196
1,ser_TRINITY_DN10079_c0_g1,1429.9332,6593.983858,1332.961809,1425.059222
1,ser_TRINITY_DN10082_c0_g2,16.668064,18.398496,26.844381,18.691114
1,ser_TRINITY_DN10088_c0_g1,6.642862,16.484801,11.722934,6.921022
1,ser_TRINITY_DN100907_c0_g1,106.74171,73.203499,62.125731,202.091092
7,ser_TRINITY_DN100907_c0_g2,0.415614,8.655698,0.498873,0.505359
8,ser_TRINITY_DN10096_c0_g1,18.065547,12.43182,18.146435,7.735168
1,ser_TRINITY_DN10098_c0_g1,85.933134,40.186311,45.268951,22.668653
1,ser_TRINITY_DN10101_c0_g1,2.198017,8.070416,5.258906,17.287663
1,ser_TRINITY_DN10103_c0_g1,2.298558,44.195505,1.826358,2.595966
7,ser_TRINITY_DN10104_c0_g1,0,25.129818,0,0.67739
4,ser_TRINITY_DN101045_c0_g1,10.63506,18.753428,15.914054,13.691913
8,ser_TRINITY_DN10106_c0_g1,0,0.457528,0,0
1,ser_TRINITY_DN10107_c0_g1,3.680188,7.408461,4.810134,5.804582
8,ser_TRINITY_DN101078_c0_g1,0.33089,40.430015,0.34739,0.251558
1,ser_TRINITY_DN10111_c0_g1,71.011471,130.542224,85.519998,54.113077
6,ser_TRINITY_DN10113_c0_g1,5.538233,29.029295,4.383078,10.575048
6,ser_TRINITY_DN10116_c0_g1,38.898346,37.427307,34.430267,25.062245
1,ser_TRINITY_DN101175_c0_g2,48.475917,43.933356,92.755055,70.932017
7,ser_TRINITY_DN101179_c0_g2,1.446907,2.927212,2.501325,11.51248
8,ser_TRINITY_DN10118_c0_g1,7.953392,3.620858,7.121182,7.213239
8,ser_TRINITY_DN10121_c0_g2,11.163239,15.268559,13.099107,20.485995
1,ser_TRINITY_DN10123_c0_g1,4.321193,6.565362,5.489817,3.216187
8,ser_TRINITY_DN10125_c0_g1,1.69436,12.295343,2.125023,2.525461
7,ser_TRINITY_DN10129_c0_g1,12.124669,13.158763,12.42211,38.707824
8,ser_TRINITY_DN10134_c0_g1,3.152239,11.358028,5.56435,5.453708
7,ser_TRINITY_DN101352_c0_g1,0,3.765367,0.461578,0
8,ser_TRINITY_DN10138_c0_g1,26.004148,64.369875,21.240353,22.608215
8,ser_TRINITY_DN10138_c1_g1,12.969404,31.335983,37.267729,22.675848
1,ser_TRINITY_DN10138_c1_g2,35.663751,28.614979,56.539248,21.588583
8,ser_TRINITY_DN10138_c1_g3,3.173611,1.94606,2.066415,2.611679
1,ser_TRINITY_DN1014_c0_g1,32.752036,3.373969,12.40866,6.31028
8,ser_TRINITY_DN101406_c0_g1,10.009509,14.855061,11.013654,10.137367
1,ser_TRINITY_DN101406_c0_g2,4.172483,6.248432,8.547089,6.52501
8,ser_TRINITY_DN10143_c0_g1,1.054804,8.742228,1.928952,1.794056
8,ser_TRINITY_DN10144_c0_g1,0.369776,1.242708,0.781979,0.358276
8,ser_TRINITY_DN101469_c0_g1,2.486381,5.98125,5.525105,7.015557
1,ser_TRINITY_DN101532_c0_g1,22.778924,53.895011,29.509675,32.547335
7,ser_TRINITY_DN10160_c0_g1,14.650967,41.952076,23.272528,21.928904
8,ser_TRINITY_DN10168_c0_g1,0.106142,14.139905,0.095841,12.299451
8,ser_TRINITY_DN10169_c0_g1,12.496167,30.028413,11.249622,9.197495
8,ser_TRINITY_DN10169_c0_g3,8.030221,18.239683,15.569596,11.220905
7,ser_TRINITY_DN10169_c0_g6,27.552843,32.154211,37.73731,34.432863
1,ser_TRINITY_DN10169_c2_g1,28.091262,41.316485,29.010064,22.07839
7,ser_TRINITY_DN101719_c0_g1,24.01999,38.477933,26.577765,19.780764
1,ser_TRINITY_DN10174_c0_g1,14.787958,23.180892,35.53316,18.024466
7,ser_TRINITY_DN101743_c0_g1,3.314041,3.527105,4.914123,4.379415
1,ser_TRINITY_DN101750_c0_g2,8.315052,0.836922,6.941202,1.593627
8,ser_TRINITY_DN1019_c0_g2,1.639089,14.767318,2.468294,2.125084
8,ser_TRINITY_DN10190_c0_g1,9.751658,26.307093,14.071279,13.07401
8,ser_TRINITY_DN10191_c0_g1,18.106448,23.313244,29.382300999999998,57.490189
7,ser_TRINITY_DN10196_c0_g1,0,89.25758,0,0.355969
7,ser_TRINITY_DN1020_c0_g1,6.640502,14.532201,7.444375,10.736388
8,ser_TRINITY_DN10201_c0_g1,0.034232,14.993728,0,0.059027
1,ser_TRINITY_DN1021_c0_g1,9.874647,8.175539,11.323501,7.767225
7,ser_TRINITY_DN10212_c0_g1,75.648207,79.906594,95.920364,30.347503
1,ser_TRINITY_DN1022_c1_g1,52.767923,24.37343,41.688466,13.451604
8,ser_TRINITY_DN1022_c1_g2,0.817846,19.997658,0.642834,0.213816
1,ser_TRINITY_DN10222_c1_g1,18.550154,34.783442,18.931754,26.750269
8,ser_TRINITY_DN102228_c0_g3,47.015682,47.540972,45.641016,23.547896
1,ser_TRINITY_DN10233_c0_g1,228.956324,208.287951,268.701271,424.2066
1,ser_TRINITY_DN1024_c0_g2,2.065238,7.016317,5.772004,6.162106
8,ser_TRINITY_DN10244_c0_g2,40.365906,17.300298,46.232467,18.744501
8,ser_TRINITY_DN10244_c0_g3,3.856257,19.104448,6.110497,4.513061
8,ser_TRINITY_DN10244_c7_g2,5.00506,10.229959,4.402419,3.63459
8,ser_TRINITY_DN10247_c0_g3,25.311633,42.06694,47.61231,39.543702
8,ser_TRINITY_DN10250_c0_g1,37.076794,46.838977,88.966779,34.789616
8,ser_TRINITY_DN102566_c0_g1,15.729968,28.057874,24.15906,11.939641
8,ser_TRINITY_DN1026_c0_g1,10.575332,7.979425,8.605854,6.972299
7,ser_TRINITY_DN10266_c0_g2,18.053774,19.950743,32.701578,24.688837
8,ser_TRINITY_DN1027_c0_g1,11.410519,9.448856,10.543267,12.523233
1,ser_TRINITY_DN10270_c0_g2,14.351129,10.965872,17.132246,14.747007
7,ser_TRINITY_DN102704_c0_g1,21.347818,25.818165,31.513641,30.883301
8,ser_TRINITY_DN10272_c0_g1,0.920407,13.329464,1.170211,1.065911
7,ser_TRINITY_DN102746_c0_g1,3.608965,14.24914,9.902311,11.215236
8,ser_TRINITY_DN10277_c0_g1,10.578072,26.237054,15.328398,15.421857
7,ser_TRINITY_DN10283_c0_g1,5.913854,2.973141,2.189025,3.765138
