PS,GeneID,holdfast,reptip,stipe,vegtip
8,ser_TRINITY_DN1_c2_g2,8226,8235,8225,8222
1,ser_TRINITY_DN1_c4_g6,272.5,3773,246.5,6944
2,ser_TRINITY_DN100_c0_g1,1278,2036,2815,879
1,ser_TRINITY_DN10004_c0_g1,6134,6284,6028,5499
8,ser_TRINITY_DN10005_c0_g1,3472,2636,3639,3319
1,ser_TRINITY_DN10006_c0_g1,2588,3458,2323,2538
1,ser_TRINITY_DN10008_c0_g1,2704,1519,2740,1872
1,ser_TRINITY_DN10009_c0_g2,8247,8247,8251,8261
1,ser_TRINITY_DN10014_c0_g1,272.5,4478,246.5,100
1,ser_TRINITY_DN10017_c0_g1,1837,2641,1549,2908
8,ser_TRINITY_DN10024_c0_g2,2603,3113,3660,3758
5,ser_TRINITY_DN100298_c0_g1,8206,8199,8202,8182
1,ser_TRINITY_DN10030_c0_g1,5769,5996,5057,5114
1,ser_TRINITY_DN10032_c0_g2,3744,2613,2694,2230
1,ser_TRINITY_DN100337_c0_g6,7551,7854,7856,7229
1,ser_TRINITY_DN10034_c0_g1,7706,7380,7668,7625
8,ser_TRINITY_DN10037_c0_g1,5508,2334,5038,3235
1,ser_TRINITY_DN10037_c0_g2,7825,7734,7684,7979
7,ser_TRINITY_DN10037_c0_g3,1971,6372,1319,1771
1,ser_TRINITY_DN10037_c0_g4,6962,4273,6697,5718
8,ser_TRINITY_DN10038_c0_g1,2292,1906,2344,2286
7,ser_TRINITY_DN1004_c0_g1,4385,2987,4680,5182
7,ser_TRINITY_DN10045_c0_g1,4363,987,3435,2273
8,ser_TRINITY_DN10049_c0_g1,272.5,6026,246.5,359
4,ser_TRINITY_DN10049_c0_g2,272.5,6907,246.5,497
1,ser_TRINITY_DN1005_c0_g1,8250,8248,8252,8257
8,ser_TRINITY_DN10052_c0_g6,6968,3052,7451,4567
8,ser_TRINITY_DN10055_c1_g4,2992,126,2228,567
2,ser_TRINITY_DN1006_c0_g1,4003,3964,2596,2851
8,ser_TRINITY_DN10060_c0_g1,272.5,6430,246.5,540
7,ser_TRINITY_DN10064_c0_g1,8204,8043,8184,8092
8,ser_TRINITY_DN10068_c0_g1,4851,4347,5894,7935
1,ser_TRINITY_DN100695_c0_g1,8081,1910,6432,2684
8,ser_TRINITY_DN10078_c0_g1,8183,1447,8199,5489
1,ser_TRINITY_DN10079_c0_g1,8243,8290,8243,8245
1,ser_TRINITY_DN10082_c0_g2,5659.5,4493,6340,5600
1,ser_TRINITY_DN10088_c0_g1,3564,4159,4299,3083
1,ser_TRINITY_DN100907_c0_g1,7885,7403,7522,8042
7,ser_TRINITY_DN100907_c0_g2,860,2410,818,708
8,ser_TRINITY_DN10096_c0_g1,5833,3385,5452,3335
1,ser_TRINITY_DN10098_c0_g1,7772,6517,7190,6023
1,ser_TRINITY_DN10101_c0_g1,1722,2241,2484,5401
1,ser_TRINITY_DN10103_c0_g1,1775,6677,1224,1526
7,ser_TRINITY_DN10104_c0_g1,272.5,5412,246.5,784
4,ser_TRINITY_DN101045_c0_g1,4651,4551,5132,4813
8,ser_TRINITY_DN10106_c0_g1,272.5,196,246.5,100
1,ser_TRINITY_DN10107_c0_g1,2436,2032,2321,2711
8,ser_TRINITY_DN101078_c0_g1,814,6531,759,545
1,ser_TRINITY_DN10111_c0_g1,7663,7853,7750,7372
6,ser_TRINITY_DN10113_c0_g1,3188,5794,2148,4131
6,ser_TRINITY_DN10116_c0_g1,7128,6391,6787,6226
1,ser_TRINITY_DN101175_c0_g2,7350,6666,7794,7604
7,ser_TRINITY_DN101179_c0_g2,1327,738,1449,4371
8,ser_TRINITY_DN10118_c0_g1,3979,905,3085,3180
8,ser_TRINITY_DN10121_c0_g2,4756,3965,4621,5801
1,ser_TRINITY_DN10123_c0_g1,2727,1797,2546,1750
8,ser_TRINITY_DN10125_c0_g1,1460,3357,1303,1495
7,ser_TRINITY_DN10129_c0_g1,4938,3556,4461,6969
8,ser_TRINITY_DN10134_c0_g1,2192,3135,2579,2589
7,ser_TRINITY_DN101352_c0_g1,272.5,946,803,100
8,ser_TRINITY_DN10138_c0_g1,6523,7274,5823,6017
8,ser_TRINITY_DN10138_c1_g1,5100,5976,6925,6025
1,ser_TRINITY_DN10138_c1_g2,7017,5753,7436,5911
8,ser_TRINITY_DN10138_c1_g3,2202,508,1286,1534
1,ser_TRINITY_DN1014_c0_g1,6890,839,4458,2882
8,ser_TRINITY_DN101406_c0_g1,4513,3884,4140,4011
1,ser_TRINITY_DN101406_c0_g2,2665,1694,3520,2943
8,ser_TRINITY_DN10143_c0_g1,1140,2431,1247,1191
8,ser_TRINITY_DN10144_c0_g1,832,353,899,612
8,ser_TRINITY_DN101469_c0_g1,1860,1615,2565,3119
1,ser_TRINITY_DN101532_c0_g1,6287,7017,6515,6736
7,ser_TRINITY_DN10160_c0_g1,5377,6596,6033,5948
8,ser_TRINITY_DN10168_c0_g1,679,3737,616,4526
8,ser_TRINITY_DN10169_c0_g1,5007,5872,4201,3791
8,ser_TRINITY_DN10169_c0_g3,4001,4461,5074,4297
7,ser_TRINITY_DN10169_c0_g6,6612,6044,6945,6809
1,ser_TRINITY_DN10169_c2_g1,6646,6570,6484,5963
7,ser_TRINITY_DN101719_c0_g1,6392,6441,6314,5713
1,ser_TRINITY_DN10174_c0_g1,5401,5187,6839,5513
7,ser_TRINITY_DN101743_c0_g1,2265,875,2366,2201
1,ser_TRINITY_DN101750_c0_g2,4086,268,3022,1112
8,ser_TRINITY_DN1019_c0_g2,1421,3859,1431,1323
8,ser_TRINITY_DN10190_c0_g1,4447,5538,4805,4683
8,ser_TRINITY_DN10191_c0_g1,5842,5203,6507,7425
7,ser_TRINITY_DN10196_c0_g1,272.5,7595,246.5,611
7,ser_TRINITY_DN1020_c0_g1,3562,3819,3180,4180
8,ser_TRINITY_DN10201_c0_g1,588,3918,246.5,263
1,ser_TRINITY_DN1021_c0_g1,4479,2274,4217,3346
7,ser_TRINITY_DN10212_c0_g1,7702,7506,7813,6607
1,ser_TRINITY_DN1022_c1_g1,7414,5338,7095,4760
8,ser_TRINITY_DN1022_c1_g2,1030,4749,859,505
1,ser_TRINITY_DN10222_c1_g1,5896,6219,5559,6349
8,ser_TRINITY_DN102228_c0_g3,7318,6811,7199,6111
1,ser_TRINITY_DN10233_c0_g1,8097,8036,8133,8153
1,ser_TRINITY_DN1024_c0_g2,1649,1938,2644,2833
8,ser_TRINITY_DN10244_c0_g2,7173,4303,7210,5606
8,ser_TRINITY_DN10244_c0_g3,2520,4614,2755,2257
8,ser_TRINITY_DN10244_c7_g2,2980,2839,2161,1908
8,ser_TRINITY_DN10247_c0_g3,6483,6599,7239,6999
8,ser_TRINITY_DN10250_c0_g1,7069,6786,7770,6832
8,ser_TRINITY_DN102566_c0_g1,5529,5704,6110,4453
8,ser_TRINITY_DN1026_c0_g1,4638,2207,3540,3097
7,ser_TRINITY_DN10266_c0_g2,5832,4741,6704,6202
8,ser_TRINITY_DN1027_c0_g1,4803,2647,4024,4569
1,ser_TRINITY_DN10270_c0_g2,5337,3042,5318,5017
7,ser_TRINITY_DN102704_c0_g1,6175,5478,6637,6642
8,ser_TRINITY_DN10272_c0_g1,1065,3587,1015,930
7,ser_TRINITY_DN102746_c0_g1,2404,3760,3872,4295
8,ser_TRINITY_DN10277_c0_g1,4639,5527,5028,5122
7,ser_TRINITY_DN10283_c0_g1,3318,748,1331,1967
8,ser_TRINITY_DN10288_c0_g2,272.5,1580,246.5,737
1,ser_TRINITY_DN10289_c0_g1,4460,2897,5029,4013
7,ser_TRINITY_DN10292_c0_g1,597,1114,246.5,6667
7,ser_TRINITY_DN10292_c0_g3,7119,5262,7410,6963
8,ser_TRINITY_DN10295_c0_g1,1899,3202,2284,4867
1,ser_TRINITY_DN102983_c0_g1,272.5,7811,246.5,901
8,ser_TRINITY_DN103_c0_g2,7840,7824,7851,8028
1,ser_TRINITY_DN10309_c0_g3,5614,7717,5259,8210
1,ser_TRINITY_DN1031_c0_g1,4110,3380,3772,5651
8,ser_TRINITY_DN10311_c0_g1,2537,176,1405,988
8,ser_TRINITY_DN103124_c1_g1,2714,1516,2404,1146
7,ser_TRINITY_DN10314_c0_g1,4014,2972,4324,5391
1,ser_TRINITY_DN10319_c0_g1,4264,5434,4625,7395
1,ser_TRINITY_DN1032_c0_g1,651,1197,589,1235
8,ser_TRINITY_DN10322_c0_g1,5488,4203,5566,5108
1,ser_TRINITY_DN103275_c0_g1,3697,2280,2882,5874
8,ser_TRINITY_DN1033_c0_g1,3090,6585,3097,3449
2,ser_TRINITY_DN1033_c0_g3,6050,5126,6523,6051
4,ser_TRINITY_DN10333_c1_g1,7234,7508,7152,6816
7,ser_TRINITY_DN10334_c0_g1,3788,5041,4352,4544
8,ser_TRINITY_DN103350_c0_g1,5661,6264,6248,5469
8,ser_TRINITY_DN10338_c0_g1,1617,1269,1379,2718
8,ser_TRINITY_DN103436_c0_g2,875,299,841,524
7,ser_TRINITY_DN10344_c0_g3,2432,1861,3119,2646
1,ser_TRINITY_DN103441_c0_g2,7362,7628,7772,7833
8,ser_TRINITY_DN103449_c0_g1,4751,2944,4272,4409
8,ser_TRINITY_DN10346_c0_g1,272.5,7459,246.5,556
1,ser_TRINITY_DN10348_c0_g1,5684,4075,5147,6871
1,ser_TRINITY_DN10349_c0_g1,6104,3957,6397,5629
1,ser_TRINITY_DN103491_c0_g2,2597,3364,1349,3152
7,ser_TRINITY_DN10350_c0_g1,6295,5416,7026,6792
7,ser_TRINITY_DN10354_c0_g2,272.5,6494,677,655
1,ser_TRINITY_DN103561_c0_g1,2093,3059,3090,6851
8,ser_TRINITY_DN10359_c1_g3,4138,6851,4971,3879
8,ser_TRINITY_DN10364_c0_g2,1724,2512,1587,1824
8,ser_TRINITY_DN10368_c0_g1,3916,2212,4294,1879
8,ser_TRINITY_DN1037_c0_g2,2055,7454,1650,2706
6,ser_TRINITY_DN10372_c0_g1,6368,6395,7504,6283
7,ser_TRINITY_DN1038_c0_g1,3133,5577,1690,3783
1,ser_TRINITY_DN10380_c0_g1,5985,7148,5943,4597
8,ser_TRINITY_DN10381_c0_g1,2726,2126,5808,1162.5
8,ser_TRINITY_DN10386_c0_g1,6280,4111,6474,4891
1,ser_TRINITY_DN10388_c0_g1,4931,5899,5208,7200
1,ser_TRINITY_DN1039_c0_g1,7826,1902,7890,5154
7,ser_TRINITY_DN103925_c0_g1,2729,2215,2292,1697
6,ser_TRINITY_DN1040_c0_g1,7208,6245,7280,7122
8,ser_TRINITY_DN104004_c0_g1,2909,1809,2416,1808
1,ser_TRINITY_DN10401_c0_g3,8003,5846,6989,6040
8,ser_TRINITY_DN10403_c0_g1,5878,4205,4168,7029
7,ser_TRINITY_DN10409_c0_g1,1615,760,1367,827
5,ser_TRINITY_DN10421_c0_g1,5213,5263,4624,5985
3,ser_TRINITY_DN104217_c0_g1,4095,3877,3768,4214
1,ser_TRINITY_DN10423_c0_g1,5968,4767,6001,5884
8,ser_TRINITY_DN1043_c0_g1,899,746,1091,1071
1,ser_TRINITY_DN10431_c0_g1,6542,689,4013,5462
7,ser_TRINITY_DN10450_c0_g1,5615,2805,5342,4147
7,ser_TRINITY_DN10451_c0_g1,2144,3538,1412,1418
1,ser_TRINITY_DN10451_c1_g1,272.5,7578,587.5,487
2,ser_TRINITY_DN10454_c0_g1,3340,1854,3026,2735
1,ser_TRINITY_DN10457_c0_g1,938,603,1079,1574
8,ser_TRINITY_DN10464_c0_g1,2632,6597,2073,2792
8,ser_TRINITY_DN10464_c0_g2,1220,4462,1093,1426
8,ser_TRINITY_DN104705_c0_g1,5409,5018,4875,5187
8,ser_TRINITY_DN104712_c0_g1,2856,1574,3393,3190
6,ser_TRINITY_DN10473_c0_g1,2997,4040,3091,2157
7,ser_TRINITY_DN1048_c0_g1,272.5,7293,246.5,100
2,ser_TRINITY_DN104806_c0_g3,4807,4359,4527,4541
8,ser_TRINITY_DN10500_c0_g2,2678,1058,3344,3963
8,ser_TRINITY_DN10503_c0_g1,4819,3141,5977,5965
8,ser_TRINITY_DN105097_c0_g1,1528,620,1779,1909
8,ser_TRINITY_DN105154_c0_g1,3098,2673,3201,2168
1,ser_TRINITY_DN105233_c0_g1,3175,2115,2677,2955
1,ser_TRINITY_DN105378_c0_g4,8132,7869,8050,7967
8,ser_TRINITY_DN1054_c0_g1,7999,6708,7730,7916
7,ser_TRINITY_DN105448_c0_g1,272.5,44.5,713,100
2,ser_TRINITY_DN10546_c1_g1,3903,2234,4574,4433
7,ser_TRINITY_DN1055_c0_g1,1223,6191,1500,2163
5,ser_TRINITY_DN10551_c0_g1,1324,1366,1136,1036
2,ser_TRINITY_DN10559_c0_g1,4458,2336,4740,3668
8,ser_TRINITY_DN10561_c0_g1,6452,4545,6227,2807
8,ser_TRINITY_DN10562_c0_g1,6747,5064,6622,6920
1,ser_TRINITY_DN10563_c0_g2,7357,7199,5874,6662
1,ser_TRINITY_DN10567_c0_g2,4273,3943,5113,5921
8,ser_TRINITY_DN10571_c0_g1,3499,2954,4034,4678
7,ser_TRINITY_DN10577_c0_g2,5259,3635,4397,2064
8,ser_TRINITY_DN10578_c0_g2,6811,4909,3781,3528
6,ser_TRINITY_DN10579_c0_g1,6311,5310,6347,7140
2,ser_TRINITY_DN10581_c0_g1,3689,4166,4237,4540
1,ser_TRINITY_DN10581_c0_g2,6499,6308,6545,7414
7,ser_TRINITY_DN10586_c0_g1,3927,1997,2750,2368
1,ser_TRINITY_DN10586_c0_g2,5429,4236,6398,6196
5,ser_TRINITY_DN10587_c0_g1,6080,7450,6415,5733
8,ser_TRINITY_DN1059_c0_g1,745,1449,912,2550
2,ser_TRINITY_DN1059_c0_g2,3511,1628,4112,4088
8,ser_TRINITY_DN1059_c0_g3,4702,1695,5002,3842
7,ser_TRINITY_DN10596_c0_g1,2967,1373,1819,4242
8,ser_TRINITY_DN10599_c0_g1,2523,2783,3110,2228
8,ser_TRINITY_DN106_c0_g2,4432,2524,4523,5240
8,ser_TRINITY_DN1060_c0_g1,2391,2449,1862,3096
1,ser_TRINITY_DN10600_c0_g1,4923,2703,4660,5371
8,ser_TRINITY_DN10603_c0_g1,4962,4395,4855,4982
8,ser_TRINITY_DN10605_c1_g3,2129,2772,2464,2850
1,ser_TRINITY_DN10607_c0_g1,272.5,6183,642,544
5,ser_TRINITY_DN10614_c0_g1,3292,3854,2463,3249
7,ser_TRINITY_DN10621_c0_g1,272.5,4858,246.5,100
8,ser_TRINITY_DN10623_c0_g1,5714,7086,6212,6352
8,ser_TRINITY_DN10625_c0_g1,4564,2107,2188,5267
