PS,GeneID,holdfast,reptip,stipe,vegtip
8,ser_TRINITY_DN1_c2_g2,997.803277,1167.962508,1021.547296,1151.968624
1,ser_TRINITY_DN10004_c0_g1,159.879663,174.806852,162.243051,156.944728
1,ser_TRINITY_DN10009_c0_g2,1918.817248,1583.326677,2162.138661,2559.780386
1,ser_TRINITY_DN10017_c0_g1,141.430659,148.422178,141.787831,145.389412
5,ser_TRINITY_DN100298_c0_g1,671.248569,697.514086,631.520574,677.197521
1,ser_TRINITY_DN10030_c0_g1,156.534266,170.613874,154.487167,154.37099
1,ser_TRINITY_DN100337_c0_g6,200.63395,269.657824,242.988032,186.495396
1,ser_TRINITY_DN10034_c0_g1,215.017819,210.490525,213.547065,212.579588
1,ser_TRINITY_DN10037_c0_g2,232.538014,245.15459,215.269739,300.948899
1,ser_TRINITY_DN10037_c0_g4,173.088444,156.136942,171.595338,158.813175
1,ser_TRINITY_DN1005_c0_g1,2180.231979,1716.359568,2180.993936,2062.055194
8,ser_TRINITY_DN10052_c0_g6,173.216709,150.012439,196.395057,151.515314
7,ser_TRINITY_DN10064_c0_g1,636.290037,350.73521500000004,560.575259,405.082132
8,ser_TRINITY_DN10068_c0_g1,150.634965,156.573851,160.84606,276.17483300000004
1,ser_TRINITY_DN100695_c0_g1,344.69059100000004,145.937838,167.176366,144.722903
8,ser_TRINITY_DN10078_c0_g1,535.506113,144.48189,614.4350079999999,156.868196
1,ser_TRINITY_DN10079_c0_g1,1568.9332,6732.983858,1471.961809,1564.059222
1,ser_TRINITY_DN100907_c0_g1,245.74171,212.203499,201.125731,341.091092
1,ser_TRINITY_DN10098_c0_g1,224.933134,179.186311,184.268951,161.668653
1,ser_TRINITY_DN10103_c0_g1,141.298558,183.195505,140.826358,141.595966
8,ser_TRINITY_DN10106_c0_g1,139,139.457528,139,139
1,ser_TRINITY_DN10111_c0_g1,210.011471,269.54222400000003,224.519998,193.113077
6,ser_TRINITY_DN10116_c0_g1,177.898346,176.42730699999998,173.430267,164.062245
1,ser_TRINITY_DN101175_c0_g2,187.475917,182.933356,231.755055,209.932017
7,ser_TRINITY_DN10129_c0_g1,151.124669,152.158763,151.42211,177.70782400000002
8,ser_TRINITY_DN10138_c0_g1,165.004148,203.369875,160.240353,161.608215
1,ser_TRINITY_DN10138_c1_g2,174.663751,167.614979,195.539248,160.588583
8,ser_TRINITY_DN10168_c0_g1,139.106142,153.139905,139.095841,151.299451
7,ser_TRINITY_DN101719_c0_g1,163.01999,177.477933,165.577765,158.780764
8,ser_TRINITY_DN10191_c0_g1,157.106448,162.313244,168.38230099999998,196.490189
7,ser_TRINITY_DN10212_c0_g1,214.648207,218.906594,234.920364,169.347503
8,ser_TRINITY_DN102228_c0_g3,186.015682,186.540972,184.641016,162.547896
1,ser_TRINITY_DN10233_c0_g1,367.956324,347.287951,407.701271,563.2066
8,ser_TRINITY_DN10244_c0_g2,179.365906,156.300298,185.232467,157.744501
8,ser_TRINITY_DN10247_c0_g3,164.311633,181.06694,186.61231,178.543702
