PS,GeneID,gamete,S1,S2,S3,S4,S5,matSP
8,ser_TRINITY_DN1_c2_g2,572.19305,497.740908,507.02900150000005,666.167788,859.049375,779.309362,909.968372
1,ser_TRINITY_DN10004_c0_g1,161.0305205,161.253297,158.46252850000002,149.932144,153.08567,153.456508,162.156473
1,ser_TRINITY_DN10009_c0_g2,720.3641190000001,1375.099112,1813.1375285,2140.1211949999997,3421.098359,4122.633750999999,2692.1668225
1,ser_TRINITY_DN10017_c0_g1,156.5894365,156.862144,248.76687850000002,152.358115,178.561136,203.092912,143.9926905
5,ser_TRINITY_DN100298_c0_g1,499.2621505,457.492926,458.622295,331.276665,423.438523,364.288426,687.941422
1,ser_TRINITY_DN10030_c0_g1,148.433698,231.613917,302.44170249999996,180.004184,164.60012,173.208959,153.23098199999998
1,ser_TRINITY_DN100337_c0_g6,160.1742205,241.105337,319.5433385,190.359402,208.099748,220.029496,203.0445755
1,ser_TRINITY_DN10034_c0_g1,220.3248725,215.372066,225.1478125,198.374958,233.802741,244.234571,220.3709725
1,ser_TRINITY_DN10037_c0_g2,230.551262,271.411886,325.25598049999996,275.58256,272.73156,317.267779,234.19174850000002
1,ser_TRINITY_DN10037_c0_g4,167.1347745,196.063852,196.4699115,174.52832999999998,180.131618,181.935317,160.457414
1,ser_TRINITY_DN1005_c0_g1,326.7817455,518.072268,658.6851300000001,897.823225,1441.757183,1096.4734079999998,1798.8367535
8,ser_TRINITY_DN10052_c0_g6,162.714358,157.56357,196.767764,175.491772,227.908901,336.077631,158.4867195
7,ser_TRINITY_DN10064_c0_g1,231.49872349999998,298.055323,358.2530625,403.645185,1113.253023,945.265911,539.501122
8,ser_TRINITY_DN10068_c0_g1,150.21523150000002,148.350711,209.65260849999999,207.932306,168.627979,170.240101,160.79746
1,ser_TRINITY_DN100695_c0_g1,139.4742795,142.452766,148.393593,183.608537,146.277246,151.68517,162.992288
8,ser_TRINITY_DN10078_c0_g1,142.41195449999998,302.07860600000004,422.098925,385.331541,660.105343,1160.294933,299.17436699999996
1,ser_TRINITY_DN10079_c0_g1,6711.3567765,3617.060611,4062.909161,2245.450928,1773.153422,1526.056505,1566.4962110000001
1,ser_TRINITY_DN100907_c0_g1,179.489127,296.325088,414.58194349999997,328.01534200000003,299.200561,294.635329,220.957188
1,ser_TRINITY_DN10098_c0_g1,210.6002235,212.864128,183.4223815,179.396793,185.3502,207.435888,187.6722315
1,ser_TRINITY_DN10103_c0_g1,144.724068,238.192117,279.941558,167.148653,152.282257,160.001279,141.757786
8,ser_TRINITY_DN10106_c0_g1,13485.8322865,18944.705025,2647.9051465000002,156.09689,139.271122,139.791533,139.556497
1,ser_TRINITY_DN10111_c0_g1,163.6965255,246.963427,396.57243800000003,266.748,264.816795,290.62983199999996,211.9355735
6,ser_TRINITY_DN10116_c0_g1,219.8945775,363.093003,276.0261435,198.370081,200.135649,221.041595,174.61870349999998
1,ser_TRINITY_DN101175_c0_g2,149.958646,160.028685,176.31932799999998,193.272043,183.554431,174.909019,196.93530099999998
7,ser_TRINITY_DN10129_c0_g1,169.962128,255.118776,262.9222635,228.711341,288.498715,349.84520499999996,151.478638
8,ser_TRINITY_DN10138_c0_g1,153.2127515,142.776796,161.1883105,218.267534,221.468433,206.958173,161.5830505
1,ser_TRINITY_DN10138_c1_g2,144.41689250000002,161.365164,168.693025,165.956348,162.004763,161.023446,169.98760700000003
8,ser_TRINITY_DN10168_c0_g1,415.2279005,217.737045,154.3841365,139.224957,139.865679,139.353085,141.556014
7,ser_TRINITY_DN101719_c0_g1,157.27455750000001,209.552423,190.5088925,165.051056,184.013145,198.360687,164.2988775
