GeneID,Fs_F_gametes_1,Fs_F_gametes_2,Fs_F_gametes_3,Fs_M_gametes_1,Fs_M_gametes_2,Fs_M_gametes_3,Fs_zygotes_24h_1,Fs_zygotes_24h_2,Fs_zygotes_24h_3,Fs_zygotes_48h_1,Fs_zygotes_48h_2,Fs_zygotes_48h_3,Fs_zygotes_48h_4,Fs_zygotes_48h_5,Fs_zygotes_48h_6,Fs_zygotes_1w_1,Fs_zygotes_1w_2,Fs_zygotes_1w_3,Fs_zygotes_3w_1,Fs_zygotes_3w_2,Fs_zygotes_3w_3,Fs_zygotes_4w_1,Fs_zygotes_4w_2,Fs_zygotes_4w_3,Fs_Fwild_matSP_holdfast_1,Fs_Fwild_matSP_holdfast_2,Fs_Fwild_matSP_holdfast_3,Fs_Fwild_matSP_reptip_1,Fs_Fwild_matSP_reptip_2,Fs_Fwild_matSP_reptip_3,Fs_Fwild_matSP_stipe_1,Fs_Fwild_matSP_stipe_2,Fs_Fwild_matSP_stipe_3,Fs_Fwild_matSP_vegtip_1,Fs_Fwild_matSP_vegtip_2,Fs_Fwild_matSP_vegtip_3,Fs_Mwild_matSP_holdfast_1,Fs_Mwild_matSP_holdfast_2,Fs_Mwild_matSP_holdfast_3,Fs_Mwild_matSP_reptip_1,Fs_Mwild_matSP_reptip_2,Fs_Mwild_matSP_reptip_3,Fs_Mwild_matSP_stipe_1,Fs_Mwild_matSP_stipe_2,Fs_Mwild_matSP_stipe_3,Fs_Mwild_matSP_vegtip_1,Fs_Mwild_matSP_vegtip_2,Fs_Mwild_matSP_vegtip_3
ser_TRINITY_DN1_c2_g2,549.053903,225.747306,305.572212,1074.686236,422.046846,444.339254,358.740908,328.768491,517.576214,296.125747,295.942803,254.059434,466.582097,541.48766,439.932256,501.925038,571.196519,527.167788,1078.474221,720.049375,596.74983,803.107267,640.309362,484.218855,249.09276,451.457067,519.678247,869.835231,684.827583,683.387146,502.540371,444.626131,400.753679,862.337401,712.071011,429.647501,858.803277,553.420901,1265.818635,1028.962508,878.04322,1393.124351,829.865733,882.547296,944.809487,1012.968624,572.983036,1659.793118
ser_TRINITY_DN1_c4_g6,0,0,0,0,0,0,0.259681,0.405465,0.298961,1.721618,2.827897,2.666631,1.909629,2.374806,3.186667,1.498465,3.409947,8.773484,0.25369,0.176445,0.695613,0.334842,0.504463,0.540425,0,0,0,33.776519,13.922009,7.982416,0,0,0,21.340713,39.619662,11.536677,0,0.175169,0,11.151036,14.303486,16.788335,0,0,0,47.293156,37.762877,21.441122
ser_TRINITY_DN100_c0_g1,0.034403,0.078333,0.009869,35.291108,83.903616,103.607043,1.65555,0.977901,1.500091,12.36093,7.522575,13.253008,10.931297,5.099517,11.316315,7.302061,11.450797,14.18716,1.898756,4.004559,4.438861,5.278348,4.301962,23.779465,16.456619,0.389728,0.311193,1.030852,2.384519,1.656825,1.0778,0.463999,0,0.739289,2.650599,1.090648,1.991882,1.350048,0.894652,12.319563,7.42636,1.256561,7.533238,6.276975,0.151445,0.189759,0.928104,1.474198
ser_TRINITY_DN10004_c0_g1,36.661613,38.347317,50.416043,3.174458,7.399428,2.452427,22.520853,14.157829,22.253297,20.627588,16.122719,19.741711,20.450978,19.183346,16.101993,13.052925,10.190765,10.932144,12.021648,17.828124,14.08567,14.456508,14.075366,16.87399,19.300403,8.380915,13.910216,15.963602,46.49449,60.162343,28.021118,12.747564,25.924948,26.065561,24.013002,120.412451,21.620606,7.99303,20.879663,35.806852,33.725635,45.076957,23.243051,18.993526,25.429407,23.069895,17.944728,14.698533
ser_TRINITY_DN10005_c0_g1,6.357968,6.096824,6.661377,0.067861,0.265547,1.074086,8.22367,8.135153,10.718668,11.272009,10.959646,11.643001,11.865331,11.775005,12.435234,8.356058,8.183216,9.241734,7.381095,10.526004,9.573772,13.297447,12.131634,10.869965,3.407149,5.804143,7.300511,9.051756,6.222184,9.808753,8.698354,5.598481,1.480668,8.751212,10.101737,8.01665,6.102061,6.35538,6.823933,9.407869,11.710756,7.989985,8.964759,9.185229,5.567285,5.69657,7.660022,9.891714
ser_TRINITY_DN10006_c0_g1,21.108481,11.722449,25.249637,3.02981,4.12563,4.300742,23.426757,19.052539,24.288178,16.476635,24.168939,22.771704,18.77738,15.409942,19.686362,14.491911,19.738895,19.381691,12.379015,24.529457,20.158833,28.202225,17.7063,27.91507,4.187516,6.659034,7.171814,9.252786,13.898435,20.222266,15.770701,12.154257,0,10.759153,11.85355,24.309539,3.341046,9.193618,4.007909,12.706837,15.736049,7.281318,3.457974,5.68134,4.812031,5.26966,11.212385,4.409496
ser_TRINITY_DN10008_c0_g1,9.058729,4.85454,6.12973,0.164079,0.090821,0.049562,9.831382,10.650839,10.526047,9.717303,8.6187,8.78222,9.193487,9.403782,8.444933,6.732281,8.631293,8.580716,6.026703,7.860329,10.237244,10.441694,10.348386,13.75971,3.636376,5.363411,5.130104,4.322744,7.215042,7.587585,5.104582,3.888409,0.999354,3.66755,3.757768,7.632748,4.069545,4.273706,8.838494,6.685562,5.722674,4.786494,6.041108,6.235808,5.014285,3.286182,3.518197,4.065987
ser_TRINITY_DN10009_c0_g2,1105.338188,1071.230616,947.661501,212.911796,167.649303,215.066737,1228.466157,1342.17448,1236.099112,1670.748546,1804.948895,1729.946262,1600.170617,1677.526511,1584.123699,1925.550322,2090.933247,2001.121195,2585.931919,3282.098359,3499.065287,3283.287662,3983.633751,4075.802294,2154.901565,2925.082968,2685.553259,4399.610889,2826.542759,3484.012828,2709.528634,2760.648694,1791.986724,3122.335839,3269.431784,2731.500703,1779.817248,2756.249498,958.474988,1444.326677,1966.547569,895.98799,2023.138661,2087.085547,1461.092999,2826.733768,2420.780386,1374.693753
ser_TRINITY_DN10014_c0_g1,3.541614,0.163684,0.436468,22.997188,18.846907,7.54353,0.192817,0.225908,0.145513,0.317736,0,0,0,0,0.158343,0,0,0,0,0,0,0,0.045018,0,0,0,0,0,0.121385,0.851844,0,0,0,0,0,0.328476,0,0,0,28.118816,18.318,8.451114,0,0,0.318274,0,0,1.060743
ser_TRINITY_DN10017_c0_g1,3.413311,12.115501,6.824704,23.435808,42.970614,23.063372,19.47445,17.862144,17.702743,100.973445,104.056955,121.129967,106.758884,112.774873,136.439515,13.358115,15.517869,13.304111,39.561136,37.449383,44.284496,64.092912,89.271952,61.195781,0.353887,5.004411,17.338338,4.623983,8.916642,4.98097,2.076249,7.664992,0,1.838754,5.200695,7.494849,2.430659,7.769417,0.716583,9.422178,10.873844,6.82318,2.787831,3.129664,1.987969,6.389412,7.74812,4.719555
ser_TRINITY_DN10024_c0_g2,2.635649,2.717853,2.994243,0.810711,0.76191,0.51878,4.461711,4.383881,6.110885,5.767001,5.856084,6.577473,6.416627,5.14719,6.253359,5.812692,5.71642,7.079365,7.575615,6.721849,8.069859,10.073449,9.210013,10.511116,0.284556,2.106987,3.486099,6.606096,4.06269,7.991081,4.041223,2.285236,0.169983,3.371328,4.657186,3.789514,4.035844,7.612768,2.443897,11.281802,14.851373,6.299471,9.107461,9.975779,4.542473,9.473882,9.053265,7.150465
ser_TRINITY_DN100298_c0_g1,685.483733,785.418633,706.13638,35.040568,15.452682,14.399724,318.492926,281.258886,471.736416,304.555405,267.456908,274.694557,334.689185,429.221347,348.889547,175.794177,204.667595,192.276665,340.170317,269.978103,284.438523,266.374889,225.288426,216.646485,420.963802,516.707118,417.794599,820.310477,728.117084,725.070511,561.003254,434.728483,770.943827,820.048003,747.10467,741.957097,532.248569,345.378581,539.368758,375.654339,558.514086,840.388558,492.520574,489.469478,638.940026,538.197521,415.938197,615.168416
ser_TRINITY_DN10030_c0_g1,15.581406,23.887334,22.213405,0.742771,1.947017,3.28599,92.613917,102.117054,91.47378,158.753302,181.379387,158.25005,155.812561,171.205411,168.130103,41.004184,43.395565,39.004969,16.977006,35.625571,25.60012,34.208959,32.535709,37.721406,18.898773,9.925449,6.922752,6.385209,13.090974,12.158414,10.417646,15.401509,5.611348,9.530536,7.997506,15.862092,17.534266,10.037272,23.143113,36.567771,31.613874,17.336816,15.487167,17.418625,10.525558,9.604879,15.37099,16.219816
ser_TRINITY_DN10032_c0_g2,12.157874,17.277509,26.072882,0,0,0.154513,56.478776,70.253771,48.167914,54.167064,46.415404,41.853947,46.36341,35.53581,40.195821,23.055308,20.641126,21.629494,21.76538,23.205702,25.079882,23.271554,19.719327,45.101211,2.321039,9.511131,14.700257,3.177886,15.11825,7.16021,4.266525,9.609781,6.984177,3.436203,6.175683,8.911859,7.143456,7.139191,6.031723,14.490008,9.327313,3.785188,5.922686,7.949656,2.457516,4.445454,6.081781,2.926615
ser_TRINITY_DN100337_c0_g6,42.038924,49.221056,56.83819,0.085436,0.283547,0.309517,99.889636,102.105337,112.356113,163.446774,199.449683,175.068176,176.740365,212.038762,184.346312,51.359402,51.988355,49.883869,51.974877,100.466089,69.099748,81.029496,96.672654,66.38253,69.212555,58.278234,71.532058,65.129868,48.103805,53.089706,92.216816,52.696677,102.160933,62.959283,55.012811,55.098795,79.588144,59.657927,61.63395,130.657824,148.316369,78.248763,103.988032,104.189527,88.285567,30.93492,51.390854,47.495396
ser_TRINITY_DN10034_c0_g1,64.145737,94.258479,83.287962,152.105934,79.361783,55.818923,82.385864,76.372066,53.247606,86.963613,96.562342,93.546821,63.591158,85.332012,63.981733,61.152825,59.374958,58.01057,106.943477,86.440355,94.802741,110.31539,95.247409,105.234571,79.05094,95.607037,84.28217,78.304828,128.74822,94.315953,83.691005,69.38278,46.661007,100.134107,110.344896,120.442306,76.017819,83.916241,62.2549,71.490525,117.864242,64.555709,74.547065,84.55392,44.291078,73.579588,86.91522,69.073512
ser_TRINITY_DN10037_c0_g1,20.031485,22.643422,25.7932,0.202824,0.634071,0.197345,13.305159,12.52048,13.055859,13.562724,13.017748,13.504018,10.493515,10.615739,10.696194,8.235247,8.072148,8.291552,6.307371,8.099434,7.806367,10.514767,13.100438,13.822648,17.446202,8.378568,6.66974,3.895686,9.689795,12.066731,7.394223,7.206453,4.197367,5.174653,6.916331,12.73799,15.839824,10.776212,15.581755,9.831954,8.38524,4.08187,19.079181,15.367321,5.05751,7.677401,7.001438,7.424285
ser_TRINITY_DN10037_c0_g2,120.755821,103.733457,99.052082,45.334983,65.226638,84.050442,123.108668,132.411886,159.675759,169.151123,166.063326,183.785054,188.726907,206.610529,196.488858,136.58256,144.944498,126.300892,124.988122,167.470734,133.73156,169.4119,178.267779,216.430672,53.435563,89.84159,126.507092,104.157118,83.542378,100.392629,82.479674,87.185399,34.600726,184.717529,96.845483,131.233346,93.538014,80.31857,98.862258,106.15459,140.177453,59.443795,76.269739,78.387864,62.132094,161.948899,164.566238,118.905717
ser_TRINITY_DN10037_c0_g3,1.935919,2.480434,1.885936,7.298603,6.118741,8.946022,32.036004,41.695273,36.843947,75.793695,94.281806,90.496763,67.696852,82.384634,80.644835,18.748534,16.497951,21.215837,6.25876,6.933725,6.87554,8.473234,7.305527,11.470457,0.747587,3.601971,2.566136,0.960193,2.056899,1.172131,2.710845,1.924403,0.679555,1.38362,1.803471,2.720983,2.57629,4.20575,2.708797,48.75504,37.198712,11.828963,2.161812,2.363981,1.694801,3.279077,6.473621,3.208055
ser_TRINITY_DN10037_c0_g4,73.736473,105.089299,55.890655,0.378894,0.313776,0.05711,57.063852,47.974012,63.683514,58.299487,55.997268,56.640336,55.841448,62.708626,58.45481,36.575717,35.52833,35.009716,40.799851,41.131618,41.280291,42.935317,42.392948,44.567572,22.199778,20.964542,21.950286,15.712926,34.805867,25.140303,20.812333,18.118208,15.867911,19.497335,16.198592,35.859427,34.088444,25.537789,39.48965,14.918519,19.312522,17.136942,34.402019,32.595338,23.773244,19.813175,16.165477,36.590065
ser_TRINITY_DN10038_c0_g1,4.760091,6.825262,6.851911,0.387496,0.686997,0.281117,14.404223,18.274319,17.064827,22.214633,27.28669,26.7906,18.877695,22.069904,21.683598,14.528418,17.179505,15.634456,11.205191,12.565517,14.733803,11.599805,11.898191,18.377175,1.108007,3.350871,3.378344,4.921467,6.7144,5.788865,3.974326,2.546323,2.511885,4.785624,7.135066,5.421765,2.226838,3.549212,3.37829,6.919082,8.913996,6.288373,4.70148,5.158899,4.852565,4.611234,7.922299,4.055684
