GeneID,Fs_F_gametes_1,Fs_F_gametes_2,Fs_F_gametes_3,Fs_M_gametes_1,Fs_M_gametes_2,Fs_M_gametes_3,Fs_zygotes_24h_1,Fs_zygotes_24h_2,Fs_zygotes_24h_3,Fs_zygotes_48h_1,Fs_zygotes_48h_2,Fs_zygotes_48h_3,Fs_zygotes_48h_4,Fs_zygotes_48h_5,Fs_zygotes_48h_6,Fs_zygotes_1w_1,Fs_zygotes_1w_2,Fs_zygotes_1w_3,Fs_zygotes_3w_1,Fs_zygotes_3w_2,Fs_zygotes_3w_3,Fs_zygotes_4w_1,Fs_zygotes_4w_2,Fs_zygotes_4w_3,Fs_Fwild_matSP_holdfast_1,Fs_Fwild_matSP_holdfast_2,Fs_Fwild_matSP_holdfast_3,Fs_Fwild_matSP_reptip_1,Fs_Fwild_matSP_reptip_2,Fs_Fwild_matSP_reptip_3,Fs_Fwild_matSP_stipe_1,Fs_Fwild_matSP_stipe_2,Fs_Fwild_matSP_stipe_3,Fs_Fwild_matSP_vegtip_1,Fs_Fwild_matSP_vegtip_2,Fs_Fwild_matSP_vegtip_3,Fs_Mwild_matSP_holdfast_1,Fs_Mwild_matSP_holdfast_2,Fs_Mwild_matSP_holdfast_3,Fs_Mwild_matSP_reptip_1,Fs_Mwild_matSP_reptip_2,Fs_Mwild_matSP_reptip_3,Fs_Mwild_matSP_stipe_1,Fs_Mwild_matSP_stipe_2,Fs_Mwild_matSP_stipe_3,Fs_Mwild_matSP_vegtip_1,Fs_Mwild_matSP_vegtip_2,Fs_Mwild_matSP_vegtip_3
ser_TRINITY_DN1_c2_g2,688.053903,364.747306,444.572212,1213.686236,561.046846,583.339254,497.740908,467.768491,656.576214,435.125747,434.942803,393.059434,605.582097,680.48766,578.932256,640.925038,710.196519,666.167788,1217.474221,859.049375,735.74983,942.107267,779.309362,623.2188550000001,388.09276,590.457067,658.678247,1008.835231,823.827583,822.387146,641.540371,583.626131,539.7536789999999,1001.337401,851.071011,568.6475009999999,997.803277,692.420901,1404.818635,1167.962508,1017.04322,1532.124351,968.865733,1021.547296,1083.809487,1151.968624,711.983036,1798.793118
ser_TRINITY_DN10004_c0_g1,175.661613,177.347317,189.416043,142.174458,146.399428,141.452427,161.520853,153.157829,161.253297,159.627588,155.122719,158.741711,159.450978,158.183346,155.101993,152.052925,149.190765,149.932144,151.021648,156.828124,153.08567,153.45650799999999,153.075366,155.87399,158.300403,147.380915,152.910216,154.963602,185.49448999999998,199.162343,167.021118,151.747564,164.924948,165.065561,163.013002,259.41245100000003,160.620606,146.99303,159.879663,174.806852,172.725635,184.076957,162.243051,157.993526,164.429407,162.069895,156.944728,153.698533
ser_TRINITY_DN10009_c0_g2,1244.338188,1210.230616,1086.661501,351.911796,306.64930300000003,354.066737,1367.466157,1481.17448,1375.099112,1809.748546,1943.948895,1868.946262,1739.170617,1816.526511,1723.123699,2064.550322,2229.933247,2140.1211949999997,2724.931919,3421.098359,3638.065287,3422.287662,4122.633750999999,4214.802294,2293.901565,3064.082968,2824.553259,4538.610889,2965.542759,3623.012828,2848.528634,2899.648694,1930.986724,3261.335839,3408.431784,2870.500703,1918.817248,2895.249498,1097.474988,1583.326677,2105.5475690000003,1034.98799,2162.138661,2226.085547,1600.092999,2965.733768,2559.780386,1513.693753
ser_TRINITY_DN10017_c0_g1,142.413311,151.115501,145.824704,162.435808,181.970614,162.06337200000002,158.47445,156.862144,156.702743,239.973445,243.05695500000002,260.12996699999997,245.758884,251.774873,275.43951500000003,152.358115,154.517869,152.304111,178.561136,176.449383,183.284496,203.092912,228.271952,200.195781,139.353887,144.004411,156.338338,143.623983,147.916642,143.98097,141.076249,146.664992,139,140.838754,144.200695,146.494849,141.430659,146.769417,139.71658300000001,148.422178,149.873844,145.82318,141.787831,142.129664,140.987969,145.389412,146.74812,143.719555
ser_TRINITY_DN100298_c0_g1,824.483733,924.418633,845.13638,174.040568,154.452682,153.399724,457.492926,420.258886,610.736416,443.555405,406.456908,413.694557,473.689185,568.2213469999999,487.889547,314.794177,343.667595,331.276665,479.170317,408.978103,423.438523,405.374889,364.28842599999996,355.646485,559.963802,655.707118,556.7945990000001,959.310477,867.117084,864.070511,700.003254,573.728483,909.943827,959.048003,886.10467,880.957097,671.248569,484.378581,678.368758,514.6543389999999,697.514086,979.388558,631.520574,628.469478,777.940026,677.197521,554.938197,754.168416
ser_TRINITY_DN10030_c0_g1,154.581406,162.887334,161.213405,139.742771,140.947017,142.28599,231.61391700000001,241.117054,230.47378,297.75330199999996,320.379387,297.25005,294.81256099999996,310.205411,307.13010299999996,180.004184,182.395565,178.00496900000002,155.977006,174.625571,164.60012,173.208959,171.535709,176.721406,157.898773,148.92544900000001,145.922752,145.385209,152.090974,151.158414,149.417646,154.401509,144.611348,148.530536,146.997506,154.862092,156.534266,149.037272,162.143113,175.567771,170.613874,156.336816,154.487167,156.418625,149.525558,148.604879,154.37099,155.219816
ser_TRINITY_DN100337_c0_g6,181.038924,188.221056,195.83819,139.085436,139.283547,139.309517,238.889636,241.10533700000002,251.356113,302.446774,338.449683,314.068176,315.740365,351.038762,323.346312,190.359402,190.988355,188.883869,190.974877,239.466089,208.099748,220.029496,235.672654,205.38253,208.212555,197.278234,210.532058,204.129868,187.103805,192.089706,231.216816,191.696677,241.160933,201.959283,194.012811,194.098795,218.588144,198.657927,200.63395,269.657824,287.316369,217.248763,242.988032,243.189527,227.28556700000001,169.93492,190.390854,186.495396
ser_TRINITY_DN10034_c0_g1,203.145737,233.258479,222.287962,291.105934,218.361783,194.81892299999998,221.385864,215.37206600000002,192.247606,225.963613,235.562342,232.546821,202.591158,224.33201200000002,202.981733,200.152825,198.374958,197.01057,245.943477,225.440355,233.802741,249.31538999999998,234.247409,244.23457100000002,218.05094,234.607037,223.28217,217.304828,267.74822,233.31595299999998,222.69100500000002,208.38278,185.66100699999998,239.134107,249.344896,259.44230600000003,215.017819,222.916241,201.2549,210.490525,256.864242,203.55570899999998,213.547065,223.55392,183.291078,212.579588,225.91522,208.073512
ser_TRINITY_DN10037_c0_g2,259.75582099999997,242.733457,238.05208199999998,184.334983,204.22663799999998,223.050442,262.10866799999997,271.411886,298.67575899999997,308.151123,305.06332599999996,322.785054,327.726907,345.61052900000004,335.488858,275.58256,283.944498,265.300892,263.988122,306.470734,272.73156,308.4119,317.267779,355.43067199999996,192.435563,228.84159,265.507092,243.157118,222.54237799999999,239.392629,221.479674,226.18539900000002,173.600726,323.717529,235.845483,270.233346,232.538014,219.31857,237.862258,245.15458999999998,279.177453,198.443795,215.26973900000002,217.38786399999998,201.132094,300.948899,303.566238,257.905717
ser_TRINITY_DN10037_c0_g4,212.736473,244.08929899999998,194.890655,139.378894,139.313776,139.05711,196.063852,186.97401200000002,202.683514,197.299487,194.997268,195.640336,194.841448,201.708626,197.45481,175.575717,174.52832999999998,174.009716,179.799851,180.131618,180.280291,181.935317,181.392948,183.56757199999998,161.199778,159.964542,160.950286,154.712926,173.805867,164.140303,159.812333,157.118208,154.867911,158.497335,155.198592,174.85942699999998,173.088444,164.537789,178.48964999999998,153.918519,158.312522,156.136942,173.402019,171.595338,162.773244,158.813175,155.165477,175.590065
ser_TRINITY_DN1005_c0_g1,630.931738,524.402295,426.973212,202.69480099999998,226.590279,174.241864,518.072268,547.0536569999999,446.704918,654.826545,736.906982,662.543715,636.730511,664.296345,628.736589,906.990921,897.823225,823.013004,1441.757183,1485.401435,1339.783656,1096.4734079999998,1166.896638,902.420136,1517.933069,1211.727069,1296.110256,1947.248086,1536.806848,1803.505985,1520.926024,1142.316454,2358.509401,1864.35973,1794.167522,1272.286832,2384.288855,1175.099448,2180.231979,1716.359568,1465.493357,2383.646302,2262.19991,2054.132822,2180.993936,2062.055194,1419.612989,2692.67481
ser_TRINITY_DN10052_c0_g6,148.917394,153.618306,156.295814,179.951819,169.132902,205.517966,157.56357,159.553227,154.665302,200.500133,216.562115,205.38366100000002,190.398254,188.452373,193.035395,187.710072,175.491772,172.651838,209.921761,242.188463,227.90890100000001,336.077631,457.851943,270.81316400000003,143.901402,174.836019,198.519102,168.077847,159.8254,148.474449,221.84032100000002,179.048544,152.554734,149.711051,179.014901,155.82970699999998,173.216709,178.55412,144.86368099999999,156.765386,150.012439,147.673864,199.585884,196.395057,164.575539,150.50016,157.148039,151.515314
ser_TRINITY_DN10064_c0_g1,297.75976000000003,245.990993,322.552019,178.781916,204.023436,217.00645400000002,298.055323,274.18620699999997,308.19892600000003,336.678504,278.633489,283.193013,442.829996,407.329796,379.827621,378.31617700000004,498.490197,403.645185,1163.935045,886.100085,1113.253023,1152.728574,945.265911,389.292977,933.230676,472.030625,566.720281,628.853829,483.703533,576.353158,556.813444,520.253386,823.475445,509.683152,438.759469,454.210639,636.290037,535.05287,733.552836,350.73521500000004,399.432121,349.025357,543.949374,560.575259,579.783135,342.826673,405.082132,550.223254
ser_TRINITY_DN10068_c0_g1,163.261025,161.495431,155.913971,143.13633,144.516492,141.654077,148.350711,148.045427,148.748508,209.164713,210.14050400000002,220.320799,204.05044700000002,193.95586500000002,211.57019400000001,207.93230599999998,208.441473,203.52345,168.627979,173.27723,168.118235,167.098563,170.240101,182.955547,145.342907,147.934695,160.74886,217.113482,177.96764100000001,183.3363,174.99848,154.410031,144.800354,246.890855,217.05667699999998,180.14863,150.634965,154.644825,142.442512,156.573851,172.215712,155.530399,162.080477,160.84606,152.457751,276.17483300000004,281.122663,157.553304
ser_TRINITY_DN100695_c0_g1,139.660071,141.424963,143.60263,139.260854,139.288488,139,142.452766,147.371131,140.968672,147.790294,158.668527,148.996892,145.450453,152.151211,147.356407,197.540706,174.811459,183.608537,143.772248,147.471879,146.277246,151.982012,146.256812,151.68517,326.283141,372.321218,494.158679,151.80145,157.18556999999998,199.005434,238.39136200000002,255.83556199999998,175.807006,146.385722,142.372051,153.45219600000001,344.69059100000004,747.505053,325.135992,155.717432,145.937838,142.25050099999999,167.176366,190.896175,158.80821,143.213585,144.722903,157.687592
ser_TRINITY_DN10078_c0_g1,152.779893,145.823909,215.93161800000001,139,139,139,302.07860600000004,321.898317,237.834199,434.865912,441.633185,410.914444,405.834118,433.283406,394.115729,385.331541,386.205741,384.105134,373.956361,987.581282,660.105343,831.103052,1160.2949330000001,1463.464723,627.62806,1043.8073530000001,901.084864,168.923118,149.080555,141.9341,735.602948,1119.551176,429.425616,144.253292,167.820062,144.500078,486.317847,1298.765948,535.506113,144.48189,140.453728,146.165233,614.4350079999999,726.576757,580.003558,156.868196,159.119993,140.934742
ser_TRINITY_DN10079_c0_g1,3058.75964,2440.955269,2804.267712,10363.953913,12018.975626,14004.316873,3569.040012,3617.060611,3726.936279,4171.953717,3962.668139,3910.29195,4229.435856,4088.081798,4037.736524,2245.450928,2354.68374,2233.008994,1773.153422,1416.158204,2119.608808,1526.056505,1467.384977,2277.803436,1409.650062,1673.054201,1752.739967,913.433436,1598.075697,1113.173978,1713.327476,1852.936372,1396.890702,1241.81328,1057.7755630000001,1345.801535,1474.281458,1568.9332,1659.404309,8128.619073,6732.983858,3833.311082,1573.025752,1471.961809,1294.576261,1400.626751,1564.059222,2184.1867380000003
ser_TRINITY_DN100907_c0_g1,231.665538,268.17487800000004,219.27795700000001,139.700297,139.641506,139.350632,297.476022,273.891147,296.325088,391.687879,425.560513,399.095876,405.075629,462.441138,424.088258,345.68595400000004,300.51948400000003,328.01534200000003,276.25818300000003,313.234042,299.200561,287.05274199999997,294.635329,297.086823,181.952599,268.620458,322.49659399999996,239.920624,226.72933999999998,200.678458,217.85458599999998,222.07582100000002,224.331511,245.044375,219.83855499999999,214.53315,225.11669799999999,281.47884799999997,245.74171,184.142853,212.203499,215.925248,201.125731,198.507743,214.037844,341.091092,345.657085,197.39689099999998
ser_TRINITY_DN10098_c0_g1,208.76181,218.118494,239.041165,190.277697,195.685995,212.438637,215.482219,212.864128,197.32394299999999,198.316353,192.804055,192.727169,174.117594,168.36422,170.957003,181.979339,176.817082,179.396793,170.322275,185.3502,196.005931,207.435888,199.127481,217.968985,196.761074,268.167002,239.947561,170.271654,190.398077,196.911673,204.094133,258.485452,202.501563,169.21571,173.248456,230.081963,224.933134,230.769466,187.669296,179.186311,187.675167,172.21669500000002,187.600654,184.26895100000002,158.095465,161.668653,164.54121,150.90903600000001
ser_TRINITY_DN10103_c0_g1,157.74515,152.207868,150.203665,139.244471,139.054497,139.059388,238.192117,222.09189800000001,243.75161,281.158995,280.92443000000003,281.010392,278.958686,272.82405600000004,272.89559299999996,164.239637,167.203579,167.148653,148.150217,152.851412,152.282257,160.001279,157.19556599999999,173.21758,140.075735,145.312624,144.821584,140.169387,146.671758,144.150219,141.919606,145.170736,140.562926,139.570837,141.234646,147.231143,140.53775100000001,145.328833,141.298558,186.287476,183.195505,148.280902,140.149402,140.826358,141.530117,141.402756,147.167725,141.595966
ser_TRINITY_DN10106_c0_g1,30525.59824,26832.464772,27102.594012,139.167602,139.182356,139.199801,18944.705025,19295.2843,16909.608942,4661.231298,2670.355647,2625.454646,3853.948537,2305.017842,2199.932115,161.844191,148.337717,156.09689,139.195034,147.070596,139.271122,139.791533,141.693279,139,139.868901,140.589226,139.469716,142.146972,3845.840263,2809.338005,139.421892,140.359053,150.364245,139.768248,140.648488,5753.209896,139,139,139.286152,139.120343,139.643278,139.457528,139,139.099829,139,139,139,139.931969
ser_TRINITY_DN10111_c0_g1,183.893112,191.28725,190.712353,141.193064,141.335929,143.499939,246.963427,243.99729100000002,304.93580299999996,388.897202,370.42368799999997,387.72130300000003,404.247674,420.307309,424.605648,268.565446,256.368805,266.748,253.981691,308.12949000000003,264.816795,292.044138,290.62983199999996,223.796638,206.259204,218.655623,226.034509,207.765807,220.089131,213.85967599999998,235.33795,209.611344,198.704576,199.14051899999998,205.960894,228.85138899999998,219.620502,210.011471,198.040852,289.71325,269.54222400000003,219.613776,224.899474,224.519998,204.330015,178.269501,206.099238,193.113077
ser_TRINITY_DN10116_c0_g1,356.19705999999996,295.946796,319.007232,141.900303,143.842359,142.328722,363.093003,312.857169,372.99480800000003,285.29002,273.98900000000003,278.063287,285.69255599999997,264.611228,266.088692,197.541844,199.357576,198.370081,184.519997,210.08796,200.135649,211.232111,221.041595,222.586045,203.49012299999998,189.208869,172.501263,157.236792,204.187247,188.117605,165.588706,184.42774500000002,155.745685,161.158649,163.218368,210.211775,178.285356,175.80714,177.898346,185.971325,176.42730699999998,155.531316,173.43026700000001,175.877581,165.537618,164.062245,168.032021,157.315719
ser_TRINITY_DN101175_c0_g2,163.124746,158.861783,159.411405,139.517967,140.055789,141.055509,163.291392,157.135521,160.028685,170.769435,175.78918,176.849476,170.824921,194.977737,187.023432,209.86067300000002,189.118085,193.272043,204.915449,182.42594400000002,183.554431,174.909019,168.685512,187.418638,183.181238,200.916765,172.57662299999998,187.989046,189.42884,171.666374,194.94105,199.566811,224.79948000000002,198.929552,212.708886,182.62078300000002,229.04775899999999,178.93114400000002,187.475917,182.933356,164.090265,257.635484,231.755055,216.493976,237.826075,232.722633,163.447787,209.932017
ser_TRINITY_DN10129_c0_g1,186.411978,207.868264,213.36437,153.512278,141.177944,139.748527,271.831385,255.118776,249.159603,261.432927,264.4116,285.418675,250.049662,250.372158,279.596091,243.842245,210.88512400000002,228.711341,288.498715,337.57576800000004,287.253193,349.84520499999996,439.077255,291.154231,142.16458,150.895623,154.32558,141.016374,171.994425,157.987929,147.0094,149.732905,141.244209,150.589008,151.249416,178.260849,151.908767,151.124669,149.862304,151.535166,152.158763,152.948633,151.42211,158.05437,144.941265,177.70782400000002,199.226656,153.16047
ser_TRINITY_DN10138_c0_g1,167.425503,198.438541,193.636289,139,139,139,144.096409,142.776796,142.219342,158.281108,162.071471,160.30515,172.843079,156.42603,163.042442,218.267534,240.37712399999998,191.617283,221.468433,163.059058,241.75026200000002,206.958173,170.13854,311.785284,141.537994,194.225366,163.78516,145.990813,255.994143,255.763361,140.882464,143.059484,149.316182,156.594053,166.692894,269.680045,160.571734,165.004148,205.92356999999998,219.481075,203.36987499999998,151.097648,160.240353,161.557886,139,161.608215,167.503613,144.057381
