GeneID,Fs_F_gametes_1,Fs_F_gametes_2,Fs_F_gametes_3,Fs_M_gametes_1,Fs_M_gametes_2,Fs_M_gametes_3,Fs_zygotes_24h_1,Fs_zygotes_24h_2,Fs_zygotes_24h_3,Fs_zygotes_48h_1,Fs_zygotes_48h_2,Fs_zygotes_48h_3,Fs_zygotes_48h_4,Fs_zygotes_48h_5,Fs_zygotes_48h_6,Fs_zygotes_1w_1,Fs_zygotes_1w_2,Fs_zygotes_1w_3,Fs_zygotes_3w_1,Fs_zygotes_3w_2,Fs_zygotes_3w_3,Fs_zygotes_4w_1,Fs_zygotes_4w_2,Fs_zygotes_4w_3,Fs_Fwild_matSP_holdfast_1,Fs_Fwild_matSP_holdfast_2,Fs_Fwild_matSP_holdfast_3,Fs_Fwild_matSP_reptip_1,Fs_Fwild_matSP_reptip_2,Fs_Fwild_matSP_reptip_3,Fs_Fwild_matSP_stipe_1,Fs_Fwild_matSP_stipe_2,Fs_Fwild_matSP_stipe_3,Fs_Fwild_matSP_vegtip_1,Fs_Fwild_matSP_vegtip_2,Fs_Fwild_matSP_vegtip_3,Fs_Mwild_matSP_holdfast_1,Fs_Mwild_matSP_holdfast_2,Fs_Mwild_matSP_holdfast_3,Fs_Mwild_matSP_reptip_1,Fs_Mwild_matSP_reptip_2,Fs_Mwild_matSP_reptip_3,Fs_Mwild_matSP_stipe_1,Fs_Mwild_matSP_stipe_2,Fs_Mwild_matSP_stipe_3,Fs_Mwild_matSP_vegtip_1,Fs_Mwild_matSP_vegtip_2,Fs_Mwild_matSP_vegtip_3
ser_TRINITY_DN1_c2_g2,3886.940739037017,3402.905123615584,3507.540531014145,3545.6531854456803,3097.914976210247,3330.2579249860883,3564.381884958956,3408.068395656158,3775.0022027440896,3205.7404969350323,3284.2618135776042,3175.957314366014,3756.289117035213,3949.480455860691,3578.001814662012,4133.5707991767285,4450.795117798787,3990.002140198807,5265.974521792508,5158.555196851659,4289.74972307936,5188.872897762897,4740.020965759397,3791.5320796049905,3316.1019144507663,3709.0622774050576,3924.9089670468065,4866.246943360794,4383.912956404329,4289.337400349467,3755.9938913123315,3839.516333036229,2905.0787767905845,4568.2925876043355,4556.852097266472,3759.1075439940164,4599.055318497019,4048.9079699014997,5255.433636464635,4719.780757785676,4495.322000227266,5528.796947894374,4713.5399054696345,4779.840435619839,3243.703954128643,4574.541491472188,4123.634513122491,5575.033049351651
ser_TRINITY_DN10009_c0_g2,7340.711105856676,8519.086278872277,7248.794212939504,3142.506406907592,3060.3231998060774,3348.392089484546,8124.793978433741,7771.688744450706,7605.341916455789,7207.194311602459,8586.901824576911,7674.970247157871,9543.377044865647,10178.546482356252,8501.965375187228,13439.963943147151,15443.531744051515,12160.496570590158,15286.499389584542,25446.86959771717,21001.30823569773,23382.360268586155,28113.458930422734,19920.834456363922,11579.868801928007,14843.914647783773,14805.836781606007,24756.48620652687,16458.304438016574,18626.80896842517,13372.213698443105,16079.369822561739,3420.775971821592,16218.238709899673,19690.751862284094,15300.509719357386,10636.125307707105,15695.83790020832,6756.827213563985,8485.161695154258,10766.956199497858,6544.449853699576,12608.271802211715,12651.693505726238,4166.4761896593955,13189.156532202296,14423.0450689249,7691.130327250343
ser_TRINITY_DN10017_c0_g1,2929.1803292873587,3234.122080644731,3037.3043629497884,3043.5674549949777,3179.6510337475793,3172.331260827751,3352.516912956143,3242.567865034392,3258.3871345367015,4443.573567990947,4852.213201075941,4895.6662342280115,5554.810133271898,5834.431057769956,5799.378506323048,3290.6781338139917,3411.9482073965887,3220.534651751204,3999.1331846755847,4408.755962166811,4238.345265997018,5275.956734743488,6278.570133416117,4399.611396032202,2853.6981140456946,2969.4767623637254,3313.2381532174177,2984.6385514679173,3105.3999318078404,2981.811467559768,2893.913717295941,3067.810353195946,2845,2892.754263559451,3007.4841648714146,3052.230948406865,2909.517919215264,3064.6508499048846,2862.7336004430013,3068.104826281602,3110.608896638945,3015.8257450898946,2926.5769966905177,2934.168529514687,2855.9024129872128,2986.7759639263377,3069.7024051242156,2945.883866949221
ser_TRINITY_DN100298_c0_g1,6882.750118955611,8869.946895185672,7597.27353257445,2915.9098882806793,2873.742994019427,2893.811974186095,4827.406143040644,4340.1730665651685,5476.014978627098,3996.593728266863,4077.207184372747,3955.710714231177,4874.009319246856,5562.471726131185,4649.352773577043,4245.838792675669,4630.94432894001,4141.278337751064,5215.233406313449,5537.528932570324,4982.484530938412,5258.059513140519,4914.556550251833,4159.4968143322685,5316.227721903159,5914.638856240843,5539.819492861685,8761.636525481026,7923.649983504327,7601.596846212137,6001.6333368017,5863.2088096186435,3203.740615443932,7931.690601198212,8419.919932089491,7744.796532117905,6219.258456545067,5177.101149055246,6033.039773014805,4969.484641412872,6103.375831981142,7870.209262596357,6287.176790055873,6175.788308229101,3681.913632343344,5697.271971235933,5726.029552543718,5985.669409646789
ser_TRINITY_DN10030_c0_g1,3148.6171412475833,3451.173662082238,3339.5444532800466,2849.9724217831454,2856.9805081238474,2881.8481594289974,4751.9813863119,4640.811910015008,4532.710299176617,4830.789015774329,5609.36384496177,4961.76243815129,5969.799712408198,6430.738092894047,5721.446693341935,3925.9091806435827,4097.684013875468,3714.8992916051884,3236.321004410401,4020.360329597012,3481.4054995438173,3870.1607429087817,3833.7262158574467,3602.1346466092014,3212.0109145435435,3040.060960696081,2992.714452754694,2997.3523320366835,3147.062198595465,3108.8580725531106,3038.91245799451,3198.7299380385234,2853.63778468404,3040.5648190835554,3042.4190761159034,3191.526996562243,3212.729770313386,3069.204865300775,3297.5192691010875,3529.1337758388277,3455.129635840305,3187.9420329976324,3203.0619180337294,3237.114265620053,2890.608210561584,3013.390852887521,3197.2070992606646,3118.9374919361135
ser_TRINITY_DN100337_c0_g6,4276.315174767669,5027.450231066452,5056.029215537603,2845.9993508115213,2848.0485589155624,2851.0645434346684,6438.806362904426,5982.437294247178,6467.1132272835,6417.323095881013,8156.346883911587,6936.659757391137,9038.262800716759,10604.618674960888,8355.732699835666,5210.620263070308,5467.20297148873,4788.896829661651,4938.2908204093,8636.5222881059,5846.4590864421425,7087.865722704113,7978.144114890755,5173.107820995889,5193.520169265023,4846.200583683854,5511.913792398626,5560.302556245293,4784.402229169523,4858.111454802363,5844.233512910361,4959.734328471468,3119.7793315320678,5102.341257090773,5217.8070204060405,4948.210553553452,5761.443841791092,5173.421169200566,4950.713803908171,7116.122287374305,7846.468392190755,5549.536831028039,7045.814968282371,6943.1408531922425,3513.423416920079,3792.6318240124137,4902.529836049882,4246.590374641963
ser_TRINITY_DN10037_c0_g2,4418.013729852458,4604.758321081741,4319.207459832857,3047.8856234579307,3113.3090268849874,3475.078063097236,4539.586059561666,4401.662048039813,4814.4504534033995,4259.457874860553,4536.943288101668,4488.399877548873,5375.220313500702,5737.799432477048,5092.261311413462,5251.916787181852,5642.066025227261,4728.043069523528,4770.952605430842,6538.625960098159,5067.4429897311065,6238.913875369013,6466.541145770165,5749.081843249085,3538.7141553143074,4025.327217111855,4649.529077227457,4506.375261329091,4133.653173221701,4301.465096098024,3871.3319458132128,4183.619351557346,2880.606163172241,5378.881555671477,4443.154292516345,4761.574067442669,4156.396862039036,4044.361497027925,4137.262144062521,4172.657693448212,4653.536852072946,3631.072677973227,4023.8083624616365,4024.6479011600627,3024.9776970910134,4743.057626984282,5365.819805642553,4187.496257320222
ser_TRINITY_DN10037_c0_g3,3042.6104704742625,3174.7313064924074,3064.948132175337,3100.9504453326276,3042.228963316002,3370.512016538784,6300.506130290345,6686.072629263454,6405.988332773936,7811.455446389175,10372.283870315234,9186.097584767083,9956.993009379681,11883.792616087221,10072.540531152768,5433.996561666856,5339.76317350956,5323.633626755176,3600.7244668157136,4043.3369058595413,3740.368606564958,4175.161691188409,4007.9751949112847,4051.060506665224,2921.0519298945137,3215.8203297200644,3131.8316112987427,2965.0150338256503,3093.622548002931,2978.2516936454163,3109.3284621094394,3076.5302263998747,2850.4797773158093,2993.7282139352583,3078.209818486752,3156.3906482185553,3128.034303469061,3337.125557900136,3122.4564901060085,7623.209504193283,6605.758383892444,4070.7479585979677,3106.822643053063,3123.7699018116787,2883.469783573017,3146.148941239944,3622.045880899781,3128.8248941222855
ser_TRINITY_DN1005_c0_g1,13385.817324462303,13599.5805893543,9895.048296786268,3313.8855052019603,3437.6676267706885,3279.568491397954,11428.05738903565,10735.95643924249,9087.887568514696,9940.186667862616,12865.530184181609,10545.71438781618,13821.49756256715,14943.046756829273,12058.469539038388,25107.140485897165,26932.215827242046,19620.025912598267,35865.62849534316,51691.512490798516,35670.13283455595,34397.12624788903,37194.0730275557,19694.951691644015,32291.81713777431,26027.444974025977,29994.93288380622,50289.05541980459,38311.74920247123,42566.77259449861,31130.946292931374,28184.39723887387,6602.006625838982,41776.654720757804,47773.95296364069,30069.897533475563,54625.14017270436,28294.57786306923,46734.179917467976,35295.62377518828,30996.35368395759,51670.76950668741,56824.24933042639,50252.54587394239,12574.76057793733,39918.88931413213,35112.39973963819,50271.485828209625
ser_TRINITY_DN10052_c0_g6,3232.773570850739,3589.3675375493967,3617.666712119663,3395.107054041906,3217.055260533186,4341.750868585506,3611.995290423713,3570.2764649336395,3424.964007706405,4388.644847764291,5217.017634110484,4626.765149078459,4913.37405827286,4923.304655670135,4700.0267530028395,5421.563197179654,4958.742777305624,4350.978686388505,6125.292446589108,9676.268164007804,7280.046327324683,14695.875552228594,22288.114695051343,8153.905914174421,3035.997063775271,4258.191285466189,5393.364708497681,4237.18590368833,3809.22584134825,3257.5802328158115,5939.132336907502,4690.679427270599,2886.868477254284,3286.028329576799,4827.062218257898,3582.7583964661985,4284.926856597196,4617.891108815903,3075.0629225430403,3511.9268275371123,3271.4704201960285,3189.29045481696,5655.726557164557,5437.592501845309,3067.373839825844,3249.5679520145704,3679.4243426379544,3269.1390878383254
