rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_sorus,matSP_stipe,4wSP,earlySP,matSP_meristem,matSP_vegfrond
1,nbis-gene-8313,48.873434,31.208878,5.802896,13.005568,5.712305,16.197732,39.505818500000004,8.4005115,3.729742
7,nbis-gene-832,4.9147165,5.193377,17.956772,43.775121,36.56695,18.238839,0,17.5915955,18.546301
4,nbis-gene-8321,18.186397499999998,32.185397,74.490783,68.563016,54.403383,53.302913,0,43.7494785,42.379505
7,nbis-gene-8323,11.8814995,13.7344095,55.265393,13.256334,21.516926,12.656124,0,27.3636415,16.847064
2,nbis-gene-8326,5.0129085,4.5885145000000005,2.425456,23.482727,2.140333,11.233186,0,3.3242659999999997,1.533218
4,nbis-gene-8327,13.636693000000001,17.739725,1.969471,11.416104,2.45064,5.336491,0,5.9479395,4.196581
7,nbis-gene-833,1.1622435,4.7076615,7.884475,39.501204,60.292242,26.322374,0,69.247499,94.511078
6,nbis-gene-8331,11.0297865,11.984751,29.047343,63.494051,34.640579,25.518912,0,31.688132,31.93649
2,nbis-gene-8334,25.25886,44.330241,49.689054,52.841566,35.82365,45.190639,0,51.296195499999996,26.740609
2,nbis-gene-8337,8.1682215,8.587442,16.185338,10.851248,16.682237,5.358711,0,11.2674855,10.592704
1,nbis-gene-8338,13.86792,15.0613335,10.096617,10.982565,30.760232,16.838706,0,13.8944105,25.510561
1,nbis-gene-8339,62.1577515,71.59385499999999,30.914961,51.435831,29.443014,37.420526,0,23.4508085,30.776659
7,nbis-gene-8341,16.190642,17.909658999999998,9.875565,18.524494,13.733126,22.961826,0,8.15944,14.307149
7,nbis-gene-8344,24.0957185,31.711906,0.481475,11.39197,0.459759,11.725548,32.953299,0.86788,0.324243
7,nbis-gene-8345,26.172743500000003,15.5174035,80.415321,54.972806,91.564752,31.268224,0,51.9093605,64.199034
7,nbis-gene-8346,17.599638,10.925712,51.958641,36.289672,67.337376,15.319393,0,47.193841,52.027007
1,nbis-gene-8348,49.040161499999996,36.363671499999995,25.175743,39.564121,18.990863,13.278173,0,13.165879499999999,14.417725
1,nbis-gene-8349,5.873545,6.8334755000000005,8.942855,12.667746,8.403424,2.95774,0,5.874009,3.777365
4,nbis-gene-835,1.861393,2.1234565,1.001883,1.758487,0.411662,1.019148,0,2.0946895000000003,0.459708
6,nbis-gene-8350,2.0277445,2.5408895,7.504473,7.772467,5.241047,6.199237,0,4.1266295,5.821494
7,nbis-gene-8351,3.4147895000000004,5.845915,6.388696,6.964395,10.831134,3.871979,0,7.845278,10.264234
