	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
Number of genes	10213	13584	24428
Number of genes in orthogroups	7037	8630	16614
Number of unassigned genes	3176	4954	7814
Percentage of genes in orthogroups	68.9	63.5	68.0
Percentage of unassigned genes	31.1	36.5	32.0
Number of orthogroups containing species	6324	7031	8287
Percentage of orthogroups containing species	59.6	66.3	78.1
Number of species-specific orthogroups	62	181	2050
Number of genes in species-specific orthogroups	163	467	6630
Percentage of genes in species-specific orthogroups	1.6	3.4	27.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	4282	3575	2319
'1	5863	6082	4453
'2	360	671	2296
'3	62	151	752
'4	15	52	320
'5	10	27	153
'6	5	19	94
'7	1	9	54
'8	2	7	29
'9	1	4	28
'10	2	3	13
11-15	1	4	53
16-20	0	1	21
21-50	2	1	18
51-100	0	0	3
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	40.4	33.7	21.9
'1	55.3	57.3	42.0
'2	3.4	6.3	21.6
'3	0.6	1.4	7.1
'4	0.1	0.5	3.0
'5	0.1	0.3	1.4
'6	0.0	0.2	0.9
'7	0.0	0.1	0.5
'8	0.0	0.1	0.3
'9	0.0	0.0	0.3
'10	0.0	0.0	0.1
11-15	0.0	0.0	0.5
16-20	0.0	0.0	0.2
21-50	0.0	0.0	0.2
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	5863	6082	4453
'2	720	1342	4592
'3	186	453	2256
'4	60	208	1280
'5	50	135	765
'6	30	114	564
'7	7	63	378
'8	16	56	232
'9	9	36	252
'10	20	30	130
11-15	12	48	680
16-20	0	18	372
21-50	64	45	501
51-100	0	0	159
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	57.4	44.8	18.2
'2	7.0	9.9	18.8
'3	1.8	3.3	9.2
'4	0.6	1.5	5.2
'5	0.5	1.0	3.1
'6	0.3	0.8	2.3
'7	0.1	0.5	1.5
'8	0.2	0.4	0.9
'9	0.1	0.3	1.0
'10	0.2	0.2	0.5
11-15	0.1	0.4	2.8
16-20	0.0	0.1	1.5
21-50	0.6	0.3	2.1
51-100	0.0	0.0	0.7
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
