rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_meristem,matSP_stipe,matSP_vegfrond,matSP_frond_sorus,matSP_sporophyll_sorus
7,nbis-gene-1,6.046335,0,11.891891,54.475787,113.10421,15.460608,31.673209,37.023055
8,nbis-gene-10,3.7043835,0,15.7657975,39.531736,41.759404,27.600488,49.924986,50.41938
7,nbis-gene-100,7.139158500000001,0,12.0166975,34.545214,22.751317,11.019738,37.184964,26.4304
7,nbis-gene-1000,7.9891095,0,10.689444,33.514273,30.709161,21.932518,21.454892,30.276096
1,nbis-gene-10000,45.4510795,0,1.6835985,2.058848,15.011266000000001,4.259279,73.902532,83.974652
2,nbis-gene-10001,15.87426,0,7.7326385,4.192355,12.953064,6.814513,9.667686,6.224671
5,nbis-gene-10002,32.393967,0,0,0,5.611603,0,0,0
7,nbis-gene-10003,9.553875,19.136498,2.8443085,10.154873,8.874025,15.525156,26.494284,28.707045
1,nbis-gene-10004,10.284408500000001,0,0,0,0,0,0,0
1,nbis-gene-10005,1.162822,0.435894,2.7252089999999995,14.132727,13.200116,14.709236,8.883053,9.984075
6,nbis-gene-10006,4.4566165,18.075534,12.244446,18.059236,4.73824,12.953162,158.745692,133.864813
1,nbis-gene-10007,6.5636355,32.009148,2.0508595,1.80252,0.991316,0.261647,25.590765,27.415832
7,nbis-gene-10008,25.339523999999997,0,0,2.805015,1.759417,0,3.215538,4.625504
2,nbis-gene-10009,14.141814499999999,69.731115,15.201651499999999,13.825314,9.161691,11.883552,15.084616,15.126135
7,nbis-gene-1001,27.883132500000002,0,5.1787435,36.927158,35.588336,36.744611,41.872137,30.44952
1,nbis-gene-10010,6.468965,40.04659,28.708402999999997,30.734628,29.400311,41.214603,23.776413,26.376139
1,nbis-gene-10011,12.1889045,0,66.6835055,51.317248,98.026376,48.858546,68.360617,74.013798
7,nbis-gene-10012,5.015893,0,14.2657185,1.652426,9.270235,3.433228,0,0
7,nbis-gene-10013,12.1970335,0,2.946769,5.84108,13.651351,8.023979,4.100424,6.764857
7,nbis-gene-10014,1.294945,0,18.573347000000002,14.152692,8.420091,4.948562,15.799765,11.807302
6,nbis-gene-10015,17.631341499999998,0,13.905091500000001,36.618279,56.57688,26.11025,50.020149,47.604017
7,nbis-gene-10016,15.6777775,0,1.324924,1.780367,4.111066,0,0,4.119891
7,nbis-gene-10017,3.706823,0,2.850708,8.797976,12.057476,7.679257,18.876448,21.668933
7,nbis-gene-10018,14.119927,4.148765,47.170455,209.786416,248.479049,42.604336000000004,72.982214,98.370892
2,nbis-gene-10019,103.5416315,100.470136,0.395188,14.541298,20.068123,8.865982,50.265002,57.370562
7,nbis-gene-1002,5.4527920000000005,2.939154,22.1246625,17.771375,25.970203,1.502795,38.167688,41.485948
1,nbis-gene-10020,23500.325061,8127.770239,2766.504098,1593.498316,2039.661222,2394.868607,850.157033,857.51295
6,nbis-gene-10021,5.7537400000000005,0,10.363647,32.720255,26.606361,28.27853,55.902816,55.327416
1,nbis-gene-10022,8.183869,7.765913,19.74693,42.937834,40.124054,28.40814,31.494817,28.846452
7,nbis-gene-10023,16.768573,1.153748,9.950289,41.060119,43.337248,47.535647,136.074259,137.468247
1,nbis-gene-10025,1622.995811,3825.924445,9537.50341,3315.796986,3758.326462,3329.79824,1887.143109,2071.481386
1,nbis-gene-10026,0.691074,1.472366,20.428511999999998,5.301818,7.491869,5.342213,27.425228,40.65589
1,nbis-gene-10027,2.0484660000000003,9.809356,5.981651,10.229649,9.396015,11.548598,5.012973,5.690382
1,nbis-gene-10028,2.15738,2.619299,0.4155285,2.836455,0.226681,0,22.530903,9.98154
4,nbis-gene-10029,17.137532,0,2.1680355,7.403917,19.397225,36.139807,31.605678,25.708069
7,nbis-gene-1003,0.3708675,0,0.1763965,7.276041,7.028589,7.687294,12.055128,11.703041
7,nbis-gene-10030,8.916207,44.650028,9.1947795,15.730298,11.582825,19.320025,24.21381,27.667796
7,nbis-gene-10031,8.9287025,23.374906,16.028503999999998,37.809365,35.30132,44.778093,33.554341,33.396755
7,nbis-gene-10032,2.023829,7.212168,4.469121,5.963428,5.585679,14.412034,6.821354,4.004948
7,nbis-gene-10034,2.584313,0,0,9.498184,6.45622,7.608324,19.730356,17.701516
2,nbis-gene-10036,4.823775,0,19.504645,4.496121,2.704347,2.437583,0,5.493361
2,nbis-gene-10037,0.6543285,2.718811,0,0,1.991685,0.443199,1.004181,0.936303
