SampleName,Replicate,SeqProt,Species,stage_tissue,Stage,Tissue,Experiment,Sex,LibName
M_meiospore_low_1,1,Low,Ec,meiospore,meiospore,All,RAP,M,RAP21_351_EC32m_meiospore_LOW_1
M_meiospore_low_2,2,Low,Ec,meiospore,meiospore,All,RAP,M,RAP21_352_EC32m_meiospore_LOW_2
M_meiospore_low_3,3,Low,Ec,meiospore,meiospore,All,RAP,M,RAP21_353_EC32m_meiospore_LOW_3
F_meiospore_low_1,1,Low,Ec,meiospore,meiospore,All,RAP,F,RAP22_384_EC25f_meiospore_LOW_1
F_meiospore_low_2,2,Low,Ec,meiospore,meiospore,All,RAP,F,RAP22_385_EC25f_meiospore_LOW_2
F_meiospore_low_3,3,Low,Ec,meiospore,meiospore,All,RAP,F,RAP22_386_EC25f_meiospore_LOW_3
M_immGA_1,1,Total,Ec,immGA,immGA,All,RAP,M,RAP23_390_EC32m_immGA_1
M_immGA_2,2,Total,Ec,immGA,immGA,All,RAP,M,RAP23_391_EC32m_immGA_2
M_immGA_3,3,Total,Ec,immGA,immGA,All,RAP,M,RAP23_392_EC32m_immGA_3
F_immGA_1,1,Total,Ec,immGA,immGA,All,RAP,F,RAP7_83_EC25f_immGA_all_1
F_immGA_2,2,Total,Ec,immGA,immGA,All,RAP,F,RAP7_84_EC25f_immGA_all_2
F_immGA_3,3,Total,Ec,immGA,immGA,All,RAP,F,RAP7_85_EC25f_immGA_all_3
M_matGA_1,1,Total,Ec,matGA,matGA,All,RAP,M,RAP23_387_EC32m_matGA_1
M_matGA_2,2,Total,Ec,matGA,matGA,All,RAP,M,RAP23_388_EC32m_matGA_2
M_matGA_3,3,Total,Ec,matGA,matGA,All,RAP,M,RAP23_389_EC32m_matGA_3
F_matGA_1,1,Total,Ec,matGA,matGA,All,RAP,F,RAP7_86_EC25f_matGA_all_1
F_matGA_2,2,Total,Ec,matGA,matGA,All,RAP,F,RAP7_87_EC25f_matGA_all_2
F_matGA_3,3,Total,Ec,matGA,matGA,All,RAP,F,RAP7_88_EC25f_matGA_all_3
M_oldGA_R_1,1,Total,Ec,oldGA_rhizoid,oldGA,rhizoid,RAP,M,RAP1_4_EC32m_oldGA_Rhizoid_1
M_oldGA_R_2,2,Total,Ec,oldGA_rhizoid,oldGA,rhizoid,RAP,M,RAP1_5_EC32m_oldGA_Rhizoid_2
M_oldGA_R_3,3,Total,Ec,oldGA_rhizoid,oldGA,rhizoid,RAP,M,RAP1_6_EC32m_oldGA_Rhizoid_3
F_oldGA_R_3,3,Total,Ec,oldGA_rhizoid,oldGA,rhizoid,RAP,F,RAP24_413_EC25f_oldGA_Rhizoids_3
F_oldGA_R_1A,1,Total,Ec,oldGA_rhizoid,oldGA,rhizoid,RAP,F,RAP24_411_EC25f_oldGA_Rhizoids_1A
F_oldGA_R_2A,2,Total,Ec,oldGA_rhizoid,oldGA,rhizoid,RAP,F,RAP24_412_EC25f_oldGA_Rhizoids_2A
