SampleName;Replicate;SeqProt;Species;stage_tissue;Stage;Tissue;Experiment;Sex;LibName
F_gamete_1;1;Total;Fd;gamete;gamete;All;RAP;F;Fd_f_gametes_1
F_gamete_2;2;Total;Fd;gamete;gamete;All;RAP;F;Fd_f_gametes_2
F_gamete_3;3;Total;Fd;gamete;gamete;All;RAP;F;Fd_f_gametes_3
M_gamete_1;1;Total;Fd;gamete;gamete;All;RAP;M;Fd_m_gametes_1
M_gamete_2;2;Total;Fd;gamete;gamete;All;RAP;M;Fd_m_gametes_2
M_gamete_3;3;Total;Fd;gamete;gamete;All;RAP;M;Fd_m_gametes_3
48h_1;1;Total;Fd;S1;S1;All;RAP;X;Fd_zygotes_48h_1
48h_2;2;Total;Fd;S1;S1;All;RAP;X;Fd_zygotes_48h_2
48h_3;3;Total;Fd;S1;S1;All;RAP;X;Fd_zygotes_48h_3
96h_1;1;Total;Fd;S2;S2;All;RAP;X;Fd_zygotes_96h_1
96h_2;2;Total;Fd;S2;S2;All;RAP;X;Fd_zygotes_96h_2
96h_3;3;Total;Fd;S2;S2;All;RAP;X;Fd_zygotes_96h_3
3w_2;2;Total;Fd;S3;S3;All;RAP;X;Fd_zygotes_3w_2
3w_3;3;Total;Fd;S3;S3;All;RAP;X;Fd_zygotes_3w_3
2.5m_1;1;Total;Fd;S4;S4;All;RAP;X;Fd_zygotes_2.5m_1
2.5m_2;2;Total;Fd;S4;S4;All;RAP;X;Fd_zygotes_2.5m_2
2.5m_3;3;Total;Fd;S4;S4;All;RAP;X;Fd_zygotes_2.5m_3
5m_1;1;Total;Fd;S4.5;S4.5;All;RAP;X;Fd_zygotes_5m_1
5m_3;3;Total;Fd;S4.5;S4.5;All;RAP;X;Fd_zygotes_5m_3
6m_1;1;Total;Fd;S4.5;S4.5;All;RAP;X;Fd_zygotes_6m_1
6m_2;2;Total;Fd;S5;S5;All;RAP;X;Fd_zygotes_6m_2
6m_3;3;Total;Fd;S5;S5;All;RAP;X;Fd_zygotes_6m_3
matSP_holdfast_1;1;Total;Fd;matSP_holdfast;matSP;holdfast;RAP;X;Fd_wild_matSP_holdfast_1
matSP_holdfast_2;2;Total;Fd;matSP_holdfast;matSP;holdfast;RAP;X;Fd_wild_matSP_holdfast_2
matSP_holdfast_3;3;Total;Fd;matSP_holdfast;matSP;holdfast;RAP;X;Fd_wild_matSP_holdfast_3
matSP_reptip_1;1;Total;Fd;matSP_reptip;matSP;reptip;RAP;X;Fd_wild_matSP_reptip_1
matSP_reptip_2;2;Total;Fd;matSP_reptip;matSP;reptip;RAP;X;Fd_wild_matSP_reptip_2
matSP_reptip_3;3;Total;Fd;matSP_reptip;matSP;reptip;RAP;X;Fd_wild_matSP_reptip_3
matSP_stipe_1;1;Total;Fd;matSP_stipe;matSP;stipe;RAP;X;Fd_wild_matSP_stipe_1
matSP_stipe_2;2;Total;Fd;matSP_stipe;matSP;stipe;RAP;X;Fd_wild_matSP_stipe_2
matSP_stipe_3;3;Total;Fd;matSP_stipe;matSP;stipe;RAP;X;Fd_wild_matSP_stipe_3
matSP_vegtip_1;1;Total;Fd;matSP_vegtip;matSP;vegtip;RAP;X;Fd_wild_matSP_vegtip_1
matSP_vegtip_2;2;Total;Fd;matSP_vegtip;matSP;vegtip;RAP;X;Fd_wild_matSP_vegtip_2
matSP_vegtip_3;3;Total;Fd;matSP_vegtip;matSP;vegtip;RAP;X;Fd_wild_matSP_vegtip_3
