PS,GeneID,S1,S2,S3,S4,S4.5,S5,gamete_female,gamete_male,holdfast,reptip,stipe,vegtip
8,dis_TRINITY_DN0_c1_g2,15.993232,25.744957,17.594856999999998,16.857108,13.807929,13.657252,4.277891,0.860782,17.678212,16.368004,17.448626,10.873013
8,dis_TRINITY_DN1_c0_g4,26.366129,15.762295,11.878128,10.557468,8.709395,7.941228,13.330988,1.616832,7.679617,13.950547,5.304821,8.913055
1,dis_TRINITY_DN10_c0_g1,0,0.221603,0.7327645,2.464661,0.476071,1.808539,0,0,0,3.85427,0.027923,9.816259
7,dis_TRINITY_DN10_c0_g3,0,0,8.193906,3.550409,0.464714,6.766757,0,0,0,0.68841,0.102398,13.879227
7,dis_TRINITY_DN100_c0_g1,89.493112,88.601926,120.855701,101.208127,45.0506325,84.285412,292.505652,21.591006,185.349173,189.869953,206.583993,103.717141
8,dis_TRINITY_DN100_c0_g3,7.927415,14.007139,14.89646,13.245395,6.598343,12.583876,3.995332,1.274071,18.840606,22.536603,16.064742,10.806916
7,dis_TRINITY_DN1000_c0_g1,14.430929,18.526073,15.989248,13.807626,14.8381285,15.34443,17.084483,6.334081,10.988929,12.040279,6.209696,9.91172
8,dis_TRINITY_DN10001_c0_g1,43.118729,43.968531,34.1727295,43.789761,47.687014,43.522796,36.462342,8.97563,31.373546,34.784903,42.831548,32.520745
8,dis_TRINITY_DN1001_c0_g1,0.403972,0.138764,0.130279,1.091316,2.3915495,0.115712,0.061227,163.3779,0.036366,9.334977,0.041204,0.196563
1,dis_TRINITY_DN1001_c0_g3,15.776685,31.99041,41.0185995,52.271551,48.773278,64.604139,10.434887,3.033718,17.809248,19.766114,11.558906,20.304814
1,dis_TRINITY_DN10011_c0_g3,18.167677,24.365735,13.6731415,10.99543,12.6826745,8.067848,5.321791,1.219721,16.794253,11.977063,7.131659,4.784657
1,dis_TRINITY_DN10015_c0_g1,20.099478,34.877938,27.058002,24.026737,13.4323445,16.57866,6.866181,1.069244,15.06885,11.36534,19.071491,9.871716
1,dis_TRINITY_DN10021_c0_g2,15.71125,13.135336,22.9965665,21.120277,19.17303,17.141735,41.713107,20.382475,20.683311,30.686486,15.97307,13.949757
