PS,GeneID,S1,S2,S3,S4,S4.5,S5
7,dis_TRINITY_DN100_c0_g1,219.493112,218.601926,250.855701,231.208127,175.0506325,214.285412
1,dis_TRINITY_DN10021_c0_g3,290.852063,305.948803,335.8140645,223.490815,234.0598725,222.665191
7,dis_TRINITY_DN10021_c0_g5,181.5898,165.642446,218.1605905,286.72026900000003,311.369928,269.031943
1,dis_TRINITY_DN10032_c0_g1,1442.520271,1401.278195,3792.6318085,2779.58881,3023.231793,4289.670008
2,dis_TRINITY_DN1004_c0_g2,186.748552,212.780434,196.759293,205.220492,195.6107945,193.147445
1,dis_TRINITY_DN10045_c0_g1,219.566596,353.902561,246.986894,208.73502,161.57468899999998,174.52498
1,dis_TRINITY_DN10051_c0_g1,460.077213,406.053789,406.1396705,459.731498,460.6703195,454.261454
3,dis_TRINITY_DN10059_c0_g1,182.062763,188.860422,230.2604055,177.350237,162.48627150000002,182.407425
7,dis_TRINITY_DN10059_c0_g2,223.21691,227.941302,233.6829525,174.537416,160.3768475,147.485833
1,dis_TRINITY_DN10067_c0_g2,138.171159,146.077172,402.3691695,194.717811,173.0651335,317.539514
1,dis_TRINITY_DN10087_c0_g1,130.366807,130.446692,130,130,130,130
2,dis_TRINITY_DN101_c0_g1,184.921192,222.892097,166.668357,157.417205,160.49145850000002,166.219227
1,dis_TRINITY_DN10172_c0_g1,172.977435,185.798199,216.4267585,209.536168,203.3554645,165.208333
1,dis_TRINITY_DN102_c0_g1,647.606528,683.610683,974.073444,1493.197615,2321.3063785,1759.367801
1,dis_TRINITY_DN1020_c0_g1,855.342245,585.87374,467.4957575,459.008672,345.4189885,412.946021
3,dis_TRINITY_DN10219_c0_g1,156.67509,144.636172,152.660839,159.824722,154.5910735,149.543837
1,dis_TRINITY_DN10236_c0_g1,130,130,130,130,130,130.68288
7,dis_TRINITY_DN10242_c0_g1,240.66270599999999,284.44435999999996,255.4819005,270.893799,210.122827,206.186151
1,dis_TRINITY_DN10249_c1_g1,146.999053,179.133059,653.2121815,545.356853,588.980245,673.459103
8,dis_TRINITY_DN10280_c0_g4,170.387188,272.761084,189.696218,268.910327,260.9401555,254.623232
8,dis_TRINITY_DN10304_c0_g1,313.169985,261.367095,250.535773,203.130647,185.5816855,177.291034
7,dis_TRINITY_DN10305_c0_g5,168.303622,181.26891,203.1359125,231.408361,219.6281975,196.090233
8,dis_TRINITY_DN10336_c0_g1,234.865166,205.326061,164.202676,175.098543,173.301467,169.377484
1,dis_TRINITY_DN1035_c0_g1,194.309132,191.640627,207.4849,191.34398,195.0166875,183.644022
8,dis_TRINITY_DN10357_c0_g1,148.866236,148.929325,228.274416,233.265146,175.454266,227.548723
1,dis_TRINITY_DN10359_c1_g4,361.438517,577.038791,323.583941,292.115095,282.7281335,257.422701
1,dis_TRINITY_DN1036_c0_g4,625.023518,391.127764,540.712539,336.32764499999996,261.3991065,227.569142
1,dis_TRINITY_DN10366_c0_g1,166.575023,183.387354,254.197043,206.244509,186.775964,190.0685
8,dis_TRINITY_DN10368_c0_g1,182.74728,232.135936,195.4036265,197.582716,172.342951,162.729399
8,dis_TRINITY_DN10403_c0_g2,306.040895,154.291923,151.7591955,151.233611,150.6801025,150.301707
7,dis_TRINITY_DN10406_c0_g1,211.890926,273.69185100000004,210.654518,170.92825299999998,162.77790499999998,184.504565
1,dis_TRINITY_DN10438_c0_g1,616.792966,1078.394598,277.1950915,233.464638,183.7099305,189.762682
7,dis_TRINITY_DN1044_c0_g1,382.08384,518.522305,338.5243335,371.245979,432.723465,305.63663199999996
8,dis_TRINITY_DN10442_c0_g1,145.696229,138.077443,145.841112,140.165199,136.8263675,146.706042
8,dis_TRINITY_DN10445_c0_g1,243.113952,215.422452,148.4510735,139.572682,138.59576099999998,135.822401
1,dis_TRINITY_DN10446_c0_g1,457.059999,462.659349,525.0424495,516.263224,432.382693,645.265741
1,dis_TRINITY_DN10454_c0_g2,192.116162,256.95860500000003,201.408952,199.600279,187.8922735,178.034346
1,dis_TRINITY_DN10464_c0_g1,150.272343,188.894768,202.432659,216.280291,204.105375,169.671864
1,dis_TRINITY_DN10468_c0_g1,130,130,130,130,130,130
1,dis_TRINITY_DN10471_c0_g1,261.31922,312.042512,363.754903,375.309933,299.51029700000004,288.984518
8,dis_TRINITY_DN10472_c0_g1,171.89509900000002,157.413378,161.8119315,169.387635,158.7789295,152.473082
1,dis_TRINITY_DN10481_c0_g1,222.714544,262.18386,222.5880935,210.263296,217.8180435,181.282426
8,dis_TRINITY_DN10483_c0_g3,142.302628,143.494837,157.34383250000002,166.304825,158.2509285,159.571383
1,dis_TRINITY_DN10492_c0_g1,181.487141,192.032209,212.2450365,215.059487,207.8923995,208.564912
7,dis_TRINITY_DN10495_c0_g2,130.132673,130,130.7314455,130,130.046381,130
1,dis_TRINITY_DN105_c0_g1,243.077947,207.591492,220.875732,216.577714,201.4423675,187.437002
8,dis_TRINITY_DN10505_c0_g1,215.888451,257.31693,157.35546349999998,146.731884,142.605475,139.330339
4,dis_TRINITY_DN10558_c0_g2,177.380935,172.49922800000002,209.89939,179.060612,198.901702,193.383406
8,dis_TRINITY_DN1056_c0_g1,201.775873,191.797631,169.502945,173.62185399999998,169.119219,171.339262
7,dis_TRINITY_DN10601_c0_g4,206.544336,189.214715,534.4426515,231.908059,253.875147,232.720146
1,dis_TRINITY_DN10610_c0_g1,155.907364,163.27426400000002,223.4583115,295.550877,358.783464,206.624841
1,dis_TRINITY_DN1062_c0_g2,153.782144,143.144407,162.88611550000002,208.034708,216.885921,203.205825
1,dis_TRINITY_DN1066_c0_g4,185.704464,166.23763,199.570462,212.140323,194.975716,219.057216
1,dis_TRINITY_DN1073_c0_g4,261.81306,221.628034,280.7106375,402.276271,194.2504545,357.981358
8,dis_TRINITY_DN1075_c0_g1,178.652122,230.513219,177.0635755,179.259185,169.59544549999998,152.993871
1,dis_TRINITY_DN1080_c1_g1,149.972128,181.018525,238.620289,180.628512,165.1896865,163.940832
1,dis_TRINITY_DN10808_c0_g1,416.185204,473.226595,403.2466755,432.623396,332.2675105,313.976716
1,dis_TRINITY_DN10814_c0_g1,659.715218,500.42568,527.1531935,455.110608,368.004766,381.519149
8,dis_TRINITY_DN10818_c0_g1,230.946843,226.480515,251.3351375,209.441098,177.5895755,234.484745
7,dis_TRINITY_DN1082_c1_g3,130,130.075728,130.01352350000002,130,130,130
2,dis_TRINITY_DN10821_c0_g1,270.35685,227.656947,217.878218,211.014989,197.2752355,203.221188
1,dis_TRINITY_DN10828_c0_g1,316.547076,216.211021,286.3500015,288.081841,255.303863,254.320965
1,dis_TRINITY_DN10828_c0_g2,336.185258,352.262386,370.426503,408.063657,443.370477,359.277221
1,dis_TRINITY_DN1083_c0_g1,130.783,130,130.145145,136.981363,136.65058299999998,343.186684
1,dis_TRINITY_DN10834_c0_g1,198.268928,183.366378,142.5229185,138.525503,134.8566875,136.325597
2,dis_TRINITY_DN10835_c0_g2,130,130,130,130,130,130
1,dis_TRINITY_DN10837_c0_g1,1497.454806,1488.428492,2375.6661590000003,3192.731496,5101.451862,3723.105581
5,dis_TRINITY_DN10839_c0_g1,234.304004,292.41992700000003,179.9966285,147.894494,144.903255,142.759642
1,dis_TRINITY_DN10843_c0_g1,240.610609,268.063817,260.64203299999997,248.81972,226.8806935,207.990747
1,dis_TRINITY_DN10872_c0_g1,211.845783,226.319135,229.2599765,234.823998,254.0321725,251.382578
8,dis_TRINITY_DN10874_c0_g1,174.123612,214.686133,258.75694649999997,195.784764,185.029617,172.872904
1,dis_TRINITY_DN10880_c0_g1,219.417101,289.173171,273.40761499999996,251.49672,233.88453,219.8309
1,dis_TRINITY_DN10891_c0_g1,420.279493,450.228807,392.4971144999999,424.430589,361.5389,398.207358
8,dis_TRINITY_DN10891_c0_g2,132.762445,140.537559,190.4604275,233.010832,245.760324,189.462189
7,dis_TRINITY_DN10922_c0_g1,254.663832,290.239507,263.016629,236.318115,191.5201705,248.109827
1,dis_TRINITY_DN109406_c0_g1,178.821706,174.25671,172.2837075,190.555688,212.7351485,185.803589
1,dis_TRINITY_DN1095_c0_g1,773.01815,904.016058,936.2008325,904.559061,815.576963,1062.759982
8,dis_TRINITY_DN1096_c0_g1,232.155803,209.213753,226.2337185,206.178512,176.01808599999998,195.618066
7,dis_TRINITY_DN109679_c0_g1,130,130,224.9143335,190.667566,153.5727195,221.997095
1,dis_TRINITY_DN1098_c0_g1,184.573095,208.58868,219.3417645,205.69737,172.85836799999998,189.029476
8,dis_TRINITY_DN10998_c0_g1,161.80616,147.228113,169.406727,178.280647,175.295516,174.286955
8,dis_TRINITY_DN11_c3_g4,329.34813199999996,364.938503,508.469911,912.64765,1138.816772,428.340851
1,dis_TRINITY_DN1101_c0_g9,131.045679,131.891426,135.421062,133.268825,133.65706849999998,133.947622
5,dis_TRINITY_DN1102_c0_g1,211.39036,283.49825999999996,197.965167,246.554924,225.140067,166.131946
8,dis_TRINITY_DN11034_c0_g1,166.130947,157.115338,176.17886850000002,194.427559,220.830287,165.258643
8,dis_TRINITY_DN11064_c0_g1,193.586396,188.820458,204.8926355,199.863471,208.3997145,186.926976
7,dis_TRINITY_DN11112_c0_g1,131.191937,130,133.84911,131.308737,130.247905,130
1,dis_TRINITY_DN11138_c0_g2,130.277728,130.090531,131.136671,130.575426,130.8095935,131.062885
8,dis_TRINITY_DN11152_c0_g1,131.188726,130.288704,130.19118550000002,130.206175,130.19825550000002,130.246287
1,dis_TRINITY_DN11162_c0_g1,130.69724,130.680623,130.3771575,135.330593,134.083664,289.74488199999996
1,dis_TRINITY_DN11191_c0_g1,325.877613,360.913812,347.0998905,380.955629,351.005821,289.44818
1,dis_TRINITY_DN11221_c0_g1,135.823507,140.96697700000001,138.9665775,150.31105300000002,156.96448450000003,146.92887100000002
8,dis_TRINITY_DN11237_c0_g1,184.098429,177.288819,237.5158555,187.188889,174.53294799999998,176.732742
8,dis_TRINITY_DN11250_c0_g1,274.670715,299.35871399999996,312.061171,281.854326,237.60944,255.687836
1,dis_TRINITY_DN11265_c0_g1,207.351192,271.095729,231.0351895,264.771393,262.084122,203.490916
2,dis_TRINITY_DN11268_c0_g1,354.332303,290.88746100000003,490.2195965,697.991701,520.547512,397.597344
1,dis_TRINITY_DN11269_c0_g1,275.505573,328.044121,372.3184185,204.154596,181.738521,201.652142
2,dis_TRINITY_DN11271_c0_g2,162.693922,188.36967,168.294228,191.102239,214.458528,182.392582
8,dis_TRINITY_DN11288_c0_g2,1993.359416,2129.5821020000003,170.693665,187.422989,161.915549,145.668853
8,dis_TRINITY_DN1130_c0_g1,143.294313,132.587786,130.1082125,130.103045,130.10027100000002,130.199261
7,dis_TRINITY_DN11307_c0_g1,211.448437,227.037158,247.8381745,205.995495,179.61381749999998,202.512222
8,dis_TRINITY_DN11324_c0_g1,296.34585400000003,201.791943,225.470412,211.209557,195.835895,197.066388
8,dis_TRINITY_DN11328_c0_g1,229.129423,317.904468,236.8048305,253.952519,256.6465095,209.409459
1,dis_TRINITY_DN11328_c0_g3,227.738851,286.653259,253.778415,265.635398,251.6394195,260.94151999999997
8,dis_TRINITY_DN11349_c0_g1,159.660591,160.677817,183.091743,239.281602,185.2529965,166.65787699999998
1,dis_TRINITY_DN11356_c1_g1,265.165667,316.02412400000003,413.670559,548.390785,692.7760015,573.01351
7,dis_TRINITY_DN11358_c0_g1,163.05247500000002,159.767817,220.3687115,196.876041,206.030406,190.255927
8,dis_TRINITY_DN11369_c0_g4,286.06345899999997,241.54351,324.6785075,326.03807800000004,288.0324665,220.842563
8,dis_TRINITY_DN11373_c0_g1,213.681369,219.201796,207.9416295,217.064536,209.4430315,190.939985
8,dis_TRINITY_DN11387_c0_g1,207.264116,182.271672,201.207704,189.248769,223.7649615,200.930094
1,dis_TRINITY_DN11394_c0_g1,176.299212,187.131457,186.4812945,225.222352,194.7844975,159.273006
1,dis_TRINITY_DN11394_c0_g4,202.341904,226.284834,253.2266305,294.076989,265.274187,258.736331
7,dis_TRINITY_DN1141_c0_g1,144.859241,157.067254,227.7669825,179.866806,169.07297849999998,179.206025
8,dis_TRINITY_DN1142_c0_g1,1296.894184,996.075817,474.8775165,486.743884,497.2173945,315.888571
1,dis_TRINITY_DN1143_c0_g1,255.867504,354.583879,261.69492449999996,277.79460800000004,269.2451635,259.68192899999997
7,dis_TRINITY_DN11430_c0_g1,157.880488,170.76946900000002,179.0835555,185.20789,185.5512165,176.177591
2,dis_TRINITY_DN11473_c0_g1,517.947773,450.285829,354.2550705,350.799089,414.4418165,344.83369700000003
8,dis_TRINITY_DN11497_c0_g1,182.126572,246.293455,182.9686195,203.106102,190.00478299999995,175.991809
