PS,GeneID,S1,S2,S3,S4,S5,gamete_female,gamete_male,holdfast_female,reptip_female,stipe_female,vegtip_female,holdfast_male,reptip_male,stipe_male,vegtip_male
8,ser_TRINITY_DN1_c2_g2,358.740908,368.0290015,527.167788,720.049375,640.309362,305.572212,444.339254,451.457067,684.827583,444.626131,712.071011,858.803277,1028.962508,882.547296,1012.968624
1,ser_TRINITY_DN1_c4_g6,0.298961,2.5207185,3.409947,0.25369,0.504463,0,0,0,13.922009,0,21.340713,0,14.303486,0,37.762877
2,ser_TRINITY_DN100_c0_g1,1.500091,11.123806,11.450797,4.004559,5.278348,0.034403,83.903616,0.389728,1.656825,0.463999,1.090648,1.350048,7.42636,6.276975,0.928104
1,ser_TRINITY_DN10004_c0_g1,22.253297,19.4625285,10.932144,14.08567,14.456508,38.347317,3.174458,13.910216,46.49449,25.924948,26.065561,20.879663,35.806852,23.243051,17.944728
8,ser_TRINITY_DN10005_c0_g1,8.22367,11.709003,8.356058,9.573772,12.131634,6.357968,0.265547,5.804143,9.051756,5.598481,8.751212,6.35538,9.407869,8.964759,7.660022
1,ser_TRINITY_DN10006_c0_g1,23.426757,19.231871,19.381691,20.158833,27.91507,21.108481,4.12563,6.659034,13.898435,12.154257,11.85355,4.007909,12.706837,4.812031,5.26966
1,ser_TRINITY_DN10008_c0_g1,10.526047,8.9878535,8.580716,7.860329,10.441694,6.12973,0.090821,5.130104,7.215042,3.888409,3.757768,4.273706,5.722674,6.041108,3.518197
1,ser_TRINITY_DN10009_c0_g2,1236.099112,1674.1375285,2001.121195,3282.098359,3983.633751,1071.230616,212.911796,2685.553259,3484.012828,2709.528634,3122.335839,1779.817248,1444.326677,2023.138661,2420.780386
1,ser_TRINITY_DN10014_c0_g1,0.192817,0,0,0,0,0.436468,18.846907,0,0.121385,0,0,0,18.318,0,0
1,ser_TRINITY_DN10017_c0_g1,17.862144,109.7668785,13.358115,39.561136,64.092912,6.824704,23.435808,5.004411,4.98097,2.076249,5.200695,2.430659,9.422178,2.787831,6.389412
8,ser_TRINITY_DN10024_c0_g2,4.461711,6.054721499999999,5.812692,7.575615,10.073449,2.717853,0.76191,2.106987,6.606096,2.285236,3.789514,4.035844,11.281802,9.107461,9.053265
5,ser_TRINITY_DN100298_c0_g1,318.492926,319.622295,192.276665,284.438523,225.288426,706.13638,15.452682,420.963802,728.117084,561.003254,747.10467,532.248569,558.514086,492.520574,538.197521
1,ser_TRINITY_DN10030_c0_g1,92.613917,163.4417025,41.004184,25.60012,34.208959,22.213405,1.947017,9.925449,12.158414,10.417646,9.530536,17.534266,31.613874,15.487167,15.37099
1,ser_TRINITY_DN10032_c0_g2,56.478776,44.1086785,21.629494,23.205702,23.271554,17.277509,0,9.511131,7.16021,6.984177,6.175683,7.139191,9.327313,5.922686,4.445454
1,ser_TRINITY_DN100337_c0_g6,102.105337,180.5433385,51.359402,69.099748,81.029496,49.221056,0.283547,69.212555,53.089706,92.216816,55.098795,61.63395,130.657824,103.988032,47.495396
1,ser_TRINITY_DN10034_c0_g1,76.372066,86.1478125,59.374958,94.802741,105.234571,83.287962,79.361783,84.28217,94.315953,69.38278,110.344896,76.017819,71.490525,74.547065,73.579588
8,ser_TRINITY_DN10037_c0_g1,13.055859,11.856971,8.235247,7.806367,13.100438,22.643422,0.202824,8.378568,9.689795,7.206453,6.916331,15.581755,8.38524,15.367321,7.424285
1,ser_TRINITY_DN10037_c0_g2,132.411886,186.2559805,136.58256,133.73156,178.267779,103.733457,65.226638,89.84159,100.392629,82.479674,131.233346,93.538014,106.15459,76.269739,161.948899
7,ser_TRINITY_DN10037_c0_g3,36.843947,81.5147345,18.748534,6.87554,8.473234,1.935919,7.298603,2.566136,1.172131,1.924403,1.803471,2.708797,37.198712,2.161812,3.279077
1,ser_TRINITY_DN10037_c0_g4,57.063852,57.469911499999995,35.52833,41.131618,42.935317,73.736473,0.313776,21.950286,25.140303,18.118208,19.497335,34.088444,17.136942,32.595338,19.813175
8,ser_TRINITY_DN10038_c0_g1,17.064827,22.1422685,15.634456,12.565517,11.898191,6.825262,0.387496,3.350871,5.788865,2.546323,5.421765,3.37829,6.919082,4.852565,4.611234
7,ser_TRINITY_DN1004_c0_g1,57.719455,37.798012,38.794072,51.585063,51.693445,22.153387,0,11.713094,44.750132,15.435765,42.445597,9.509615,10.725561,13.385764,15.74989
7,ser_TRINITY_DN10045_c0_g1,73.588166,46.3632065,20.758671,10.176041,11.935508,9.74019,0.411147,8.139447,5.081911,10.373493,5.474034,9.406745,3.866713,8.224514,4.572726
8,ser_TRINITY_DN10049_c0_g1,0.074774,0.0243355,0,0,0,0,5.715626,0,0.02566,0,0,0,31.924682,0,0.1106
4,ser_TRINITY_DN10049_c0_g2,0.120097,0.012992,0,0,0,0,11.215753,0,0.043132,0,0,0,50.477714,0,0.210385
1,ser_TRINITY_DN1005_c0_g1,379.072268,519.6851300000001,758.823225,1302.757183,957.473408,385.402295,63.694801,1157.110256,1664.505985,1381.926024,1655.167522,2041.231979,1577.359568,2041.993936,1923.055194
8,ser_TRINITY_DN10052_c0_g6,18.56357,57.767764,36.491772,88.908901,197.077631,14.618306,40.951819,35.836019,20.8254,40.048544,16.829707,34.216709,11.012439,57.395057,12.515314
8,ser_TRINITY_DN10055_c1_g4,9.744913,11.307424,23.428949,27.872553,34.340954,0.560878,0,4.299918,1.288558,2.871384,0.737906,5.029994,0.163405,4.569402,0.275109
2,ser_TRINITY_DN1006_c0_g1,15.678797,14.8671655,13.0248,10.591173,12.998642,11.220278,0,9.733901,9.198876,11.026855,7.883084,8.031909,15.267934,5.618543,6.208894
8,ser_TRINITY_DN10060_c0_g1,0.317113,1.383924,0.377549,0.121296,0.139912,0.711856,27.697477,0,0.423442,0,0,0,38.235008,0,0.243589
7,ser_TRINITY_DN10064_c0_g1,159.055323,219.2530625,264.645185,974.253023,806.265911,158.75976,65.023436,427.720281,437.353158,417.813444,315.210639,497.290037,211.735215,421.575259,266.082132
8,ser_TRINITY_DN10068_c0_g1,9.350711,70.65260850000001,68.932306,29.627979,31.240101,22.495431,4.13633,8.934695,44.3363,15.410031,78.056677,11.634965,17.573851,21.84606,137.174833
1,ser_TRINITY_DN100695_c0_g1,3.452766,9.393593,44.608537,7.277246,12.68517,2.424963,0.260854,233.321218,18.18557,99.391362,7.385722,205.690591,6.937838,28.176366,5.722903
8,ser_TRINITY_DN10078_c0_g1,163.078606,283.098925,246.331541,521.105343,1021.294933,13.779893,0,762.084864,10.080555,596.602948,5.500078,396.506113,5.48189,475.435008,17.868196
1,ser_TRINITY_DN10079_c0_g1,3478.060611,3923.909161,2106.450928,1634.153422,1387.056505,2665.267712,11879.975626,1534.054201,974.173978,1574.327476,1102.81328,1429.9332,6593.983858,1332.961809,1425.059222
1,ser_TRINITY_DN10082_c0_g2,21.985734,33.7307725,45.394208,55.709655,70.899864,21.321645,1.390621,25.554516,20.539996,26.107069,25.011516,16.668064,18.398496,26.844381,18.691114
1,ser_TRINITY_DN10088_c0_g1,13.204379,19.1977005,13.440701,10.205626,14.231131,8.682314,11.150454,6.483649,7.123812,8.324353,7.868046,6.642862,16.484801,11.722934,6.921022
1,ser_TRINITY_DN100907_c0_g1,157.325088,275.58194349999997,189.015342,160.200561,155.635329,92.665538,0.641506,129.620458,87.72934,83.075821,80.838555,106.74171,73.203499,62.125731,202.091092
7,ser_TRINITY_DN100907_c0_g2,12.093368,10.2528585,3.263978,0.932604,1.17533,2.284752,0.023202,0.392055,1.250373,0.540382,0.472173,0.415614,8.655698,0.498873,0.505359
8,ser_TRINITY_DN10096_c0_g1,19.176404,22.908691,17.189163,15.280483,17.114893,9.019711,0.719974,8.81433,7.074114,11.385989,8.02441,18.065547,12.43182,18.146435,7.735168
1,ser_TRINITY_DN10098_c0_g1,73.864128,44.4223815,40.396793,46.3502,68.435888,79.118494,56.685995,100.947561,51.398077,65.094133,34.248456,85.933134,40.186311,45.268951,22.668653
1,ser_TRINITY_DN10101_c0_g1,18.738957,41.6855075,25.0247,15.958331,10.870222,17.027468,2.474989,1.310321,5.18638,1.793216,8.076586,2.198017,8.070416,5.258906,17.287663
1,ser_TRINITY_DN10103_c0_g1,99.192117,140.941558,28.148653,13.282257,21.001279,13.207868,0.059388,5.821584,5.150219,2.919606,2.234646,2.298558,44.195505,1.826358,2.595966
7,ser_TRINITY_DN10104_c0_g1,0.294351,0.6108899999999999,0.795289,0.114594,0.360659,2.723531,23.010347,0,1.134321,0,3.669629,0,25.129818,0,0.67739
4,ser_TRINITY_DN101045_c0_g1,14.178351,10.787822,9.305936,13.777257,12.315684,19.807833,0,5.075742,10.802586,8.003512,17.684084,10.63506,18.753428,15.914054,13.691913
8,ser_TRINITY_DN10106_c0_g1,18805.705025,2508.9051465,17.09689,0.271122,0.791533,26963.594012,0.182356,0.868901,2670.338005,1.359053,1.648488,0,0.457528,0,0
1,ser_TRINITY_DN10107_c0_g1,17.374025,19.372757999999997,10.664409,9.293316,10.697279,10.113731,0.210127,4.488144,8.053533,6.414251,8.17518,3.680188,7.408461,4.810134,5.804582
8,ser_TRINITY_DN101078_c0_g1,0.614226,1.562519,1.160587,0.80234,1.028699,0.027245,0.55269,0.282482,1.937081,0.320114,0.468217,0.33089,40.430015,0.34739,0.251558
1,ser_TRINITY_DN10111_c0_g1,107.963427,257.57243800000003,127.748,125.816795,151.629832,51.712353,2.335929,79.655623,74.859676,70.611344,66.960894,71.011471,130.542224,85.519998,54.113077
6,ser_TRINITY_DN10113_c0_g1,38.454703,43.958025,25.454761,25.699831,28.494262,17.130665,10.657759,4.429657,14.631769,5.371687,9.637151,5.538233,29.029295,4.383078,10.575048
6,ser_TRINITY_DN10116_c0_g1,224.093003,137.0261435,59.370081,61.135649,82.041595,180.007232,3.328722,50.208869,49.117605,26.588706,24.218368,38.898346,37.427307,34.430267,25.062245
1,ser_TRINITY_DN101175_c0_g2,21.028685,37.319328,54.272043,44.554431,35.909019,20.411405,1.055789,44.181238,48.989046,60.566811,59.929552,48.475917,43.933356,92.755055,70.932017
7,ser_TRINITY_DN101179_c0_g2,38.064651,46.561753,18.93888,11.510065,9.868545,2.540315,0.369204,0.857553,9.937967,0.122533,5.008403,1.446907,2.927212,2.501325,11.51248
8,ser_TRINITY_DN10118_c0_g1,9.4234000000000009,12.7899195,9.150948,12.033271,15.526035,6.276165,0,5.888206,8.753,5.276674,7.006538,7.953392,3.620858,7.121182,7.213239
8,ser_TRINITY_DN10121_c0_g2,23.854858,35.642309,33.343822,28.135513,24.146276,26.323247,2.139236,6.934456,16.075345,6.834319,13.971423,11.163239,15.268559,13.099107,20.485995
1,ser_TRINITY_DN10123_c0_g1,10.532558,10.877908,7.234621,6.532249,5.530447,6.023466,0.159086,2.709987,6.089214,2.119702,4.835368,4.321193,6.565362,5.489817,3.216187
8,ser_TRINITY_DN10125_c0_g1,12.426398,17.343970499999998,10.731182,8.545843,8.916796,9.789703,0.352466,1.280073,4.853998,1.684952,2.297356,1.69436,12.295343,2.125023,2.525461
7,ser_TRINITY_DN10129_c0_g1,116.118776,123.9222635,89.711341,149.498715,210.845205,68.868264,2.177944,11.895623,18.987929,8.0094,12.249416,12.124669,13.158763,12.42211,38.707824
8,ser_TRINITY_DN10134_c0_g1,10.926763,11.060342,14.298934,15.040437,15.068294,9.434038,15.134367,3.011682,6.723233,4.687875,5.729667,3.152239,11.358028,5.56435,5.453708
7,ser_TRINITY_DN101352_c0_g1,5.409083,0.52625,0.362561,0,0.320005,25.845618,3.085565,0,4.7270200000000004,0,1.02556,0,3.765367,0.461578,0
8,ser_TRINITY_DN10138_c0_g1,3.776796,22.1883105,79.267534,82.468433,67.958173,54.636289,0,24.78516,116.763361,4.059484,27.692894,26.004148,64.369875,21.240353,22.608215
8,ser_TRINITY_DN10138_c1_g1,6.719865,16.2070315,48.195625,28.10446,17.541421,4.006187,4.574129,10.19735,30.418662,29.692025,29.838922,12.969404,31.335983,37.267729,22.675848
1,ser_TRINITY_DN10138_c1_g2,22.365164,29.693025,26.956348,23.004763,22.023446,15.733426,2.881909,33.483411,21.481864,50.235041,32.876542,35.663751,28.614979,56.539248,21.588583
8,ser_TRINITY_DN10138_c1_g3,5.458187,5.5375355,15.256579,7.860593,7.411982,2.657071,0,2.162305,2.165267,2.431078,1.366309,3.173611,1.94606,2.066415,2.611679
1,ser_TRINITY_DN1014_c0_g1,9.543304,9.206777,4.849002,7.526335,8.816174,2.690108,0,34.179548,2.894422,20.351105,3.603738,32.752036,3.373969,12.40866,6.31028
8,ser_TRINITY_DN101406_c0_g1,12.572547,19.83435,11.0828,8.893434,11.329217,5.804664,0.052966,6.512435,8.040387,5.721677,9.365447,10.009509,14.855061,11.013654,10.137367
1,ser_TRINITY_DN101406_c0_g2,8.238815,13.3555615,5.372948,6.59584,10.955031,1.949336,3.601158,1.96105,2.512416,3.093752,4.998771,4.172483,6.248432,8.547089,6.52501
8,ser_TRINITY_DN10143_c0_g1,10.729314,12.263378,5.410312,4.026049,3.619398,5.867985,0,1.297867,2.737102,1.24014,1.45681,1.054804,8.742228,1.928952,1.794056
8,ser_TRINITY_DN10144_c0_g1,6.218075,4.671053499999999,1.48299,5.074437,5.637865,1.974922,0,0.187296,1.617437,0.31319,0.93224,0.369776,1.242708,0.781979,0.358276
8,ser_TRINITY_DN101469_c0_g1,7.352466,26.2182695,16.586888,9.749067,10.476533,6.69861,0.033744,2.892415,4.827526,3.764084,5.384788,2.486381,5.98125,5.525105,7.015557
1,ser_TRINITY_DN101532_c0_g1,21.661733,36.062985,25.3306,25.971987,28.225903,24.415378,8.665661,14.694162,24.570359,22.622218,29.001243,22.778924,53.895011,29.509675,32.547335
7,ser_TRINITY_DN10160_c0_g1,39.416951,64.421715,31.131114,21.90832,26.345499,27.510974,1.082942,11.213886,16.449751,11.392863,16.216375,14.650967,41.952076,23.272528,21.928904
8,ser_TRINITY_DN10168_c0_g1,78.737045,15.3841365,0.224957,0.865679,0.353085,566.107389,0,0.123032,81.096911,0,56.43676,0.106142,14.139905,0.095841,12.299451
8,ser_TRINITY_DN10169_c0_g1,12.332399,28.3775325,10.183115,8.179467,11.708142,3.040399,12.148137,13.019335,12.622526,10.742475,9.954554,12.496167,30.028413,11.249622,9.197495
8,ser_TRINITY_DN10169_c0_g3,12.586309,19.4697125,11.764671,7.392753,17.104686,1.55795,1.874038,9.061804,10.632756,6.662267,11.556085,8.030221,18.239683,15.569596,11.220905
7,ser_TRINITY_DN10169_c0_g6,25.721216,49.970333,54.557459,42.244259,41.993114,31.650576,1.086822,24.34568,40.367639,38.763433,43.332087,27.552843,32.154211,37.73731,34.432863
1,ser_TRINITY_DN10169_c2_g1,66.344025,70.9426725,51.175334,55.608435,54.334811,28.772197,6.850866,25.6967,31.772855,33.900127,18.644565,28.091262,41.316485,29.010064,22.07839
7,ser_TRINITY_DN101719_c0_g1,70.552423,51.5088925,26.051056,45.013145,59.360687,37.791873,3.765064,36.774301,29.254648,13.56391,22.157874,24.01999,38.477933,26.577765,19.780764
1,ser_TRINITY_DN10174_c0_g1,9.45336,5.2298945,3.654098,4.787982,4.903592,18.687613,0.362426,29.310486,69.702919,30.069001,33.227598,14.787958,23.180892,35.53316,18.024466
7,ser_TRINITY_DN101743_c0_g1,12.331176,9.2452445,4.41983,3.37825,4.163661,2.764145,0,1.972348,4.015735,2.72829,2.901961,3.314041,3.527105,4.914123,4.379415
1,ser_TRINITY_DN101750_c0_g2,18.517092,22.999513,7.043282,10.813383,16.15887,2.833591,0,4.018733,2.217799,2.87115,4.473229,8.315052,0.836922,6.941202,1.593627
8,ser_TRINITY_DN1019_c0_g2,79.333688,101.3662425,11.130447,3.657968,3.182951,0.902657,0.641308,1.489315,1.052496,1.064959,1.481065,1.639089,14.767318,2.468294,2.125084
8,ser_TRINITY_DN10190_c0_g1,39.856824,54.763810500000005,23.253044,12.908589,17.730753,12.476719,1.030063,10.830984,11.961601,10.902376,11.150461,9.751658,26.307093,14.071279,13.07401
