PS,GeneID,V1
8,dis_TRINITY_DN0_c1_g2,1149
8,dis_TRINITY_DN1_c0_g4,1850
1,dis_TRINITY_DN10_c0_g1,166.5
7,dis_TRINITY_DN10_c0_g3,166.5
7,dis_TRINITY_DN100_c0_g1,5864
8,dis_TRINITY_DN100_c0_g3,1565
7,dis_TRINITY_DN1000_c0_g1,4006
8,dis_TRINITY_DN10001_c0_g1,4548
8,dis_TRINITY_DN1001_c0_g1,7460
1,dis_TRINITY_DN1001_c0_g3,2793
1,dis_TRINITY_DN10011_c0_g3,1516
1,dis_TRINITY_DN10015_c0_g1,1361
1,dis_TRINITY_DN10021_c0_g2,5794
1,dis_TRINITY_DN10021_c0_g3,7021
7,dis_TRINITY_DN10021_c0_g5,4266
8,dis_TRINITY_DN10025_c0_g1,3834
6,dis_TRINITY_DN1003_c0_g1,5192
8,dis_TRINITY_DN10031_c0_g2,5623
1,dis_TRINITY_DN10032_c0_g1,7635
8,dis_TRINITY_DN100378_c0_g1,6046
8,dis_TRINITY_DN10039_c0_g1,2268
2,dis_TRINITY_DN1004_c0_g1,2502
2,dis_TRINITY_DN1004_c0_g2,3824
8,dis_TRINITY_DN10041_c0_g1,5198
1,dis_TRINITY_DN10045_c0_g1,7820
1,dis_TRINITY_DN10051_c0_g1,7272
8,dis_TRINITY_DN10055_c0_g1,2633
3,dis_TRINITY_DN10059_c0_g1,5995
7,dis_TRINITY_DN10059_c0_g2,4407
8,dis_TRINITY_DN10066_c0_g1,1811
1,dis_TRINITY_DN10067_c0_g2,3936
7,dis_TRINITY_DN10084_c0_g1,4759
1,dis_TRINITY_DN10087_c0_g1,7830
1,dis_TRINITY_DN100876_c0_g1,4096
8,dis_TRINITY_DN10089_c0_g1,3688
2,dis_TRINITY_DN101_c0_g1,5039
8,dis_TRINITY_DN10119_c0_g1,3988
1,dis_TRINITY_DN1013_c0_g1,2418
8,dis_TRINITY_DN101321_c0_g1,1403
2,dis_TRINITY_DN10140_c0_g1,4160
2,dis_TRINITY_DN10147_c0_g1,3567
8,dis_TRINITY_DN10150_c0_g1,541
8,dis_TRINITY_DN10150_c0_g4,166.5
8,dis_TRINITY_DN101555_c0_g1,166.5
7,dis_TRINITY_DN10156_c0_g1,1824
1,dis_TRINITY_DN10160_c0_g1,2910
7,dis_TRINITY_DN10168_c0_g2,166.5
2,dis_TRINITY_DN10168_c0_g3,5226
1,dis_TRINITY_DN10172_c0_g1,7296
8,dis_TRINITY_DN10173_c0_g1,1876
1,dis_TRINITY_DN10189_c0_g1,166.5
1,dis_TRINITY_DN1019_c0_g2,3913
1,dis_TRINITY_DN10198_c0_g3,5252
1,dis_TRINITY_DN102_c0_g1,7607
1,dis_TRINITY_DN1020_c0_g1,7332
8,dis_TRINITY_DN10208_c0_g1,4797
1,dis_TRINITY_DN10211_c0_g1,3631
1,dis_TRINITY_DN10212_c0_g2,166.5
8,dis_TRINITY_DN10214_c1_g1,1420
3,dis_TRINITY_DN10219_c0_g1,7459
8,dis_TRINITY_DN10229_c0_g1,1539
8,dis_TRINITY_DN1023_c0_g1,6054
1,dis_TRINITY_DN10236_c0_g1,166.5
7,dis_TRINITY_DN10242_c0_g1,6061
7,dis_TRINITY_DN10243_c0_g1,3120
1,dis_TRINITY_DN10249_c1_g1,6063
8,dis_TRINITY_DN10250_c0_g1,440
8,dis_TRINITY_DN10251_c0_g2,411
1,dis_TRINITY_DN10255_c0_g1,3960
8,dis_TRINITY_DN10262_c0_g1,1445
8,dis_TRINITY_DN10269_c0_g1,2860
8,dis_TRINITY_DN1027_c2_g2,4545
1,dis_TRINITY_DN1027_c2_g4,5645
1,dis_TRINITY_DN10276_c0_g1,1034
4,dis_TRINITY_DN1028_c0_g2,3052.5
8,dis_TRINITY_DN10280_c0_g4,5700
1,dis_TRINITY_DN10280_c0_g5,683
8,dis_TRINITY_DN1029_c0_g1,3043
1,dis_TRINITY_DN10291_c0_g1,166.5
1,dis_TRINITY_DN10292_c0_g2,4136
1,dis_TRINITY_DN1030_c0_g2,5116
8,dis_TRINITY_DN10301_c0_g1,6874
8,dis_TRINITY_DN10304_c0_g1,6246
7,dis_TRINITY_DN10305_c0_g2,3865
7,dis_TRINITY_DN10305_c0_g5,5799
1,dis_TRINITY_DN10309_c0_g1,520
8,dis_TRINITY_DN1031_c0_g1,738
7,dis_TRINITY_DN10310_c3_g2,951
8,dis_TRINITY_DN10335_c0_g4,2404
8,dis_TRINITY_DN10336_c0_g1,7400
8,dis_TRINITY_DN10343_c0_g1,4466
8,dis_TRINITY_DN10347_c0_g1,3729
1,dis_TRINITY_DN1035_c0_g1,5940
7,dis_TRINITY_DN10350_c0_g1,4103
8,dis_TRINITY_DN10351_c0_g1,7160
8,dis_TRINITY_DN10353_c0_g1,369
8,dis_TRINITY_DN10357_c0_g1,7128
1,dis_TRINITY_DN10359_c1_g4,5901
5,dis_TRINITY_DN1036_c0_g2,1908
1,dis_TRINITY_DN1036_c0_g4,6320
8,dis_TRINITY_DN10362_c0_g2,782
1,dis_TRINITY_DN10366_c0_g1,6146
8,dis_TRINITY_DN10368_c0_g1,3974
8,dis_TRINITY_DN10379_c0_g1,1022
8,dis_TRINITY_DN1038_c0_g1,405
8,dis_TRINITY_DN1038_c0_g2,409
8,dis_TRINITY_DN1039_c0_g1,1047
1,dis_TRINITY_DN104_c0_g1,2663
8,dis_TRINITY_DN104_c0_g2,1699
1,dis_TRINITY_DN10402_c0_g1,3428
8,dis_TRINITY_DN10403_c0_g2,7196
8,dis_TRINITY_DN10403_c0_g3,1677
7,dis_TRINITY_DN10406_c0_g1,6628
7,dis_TRINITY_DN10415_c0_g1,4434
8,dis_TRINITY_DN104197_c0_g1,3459
2,dis_TRINITY_DN10422_c0_g1,2127
7,dis_TRINITY_DN10423_c0_g1,1085
8,dis_TRINITY_DN10435_c0_g1,5820
1,dis_TRINITY_DN10438_c0_g1,522
2,dis_TRINITY_DN10439_c0_g1,4133
7,dis_TRINITY_DN1044_c0_g1,6975
8,dis_TRINITY_DN10442_c0_g1,5550
8,dis_TRINITY_DN10445_c0_g1,6782
1,dis_TRINITY_DN10446_c0_g1,7419
2,dis_TRINITY_DN10446_c0_g2,1077
2,dis_TRINITY_DN10450_c0_g2,6934
8,dis_TRINITY_DN10450_c0_g4,7440
1,dis_TRINITY_DN10451_c0_g1,1265
8,dis_TRINITY_DN10452_c0_g1,1115
1,dis_TRINITY_DN10453_c0_g2,2087
1,dis_TRINITY_DN10454_c0_g2,4189
1,dis_TRINITY_DN10456_c0_g1,3175
8,dis_TRINITY_DN10457_c0_g1,2823
7,dis_TRINITY_DN1046_c0_g1,2634
7,dis_TRINITY_DN10462_c0_g1,4490
1,dis_TRINITY_DN10463_c0_g1,3257
1,dis_TRINITY_DN10463_c0_g4,4253
1,dis_TRINITY_DN10464_c0_g1,2310
8,dis_TRINITY_DN10464_c0_g2,1389
3,dis_TRINITY_DN10465_c0_g3,3951
1,dis_TRINITY_DN10468_c0_g1,7509
2,dis_TRINITY_DN1047_c0_g1,5538
1,dis_TRINITY_DN10471_c0_g1,4906
8,dis_TRINITY_DN10471_c0_g2,2291
8,dis_TRINITY_DN10472_c0_g1,7693
8,dis_TRINITY_DN10477_c0_g1,3117
7,dis_TRINITY_DN10477_c0_g2,166.5
8,dis_TRINITY_DN10477_c0_g3,2405
1,dis_TRINITY_DN10479_c0_g1,5330
7,dis_TRINITY_DN10480_c0_g1,4891
1,dis_TRINITY_DN10481_c0_g1,5543
8,dis_TRINITY_DN10483_c0_g3,7671
8,dis_TRINITY_DN10484_c0_g1,2081.5
5,dis_TRINITY_DN1049_c0_g1,4397
8,dis_TRINITY_DN10490_c0_g2,1618
1,dis_TRINITY_DN10492_c0_g1,5880
8,dis_TRINITY_DN10493_c0_g3,3083
7,dis_TRINITY_DN10495_c0_g2,166.5
2,dis_TRINITY_DN10495_c0_g3,3237
1,dis_TRINITY_DN10497_c0_g1,2750
1,dis_TRINITY_DN105_c0_g1,4457
2,dis_TRINITY_DN1050_c0_g1,4247
1,dis_TRINITY_DN10501_c0_g1,967
8,dis_TRINITY_DN10505_c0_g1,1345
1,dis_TRINITY_DN10506_c0_g1,1222
8,dis_TRINITY_DN10508_c0_g1,4210
7,dis_TRINITY_DN10509_c0_g4,166.5
1,dis_TRINITY_DN1051_c0_g1,5130
1,dis_TRINITY_DN10517_c0_g1,367
2,dis_TRINITY_DN10518_c0_g1,1146
8,dis_TRINITY_DN10518_c0_g6,542
1,dis_TRINITY_DN10523_c0_g6,3763
2,dis_TRINITY_DN10527_c0_g1,7401
2,dis_TRINITY_DN10531_c0_g1,3809
1,dis_TRINITY_DN10537_c0_g1,4271
8,dis_TRINITY_DN10538_c0_g1,750
1,dis_TRINITY_DN1054_c0_g1,1240
1,dis_TRINITY_DN10548_c0_g1,7382
8,dis_TRINITY_DN10555_c0_g1,6688
4,dis_TRINITY_DN10558_c0_g2,7874
8,dis_TRINITY_DN1056_c0_g1,6241
8,dis_TRINITY_DN1057_c0_g1,3962
8,dis_TRINITY_DN10573_c2_g3,5630
8,dis_TRINITY_DN10573_c2_g5,4574
1,dis_TRINITY_DN10574_c0_g2,3632
8,dis_TRINITY_DN1058_c0_g1,2139
1,dis_TRINITY_DN10594_c0_g1,4925
8,dis_TRINITY_DN106_c0_g2,5280
4,dis_TRINITY_DN106_c0_g3,632
7,dis_TRINITY_DN10601_c0_g4,5920
4,dis_TRINITY_DN10604_c0_g1,1936
7,dis_TRINITY_DN10605_c0_g1,6897
1,dis_TRINITY_DN10610_c0_g1,4896
2,dis_TRINITY_DN10610_c0_g2,2566
1,dis_TRINITY_DN1062_c0_g2,5262
6,dis_TRINITY_DN1063_c0_g1,1638
1,dis_TRINITY_DN10632_c0_g1,7223
8,dis_TRINITY_DN10643_c0_g1,2992
6,dis_TRINITY_DN10647_c0_g1,1507
2,dis_TRINITY_DN10658_c0_g2,4132
1,dis_TRINITY_DN1066_c0_g4,7708
8,dis_TRINITY_DN10687_c1_g3,1645
2,dis_TRINITY_DN10697_c0_g1,4483
8,dis_TRINITY_DN1070_c0_g8,1165
7,dis_TRINITY_DN10700_c0_g1,166.5
2,dis_TRINITY_DN1071_c0_g1,3134
8,dis_TRINITY_DN10713_c0_g1,2438
7,dis_TRINITY_DN1073_c0_g3,6528
1,dis_TRINITY_DN1073_c0_g4,3308
7,dis_TRINITY_DN1074_c0_g1,6631
8,dis_TRINITY_DN10746_c0_g2,392
8,dis_TRINITY_DN1075_c0_g1,7633
8,dis_TRINITY_DN10759_c0_g1,1819
2,dis_TRINITY_DN1076_c0_g1,3222
7,dis_TRINITY_DN1077_c0_g1,1688.5
7,dis_TRINITY_DN1078_c0_g1,6491
2,dis_TRINITY_DN10784_c0_g2,3842
1,dis_TRINITY_DN10788_c0_g2,464
1,dis_TRINITY_DN10789_c0_g3,4753
1,dis_TRINITY_DN1079_c0_g1,2020
5,dis_TRINITY_DN10797_c0_g1,1633
1,dis_TRINITY_DN1080_c1_g1,4055
1,dis_TRINITY_DN10808_c0_g1,6566
1,dis_TRINITY_DN10809_c0_g1,2466
7,dis_TRINITY_DN1081_c0_g1,5975
8,dis_TRINITY_DN1081_c4_g2,4835
1,dis_TRINITY_DN10814_c0_g1,7489
8,dis_TRINITY_DN10818_c0_g1,7221
7,dis_TRINITY_DN1082_c1_g3,166.5
2,dis_TRINITY_DN10821_c0_g1,7109
1,dis_TRINITY_DN10823_c0_g1,1725
7,dis_TRINITY_DN10826_c0_g1,4315
1,dis_TRINITY_DN10827_c0_g1,5425
1,dis_TRINITY_DN10828_c0_g1,6082
1,dis_TRINITY_DN10828_c0_g2,6730
7,dis_TRINITY_DN10829_c0_g1,4646
1,dis_TRINITY_DN1083_c0_g1,2554
7,dis_TRINITY_DN10831_c0_g1,7121
1,dis_TRINITY_DN10834_c0_g1,3590
2,dis_TRINITY_DN10835_c0_g2,7568
1,dis_TRINITY_DN10837_c0_g1,7816
8,dis_TRINITY_DN10838_c0_g1,6449
5,dis_TRINITY_DN10839_c0_g1,5577
8,dis_TRINITY_DN1084_c0_g1,2183
1,dis_TRINITY_DN10841_c0_g1,3057
1,dis_TRINITY_DN10843_c0_g1,6018
8,dis_TRINITY_DN10851_c0_g1,1675
7,dis_TRINITY_DN10854_c0_g1,1542
8,dis_TRINITY_DN10859_c0_g1,1486
8,dis_TRINITY_DN10868_c0_g1,3594
1,dis_TRINITY_DN10872_c0_g1,6562
8,dis_TRINITY_DN10874_c0_g1,4779
1,dis_TRINITY_DN10880_c0_g1,6893
1,dis_TRINITY_DN10891_c0_g1,7276
8,dis_TRINITY_DN10891_c0_g2,2025
8,dis_TRINITY_DN10894_c0_g1,4393
1,dis_TRINITY_DN10897_c0_g1,2835
7,dis_TRINITY_DN1090_c0_g1,3398
8,dis_TRINITY_DN1090_c0_g2,4092
8,dis_TRINITY_DN1090_c0_g4,7233
8,dis_TRINITY_DN10901_c1_g4,4790
1,dis_TRINITY_DN10905_c0_g1,3766
8,dis_TRINITY_DN10909_c0_g1,811
8,dis_TRINITY_DN10910_c0_g4,1642
8,dis_TRINITY_DN10913_c0_g1,5185
7,dis_TRINITY_DN10922_c0_g1,5678
8,dis_TRINITY_DN10923_c0_g3,2437
8,dis_TRINITY_DN10930_c0_g1,3084
2,dis_TRINITY_DN1094_c0_g1,5549
1,dis_TRINITY_DN109406_c0_g1,6679
