PS,GeneID,V1
8,dis_TRINITY_DN0_c1_g2,1898
8,dis_TRINITY_DN1_c0_g4,3906
1,dis_TRINITY_DN10_c0_g1,188.5
7,dis_TRINITY_DN10_c0_g3,188.5
7,dis_TRINITY_DN100_c0_g1,7666
8,dis_TRINITY_DN100_c0_g3,1810
7,dis_TRINITY_DN1000_c0_g1,4379
8,dis_TRINITY_DN10001_c0_g1,5753
8,dis_TRINITY_DN1001_c0_g1,453
1,dis_TRINITY_DN1001_c0_g3,3419
1,dis_TRINITY_DN10011_c0_g3,2202
1,dis_TRINITY_DN10015_c0_g1,2605
1,dis_TRINITY_DN10021_c0_g2,5990
1,dis_TRINITY_DN10021_c0_g3,7509
7,dis_TRINITY_DN10021_c0_g5,6397
8,dis_TRINITY_DN10025_c0_g1,4331
6,dis_TRINITY_DN1003_c0_g1,6799
8,dis_TRINITY_DN10031_c0_g2,6127
1,dis_TRINITY_DN10032_c0_g1,7914
8,dis_TRINITY_DN100378_c0_g1,3496
8,dis_TRINITY_DN10039_c0_g1,3569
2,dis_TRINITY_DN1004_c0_g1,5554
2,dis_TRINITY_DN1004_c0_g2,5311
8,dis_TRINITY_DN10041_c0_g1,5611
1,dis_TRINITY_DN10045_c0_g1,6810
1,dis_TRINITY_DN10051_c0_g1,7723
8,dis_TRINITY_DN10055_c0_g1,935
3,dis_TRINITY_DN10059_c0_g1,7087
7,dis_TRINITY_DN10059_c0_g2,7269
1,dis_TRINITY_DN10061_c0_g1,188.5
8,dis_TRINITY_DN10066_c0_g1,1526
1,dis_TRINITY_DN10067_c0_g2,1625
1,dis_TRINITY_DN10080_c0_g1,188.5
7,dis_TRINITY_DN10084_c0_g1,5795
1,dis_TRINITY_DN10087_c0_g1,188.5
1,dis_TRINITY_DN100876_c0_g1,4561
8,dis_TRINITY_DN10089_c0_g1,5835
2,dis_TRINITY_DN101_c0_g1,4474
8,dis_TRINITY_DN10119_c0_g1,5829
1,dis_TRINITY_DN1013_c0_g1,3738
8,dis_TRINITY_DN101321_c0_g1,620
2,dis_TRINITY_DN10140_c0_g1,6446
2,dis_TRINITY_DN10147_c0_g1,4235
8,dis_TRINITY_DN10150_c0_g1,859
8,dis_TRINITY_DN10150_c0_g4,870
8,dis_TRINITY_DN101555_c0_g1,941
7,dis_TRINITY_DN10156_c0_g1,2522
1,dis_TRINITY_DN10160_c0_g1,6040
7,dis_TRINITY_DN10168_c0_g2,684
2,dis_TRINITY_DN10168_c0_g3,5126
1,dis_TRINITY_DN10172_c0_g1,7159
8,dis_TRINITY_DN10173_c0_g1,2494
1,dis_TRINITY_DN10189_c0_g1,385
1,dis_TRINITY_DN1019_c0_g2,5649
1,dis_TRINITY_DN10198_c0_g3,6333
1,dis_TRINITY_DN102_c0_g1,7800
1,dis_TRINITY_DN1020_c0_g1,7908
8,dis_TRINITY_DN10208_c0_g1,7121
1,dis_TRINITY_DN10211_c0_g1,4546
1,dis_TRINITY_DN10212_c0_g2,1168
8,dis_TRINITY_DN10214_c1_g1,3832
3,dis_TRINITY_DN10219_c0_g1,3646
8,dis_TRINITY_DN10229_c0_g1,1834
8,dis_TRINITY_DN1023_c0_g1,188.5
1,dis_TRINITY_DN10236_c0_g1,562
7,dis_TRINITY_DN10242_c0_g1,6508
7,dis_TRINITY_DN10243_c0_g1,3326
1,dis_TRINITY_DN10249_c1_g1,7237
8,dis_TRINITY_DN10250_c0_g1,1455
8,dis_TRINITY_DN10251_c0_g2,908
1,dis_TRINITY_DN10255_c0_g1,3469
8,dis_TRINITY_DN10262_c0_g1,4192
8,dis_TRINITY_DN10269_c0_g1,1284
8,dis_TRINITY_DN1027_c2_g2,5275
1,dis_TRINITY_DN1027_c2_g4,6696
1,dis_TRINITY_DN10276_c0_g1,1958
4,dis_TRINITY_DN1028_c0_g2,3995
8,dis_TRINITY_DN10280_c0_g4,6213
1,dis_TRINITY_DN10280_c0_g5,3450
8,dis_TRINITY_DN1029_c0_g1,3705
1,dis_TRINITY_DN10291_c0_g1,1055
1,dis_TRINITY_DN10292_c0_g2,6435
1,dis_TRINITY_DN1030_c0_g2,3554
8,dis_TRINITY_DN10301_c0_g1,5412
8,dis_TRINITY_DN10304_c0_g1,7075
7,dis_TRINITY_DN10305_c0_g2,2105
7,dis_TRINITY_DN10305_c0_g5,5891
1,dis_TRINITY_DN10309_c0_g1,1460
8,dis_TRINITY_DN1031_c0_g1,1258
7,dis_TRINITY_DN10310_c3_g2,3104
8,dis_TRINITY_DN10335_c0_g4,3714
8,dis_TRINITY_DN10336_c0_g1,6816
8,dis_TRINITY_DN10343_c0_g1,3546
8,dis_TRINITY_DN10347_c0_g1,3752
1,dis_TRINITY_DN1035_c0_g1,7370
7,dis_TRINITY_DN10350_c0_g1,6205
8,dis_TRINITY_DN10351_c0_g1,480
8,dis_TRINITY_DN10353_c0_g1,545
8,dis_TRINITY_DN10357_c0_g1,4971
1,dis_TRINITY_DN10359_c1_g4,7154
5,dis_TRINITY_DN1036_c0_g2,1400
1,dis_TRINITY_DN1036_c0_g4,7688
8,dis_TRINITY_DN10362_c0_g2,2365
1,dis_TRINITY_DN10366_c0_g1,7510
8,dis_TRINITY_DN10368_c0_g1,6077
8,dis_TRINITY_DN10379_c0_g1,1857
8,dis_TRINITY_DN1038_c0_g1,615
8,dis_TRINITY_DN1038_c0_g2,646
8,dis_TRINITY_DN1039_c0_g1,2697
1,dis_TRINITY_DN104_c0_g1,2116
8,dis_TRINITY_DN104_c0_g2,1804
1,dis_TRINITY_DN10402_c0_g1,5285
8,dis_TRINITY_DN10403_c0_g2,7782
8,dis_TRINITY_DN10403_c0_g3,2068
7,dis_TRINITY_DN10406_c0_g1,6030
7,dis_TRINITY_DN10415_c0_g1,1158
8,dis_TRINITY_DN104197_c0_g1,1424
2,dis_TRINITY_DN10422_c0_g1,3168
7,dis_TRINITY_DN10423_c0_g1,1262
8,dis_TRINITY_DN10435_c0_g1,4084
1,dis_TRINITY_DN10438_c0_g1,979
2,dis_TRINITY_DN10439_c0_g1,3677
7,dis_TRINITY_DN1044_c0_g1,7091
8,dis_TRINITY_DN10442_c0_g1,7395
8,dis_TRINITY_DN10445_c0_g1,7709
1,dis_TRINITY_DN10446_c0_g1,7764
2,dis_TRINITY_DN10446_c0_g2,2657
2,dis_TRINITY_DN10450_c0_g2,1729
8,dis_TRINITY_DN10450_c0_g4,2667
1,dis_TRINITY_DN10451_c0_g1,2279
8,dis_TRINITY_DN10452_c0_g1,1265
1,dis_TRINITY_DN10453_c0_g2,4037
1,dis_TRINITY_DN10454_c0_g2,6139
1,dis_TRINITY_DN10456_c0_g1,5136
8,dis_TRINITY_DN10457_c0_g1,1213
7,dis_TRINITY_DN1046_c0_g1,3858
7,dis_TRINITY_DN10462_c0_g1,2713
1,dis_TRINITY_DN10463_c0_g1,3241
1,dis_TRINITY_DN10463_c0_g4,6597
1,dis_TRINITY_DN10464_c0_g1,2575
8,dis_TRINITY_DN10464_c0_g2,2112
3,dis_TRINITY_DN10465_c0_g3,4895
1,dis_TRINITY_DN10468_c0_g1,188.5
2,dis_TRINITY_DN1047_c0_g1,1969
1,dis_TRINITY_DN10471_c0_g1,6375
8,dis_TRINITY_DN10471_c0_g2,3596
8,dis_TRINITY_DN10472_c0_g1,6773
8,dis_TRINITY_DN10477_c0_g1,2513
7,dis_TRINITY_DN10477_c0_g2,188.5
8,dis_TRINITY_DN10477_c0_g3,4352
1,dis_TRINITY_DN10479_c0_g1,6951
7,dis_TRINITY_DN10480_c0_g1,5475
1,dis_TRINITY_DN10481_c0_g1,6645
8,dis_TRINITY_DN10483_c0_g3,2836
8,dis_TRINITY_DN10484_c0_g1,3199
5,dis_TRINITY_DN1049_c0_g1,3796
8,dis_TRINITY_DN10490_c0_g2,2742
1,dis_TRINITY_DN10492_c0_g1,5885
8,dis_TRINITY_DN10493_c0_g3,4477
7,dis_TRINITY_DN10495_c0_g2,188.5
2,dis_TRINITY_DN10495_c0_g3,3831
1,dis_TRINITY_DN10497_c0_g1,4877
1,dis_TRINITY_DN105_c0_g1,5478
2,dis_TRINITY_DN1050_c0_g1,5707
1,dis_TRINITY_DN10501_c0_g1,1661
8,dis_TRINITY_DN10505_c0_g1,3586
1,dis_TRINITY_DN10506_c0_g1,1726
8,dis_TRINITY_DN10508_c0_g1,2756
7,dis_TRINITY_DN10509_c0_g4,710
1,dis_TRINITY_DN1051_c0_g1,5147
1,dis_TRINITY_DN10517_c0_g1,764
2,dis_TRINITY_DN10518_c0_g1,1660
8,dis_TRINITY_DN10518_c0_g6,905
1,dis_TRINITY_DN10523_c0_g6,2114
2,dis_TRINITY_DN10527_c0_g1,6374
2,dis_TRINITY_DN10531_c0_g1,1808
1,dis_TRINITY_DN10537_c0_g1,6291
8,dis_TRINITY_DN10538_c0_g1,1252
1,dis_TRINITY_DN1054_c0_g1,2777
1,dis_TRINITY_DN10542_c0_g1,188.5
1,dis_TRINITY_DN10548_c0_g1,3426
8,dis_TRINITY_DN10555_c0_g1,2578
4,dis_TRINITY_DN10558_c0_g2,7344
8,dis_TRINITY_DN1056_c0_g1,7505
8,dis_TRINITY_DN1057_c0_g1,6061
8,dis_TRINITY_DN10573_c2_g5,4612
1,dis_TRINITY_DN10574_c0_g2,5777
8,dis_TRINITY_DN1058_c0_g1,3351
1,dis_TRINITY_DN10594_c0_g1,5680
8,dis_TRINITY_DN106_c0_g2,3048
4,dis_TRINITY_DN106_c0_g3,460
7,dis_TRINITY_DN10601_c0_g4,6882
4,dis_TRINITY_DN10604_c0_g1,2690
7,dis_TRINITY_DN10605_c0_g1,5639
1,dis_TRINITY_DN10610_c0_g1,5635
2,dis_TRINITY_DN10610_c0_g2,2303
1,dis_TRINITY_DN1062_c0_g2,3953
6,dis_TRINITY_DN1063_c0_g1,2977
1,dis_TRINITY_DN10632_c0_g1,5348
8,dis_TRINITY_DN10643_c0_g1,4452
6,dis_TRINITY_DN10647_c0_g1,2089
2,dis_TRINITY_DN10658_c0_g2,5401
1,dis_TRINITY_DN1066_c0_g4,7325
8,dis_TRINITY_DN10687_c1_g3,3015
2,dis_TRINITY_DN10697_c0_g1,4950
8,dis_TRINITY_DN1070_c0_g8,3204
7,dis_TRINITY_DN10700_c0_g1,857
2,dis_TRINITY_DN1071_c0_g1,3776
8,dis_TRINITY_DN10713_c0_g1,4782
7,dis_TRINITY_DN1073_c0_g3,4019
1,dis_TRINITY_DN1073_c0_g4,5464
7,dis_TRINITY_DN1074_c0_g1,6942
8,dis_TRINITY_DN10746_c0_g2,898
8,dis_TRINITY_DN1075_c0_g1,7364
8,dis_TRINITY_DN10759_c0_g1,3372
2,dis_TRINITY_DN1076_c0_g1,3863
7,dis_TRINITY_DN1077_c0_g1,1712
7,dis_TRINITY_DN1078_c0_g1,7185
2,dis_TRINITY_DN10784_c0_g2,1113
1,dis_TRINITY_DN10788_c0_g2,1263
1,dis_TRINITY_DN10789_c0_g3,6473
1,dis_TRINITY_DN1079_c0_g1,3467
5,dis_TRINITY_DN10797_c0_g1,1274
1,dis_TRINITY_DN10798_c0_g1,188.5
1,dis_TRINITY_DN1080_c1_g1,4543
1,dis_TRINITY_DN10808_c0_g1,7473
1,dis_TRINITY_DN10809_c0_g1,4600
7,dis_TRINITY_DN1081_c0_g1,3961
8,dis_TRINITY_DN1081_c4_g2,3520
1,dis_TRINITY_DN10814_c0_g1,7820
8,dis_TRINITY_DN10818_c0_g1,7359
7,dis_TRINITY_DN1082_c1_g3,188.5
2,dis_TRINITY_DN10821_c0_g1,7538
1,dis_TRINITY_DN10823_c0_g1,4176
7,dis_TRINITY_DN10826_c0_g1,1744
1,dis_TRINITY_DN10827_c0_g1,5361
1,dis_TRINITY_DN10828_c0_g1,7605
1,dis_TRINITY_DN10828_c0_g2,7598
7,dis_TRINITY_DN10829_c0_g1,5801
1,dis_TRINITY_DN1083_c0_g1,745
7,dis_TRINITY_DN10831_c0_g1,986
1,dis_TRINITY_DN10834_c0_g1,6564
2,dis_TRINITY_DN10835_c0_g2,188.5
1,dis_TRINITY_DN10837_c0_g1,7913
8,dis_TRINITY_DN10838_c0_g1,823
5,dis_TRINITY_DN10839_c0_g1,6781
8,dis_TRINITY_DN1084_c0_g1,2532
1,dis_TRINITY_DN10841_c0_g1,5010
1,dis_TRINITY_DN10843_c0_g1,6808
8,dis_TRINITY_DN10851_c0_g1,3509
7,dis_TRINITY_DN10854_c0_g1,596
8,dis_TRINITY_DN10859_c0_g1,2514
8,dis_TRINITY_DN10868_c0_g1,1296
1,dis_TRINITY_DN10872_c0_g1,6909
8,dis_TRINITY_DN10874_c0_g1,6341
1,dis_TRINITY_DN10880_c0_g1,6841
1,dis_TRINITY_DN10891_c0_g1,7703
8,dis_TRINITY_DN10891_c0_g2,1217
8,dis_TRINITY_DN10894_c0_g1,5806
1,dis_TRINITY_DN10897_c0_g1,3411
7,dis_TRINITY_DN1090_c0_g1,614
8,dis_TRINITY_DN1090_c0_g2,4586
8,dis_TRINITY_DN1090_c0_g4,3788
8,dis_TRINITY_DN10901_c1_g4,5415
1,dis_TRINITY_DN10905_c0_g1,5362
8,dis_TRINITY_DN10909_c0_g1,2175
8,dis_TRINITY_DN10910_c0_g4,1436
8,dis_TRINITY_DN10913_c0_g1,5385
7,dis_TRINITY_DN10922_c0_g1,5956
8,dis_TRINITY_DN10923_c0_g3,4371
8,dis_TRINITY_DN10930_c0_g1,3720
2,dis_TRINITY_DN1094_c0_g1,613
1,dis_TRINITY_DN109406_c0_g1,7290
8,dis_TRINITY_DN109431_c0_g1,2462
1,dis_TRINITY_DN1095_c0_g1,7842
8,dis_TRINITY_DN10952_c0_g1,2645
8,dis_TRINITY_DN1096_c0_g1,6723
1,dis_TRINITY_DN10961_c0_g1,188.5
7,dis_TRINITY_DN109679_c0_g1,188.5
8,dis_TRINITY_DN109699_c0_g1,188.5
8,dis_TRINITY_DN1097_c0_g1,2714
2,dis_TRINITY_DN10976_c0_g1,2638
7,dis_TRINITY_DN109773_c0_g1,5805
1,dis_TRINITY_DN1098_c0_g1,5274
1,dis_TRINITY_DN10991_c0_g1,766
8,dis_TRINITY_DN10998_c0_g1,6188
4,dis_TRINITY_DN10998_c0_g3,4620
8,dis_TRINITY_DN11_c3_g4,7346
8,dis_TRINITY_DN1100_c0_g1,3949
1,dis_TRINITY_DN11006_c1_g3,3515
8,dis_TRINITY_DN1101_c0_g1,3521
1,dis_TRINITY_DN1101_c0_g9,610
8,dis_TRINITY_DN110150_c0_g1,3917
5,dis_TRINITY_DN1102_c0_g1,5346
1,dis_TRINITY_DN11028_c0_g2,1288
8,dis_TRINITY_DN11030_c0_g1,3589
8,dis_TRINITY_DN11034_c0_g1,6620
8,dis_TRINITY_DN11038_c0_g1,6129
7,dis_TRINITY_DN1105_c0_g1,2015
1,dis_TRINITY_DN11056_c0_g1,4956
1,dis_TRINITY_DN11059_c0_g1,4676
8,dis_TRINITY_DN11064_c0_g1,6202
8,dis_TRINITY_DN11067_c0_g1,4444
8,dis_TRINITY_DN110703_c0_g1,2277
8,dis_TRINITY_DN11073_c0_g1,3408
8,dis_TRINITY_DN110755_c0_g1,563
8,dis_TRINITY_DN11076_c0_g1,3012
8,dis_TRINITY_DN1108_c0_g1,864
1,dis_TRINITY_DN11083_c0_g1,2298
1,dis_TRINITY_DN110960_c0_g1,472
1,dis_TRINITY_DN111_c0_g1,5898
8,dis_TRINITY_DN11100_c0_g1,2177
8,dis_TRINITY_DN11104_c0_g4,5731
7,dis_TRINITY_DN11112_c0_g1,6969
7,dis_TRINITY_DN11116_c0_g1,1098
7,dis_TRINITY_DN11135_c0_g1,188.5
1,dis_TRINITY_DN11138_c0_g2,982
8,dis_TRINITY_DN11138_c0_g3,1026
8,dis_TRINITY_DN11138_c0_g5,3087
6,dis_TRINITY_DN1114_c0_g2,506
8,dis_TRINITY_DN11152_c0_g1,3608
1,dis_TRINITY_DN11162_c0_g1,775
8,dis_TRINITY_DN11168_c0_g1,4515
8,dis_TRINITY_DN11169_c0_g1,2439
2,dis_TRINITY_DN1117_c0_g1,6904
8,dis_TRINITY_DN1117_c0_g2,5875
8,dis_TRINITY_DN11178_c0_g1,1473
8,dis_TRINITY_DN11181_c0_g1,5849
8,dis_TRINITY_DN11185_c0_g1,1403
1,dis_TRINITY_DN11191_c0_g1,7727
8,dis_TRINITY_DN11191_c0_g3,6289
8,dis_TRINITY_DN11193_c2_g3,4932
1,dis_TRINITY_DN11201_c0_g1,2012
8,dis_TRINITY_DN11209_c0_g2,6066
8,dis_TRINITY_DN1121_c0_g2,6100
8,dis_TRINITY_DN11212_c0_g2,6887
1,dis_TRINITY_DN1122_c0_g4,3872
8,dis_TRINITY_DN11220_c0_g1,2142
1,dis_TRINITY_DN11221_c0_g1,4185
