query_id;subject_id;dN;dS;dNdS;perc_identity;num_ident_matches;alig_length;mismatches;gap_openings;n_gaps;pos_match;ppos;q_start;q_end;q_len;qcov;qcovhsp;s_start;s_end;s_len;evalue;bit_score;score_raw
Ec-00_000030.1;EsuBft2330_3a-00001;0.2404;0.5999;0.4007;59.896;460;768;260;6;48;550;71.61;8;772;934;82;82;13;735;760;0;824;2128
Ec-00_000050.1;EsuBft1170_8a-00001;0.03426;0.03241;1.057;93.458;200;214;14;0;0;204;95.33;10;223;234;91;91;1;214;215;7.84e-117;332;850
Ec-00_000320.1;EsuBft3035_4a-00001;0.04445;0.09733;0.4567;90.351;103;114;11;0;0;110;96.49;1;114;114;100;100;1;114;114;1.89e-74;215;548
Ec-00_000350.1;EsuBft1436_4a-00001;0.03758;0.11;0.3415;81.004;226;279;18;2;35;231;82.8;1;244;244;100;100;210;488;488;4.9e-128;370;951
Ec-00_000370.1;EsuBft148_30a-00001;0.1427;0.4361;0.3271;70;336;480;115;7;29;373;77.71;104;566;585;79;79;1;468;486;0;541;1393
Ec-00_000380.1;EsuBft1209_7a-00001;0.2472;0.4589;0.5387;82.917;432;521;82;2;7;445;85.41;370;890;1021;87;51;265;778;826;0;722;1863
Ec-00_000390.1;EsuBft340_13a-00001;0.03553;0.1733;0.205;90.426;85;94;8;1;1;86;91.49;193;286;286;33;33;1;93;93;8.37e-46;149;375
Ec-00_000400.1;EsuBft1114_9a-00001;0.247;0.4711;0.5244;78.378;87;111;24;0;0;97;87.39;51;161;170;65;65;26;136;169;1.04e-61;187;476
Ec-00_000410.1;EsuBft1688_8a-00001;0.2668;0.7599;0.3511;70.37;76;108;25;2;7;82;75.93;39;146;221;49;49;216;316;345;2.76e-42;145;366
Ec-00_000540.1;EsuBft2056_4a-00001;0.05835;0.04672;1.249;87.143;61;70;8;1;1;62;88.57;1;70;70;100;100;1;69;69;8.29e-36;114;286
Ec-00_000550.1;EsuBft264_6a-00001;0.02378;0.1509;0.1575;97.647;249;255;6;0;0;251;98.43;88;342;352;72;72;10;264;379;1.68e-178;499;1285
Ec-00_000790.1;EsuBft183_20a-00001;0.08033;0.2134;0.3764;89.912;205;228;23;0;0;212;92.98;1;228;257;89;89;1;228;526;3.81e-132;383;983
Ec-00_000940.1;EsuBft131_17a-00001;0.03537;0.09546;0.3705;92.526;718;776;55;1;3;741;95.49;1;776;776;100;100;12;784;784;0;1407;3642
Ec-00_000950.1;EsuBft1935_6a-00001;0.05734;0.2178;0.2633;94.461;324;343;11;1;8;333;97.08;22;356;642;52;52;23;365;384;0;669;1725
Ec-00_000980.1;EsuBft1774_3a-00001;0.01998;0.054;0.3701;95.687;355;371;16;0;0;365;98.38;1;371;371;100;100;1;371;371;0;707;1825
Ec-00_000990.1;EsuBft241_5a-00001;0.0317;0.07643;0.4148;86.279;371;430;26;2;33;380;88.37;11;409;409;98;98;1;428;428;0;723;1865
Ec-00_001000.1;EsuBft241_4a-00001;0.07219;0.1895;0.381;80.159;202;252;30;5;20;212;84.13;474;706;706;63;33;275;525;525;1.57e-125;383;983
Ec-00_001040.1;EsuBft2426_4a-00001;0.04;0.1662;0.2406;66.717;445;667;68;9;154;467;70.01;1;562;562;100;100;1;618;618;0;821;2121
Ec-00_001070.1;EsuBft313_2a-00001;0.04836;0.1285;0.3763;89.33;720;806;67;2;19;740;91.81;132;936;936;86;86;20;807;807;0;1391;3601
Ec-00_001080.1;EsuBft313_4a-00001;0.03502;0.08166;0.4289;92.366;968;1048;73;1;7;997;95.13;1;1048;1049;99;99;1;1041;1044;0;1810;4688
Ec-00_001090.1;EsuBft313_5a-00001;0.02629;0.09296;0.2828;94.712;197;208;9;1;2;201;96.63;1;208;214;97;97;1;206;207;1.64e-144;400;1028
Ec-00_001100.1;EsuBft313_6a-00001;0.01188;0.1326;0.08957;97.797;222;227;5;0;0;226;99.56;1;227;227;100;100;20;246;246;5.38e-163;449;1155
Ec-00_001130.1;EsuBft313_7a-00001;0.0119;0.06355;0.1872;96;336;350;8;2;6;339;96.86;1;348;348;100;100;1;346;346;0;676;1743
Ec-00_001140.1;EsuBft313_9a-00001;0.055;0.0932;0.5901;66.972;805;1202;223;18;174;860;71.55;1560;2735;3547;53;33;1;1054;1666;0;1383;3580
Ec-00_001150.1;EsuBft313_10a-00001;0.02557;0.0752;0.34;95;475;500;25;0;0;482;96.4;1;500;500;100;100;1;500;500;0;943;2438
Ec-00_001160.1;EsuBft313_11a-00001;0.03803;0.0836;0.4549;87.075;384;441;50;2;7;398;90.25;376;809;809;96;54;508;948;948;0;637;1644
Ec-00_001180.1;EsuBft313_13a-00001;0.02262;0.1039;0.2176;89.254;706;791;36;4;49;725;91.66;935;1677;1677;60;44;1;790;790;0;1366;3535
Ec-00_001190.1;EsuBft313_14a-00001;0.01161;0.08856;0.1311;88.034;206;234;6;2;22;209;89.32;1;212;212;100;100;25;258;258;2.57e-149;414;1065
Ec-00_001200.1;EsuBft591_10a-00001;0.06136;0.1254;0.4894;81.769;749;916;92;4;75;779;85.04;487;1369;1561;57;57;3;876;899;0;1391;3601
Ec-00_001220.1;EsuBft591_9a-00001;0.0551;0.1121;0.4918;84.758;734;866;100;4;32;757;87.41;1;837;848;99;99;103;965;1201;0;1325;3430
Ec-00_001230.1;EsuBft591_8a-00001;0.01826;0.08572;0.213;95.63;569;595;24;1;2;576;96.81;1;593;593;100;100;1;595;595;0;1124;2908
Ec-00_001240.1;EsuBft591_7a-00001;0;0.05443;0;100;101;101;0;0;0;101;100;1;101;101;100;100;1;101;101;6.7e-69;200;509
Ec-00_001280.1;EsuBft591_5a-00001;0.03289;0.07766;0.4235;93.952;699;744;44;1;1;710;95.43;91;833;833;89;89;247;990;990;0;1338;3463
Ec-00_001290.1;EsuBft591_4a-00001;0.03443;0.1122;0.307;92.408;353;382;29;0;0;368;96.34;101;482;482;79;79;1;382;382;0;643;1659
Ec-00_001300.1;EsuBft591_3a-00001;0.04806;0.1256;0.3828;87.667;917;1046;103;4;26;960;91.78;1;1045;1045;100;100;20;1040;1040;0;1577;4084
Ec-00_001310.1;EsuBft591_2a-00001;0.03229;0.1169;0.2762;91.828;618;673;49;2;6;633;94.06;1;668;668;100;100;1;672;672;0;1168;3021
Ec-00_001320.1;EsuBft2094_2a-00001;0.0461;0.1583;0.2912;97.129;203;209;6;0;0;205;98.09;103;311;417;50;50;2;210;222;2.59e-147;416;1070
Ec-00_001350.1;EsuBft379_15a-00001;0.09755;0.1017;0.9596;81.797;346;423;77;0;0;366;86.52;39;461;461;92;92;4;426;426;0;623;1607
Ec-00_001360.1;EsuBft379_14a-00001;0.02098;0.1144;0.1835;95.928;424;442;18;0;0;430;97.29;1;442;442;100;100;1;442;442;0;736;1900
Ec-00_001370.1;EsuBft379_12a-00001;0.027;0.1081;0.2499;94.006;941;1001;55;3;5;965;96.4;1;997;997;100;100;1;1000;1000;0;1776;4599
Ec-00_001380.1;EsuBft379_11a-00001;0.02939;0.0877;0.3351;92.361;266;288;17;2;5;273;94.79;1;286;305;94;94;1;285;304;5.05e-153;429;1104
Ec-00_001390.1;EsuBft379_10a-00001;0;0.03392;0;100;62;62;0;0;0;62;100;1;62;62;100;100;47;108;108;2.38e-40;127;318
Ec-00_001400.1;EsuBft379_9a-00001;0.0303;0.1088;0.2786;93.75;570;608;38;0;0;582;95.72;1;608;608;100;100;1;608;608;0;1121;2899
Ec-00_001410.1;EsuBft379_8a-00001;0.03621;0.1129;0.3209;86.987;3349;3850;284;21;217;3444;89.45;183;4001;4001;95;95;4;3667;3667;0;5865;15216
Ec-00_001420.2;EsuBft379_7a-00001;0.0276;0.0644;0.4286;93.764;421;449;25;1;3;430;95.77;1;446;446;100;100;1;449;449;0;807;2084
Ec-00_001430.1;EsuBft379_6a-00001;0.02006;0.1378;0.1456;97.125;777;800;20;1;3;782;97.75;1;797;924;86;86;1;800;909;0;1504;3895
Ec-00_001440.1;EsuBft379_5a-00001;0.08211;0.2787;0.2946;94.444;34;36;2;0;0;36;100;43;78;153;24;24;1;36;41;1.83e-18;73.2;178
Ec-00_001460.1;EsuBft379_4a-00001;0.002507;0.1205;0.02081;99.437;353;355;2;0;0;355;100;1;355;355;100;100;1;355;355;0;732;1889
Ec-00_001480.1;EsuBft379_3a-00001;0.0359;0.1629;0.2203;92.308;360;390;30;0;0;375;96.15;349;738;744;52;52;13;402;475;0;695;1793
