#gene	phylostratum	rank	taxonomic_representativeness
prot_L-digitata_M_contig1.1.5	cellular organisms	1	100
prot_L-digitata_M_contig1.11.2	cellular organisms	1	100
prot_L-digitata_M_contig1.5.1	cellular organisms	1	66
prot_L-digitata_M_contig1.8.1	cellular organisms	1	66
prot_L-digitata_M_contig1000.8.1	Phaeophyceae	7	100
prot_L-digitata_M_contig10001.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100018.1.1	Ochrophyta	5	100
prot_L-digitata_M_contig10002.2.1	Laminaria digitata	10	100
prot_L-digitata_M_contig100028.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100032.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100035.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig10004.1.1	cellular organisms	1	77
prot_L-digitata_M_contig100046.1.1	Laminariaceae	9	100
prot_L-digitata_M_contig100054.1.1	cellular organisms	1	33
prot_L-digitata_M_contig100055.1.1	cellular organisms	1	100
prot_L-digitata_M_contig10006.1.4	cellular organisms	1	100
prot_L-digitata_M_contig10006.1.6	cellular organisms	1	100
prot_L-digitata_M_contig100066.1.1	cellular organisms	1	100
prot_L-digitata_M_contig100067.1.1	cellular organisms	1	55
prot_L-digitata_M_contig100068.1.1	cellular organisms	1	44
prot_L-digitata_M_contig100070.1.1	cellular organisms	1	33
prot_L-digitata_M_contig100072.1.1	cellular organisms	1	44
prot_L-digitata_M_contig100073.1.1	Laminariales	8	50
prot_L-digitata_M_contig100076.1.1	cellular organisms	1	55
prot_L-digitata_M_contig100079.1.1	Sar	3	71
prot_L-digitata_M_contig100084.1.1	cellular organisms	1	88
prot_L-digitata_M_contig10010.2.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100101.1.1	cellular organisms	1	100
prot_L-digitata_M_contig100106.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100108.1.1	Eukaryota	2	62
prot_L-digitata_M_contig100124.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig10013.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig10013.2.1	cellular organisms	1	77
prot_L-digitata_M_contig100133.1.1	Possible contamination or HGT	NA	11
prot_L-digitata_M_contig100136.1.1	cellular organisms	1	66
prot_L-digitata_M_contig100137.1.1	Possible contamination or HGT	NA	11
prot_L-digitata_M_contig100137.2.1	Possible contamination or HGT	NA	22
prot_L-digitata_M_contig10014.1.1	cellular organisms	1	88
prot_L-digitata_M_contig100143.1.1	cellular organisms	1	44
prot_L-digitata_M_contig10016.1.3	cellular organisms	1	100
prot_L-digitata_M_contig100163.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig10017.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100176.1.1	cellular organisms	1	55
prot_L-digitata_M_contig10018.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100182.1.1	cellular organisms	1	44
prot_L-digitata_M_contig10019.1.1	Laminaria digitata	10	100
prot_L-digitata_M_contig10019.3.1	Phaeophyceae	7	100
prot_L-digitata_M_contig1002.1.1	PX clade	6	75
prot_L-digitata_M_contig1002.15.1	Laminaria digitata	10	100
prot_L-digitata_M_contig1002.3.1	cellular organisms	1	33
prot_L-digitata_M_contig1002.4.1	Phaeophyceae	7	66
prot_L-digitata_M_contig10020.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100200.1.1	cellular organisms	1	77
prot_L-digitata_M_contig100201.1.1	cellular organisms	1	44
prot_L-digitata_M_contig100201.2.1	Possible contamination or HGT	NA	22
prot_L-digitata_M_contig100203.1.1	cellular organisms	1	100
prot_L-digitata_M_contig100206.1.1	Possible contamination or HGT	NA	22
prot_L-digitata_M_contig10021.2.1	cellular organisms	1	100
prot_L-digitata_M_contig100210.1.1	cellular organisms	1	44
prot_L-digitata_M_contig100210.2.1	cellular organisms	1	100
prot_L-digitata_M_contig100211.1.1	Possible contamination or HGT	NA	11
prot_L-digitata_M_contig100211.2.1	cellular organisms	1	66
prot_L-digitata_M_contig100212.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100214.1.1	cellular organisms	1	100
prot_L-digitata_M_contig100215.1.1	cellular organisms	1	55
prot_L-digitata_M_contig10022.1.1	Laminaria digitata	10	100
prot_L-digitata_M_contig100225.1.1	cellular organisms	1	100
prot_L-digitata_M_contig100229.1.1	cellular organisms	1	55
prot_L-digitata_M_contig100232.1.1	Laminaria digitata	10	100
prot_L-digitata_M_contig100242.1.1	Possible contamination or HGT	NA	11
prot_L-digitata_M_contig100245.1.1	cellular organisms	1	55
prot_L-digitata_M_contig100254.1.1	Ochrophyta	5	100
prot_L-digitata_M_contig10026.1.1	cellular organisms	1	88
prot_L-digitata_M_contig10028.1.1	Ochrophyta	5	100
prot_L-digitata_M_contig100284.1.1	Possible contamination or HGT	NA	22
prot_L-digitata_M_contig100286.1.1	cellular organisms	1	100
prot_L-digitata_M_contig100288.1.1	Laminaria digitata	10	100
prot_L-digitata_M_contig10029.1.1	Eukaryota	2	100
prot_L-digitata_M_contig100290.1.1	cellular organisms	1	100
prot_L-digitata_M_contig100295.1.1	cellular organisms	1	88
prot_L-digitata_M_contig100298.1.1	cellular organisms	1	33
prot_L-digitata_M_contig1003.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100301.1.1	Laminaria digitata	10	100
prot_L-digitata_M_contig100302.1.1	cellular organisms	1	44
prot_L-digitata_M_contig100305.1.1	Possible contamination or HGT	NA	11
prot_L-digitata_M_contig100306.1.1	Possible contamination or HGT	NA	11
prot_L-digitata_M_contig10031.2.1	Laminariales	8	100
prot_L-digitata_M_contig100310.1.1	Stramenopiles	4	83
prot_L-digitata_M_contig100319.2.1	cellular organisms	1	100
prot_L-digitata_M_contig10032.1.1	cellular organisms	1	77
prot_L-digitata_M_contig100327.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig10033.1.1	cellular organisms	1	100
prot_L-digitata_M_contig10034.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig10034.2.2	cellular organisms	1	88
prot_L-digitata_M_contig10035.2.1	cellular organisms	1	100
prot_L-digitata_M_contig100355.1.1	cellular organisms	1	44
prot_L-digitata_M_contig10036.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100361.1.1	cellular organisms	1	100
prot_L-digitata_M_contig10037.3.1	Phaeophyceae	7	100
prot_L-digitata_M_contig100375.1.1	Possible contamination or HGT	NA	11
prot_L-digitata_M_contig10038.1.1	Eukaryota	2	87
prot_L-digitata_M_contig10039.1.1	cellular organisms	1	100
prot_L-digitata_M_contig1004.1.1	cellular organisms	1	88
prot_L-digitata_M_contig10040.1.1	Eukaryota	2	75
prot_L-digitata_M_contig10040.2.1	PX clade	6	100
prot_L-digitata_M_contig100407.1.1	Eukaryota	2	50
prot_L-digitata_M_contig10041.1.1	Phaeophyceae	7	100
prot_L-digitata_M_contig10041.3.1	Laminariales	8	100
prot_L-digitata_M_contig100421.1.1	Possible contamination or HGT	NA	11
prot_L-digitata_M_contig100424.1.1	cellular organisms	1	66
prot_L-digitata_M_contig100425.1.1	cellular organisms	1	88
prot_L-digitata_M_contig100427.1.1	cellular organisms	1	33
prot_L-digitata_M_contig100430.1.1	cellular organisms	1	88
prot_L-digitata_M_contig100438.1.1	cellular organisms	1	100
prot_L-digitata_M_contig100438.2.1	cellular organisms	1	88
prot_L-digitata_M_contig100441.1.1	cellular organisms	1	100
prot_L-digitata_M_contig100449.1.1	Sar	3	85
prot_L-digitata_M_contig10046.1.1	cellular organisms	1	88
prot_L-digitata_M_contig10047.1.1	Phaeophyceae	7	66
prot_L-digitata_M_contig10047.3.1	PX clade	6	100
prot_L-digitata_M_contig10047.5.1	Phaeophyceae	7	100
