GeneID,phylostratum,rank,taxonomic_representativeness,GeneID_new
ser_TRINITY_DN10000_c0_g1,Phaeophyceae,7,100,ser_TRINITY_DN10000_c0_g1
ser_TRINITY_DN10004_c0_g1,cellular organisms,1,100,ser_TRINITY_DN10004_c0_g1
ser_TRINITY_DN10005_c0_g1,Fucus serratus,8,100,ser_TRINITY_DN10005_c0_g1
ser_TRINITY_DN10006_c0_g1,cellular organisms,1,100,ser_TRINITY_DN10006_c0_g1
ser_TRINITY_DN10008_c0_g1,cellular organisms,1,100,ser_TRINITY_DN10008_c0_g1
ser_TRINITY_DN10009_c0_g1,Fucus serratus,8,100,ser_TRINITY_DN10009_c0_g1
ser_TRINITY_DN10009_c0_g2,cellular organisms,1,100,ser_TRINITY_DN10009_c0_g2
ser_TRINITY_DN10014_c0_g1,cellular organisms,1,100,ser_TRINITY_DN10014_c0_g1
ser_TRINITY_DN10015_c0_g2,cellular organisms,1,100,ser_TRINITY_DN10015_c0_g2
ser_TRINITY_DN10017_c0_g1,cellular organisms,1,85,ser_TRINITY_DN10017_c0_g1
ser_TRINITY_DN10019_c0_g1,cellular organisms,1,85,ser_TRINITY_DN10019_c0_g1
ser_TRINITY_DN10024_c0_g2,Fucus serratus,8,100,ser_TRINITY_DN10024_c0_g2
ser_TRINITY_DN100254_c0_g1,cellular organisms,1,100,ser_TRINITY_DN100254_c0_g1
ser_TRINITY_DN100298_c0_g1,Ochrophyta,5,100,ser_TRINITY_DN100298_c0_g1
ser_TRINITY_DN10030_c0_g1,cellular organisms,1,100,ser_TRINITY_DN10030_c0_g1
ser_TRINITY_DN10032_c0_g2,cellular organisms,1,100,ser_TRINITY_DN10032_c0_g2
ser_TRINITY_DN100337_c0_g5,cellular organisms,1,100,ser_TRINITY_DN100337_c0_g5
ser_TRINITY_DN100337_c0_g6,cellular organisms,1,100,ser_TRINITY_DN100337_c0_g6
ser_TRINITY_DN10034_c0_g1,cellular organisms,1,100,ser_TRINITY_DN10034_c0_g1
ser_TRINITY_DN10035_c1_g3,Phaeophyceae,7,100,ser_TRINITY_DN10035_c1_g3
ser_TRINITY_DN10037_c0_g1,Fucus serratus,8,100,ser_TRINITY_DN10037_c0_g1
ser_TRINITY_DN10037_c0_g2,cellular organisms,1,100,ser_TRINITY_DN10037_c0_g2
