Orthogroup	Fd_tasm	Fs_tasm	Laminaria-digitata_MALE_proteins	Saccorhiza-polyschides_MALE_proteins
OG0035996	dis_TRINITY_DN0_c1_g5.p1			
OG0035997	dis_TRINITY_DN100027_c0_g1.p2			
OG0035998	dis_TRINITY_DN100027_c0_g1.p3			
OG0035999	dis_TRINITY_DN10015_c0_g1.p2			
OG0036000	dis_TRINITY_DN10015_c0_g1.p3			
OG0036001	dis_TRINITY_DN1001_c0_g2.p3			
OG0036002	dis_TRINITY_DN10021_c0_g2.p4			
OG0036003	dis_TRINITY_DN10030_c0_g1.p3			
OG0036004	dis_TRINITY_DN10030_c0_g1.p5			
OG0036005	dis_TRINITY_DN10030_c0_g2.p4			
OG0036006	dis_TRINITY_DN10031_c0_g2.p2			
OG0036007	dis_TRINITY_DN10042_c0_g1.p2			
OG0036008	dis_TRINITY_DN10042_c0_g1.p4			
OG0036009	dis_TRINITY_DN10042_c0_g1.p5			
OG0036010	dis_TRINITY_DN10046_c0_g2.p2			
OG0036011	dis_TRINITY_DN10048_c0_g1.p2			
OG0036012	dis_TRINITY_DN10049_c0_g1.p2			
OG0036013	dis_TRINITY_DN1004_c0_g2.p3			
OG0036014	dis_TRINITY_DN1004_c0_g2.p5			
OG0036015	dis_TRINITY_DN10062_c0_g1.p1			
OG0036016	dis_TRINITY_DN10062_c0_g1.p2			
OG0036017	dis_TRINITY_DN100645_c0_g1.p1			
OG0036018	dis_TRINITY_DN10067_c0_g1.p2			
OG0036019	dis_TRINITY_DN10067_c0_g2.p2			
OG0036020	dis_TRINITY_DN10084_c0_g1.p2			
OG0036021	dis_TRINITY_DN1008_c2_g1.p4			
OG0036022	dis_TRINITY_DN10092_c0_g1.p2			
OG0036023	dis_TRINITY_DN10095_c0_g1.p1			
OG0036024	dis_TRINITY_DN10095_c0_g1.p2			
OG0036025	dis_TRINITY_DN10095_c0_g1.p3			
OG0036026	dis_TRINITY_DN10095_c0_g1.p4			
OG0036027	dis_TRINITY_DN100_c0_g1.p2			
OG0036028	dis_TRINITY_DN100_c0_g1.p3			
OG0036029	dis_TRINITY_DN100_c0_g3.p8			
OG0036030	dis_TRINITY_DN100_c0_g3.p10			
OG0036031	dis_TRINITY_DN100_c0_g3.p11			
OG0036032	dis_TRINITY_DN100_c0_g3.p13			
OG0036033	dis_TRINITY_DN100_c0_g3.p14			
OG0036034	dis_TRINITY_DN10100_c0_g1.p1			
OG0036035	dis_TRINITY_DN10105_c0_g1.p1			
OG0036036	dis_TRINITY_DN10105_c0_g1.p3			
OG0036037	dis_TRINITY_DN10105_c0_g1.p4			
OG0036038	dis_TRINITY_DN101086_c0_g1.p2			
OG0036039	dis_TRINITY_DN10109_c0_g1.p1			
OG0036040	dis_TRINITY_DN10119_c0_g1.p2			
OG0036041	dis_TRINITY_DN10119_c0_g1.p3			
OG0036042	dis_TRINITY_DN1011_c0_g1.p1			
OG0036043	dis_TRINITY_DN101206_c0_g1.p1			
OG0036044	dis_TRINITY_DN10130_c0_g1.p3			
OG0036045	dis_TRINITY_DN101321_c0_g1.p2			
OG0036046	dis_TRINITY_DN10133_c0_g1.p3			
OG0036047	dis_TRINITY_DN10133_c0_g1.p5			
OG0036048	dis_TRINITY_DN10133_c0_g1.p7			
OG0036049	dis_TRINITY_DN10136_c0_g1.p2			
OG0036050	dis_TRINITY_DN10147_c0_g1.p4			
OG0036051	dis_TRINITY_DN101555_c0_g1.p1			
OG0036052	dis_TRINITY_DN10165_c0_g1.p1			
OG0036053	dis_TRINITY_DN10166_c0_g1.p4			
OG0036054	dis_TRINITY_DN10168_c0_g1.p1			
OG0036055	dis_TRINITY_DN10168_c0_g3.p4			
OG0036056	dis_TRINITY_DN10172_c0_g1.p3			
OG0036057	dis_TRINITY_DN10173_c0_g1.p2			
OG0036058	dis_TRINITY_DN101764_c0_g1.p1			
OG0036059	dis_TRINITY_DN101853_c0_g1.p1			
OG0036060	dis_TRINITY_DN1019_c0_g1.p2			
OG0036061	dis_TRINITY_DN102001_c0_g1.p1			
OG0036062	dis_TRINITY_DN10205_c0_g1.p1			
OG0036063	dis_TRINITY_DN10207_c0_g2.p1			
OG0036064	dis_TRINITY_DN10209_c0_g1.p2			
OG0036065	dis_TRINITY_DN10211_c0_g1.p3			
OG0036066	dis_TRINITY_DN102143_c0_g1.p1			
OG0036067	dis_TRINITY_DN1021_c0_g2.p3			
OG0036068	dis_TRINITY_DN10228_c0_g6.p2			
OG0036069	dis_TRINITY_DN10228_c0_g6.p3			
OG0036070	dis_TRINITY_DN10231_c1_g1.p2			
OG0036071	dis_TRINITY_DN1023_c0_g1.p4			
OG0036072	dis_TRINITY_DN10242_c0_g1.p2			
OG0036073	dis_TRINITY_DN10244_c0_g1.p2			
OG0036074	dis_TRINITY_DN10250_c0_g1.p2			
OG0036075	dis_TRINITY_DN102595_c0_g1.p1			
OG0036076	dis_TRINITY_DN10261_c0_g2.p2			
OG0036077	dis_TRINITY_DN10263_c0_g2.p2			
OG0036078	dis_TRINITY_DN10270_c2_g1.p1			
OG0036079	dis_TRINITY_DN1027_c2_g2.p3			
OG0036080	dis_TRINITY_DN1027_c2_g5.p2			
OG0036081	dis_TRINITY_DN1027_c2_g5.p3			
OG0036082	dis_TRINITY_DN10280_c0_g4.p4			
OG0036083	dis_TRINITY_DN10280_c0_g5.p2			
OG0036084	dis_TRINITY_DN1028_c0_g5.p2			
OG0036085	dis_TRINITY_DN102_c0_g1.p3			
OG0036086	dis_TRINITY_DN10301_c0_g1.p3			
OG0036087	dis_TRINITY_DN10301_c0_g1.p4			
OG0036088	dis_TRINITY_DN10305_c0_g2.p3			
OG0036089	dis_TRINITY_DN10305_c0_g5.p2			
OG0036090	dis_TRINITY_DN10309_c0_g1.p2			
OG0036091	dis_TRINITY_DN1031_c0_g1.p2			
OG0036092	dis_TRINITY_DN1031_c0_g1.p5			
OG0036093	dis_TRINITY_DN1031_c0_g1.p7			
OG0036094	dis_TRINITY_DN10322_c0_g1.p2			
OG0036095	dis_TRINITY_DN10335_c0_g1.p2			
OG0036096	dis_TRINITY_DN10338_c0_g1.p2			
OG0036097	dis_TRINITY_DN1033_c0_g1.p2			
OG0036098	dis_TRINITY_DN103405_c0_g1.p1			
OG0036099	dis_TRINITY_DN10343_c0_g1.p3			
OG0036100	dis_TRINITY_DN103446_c0_g1.p2			
OG0036101	dis_TRINITY_DN10344_c0_g1.p1			
OG0036102	dis_TRINITY_DN1034_c0_g2.p1			
OG0036103	dis_TRINITY_DN1034_c0_g2.p2			
OG0036104	dis_TRINITY_DN10357_c0_g1.p2			
OG0036105	dis_TRINITY_DN10358_c0_g3.p1			
OG0036106	dis_TRINITY_DN10359_c1_g4.p3			
OG0036107	dis_TRINITY_DN10362_c0_g1.p3			
OG0036108	dis_TRINITY_DN10368_c0_g1.p3			
OG0036109	dis_TRINITY_DN10370_c1_g2.p2			
OG0036110	dis_TRINITY_DN10375_c0_g1.p2			
OG0036111	dis_TRINITY_DN10375_c0_g1.p3			
OG0036112	dis_TRINITY_DN1038_c0_g1.p2			
OG0036113	dis_TRINITY_DN1038_c0_g1.p3			
OG0036114	dis_TRINITY_DN10398_c1_g2.p1			
OG0036115	dis_TRINITY_DN1039_c0_g1.p3			
