Orthogroup	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
OG0000000			Ec-00_007610.1, Ec-00_007610.3, Ec-01_001760.1, Ec-01_001760.2, Ec-01_001800.1, Ec-01_001800.2, Ec-01_001800.3, Ec-01_007650.1, Ec-03_000700.1, Ec-03_000700.2, Ec-03_000700.3, Ec-03_000700.4, Ec-03_000710.1, Ec-03_000710.4, Ec-03_000720.1, Ec-03_000720.3, Ec-03_000730.1, Ec-03_000770.1, Ec-03_000770.2, Ec-03_000780.1, Ec-03_001790.1, Ec-03_001790.2, Ec-03_001790.3, Ec-06_001640.1, Ec-06_001640.2, Ec-06_001640.3, Ec-06_001640.4, Ec-06_001640.5, Ec-06_001640.6, Ec-06_001640.7, Ec-06_001640.8, Ec-12_003110.1, Ec-12_003110.2, Ec-12_003110.3, Ec-12_003110.4, Ec-15_004730.1, Ec-15_004730.2, Ec-15_004730.3, Ec-15_004840.1, Ec-15_004840.2, Ec-15_004840.3, Ec-15_004840.4, Ec-15_004850.1, Ec-15_004850.2, Ec-17_002300.1, Ec-19_000130.1, Ec-19_000270.1, Ec-19_000270.2, Ec-19_000290.1, Ec-23_004280.1, Ec-23_004280.2, Ec-23_004280.3, Ec-23_004280.4, Ec-23_004280.5, Ec-23_004280.6
OG0000001			Ec-06_003420.1, Ec-06_003420.2, Ec-06_003420.3, Ec-06_003420.4, Ec-06_003420.5, Ec-07_006970.1, Ec-07_006970.10, Ec-07_006970.11, Ec-07_006970.12, Ec-07_006970.13, Ec-07_006970.14, Ec-07_006970.15, Ec-07_006970.2, Ec-07_006970.3, Ec-07_006970.4, Ec-07_006970.5, Ec-07_006970.6, Ec-07_006970.7, Ec-07_006970.8, Ec-07_006970.9, Ec-07_006980.1, Ec-07_006980.2, Ec-07_006980.3, Ec-07_006990.1, Ec-07_007050.1, Ec-07_007050.2, Ec-07_007050.3, Ec-07_007050.4, Ec-07_007160.1, Ec-07_007160.2, Ec-13_001560.1, Ec-13_001560.3, Ec-13_001560.4, Ec-21_000620.1, Ec-21_000650.1, Ec-21_000660.1, Ec-21_000660.2, Ec-21_000660.3, Ec-21_000660.4, Ec-21_000660.5, Ec-21_000660.6, Ec-21_000660.7, Ec-21_000710.1, Ec-21_000730.1, Ec-21_000740.1, Ec-21_000750.1, Ec-21_000750.2, Ec-21_000750.3, Ec-21_000760.1, Ec-21_000760.2, Ec-21_000780.1, Ec-21_000780.2, Ec-21_000780.3
OG0000002		ser_TRINITY_DN11318_c0_g4.p1	Ec-05_006530.1, Ec-05_006540.1, Ec-13_004430.1, Ec-21_000430.1, Ec-21_000430.2, Ec-21_000440.1, Ec-21_000470.1, Ec-21_000480.1, Ec-21_000480.2, Ec-21_000480.3, Ec-21_000490.1, Ec-21_000490.2, Ec-21_000490.3, Ec-21_000500.1, Ec-21_000500.2, Ec-21_000500.3, Ec-21_000500.4, Ec-21_000510.1, Ec-21_000520.1, Ec-21_000520.2, Ec-21_000520.3, Ec-21_000520.4, Ec-21_000520.5, Ec-21_000530.1, Ec-21_000530.2, Ec-21_000530.3, Ec-21_000530.4, Ec-21_000530.5, Ec-21_000530.6, Ec-21_000530.7, Ec-21_000530.8, Ec-21_000540.1, Ec-21_000550.1, Ec-21_000560.1, Ec-21_000560.2, Ec-21_000560.3, Ec-21_000560.4, Ec-21_000580.1, Ec-21_000590.1, Ec-21_000590.2, Ec-21_000600.1, Ec-21_000600.2, Ec-21_001260.1, Ec-21_001260.3, Ec-21_001280.1, Ec-21_001280.2, Ec-21_001280.3, Ec-21_001280.4, Ec-21_001280.5, Ec-21_001280.6, Ec-21_005130.1
OG0000003	dis_TRINITY_DN4522_c0_g1.p1	ser_TRINITY_DN10409_c0_g1.p1, ser_TRINITY_DN10942_c0_g1.p1, ser_TRINITY_DN11011_c0_g2.p1, ser_TRINITY_DN12237_c0_g1.p1, ser_TRINITY_DN12448_c0_g1.p1, ser_TRINITY_DN13721_c0_g1.p1, ser_TRINITY_DN14389_c0_g1.p1, ser_TRINITY_DN14459_c0_g1.p1, ser_TRINITY_DN15036_c0_g1.p5, ser_TRINITY_DN15229_c3_g1.p1, ser_TRINITY_DN15229_c5_g1.p3, ser_TRINITY_DN15384_c0_g1.p1, ser_TRINITY_DN15854_c0_g2.p1, ser_TRINITY_DN16872_c0_g2.p1, ser_TRINITY_DN18190_c1_g1.p2, ser_TRINITY_DN20047_c0_g3.p1, ser_TRINITY_DN2089_c0_g1.p1, ser_TRINITY_DN22329_c0_g1.p1, ser_TRINITY_DN22682_c1_g1.p3, ser_TRINITY_DN2358_c0_g1.p2, ser_TRINITY_DN24608_c0_g1.p1, ser_TRINITY_DN26475_c0_g1.p1, ser_TRINITY_DN30203_c0_g1.p1, ser_TRINITY_DN31626_c0_g2.p1, ser_TRINITY_DN34416_c0_g1.p1, ser_TRINITY_DN34498_c0_g1.p1, ser_TRINITY_DN39311_c0_g1.p1, ser_TRINITY_DN41475_c1_g1.p1, ser_TRINITY_DN43877_c0_g1.p1, ser_TRINITY_DN4892_c0_g1.p1, ser_TRINITY_DN4929_c0_g1.p1, ser_TRINITY_DN5289_c0_g2.p1, ser_TRINITY_DN5289_c9_g1.p1, ser_TRINITY_DN5721_c0_g1.p2, ser_TRINITY_DN5801_c2_g1.p1, ser_TRINITY_DN6067_c0_g1.p1, ser_TRINITY_DN61719_c0_g1.p1, ser_TRINITY_DN62040_c0_g1.p1, ser_TRINITY_DN68836_c0_g2.p1, ser_TRINITY_DN7612_c10_g4.p1, ser_TRINITY_DN8337_c2_g1.p1, ser_TRINITY_DN9018_c0_g1.p1, ser_TRINITY_DN9885_c0_g1.p1, ser_TRINITY_DN9959_c1_g1.p1, ser_TRINITY_DN9995_c1_g1.p1	
OG0000004			Ec-01_009710.2, Ec-01_011280.1, Ec-01_011280.2, Ec-01_011280.3, Ec-01_011350.1, Ec-01_011390.1, Ec-01_011390.2, Ec-01_011390.3, Ec-01_011390.4, Ec-01_011390.5, Ec-01_011390.6, Ec-01_011390.7, Ec-01_012020.1, Ec-01_012020.2, Ec-01_012020.3, Ec-01_012020.4, Ec-01_012020.5, Ec-01_012020.6, Ec-01_012020.7, Ec-01_012020.8, Ec-03_000630.1, Ec-03_000630.2, Ec-03_000630.3, Ec-03_000630.4, Ec-06_000020.1, Ec-06_001020.1, Ec-08_001200.1, Ec-08_001200.2, Ec-08_001220.1, Ec-08_001220.2, Ec-15_001940.1, Ec-15_001940.2, Ec-15_001940.3, Ec-15_003210.3, Ec-16_003960.1, Ec-17_000590.1, Ec-17_000590.2, Ec-25_000110.1, Ec-25_000110.2, Ec-25_000110.3, Ec-25_000110.4, Ec-25_000110.5, Ec-25_000110.6, Ec-25_000110.7, Ec-25_000110.8, Ec-26_002110.1
OG0000005			Ec-03_000690.1, Ec-03_000690.2, Ec-03_001750.1, Ec-03_001750.2, Ec-04_001000.1, Ec-07_002210.1, Ec-07_002210.2, Ec-07_002210.3, Ec-10_006100.1, Ec-10_006100.2, Ec-10_006100.3, Ec-13_004000.1, Ec-13_004520.1, Ec-13_004520.2, Ec-13_004520.3, Ec-13_004830.1, Ec-13_004830.2, Ec-13_004830.3, Ec-13_004830.4, Ec-13_004830.5, Ec-13_004830.6, Ec-13_004830.7, Ec-13_004830.8, Ec-15_004490.1, Ec-16_003650.1, Ec-19_000010.1, Ec-19_000010.2, Ec-19_000010.4, Ec-24_003650.1, Ec-25_003510.1, Ec-25_003510.10, Ec-25_003510.2, Ec-25_003510.3, Ec-25_003510.4, Ec-25_003510.5, Ec-25_003510.7, Ec-25_003510.8, Ec-25_003510.9, Ec-27_001880.1
OG0000006	dis_TRINITY_DN1080_c0_g1.p1, dis_TRINITY_DN1080_c0_g6.p1, dis_TRINITY_DN1216_c7_g1.p1, dis_TRINITY_DN1277_c0_g2.p1, dis_TRINITY_DN1277_c0_g3.p1, dis_TRINITY_DN12888_c5_g1.p1, dis_TRINITY_DN13036_c0_g1.p1, dis_TRINITY_DN17310_c0_g2.p1, dis_TRINITY_DN180_c0_g1.p1, dis_TRINITY_DN19307_c0_g1.p1, dis_TRINITY_DN22018_c0_g1.p1, dis_TRINITY_DN30544_c0_g1.p1, dis_TRINITY_DN3284_c0_g1.p1, dis_TRINITY_DN3333_c0_g3.p1, dis_TRINITY_DN3333_c2_g2.p1, dis_TRINITY_DN3506_c0_g1.p1, dis_TRINITY_DN4191_c0_g1.p1, dis_TRINITY_DN463_c0_g2.p1, dis_TRINITY_DN5479_c0_g1.p1, dis_TRINITY_DN5479_c0_g4.p1, dis_TRINITY_DN5684_c0_g1.p1, dis_TRINITY_DN6146_c0_g1.p1, dis_TRINITY_DN6354_c0_g1.p1, dis_TRINITY_DN7072_c0_g1.p1, dis_TRINITY_DN7828_c0_g1.p1, dis_TRINITY_DN7828_c0_g2.p1, dis_TRINITY_DN79302_c0_g1.p1, dis_TRINITY_DN8883_c0_g2.p1, dis_TRINITY_DN9227_c0_g1.p1, dis_TRINITY_DN9261_c0_g1.p1	ser_TRINITY_DN17265_c0_g1.p1	Ec-09_004260.1, Ec-14_005160.1, Ec-24_000710.1, Ec-25_002430.1
OG0000007	dis_TRINITY_DN10307_c0_g1.p1, dis_TRINITY_DN10423_c0_g1.p1, dis_TRINITY_DN10560_c0_g1.p1, dis_TRINITY_DN1061_c0_g1.p1, dis_TRINITY_DN11258_c1_g2.p1, dis_TRINITY_DN11744_c1_g1.p1, dis_TRINITY_DN15015_c0_g1.p4, dis_TRINITY_DN16669_c0_g1.p3, dis_TRINITY_DN16777_c0_g1.p1, dis_TRINITY_DN1712_c0_g1.p1, dis_TRINITY_DN17253_c0_g1.p1, dis_TRINITY_DN18769_c0_g1.p1, dis_TRINITY_DN2374_c0_g1.p1, dis_TRINITY_DN2374_c3_g1.p1, dis_TRINITY_DN2680_c0_g1.p1, dis_TRINITY_DN29447_c0_g1.p1, dis_TRINITY_DN32377_c1_g1.p1, dis_TRINITY_DN32634_c0_g1.p2, dis_TRINITY_DN3382_c0_g1.p1, dis_TRINITY_DN3697_c1_g1.p1, dis_TRINITY_DN4971_c0_g1.p1, dis_TRINITY_DN5227_c1_g3.p1, dis_TRINITY_DN5402_c1_g1.p1, dis_TRINITY_DN5763_c1_g1.p1, dis_TRINITY_DN6011_c0_g1.p1, dis_TRINITY_DN6117_c0_g1.p3, dis_TRINITY_DN6144_c1_g1.p1, dis_TRINITY_DN6144_c3_g3.p1, dis_TRINITY_DN6687_c2_g1.p1, dis_TRINITY_DN7594_c0_g2.p4, dis_TRINITY_DN8175_c0_g1.p1, dis_TRINITY_DN8863_c1_g1.p1, dis_TRINITY_DN9439_c1_g1.p3, dis_TRINITY_DN9533_c1_g1.p1		
OG0000008		ser_TRINITY_DN69066_c0_g1.p1	Ec-00_002920.1, Ec-00_006100.1, Ec-00_006130.1, Ec-01_002120.1, Ec-01_002170.1, Ec-01_005230.1, Ec-04_004020.1, Ec-06_004970.1, Ec-06_006680.1, Ec-06_009980.1, Ec-07_001050.1, Ec-07_001190.1, Ec-07_002980.1, Ec-07_003230.1, Ec-07_003660.1, Ec-07_003690.1, Ec-07_004040.1, Ec-11_004000.1, Ec-12_005500.1, Ec-15_003620.1, Ec-15_003990.1, Ec-19_000070.1, Ec-19_001790.1, Ec-19_002070.1, Ec-21_003200.1, Ec-23_003450.1, Ec-24_002660.1, Ec-24_003190.1, Ec-24_003360.1, Ec-24_004400.1, Ec-25_003350.1, Ec-27_005370.1, Ec-27_005720.1
OG0000009			Ec-02_000110.1, Ec-02_001090.1, Ec-04_001420.1, Ec-04_001420.3, Ec-04_001420.4, Ec-04_001505.1, Ec-05_005360.1, Ec-05_005360.3, Ec-07_007330.1, Ec-08_000170.1, Ec-08_000170.3, Ec-08_000390.2, Ec-08_000990.1, Ec-08_000990.3, Ec-08_001140.1, Ec-08_001290.2, Ec-08_001440.1, Ec-11_000430.1, Ec-11_005790.1, Ec-13_001460.1, Ec-13_004770.2, Ec-17_000130.2, Ec-17_000140.1, Ec-19_004420.1, Ec-19_004490.1, Ec-19_004490.2, Ec-23_003090.2, Ec-23_003090.3, Ec-23_003090.4, Ec-23_003980.1, Ec-25_000420.1, Ec-25_000420.3, Ec-25_003520.2
