GeneID,phylostratum,rank,taxonomic_representativeness,GeneID_new
dis_TRINITY_DN0_c1_g2,Fucus distichus,8,100,dis_TRINITY_DN0_c1_g2
dis_TRINITY_DN0_c1_g5,Fucus distichus,8,100,dis_TRINITY_DN0_c1_g5
dis_TRINITY_DN10001_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10001_c0_g1
dis_TRINITY_DN100027_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN100027_c0_g1
dis_TRINITY_DN1000_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN1000_c0_g1
dis_TRINITY_DN10011_c0_g3,cellular organisms,1,100,dis_TRINITY_DN10011_c0_g3
dis_TRINITY_DN10014_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10014_c0_g2
dis_TRINITY_DN10015_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10015_c0_g1
dis_TRINITY_DN100167_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN100167_c0_g1
dis_TRINITY_DN1001_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1001_c0_g1
dis_TRINITY_DN1001_c0_g3,cellular organisms,1,42,dis_TRINITY_DN1001_c0_g3
dis_TRINITY_DN10021_c0_g2,cellular organisms,1,100,dis_TRINITY_DN10021_c0_g2
dis_TRINITY_DN10021_c0_g3,cellular organisms,1,100,dis_TRINITY_DN10021_c0_g3
dis_TRINITY_DN10021_c0_g5,Phaeophyceae,7,100,dis_TRINITY_DN10021_c0_g5
dis_TRINITY_DN10025_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10025_c0_g1
dis_TRINITY_DN10030_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10030_c0_g1
dis_TRINITY_DN10030_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10030_c0_g2
dis_TRINITY_DN10031_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10031_c0_g2
dis_TRINITY_DN10032_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10032_c0_g1
dis_TRINITY_DN100378_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN100378_c0_g1
dis_TRINITY_DN100379_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN100379_c0_g1
dis_TRINITY_DN10039_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10039_c0_g1
dis_TRINITY_DN1003_c0_g1,PX clade,6,100,dis_TRINITY_DN1003_c0_g1
dis_TRINITY_DN10041_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10041_c0_g1
dis_TRINITY_DN10042_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10042_c0_g1
