#gene	phylostratum	rank	taxonomic_representativeness
prot_S-polyschides_M_contig100.1.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10003.2.1	cellular organisms	1	100
prot_S-polyschides_M_contig10003.3.1	cellular organisms	1	85
prot_S-polyschides_M_contig10005.4.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10005.5.1	cellular organisms	1	85
prot_S-polyschides_M_contig10006.6.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10006.7.1	Eukaryota	2	100
prot_S-polyschides_M_contig100089.8.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10010.9.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10012.10.1	cellular organisms	1	100
prot_S-polyschides_M_contig10013.11.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig100134.12.1	Eukaryota	2	33
prot_S-polyschides_M_contig10014.13.1	cellular organisms	1	100
prot_S-polyschides_M_contig100142.14.1	cellular organisms	1	71
prot_S-polyschides_M_contig10017.15.1	Eukaryota	2	50
prot_S-polyschides_M_contig100176.16.1	Possible contamination or HGT	NA	28
prot_S-polyschides_M_contig100178.17.1	Possible contamination or HGT	NA	14
prot_S-polyschides_M_contig10018.18.1	cellular organisms	1	100
prot_S-polyschides_M_contig100181.19.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10019.20.1	Ochrophyta	5	100
prot_S-polyschides_M_contig10019.21.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig1002.22.1	cellular organisms	1	100
prot_S-polyschides_M_contig10020.23.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10021.24.1	cellular organisms	1	100
prot_S-polyschides_M_contig10021.25.1	cellular organisms	1	100
prot_S-polyschides_M_contig10022.26.1	cellular organisms	1	85
prot_S-polyschides_M_contig10022.27.1	cellular organisms	1	100
prot_S-polyschides_M_contig10022.28.1	cellular organisms	1	100
prot_S-polyschides_M_contig10023.29.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10025.30.1	cellular organisms	1	100
prot_S-polyschides_M_contig10025.31.1	cellular organisms	1	100
prot_S-polyschides_M_contig10025.32.1	cellular organisms	1	100
prot_S-polyschides_M_contig10028.33.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig100283.34.1	cellular organisms	1	85
prot_S-polyschides_M_contig10029.35.1	cellular organisms	1	100
prot_S-polyschides_M_contig10029.36.1	Ochrophyta	5	100
prot_S-polyschides_M_contig100290.37.1	cellular organisms	1	71
prot_S-polyschides_M_contig100294.38.1	Possible contamination or HGT	NA	28
prot_S-polyschides_M_contig1003.39.1	cellular organisms	1	100
prot_S-polyschides_M_contig1003.40.1	cellular organisms	1	100
prot_S-polyschides_M_contig1003.41.1	cellular organisms	1	100
prot_S-polyschides_M_contig1003.42.1	cellular organisms	1	100
prot_S-polyschides_M_contig10031.43.1	PX clade	6	100
prot_S-polyschides_M_contig100319.44.1	cellular organisms	1	71
prot_S-polyschides_M_contig10033.45.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10033.46.1	PX clade	6	100
prot_S-polyschides_M_contig10037.47.1	PX clade	6	100
prot_S-polyschides_M_contig10038.48.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10038.49.1	cellular organisms	1	42
prot_S-polyschides_M_contig100382.50.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig1004.51.1	cellular organisms	1	100
prot_S-polyschides_M_contig1004.52.1	Eukaryota	2	66
prot_S-polyschides_M_contig1004.53.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig1004.54.1	cellular organisms	1	100
prot_S-polyschides_M_contig10040.55.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10041.56.1	cellular organisms	1	42
prot_S-polyschides_M_contig100420.57.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig100422.58.1	cellular organisms	1	57
prot_S-polyschides_M_contig100427.59.1	cellular organisms	1	71
prot_S-polyschides_M_contig10044.60.1	cellular organisms	1	100
prot_S-polyschides_M_contig10044.61.1	cellular organisms	1	100
prot_S-polyschides_M_contig10045.62.1	cellular organisms	1	100
prot_S-polyschides_M_contig10045.63.1	Eukaryota	2	83
prot_S-polyschides_M_contig10047.64.1	cellular organisms	1	100
prot_S-polyschides_M_contig10047.65.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig100497.66.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig100513.67.1	Eukaryota	2	66
prot_S-polyschides_M_contig100522.68.1	Possible contamination or HGT	NA	14
prot_S-polyschides_M_contig10054.69.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10058.70.1	cellular organisms	1	85
prot_S-polyschides_M_contig10060.71.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10060.72.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10060.73.1	cellular organisms	1	100
prot_S-polyschides_M_contig10065.74.1	cellular organisms	1	100
prot_S-polyschides_M_contig10065.75.1	cellular organisms	1	42
prot_S-polyschides_M_contig10068.76.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10069.77.1	Eukaryota	2	50
prot_S-polyschides_M_contig1007.78.1	cellular organisms	1	85
prot_S-polyschides_M_contig10070.79.1	cellular organisms	1	85
prot_S-polyschides_M_contig10071.80.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10074.81.1	cellular organisms	1	100
prot_S-polyschides_M_contig10074.82.1	Eukaryota	2	50
prot_S-polyschides_M_contig10077.83.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig100772.84.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig100777.85.1	cellular organisms	1	42
prot_S-polyschides_M_contig10078.86.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10078.87.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig100782.88.1	cellular organisms	1	71
prot_S-polyschides_M_contig100791.89.1	Possible contamination or HGT	NA	14
prot_S-polyschides_M_contig1008.90.1	cellular organisms	1	100
prot_S-polyschides_M_contig1008.91.1	cellular organisms	1	100
prot_S-polyschides_M_contig1008.92.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig1008.93.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10082.94.1	PX clade	6	100
prot_S-polyschides_M_contig10083.95.1	cellular organisms	1	100
prot_S-polyschides_M_contig10087.96.1	cellular organisms	1	100
prot_S-polyschides_M_contig10088.97.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig1009.98.1	Stramenopiles	4	75
prot_S-polyschides_M_contig1009.99.1	cellular organisms	1	42
prot_S-polyschides_M_contig100917.100.1	cellular organisms	1	71
prot_S-polyschides_M_contig10092.101.1	cellular organisms	1	100
prot_S-polyschides_M_contig100923.102.1	Possible contamination or HGT	NA	28
prot_S-polyschides_M_contig10093.103.1	cellular organisms	1	100
prot_S-polyschides_M_contig101.104.1	Eukaryota	2	100
prot_S-polyschides_M_contig10101.105.1	cellular organisms	1	57
prot_S-polyschides_M_contig101051.106.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig101052.107.1	cellular organisms	1	85
prot_S-polyschides_M_contig101056.108.1	Possible contamination or HGT	NA	14
prot_S-polyschides_M_contig101059.109.1	Eukaryota	2	50
prot_S-polyschides_M_contig10106.110.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10107.111.1	Eukaryota	2	66
prot_S-polyschides_M_contig10107.112.1	Eukaryota	2	83
prot_S-polyschides_M_contig10109.113.1	cellular organisms	1	71
prot_S-polyschides_M_contig10112.114.1	cellular organisms	1	100
prot_S-polyschides_M_contig10113.115.1	cellular organisms	1	100
prot_S-polyschides_M_contig10114.116.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10114.117.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10114.118.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10114.119.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10115.120.1	Ochrophyta	5	100
prot_S-polyschides_M_contig10117.121.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig101181.122.1	cellular organisms	1	100
prot_S-polyschides_M_contig101182.123.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig101184.124.1	Possible contamination or HGT	NA	14
prot_S-polyschides_M_contig1012.125.1	cellular organisms	1	100
prot_S-polyschides_M_contig10121.126.1	cellular organisms	1	100
prot_S-polyschides_M_contig10122.127.1	cellular organisms	1	100
prot_S-polyschides_M_contig10124.128.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10125.129.1	PX clade	6	100
prot_S-polyschides_M_contig10125.130.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10125.131.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10126.132.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10127.133.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10127.134.1	Eukaryota	2	66
prot_S-polyschides_M_contig10129.135.1	cellular organisms	1	100
prot_S-polyschides_M_contig1013.136.1	Phaeophyceae	7	100
prot_S-polyschides_M_contig10131.137.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10131.138.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10134.139.1	PX clade	6	100
prot_S-polyschides_M_contig10135.140.1	cellular organisms	1	100
prot_S-polyschides_M_contig10137.141.1	Saccorhiza polyschides	8	100
prot_S-polyschides_M_contig10139.142.1	Phaeophyceae	7	100
