GeneID,subject_id,dN,dS,dNdS,DS,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw
Ec-00_000320.1,EsuBft3035_4a-00001,0.04445,0.09733,0.4567,8,90351,103,114,11,0,0,110,9649,1,114,114,100,100,1,114,114,1.89e-72,215,548
Ec-00_000350.1,EsuBft1436_4a-00001,0.03758,0.11,0.3415,6,81004,226,279,18,2,35,231,828,1,244,244,100,100,210,488,488,4.9e-127,370,951
Ec-00_000390.1,EsuBft340_13a-00001,0.03553,0.1733,0.205,3,90426,85,94,8,1,1,86,9149,193,286,286,33,33,1,93,93,8.37e-44,149,375
Ec-00_000410.1,EsuBft1688_8a-00001,0.2668,0.7599,0.3511,7,7037,76,108,25,2,7,82,7593,39,146,221,49,49,216,316,345,2.76e-40,145,366
Ec-00_000550.1,EsuBft264_6a-00001,0.02378,0.1509,0.1575,2,97647,249,255,6,0,0,251,9843,88,342,352,72,72,10,264,379,1.68e-176,499,1285
Ec-00_000940.1,EsuBft131_17a-00001,0.03537,0.09546,0.3705,7,92526,718,776,55,1,3,741,9549,1,776,776,100,100,12,784,784,0,1407,3642
Ec-00_000950.1,EsuBft1935_6a-00001,0.05734,0.2178,0.2633,5,94461,324,343,11,1,8,333,9708,22,356,642,52,52,23,365,384,0,669,1725
Ec-00_000980.1,EsuBft1774_3a-00001,0.01998,0.054,0.3701,7,95687,355,371,16,0,0,365,9838,1,371,371,100,100,1,371,371,0,707,1825
Ec-00_000990.1,EsuBft241_5a-00001,0.0317,0.07643,0.4148,8,86279,371,430,26,2,33,380,8837,11,409,409,98,98,1,428,428,0,723,1865
Ec-00_001000.1,EsuBft241_4a-00001,0.07219,0.1895,0.381,7,80159,202,252,30,5,20,212,8413,474,706,706,63,33,275,525,525,1.57e-123,383,983
Ec-00_001070.1,EsuBft313_2a-00001,0.04836,0.1285,0.3763,7,8933,720,806,67,2,19,740,9181,132,936,936,86,86,20,807,807,0,1391,3601
Ec-00_001080.1,EsuBft313_4a-00001,0.03502,0.08166,0.4289,8,92366,968,1048,73,1,7,997,9513,1,1048,1049,99,99,1,1041,1044,0,1810,4688
Ec-00_001090.1,EsuBft313_5a-00001,0.02629,0.09296,0.2828,5,94712,197,208,9,1,2,201,9663,1,208,214,97,97,1,206,207,1.64e-142,400,1028
Ec-00_001100.1,EsuBft313_6a-00001,0.01188,0.1326,0.08957,1,97797,222,227,5,0,0,226,9956,1,227,227,100,100,20,246,246,5.38e-161,449,1155
Ec-00_001130.1,EsuBft313_7a-00001,0.0119,0.06355,0.1872,3,96,336,350,8,2,6,339,9686,1,348,348,100,100,1,346,346,0,676,1743
Ec-00_001150.1,EsuBft313_10a-00001,0.02557,0.0752,0.34,6,95,475,500,25,0,0,482,964,1,500,500,100,100,1,500,500,0,943,2438
Ec-00_001160.1,EsuBft313_11a-00001,0.03803,0.0836,0.4549,8,87075,384,441,50,2,7,398,9025,376,809,809,96,54,508,948,948,0,637,1644
Ec-00_001190.1,EsuBft313_14a-00001,0.01161,0.08856,0.1311,2,88034,206,234,6,2,22,209,8932,1,212,212,100,100,25,258,258,2.57e-147,414,1065
Ec-00_001230.1,EsuBft591_8a-00001,0.01826,0.08572,0.213,4,9563,569,595,24,1,2,576,9681,1,593,593,100,100,1,595,595,0,1124,2908
