Orthogroup	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
OG0010606	dis_TRINITY_DN0_c1_g5.p1		
OG0010607	dis_TRINITY_DN10001_c0_g1.p2		
OG0010608	dis_TRINITY_DN100027_c0_g1.p2		
OG0010609	dis_TRINITY_DN1000_c0_g1.p1		
OG0010610	dis_TRINITY_DN10025_c0_g1.p2		
OG0010611	dis_TRINITY_DN10031_c0_g2.p3		
OG0010612	dis_TRINITY_DN100379_c0_g1.p2		
OG0010613	dis_TRINITY_DN10039_c0_g1.p2		
OG0010614	dis_TRINITY_DN10042_c0_g1.p2		
OG0010615	dis_TRINITY_DN10066_c0_g1.p2		
OG0010616	dis_TRINITY_DN10095_c0_g1.p4		
OG0010617	dis_TRINITY_DN100_c0_g3.p2		
OG0010618	dis_TRINITY_DN100_c0_g3.p10		
OG0010619	dis_TRINITY_DN100_c0_g3.p13		
OG0010620	dis_TRINITY_DN100_c0_g3.p14		
OG0010621	dis_TRINITY_DN101086_c0_g1.p1		
OG0010622	dis_TRINITY_DN10119_c0_g1.p2		
OG0010623	dis_TRINITY_DN101321_c0_g1.p3		
OG0010624	dis_TRINITY_DN10150_c0_g1.p4		
OG0010625	dis_TRINITY_DN10150_c0_g4.p2		
OG0010626	dis_TRINITY_DN101555_c0_g1.p1		
OG0010627	dis_TRINITY_DN10173_c0_g1.p2		
OG0010628	dis_TRINITY_DN101853_c0_g1.p1		
OG0010629	dis_TRINITY_DN10248_c0_g2.p1		
OG0010630	dis_TRINITY_DN10251_c0_g2.p2		
OG0010631	dis_TRINITY_DN10262_c0_g1.p2		
OG0010632	dis_TRINITY_DN10269_c0_g1.p1		
OG0010633	dis_TRINITY_DN1027_c2_g2.p3		
OG0010634	dis_TRINITY_DN10280_c0_g4.p3		
OG0010635	dis_TRINITY_DN1029_c0_g1.p2		
OG0010636	dis_TRINITY_DN10304_c0_g1.p1		
OG0010637	dis_TRINITY_DN1031_c0_g1.p2		
OG0010638	dis_TRINITY_DN10336_c0_g1.p4		
OG0010639	dis_TRINITY_DN10344_c0_g1.p1		
OG0010640	dis_TRINITY_DN10347_c0_g1.p1		
OG0010641	dis_TRINITY_DN10357_c0_g1.p2		
OG0010642	dis_TRINITY_DN10362_c0_g2.p3		
