GeneID,phylostratum,rank,taxonomic_representativeness
Ec-00_000010.1,Eukaryota,2,88
Ec-00_000020.1,Ectocarpales,9,50
Ec-00_000030.1,Phaeophyceae,7,100
Ec-00_000050.3,Phaeophyceae,7,100
Ec-00_000060.1,Ectocarpales,9,100
Ec-00_000070.1,Eukaryota,2,77
Ec-00_000080.1,cellular organisms,1,80
Ec-00_000090.1,Ectocarpus,10,100
Ec-00_000110.1,cellular organisms,1,100
Ec-00_000120.1,Phaeophyceae,7,100
Ec-00_000130.1,Eukaryota,2,77
Ec-00_000140.1,Phaeophyceae,7,100
Ec-00_000150.2,cellular organisms,1,50
Ec-00_000160.1,cellular organisms,1,100
Ec-00_000170.2,Ectocarpus siliculosus,11,100
Ec-00_000180.1,Ectocarpus siliculosus,11,100
Ec-00_000190.1,Phaeophyceae,7,100
Ec-00_000200.1,Eukaryota,2,100
Ec-00_000210.1,cellular organisms,1,100
Ec-00_000230.1,Eukaryota,2,88
Ec-00_000240.1,Ectocarpus siliculosus,11,100
Ec-00_000260.1,cellular organisms,1,100
Ec-00_000280.1,Ectocarpus siliculosus,11,100
Ec-00_000290.3,Ectocarpus siliculosus,11,100
Ec-00_000300.1,ALE clade,8,100
Ec-00_000310.1,ALE clade,8,66
Ec-00_000320.1,cellular organisms,1,90
Ec-00_000330.1,ALE clade,8,100
Ec-00_000340.1,Phaeophyceae,7,100
Ec-00_000350.1,Phaeophyceae,7,100
Ec-00_000360.1,Eukaryota,2,44
Ec-00_000370.1,ALE clade,8,100
Ec-00_000380.1,Ectocarpales,9,100
Ec-00_000390.1,Phaeophyceae,7,100
Ec-00_000400.1,Phaeophyceae,7,100
Ec-00_000410.1,cellular organisms,1,90
Ec-00_000430.2,Ectocarpus siliculosus,11,100
Ec-00_000440.1,cellular organisms,1,100
Ec-00_000450.1,Ectocarpus siliculosus,11,100
Ec-00_000500.2,Ectocarpus siliculosus,11,100
Ec-00_000510.1,cellular organisms,1,80
Ec-00_000520.1,PX clade,6,100
Ec-00_000530.1,cellular organisms,1,100
Ec-00_000540.2,Ectocarpus siliculosus,11,100
Ec-00_000550.1,cellular organisms,1,100
